Table number;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Species no.;Species name
Thesium bavarum;hl;.;.;.;.;.;r;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;11216;
Tilia platyphyllos;jl;.;.;.;.;.;r;.;.;.;.;.;.;+;.;r;.;.;.;r;+;.;11288;
Ulmus glabra;t1;.;.;.;.;.;1;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;11602;
Viscum album ssp. laxum;t1;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;12127;
Asplenium viride;hl;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1053;
Brachypodium sylvaticum;hl;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1451;
Epipactis helleborine;hl;.;.;.;.;.;.;r;r;+;+;r;.;.;.;.;.;.;.;.;.;.;3977;
Galium pumilum;hl;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4573;
Genista tinctoria;hl;.;.;.;.;.;.;r;.;.;.;r;.;.;.;.;.;.;.;.;.;.;4614;
Knautia drymeia;hl;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5611;
Picea abies;jl;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8026;
Euphorbia polychroma;hl;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;r;.;.;.;.;.;4142;
Ligustrum vulgare;s1;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;.;.;+;.;.;.;6279;
Ligustrum vulgare;jl;.;.;.;.;.;.;.;r;1;r;.;.;.;.;.;.;.;+;.;.;.;6279;
Seseli libanotis;hl;.;.;.;.;.;.;.;r;.;.;+;.;.;.;.;r;.;r;.;.;.;10133;
Silene vulgaris;hl;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;+;10225;
Stachys recta;hl;.;.;.;.;.;.;.;r;+;.;r;.;.;.;.;.;.;.;.;.;.;10528;
Alliaria petiolata;hl;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;1;435;
Artemisia campestris;hl;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;860;
Dictamnus albus;hl;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;3594;
Fagus sylvatica;s1;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;1;.;.;.;.;4220;
Luzula luzuloides;hl;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;6477;
Origanum vulgare;hl;.;.;.;.;.;.;.;.;+;r;+;.;.;.;.;.;.;+;.;.;.;7332;
Quercus petraea;t1;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;8850;
Quercus species;jl;.;.;.;.;.;.;.;.;r;.;.;.;.;.;r;.;.;.;.;.;.;8860;
Rhamnus cathartica;jl;.;.;.;.;.;.;.;.;r;r;.;.;.;.;r;.;.;r;.;.;.;9049;
Scabiosa ochroleuca;hl;.;.;.;.;.;.;.;.;+;r;.;.;.;.;.;.;.;.;.;.;+;9811;
Silene nemoralis;hl;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;10203;
Carex humilis;hl;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;2235;
Lonicera caprifolium;jl;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;6381;
Odontites luteus;hl;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;7173;
Quercus pubescens;jl;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;8854;
Ribes alpinum;jl;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;9194;
Senecio ovatus;hl;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;10107;
Avenella flexuosa;hl;.;.;.;.;.;.;.;.;.;.;.;+;.;r;.;.;.;.;.;+;.;1174;
Galium album s.lat.;hl;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;4548;
Melampyrum cristatum;hl;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;6670;
Pinus sylvestris;jl;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;8058;
Potentilla alba;hl;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;8515;
Ulmus glabra;jl;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;+;11602;
Vaccinium vitis-idaea;hl;.;.;.;.;.;.;.;.;.;.;.;.;+;r;.;.;.;.;.;.;.;11740;
Euonymus europaeus;s1;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;2;.;4109;
Galium boreale;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;4556;
Taraxacum sect. Ruderalia;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;10973;
Ulmus glabra;s1;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;11602;
Fragaria viridis;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;4421;
Tilia platyphyllos;s1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;1;.;11288;
Cystopteris fragilis;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;r;.;.;.;.;3346;
Picea abies;s1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;8026;
Epilobium montanum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;+;.;3962;
Festuca pallens s.lat.;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;+;1;4289;
Malus sylvestris;s1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;6559;
Myosotis sparsiflora;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;6995;
Saxifraga tridactylites;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;9795;
Hieracium sabaudum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;5165;
Melittis melissophyllum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;6710;
Achillea millefolium agg.;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;106;
Allium senescens ssp. montanum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;457;
Asplenium septentrionale;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;1047;
Campanula moravica;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;r;2007;
Cladonia fimbriata;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;2863;
Dianthus carthusianorum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;3497;
Dicranum polysetum;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;.;3586;
Galium valdepilosum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;4589;
Hypnum cupressiforme;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;2;5363;
Impatiens parviflora;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;5432;
Melica ciliata;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;6689;
Moehringia trinervia;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;6887;
Parmelia caperata;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;7556;
Pimpinella saxifraga agg.;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;8041;
Ramalina capitata;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;8894;
Rumex acetosella s.lat.;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;9540;
Solidago virgaurea;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;10307;
Thymus praecox;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;11268;
Achillea pannonica;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;115;
Acinos arvensis;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;126;
Allium flavum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;446;
Anomodon viticulosus;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;684;
Arabis turrita;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;793;
Arenaria serpyllifolia;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;826;
Arrhenatherum elatius;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;851;
Bryum capillare group;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1613;
Fallopia dumetorum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;4228;
Galium album s.str.;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;4549;
Geum urbanum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;4688;
Homalothecium lutescens;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;5234;
Homalothecium philippeanum;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;5236;
Jovibarba hirta;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;5506;
Lamium maculatum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;5664;
Phleum phleoides;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;7916;
Porella platyphylla;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;8439;
Potentilla incana;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;8536;
Prunus mahaleb;jl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;8662;
Pseudoleskea catenulata;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;8697;
Rosa species;jl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;9408;
Schistidium apocarpum;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;9882;
Sedum acre;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;10008;
Sisymbrium strictissimum;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;10249;
Thymus odoratissimus;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;11264;
Tortula ruralis;ml;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;11398;
Veronica vindobonensis;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;11854;
Viola tricolor ssp. saxatilis;hl;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;12117;
