Table number;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Species no.;Species name
Longitude;;164240.00;164240.00;140810.00;140810.00;140810.00;135035.00;164240.00;164240.00;140810.00;140810.00;164240.00;135035.00;135035.00;135035.00;135330.00;164240.00;165430.00;164240.00;135035.00;160328.00;163837.00;;
Latitude;;492150.00;492150.00;495810.00;495810.00;495810.00;501445.00;492150.00;492150.00;495810.00;495810.00;492150.00;501445.00;501445.00;501445.00;500100.00;492150.00;494005.00;492150.00;501445.00;485632.00;485159.00;;
Bias_min;;11;11;0;0;0;0;11;11;0;0;11;0;0;0;0;11;10;11;0;0;0;;
Bias_gps;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Ceba_grid;;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;;
Field_nr;;14/93     ;164/93    ;185/93    ;186/93    ;188/93    ;266/95    ;5/93      ;153/93    ;196/93    ;195/93    ;150/93    ;267/95    ;269/95    ;270/95    ;212/92    ;147/93    ;157/91    ;152/93    ;268/95    ;66/96     ;71/96     ;;
Habitat;;                                                                                                   ;Horní okraj otevøeného suového pole                                                               ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;                                                                                                   ;strmý svah skalní ostrony, na jejím vrcholu je porost se Sesleria                                ;skalnatý svah na vápenci pod kolmými skalními stìnami, dolù pøechází v humózní suový les          ;;
Geology;;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;rula                                              ;jurský vápenec                                    ;;
Soil;;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;rendzina                                          ;;
Water_ph;; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;;
S_ph_h2o;; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;;
S_ph_kcl;; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;;
S_ph_cacl2;; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;;
Soil_ph;; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00;;
Conduct;;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;;
;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;jl;r;.;+;+;r;r;+;r;+;1;r;+;.;+;r;+;+;.;.;.;.;83;
Acer pseudoplatanus;t1;2;.;.;.;.;+;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;84;
Acer pseudoplatanus;jl;+;r;.;r;.;+;+;r;.;.;.;.;+;r;r;.;.;.;.;.;.;84;
Actaea spicata;hl;r;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;167;
Anthriscus sylvestris;hl;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;722;
Asplenium trichomanes;hl;+;+;r;.;+;.;+;1;.;.;.;.;.;.;r;.;+;+;.;1;r;1048;
Berberis vulgaris;s1;+;1;+;.;.;.;r;1;.;r;1;.;.;.;.;.;.;1;.;.;.;1340;
Bromus benekenii;hl;+;r;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;1506;
Campanula persicifolia;hl;+;r;+;r;1;.;+;.;+;1;.;.;.;.;+;.;+;.;.;r;+;2013;
Campanula rapunculoides;hl;1;1;.;r;.;1;1;r;r;.;.;.;1;.;+;.;1;.;.;.;.;2018;
Carex digitata;hl;+;+;1;+;1;.;+;1;1;1;2;r;r;.;1;2;+;2;+;.;.;2206;
Clinopodium vulgare;hl;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2954;
Corylus avellana;s1;2;2;+;1;r;2;.;2;+;2;2;.;1;2;1;2;.;+;2;.;2;3123;
Corylus avellana;jl;+;r;.;.;.;.;+;r;r;1;.;+;r;.;.;.;.;.;r;.;.;3123;
Digitalis grandiflora;hl;r;r;+;+;1;.;.;.;1;r;.;.;.;.;.;.;.;.;.;.;+;3628;
Dryopteris filix-mas;hl;2;r;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3794;
Epilobium collinum;hl;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3957;
Fagus sylvatica;jl;r;r;.;r;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;4220;
Fragaria vesca;hl;r;r;.;.;.;.;.;.;.;+;r;.;.;.;.;.;.;r;.;.;+;4420;
Fraxinus excelsior;t1;2;2;1;1;.;.;.;1;.;1;2;.;.;.;.;1;.;.;.;.;.;4430;
Fraxinus excelsior;s1;+;.;.;+;r;.;.;+;r;1;.;.;.;.;.;+;.;+;.;.;.;4430;
Fraxinus excelsior;jl;+;+;1;1;2;r;r;+;+;1;1;r;+;.;+;1;.;+;r;.;+;4430;
Galeobdolon montanum;hl;1;+;.;.;r;.;+;r;.;.;r;.;.;.;.;.;.;.;.;.;.;4532;
Galeobdolon species;hl;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4533;
Galium aparine;hl;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4552;
Galium odoratum;hl;+;.;.;.;1;r;.;.;.;.;.;r;.;2;.;.;.;.;.;.;.;4568;
Galium pusillum agg.;hl;1;r;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;4574;
Galium sylvaticum;hl;+;r;1;1;.;.;1;.;r;.;.;.;+;.;.;.;1;.;.;.;.;4584;
Geranium robertianum;hl;1;.;.;.;.;r;.;.;.;r;.;.;.;.;.;.;+;.;.;+;1;4677;
