taxon,matched.taxon
Saxifraga burserana,Saxifraga burseriana
Saxifraga caesia,Saxifraga caesia
Saxifraga paniculata,Saxifraga paniculata
Saxifraga stellaris,Saxifraga stellaris s.lat.
Scapania sp.,Scapania sp.
Selaginella selaginoides,Selaginella selaginoides
Sesleria ovata,Sesleria ovata
Sesleria varia,Sesleria caerulea s.str.
Silene acaulis,Silene acaulis s.lat.
Silene alpestris,Heliosperma alpestre
Silene pusilla,Heliosperma pusillum ssp. pusillum
Soldanella alpina,Soldanella alpina
Soldanella austriaca,Soldanella austriaca
Tetraplodon mnioides,Tetraplodon mnioides
Thamnolia vermicularis,Thamnolia vermicularis var. vermicularis
Thlaspi alpinum,Noccaea crantzii
Thuidium philibertii,Thuidium assimile
Thymus praecox,Thymus praecox ssp. polytrichus
Tofieldia calyculata,Tofieldia calyculata
Tofieldia pusilla,Tofieldia pusilla
Tortella tortuosa,Tortella tortuosa
Trisetum alpestre,Trisetum alpestre
Trollius europaeus,Trollius europaeus
Vaccinium gaultherioides,Vaccinium gaultherioides
Vaccinium vitis-idaea,Vaccinium vitis-idaea
Vaccinium myrtillus,Vaccinium myrtillus
Valeriana celtica,Valeriana celtica ssp. norica
Valeriana elongata,Valeriana elongata
Veronica aphylla,Veronica aphylla
Viola biflora,Viola biflora
