plot	date	location	syntaxon	longitude	latitude	accuracy
94	1978-07-26	neben Aufnahme 325 (Lauf.Nr 93)	Soldanello-Piceetum	13.484299E	48.542516N	100
95	1978-06-18	am Tiefenbach 1000 m W Königsedt/Kopfing	Soldanello-Piceetum	13.706601E	48.452712N	200
96	1978-05-06	Buchet bei Simling/St.Roman	Soldanello-Piceetum	13.655716E	48.485839N	200
97	1978-07-25	800 m NE "Rothstadler" bei Voglgrub/Kopfing	Soldanello-Piceetum	13.720642E	48.448714N	200
98	1976-08-25	Raad 1000 m N(E) "Einödhäuseln"/Münzkirchen	Myrtillo-Abitetum	13.581092E	48.478599N	500
99	1978-08-06	Pitzenberg/Münzkirchen	Myrtillo-Abitetum	13.541769E	48.481639N	500
100	1976-08-21	400 m SSE Reschau/Esternberg	Myrtillo-Abitetum	13.572124E	48.542134N	300
101	1976-08-25	300 m N Knechtelsdorf/Kopfing	Myrtillo-Abitetum	13.661401E	48.452278N	100
102	1976-08-24	500 m SW Sagedt/St. Ägidi	Myrtillo-Abitetum	13.731783E	48.447400N	200
103	1978-08-24	300 m E Grübl/St Ägidi	Myrtillo-Abitetum	13.753972E	48.462651N	200
104	1978-07-11	300 m E Winterhof am Güterweg/Esternberg	Myrtillo-Abitetum	13.597840E	48.558498N	200
105	1978-07-25	600 m SE Grafendorf/Kopfing	Myrtillo-Abitetum	13.693343E	48.441111N	200
106	1978-07-25	500 m SE Grafendorf/Kopfing	Myrtillo-Abitetum	13.691881E	48.441662N	200
107	1978-06-18	100 m SW Thurnstein Gipfel/Kopfing	Myrtillo-Abitetum	13.694310E	48.415229N	100
108	1978-07-25	800 m NE "Rothstadler" bei Voglgrub/Kopfing	Myrtillo-Abitetum	13.720642E	48.448714N	200
109	1978-07-12	Wenzlberg/Vichtenstein	Myrtillo-Abitetum	13.673622E	48.521983N	400
110	1978-07-12	200 m SW Wh. Stampfen bei Kößldorf/St. Roman	Myrtillo-Abitetum	13.605227E	48.505093N	100
111	1978-07-24	Voredt/Waldkirchen	Myrtillo-Abitetum	13.788857E	48.437624N	500
112	1978-07-12	250 m E Winterhof am Güterweg Esternberg	Myrtillo-Abitetum	13.598211E	48.559446N	200
113	1978-07-24	Kleiner Kößlbach/Wesenufer	Myrtillo-Abitetum	13.782299E	48.463757N	700
114	1978-07-14	Kleiner Kößlbach/Wesenufer	Myrtillo-Abitetum	13.782299E	48.463757N	700
115	1976-08-04	Gaisberg/St.Florian	Spruce-Forest	13.474603E	48.453876N	200
116	1976-08-03	200 m E Otterbach/St. Florian	Spruce-Forest	13.456766E	48.459142N	200
117	1976-08-16	Neudling 100 m E Forsthaus/Freinberg	Spruce-Forest	13.528866E	48.565713N	200
118	1976-08-05	Schacherwald nahe Bundesstraße/Brunnenthal	Spruce-Forest	13.512459E	48.473279N	500
119	1976-08-06	200 m SW Steinberg/Rainbach	Spruce-Forest	13.518576E	48.464342N	200
120	1976-08-22	150 m N Stadl/Vichtenstein	Spruce-Forest	13.685491E	48.495545N	200
121	1976-08-10	500 m ENE Buchet/Schardenberg	Spruce-Forest	13.518616E	48.522444N	200
122	1976-08-24	Hörzingerwald/Kopfing	Spruce-Forest	13.730759E	48.442188N	700
123	1976-08-24	1000 m SSW Simling/St.Roman	Spruce-Forest	13.664993E	48.477465N	200
124	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
125	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
126	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
127	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
128	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
129	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
130	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
131	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
132	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
133	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
134	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
135	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
136	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
137	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
138	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
139	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
140	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
141	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
142	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
143	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
144	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
145	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
146	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
147	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
148	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
149	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
150	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
151	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
152	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
153	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
154	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
155	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
156	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
157	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
158	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
159	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
160	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
161	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
162	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
163	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
164	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
165	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
166	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
167	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
168	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
169	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
170	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
171	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
172	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
173	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
174	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
175	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
176	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
177	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
178	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
179	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
180	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
181	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
182	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
183	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
184	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
185	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
186	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
187	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
188	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
189	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
190	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
191	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
192	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
193	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
194	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
195	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
196	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
197	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
198	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
199	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
200	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
201	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
202	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
203	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
204	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
205	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
206	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
207	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
208	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
209	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
210	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
211	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
212	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
213	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
