"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"determined";"comment";"history"
"an09";"flav cucu";"ml";"+";;;;;;
"an09";"clad rang";"ml";"+";;;;;;
"an09";"euph mini";"hl";"+";;;;;;
"an09";"hier alpi";"hl";"+";;;;;;
"an09";"junc trif";"hl";"+";;;;;;
"an09";"lois proc";"hl";3;;;;;;
"an09";"oreo dist";"hl";"+";;;;;;
"an09";"phyt conf";"hl";"+";"voucher";129;;;;
"an09";"poly spec ies";"ml";"+";;;;;;
"an09";"prim mini";"hl";"+";;;;;;
"an09";"sapo pumi";"hl";1;;;;;;
"an09";"sene inca carn";"hl";"r";;;;;;
"an09";"tham verm verm";"ml";"+";;;;;;
"an09";"vacc gaul";"hl";1;;;;;;
"an10";"camp alpi";"hl";"+";;;;;;
"an10";"cetr isla isla";"ml";"2a";;;;;;
"an10";"flav niva";"ml";"+";;;;;;
"an10";"clad rang";"ml";"+";;;;;;
"an10";"clad subu";"ml";1;;;;;;
"an10";"empe herm";"hl";3;;;;;;
"an10";"hupe sela";"hl";"+";;;;;;
"an10";"junc trif";"hl";"+";;;;;;
"an10";"lois proc";"hl";4;;;;;;
"an10";"luzu alpi losa";"hl";"+";;;;;;
"an10";"oreo dist";"hl";"+";;;;;;
"an10";"phyt hemi";"hl";"+";;;;;;
"an10";"poly juni";"ml";1;"voucher";;;;;
"an10";"prim mini";"hl";"+";;;;;;
"an10";"puls alpi alba";"hl";"r";;;;;;
"an10";"tham verm verm";"ml";"+";;;;;;
"an10";"vacc gaul";"hl";"2a";;;;;;
"an10";"vacc myrt";"hl";"2a";;;;;;
"an10";"vacc viti";"hl";"+";;;;;;
"an11";"alec ochr";"ml";3;;;;;;
"an11";"camp alpi";"hl";"r";;;;;;
"an11";"care curv curv";"hl";1;;;;;;
"an11";"cetr isla isla";"ml";1;;;;;;
"an11";"flav cucu";"ml";"+";;;;;;
"an11";"clad subu";"ml";1;"voucher";;;;;
"an11";"hier alpi";"hl";"+";;;;;;
"an11";"hupe sela";"hl";"+";;;;;;
"an11";"junc trif";"hl";"2a";;;;;;
"an11";"lois proc";"hl";3;;;;;;
"an11";"oreo dist";"hl";"+";;;;;;
"an11";"prim mini";"hl";"+";;;;;;
"an11";"sapo pumi";"hl";1;;;;;;
"an11";"schi spec ies";"ml";1;;;;;;
"an11";"tham verm verm";"ml";1;;;;;;
"an11";"vacc gaul";"hl";"2a";;;;;;
"an12";"aven flex flex";"hl";1;;;;;;
"an12";"call vulg";"hl";"+";;;;;;
"an12";"camp alpi";"hl";"+";;;;;;
"an12";"care curv curv";"hl";1;;;;;;
"an12";"cetr isla isla";"ml";1;;;;;;
"an12";"clad rang";"ml";1;;;;;;
"an12";"dicr scop";"ml";1;;;;;;
"an12";"dicr spec ies";"ml";1;;;;;;
"an12";"diph alpi";"hl";1;"voucher";134;;;;
"an12";"empe herm";"hl";3;;;;;;
"an12";"hier alpi";"hl";"+";;;;;;
"an12";"homo alpi";"hl";1;;;;;;
"an12";"hupe sela";"hl";"+";;;;;;
"an12";"junc trif";"hl";"2b";;;;;;
"an12";"juni comm nana";"hl";"+";;;;;;
"an12";"lois proc";"hl";"2b";;;;;;
"an12";"luzu alpi losa";"hl";"+";;;;;;
"an12";"lyco clav slat";"hl";"+";"voucher";135;;;;
"an12";"phyt hemi";"hl";"+";;;;;;
"an12";"prim mini";"hl";"+";;;;;;
"an12";"puls alpi alba";"hl";1;;;;;;
"an12";"rhod ferr";"hl";4;;;;;;
"an12";"scor helv";"hl";"+";;;;;;
"an12";"semp stir";"hl";"+";;;;;;
"an12";"sold pusi alpi";"hl";"2m";;;;;;
"an12";"tham verm verm";"ml";"+";;;;;;
"an12";"vacc myrt";"hl";"2b";;;;;;
"an13";"agro rupe rupe";"hl";"+";;;;;;
"an13";"aren bifl";"hl";"+";"voucher";126;;;;
"an13";"arni mont";"hl";"+";;;;;;
"an13";"camp barb barb";"hl";"+";;;;;;
"an13";"care curv curv";"hl";1;;;;;;
"an13";"cetr isla isla";"ml";1;;;;;;
"an13";"clad rang";"ml";"+";;;;;;
"an13";"desc cesp";"hl";"+";;;;;;
"an13";"dicr spec ies";"ml";"2b";"voucher";;;;;
"an13";"euph mini";"hl";"+";;;;;;
"an13";"geum mont";"hl";"+";;;;;;
"an13";"gnap supi";"hl";1;;;;;;
"an13";"hier alpi";"hl";"+";;;;;;
"an13";"homo alpi";"hl";"+";;;;;;
"an13";"lois proc";"hl";"+";;;;;;
"an13";"luzu alpi losa";"hl";"+";;;;;;
"an13";"nard stri";"hl";4;;;;;;
"an13";"phyt hemi";"hl";"+";;;;;;
"an13";"poa alpi";"hl";"+";;;;;;
"an13";"poly juni";"ml";"+";;;;"cf ";;
"an13";"pote aure";"hl";1;;;;;;
"an13";"puls alpi alba";"hl";"+";;;;;;
"an13";"scor helv";"hl";"2a";;;;;;
"an13";"sibb proc";"hl";1;;;;;;
"an13";"sold pusi alpi";"hl";"+";;;;;;
"an13";"vacc myrt";"hl";"+";;;;;;
"an13";"vero bell bell";"hl";"+";;;;;;
"an14";"agro rupe rupe";"hl";"+";;;;;;
"an14";"alec ochr";"ml";"+";;;;;;
"an14";"care curv curv";"hl";4;;;;;;
"an14";"cetr isla isla";"ml";"2b";;;;;;
"an14";"flav niva";"ml";"+";;;;;;
"an14";"flav cucu";"ml";"+";;;;;;
"an14";"dicr spec ies";"ml";"+";;;;"vgl. an13";;
"an14";"euph mini";"hl";"+";;;;;;
"an14";"hupe sela";"hl";"+";;;;;;
"an14";"lois proc";"hl";1;;;;;;
"an14";"oreo dist";"hl";"+";;;;;;
"an14";"phyt hemi";"hl";"+";;;;;;
"an14";"poly spec ies";"ml";1;;;;;;
"an14";"prim mini";"hl";1;;;;;;
"an14";"puls alpi alba";"hl";"+";;;;;;
"an14";"sapo pumi";"hl";"2a";;;;;;
"an14";"scor helv";"hl";"+";;;;;;
"an14";"sene inca carn";"hl";"+";;;;;;
"an14";"tham verm verm";"ml";"+";;;;;;
"an14";"vacc viti";"hl";"+";;;;;;
"an14";"vero bell bell";"hl";"+";;;;;;
"an15";"agro rupe rupe";"hl";"+";;;;;;
"an15";"camp alpi";"hl";"+";;;;;;
"an15";"care curv curv";"hl";"2a";;;;;;
"an15";"cetr isla isla";"ml";"2a";;;;;;
"an15";"flav niva";"ml";"+";;;;;;
"an15";"flav cucu";"ml";1;;;;;;
"an15";"clad rang";"ml";1;;;;;;
"an15";"junc trif";"hl";1;;;;;;
"an15";"lois proc";"hl";3;;;;;;
"an15";"oreo dist";"hl";1;;;;;;
"an15";"phyt hemi";"hl";"+";;;;;;
"an15";"poly spec ies";"ml";1;;;;;;
"an15";"prim mini";"hl";"2m";;;;;;
"an15";"sapo pumi";"hl";1;;;;;;
"an15";"sene inca carn";"hl";"+";;;;;;
"an15";"solo croc";"ml";"+";"voucher";;;;;
"an15";"tham verm verm";"ml";"+";;;;;;
"an15";"vacc gaul";"hl";1;;;;;;
"an16";"alec ochr";"ml";"2a";;;;;;
"an16";"camp alpi";"hl";"+";;;;;;
"an16";"care curv curv";"hl";1;;;;;;
"an16";"cetr isla isla";"ml";1;;;;;;
"an16";"flav niva";"ml";"+";;;;;;
"an16";"flav cucu";"ml";"+";;;;;;
"an16";"junc trif";"hl";1;;;;;;
"an16";"lois proc";"hl";3;;;;;;
"an16";"oreo dist";"hl";"+";;;;;;
"an16";"phyt hemi";"hl";"+";;;;;;
"an16";"poly spec ies";"ml";"+";;;;;;
"an16";"prim mini";"hl";"+";;;;;;
"an16";"sapo pumi";"hl";1;;;;;;
"an16";"tham verm verm";"ml";"+";;;;;;
"an16";"vacc gaul";"hl";1;;;;;;
"an17";"aven vers";"hl";"+";;;;;;
"an17";"camp alpi";"hl";"+";;;;;;
"an17";"care curv curv";"hl";3;;;;;;
"an17";"cetr isla isla";"ml";"2b";;;;;;
"an17";"clad arbu slat";"ml";1;;;;;;
"an17";"empe herm";"hl";"2b";;;;;;
"an17";"euph mini";"hl";"+";;;;;;
"an17";"hier alpi";"hl";"+";;;;;;
"an17";"homo alpi";"hl";"+";;;;;;
"an17";"hupe sela";"hl";"+";;;;;;
"an17";"junc trif";"hl";"2a";;;;;;
"an17";"lois proc";"hl";4;;;;;;
"an17";"phyt hemi";"hl";1;;;;;;
"an17";"poly juni";"ml";"+";;;;;;
"an17";"prim mini";"hl";"+";;;;;;
"an17";"puls alpi alba";"hl";"+";;;;;;
"an17";"rhod ferr";"hl";"r";;;;;;
"an17";"scor helv";"hl";1;;;;;;
"an17";"sene inca carn";"hl";"+";;;;;;
"an17";"tham verm verm";"ml";"+";;;;;;
"an17";"vacc gaul";"hl";1;;;;;;
"an17";"vacc myrt";"hl";"2b";;;;;;
"an17";"vacc viti";"hl";1;;;;;;
"an18";"agro rupe rupe";"hl";"+";;;;;;
"an18";"aven flex flex";"hl";1;;;;;;
"an18";"camp alpi";"hl";"+";;;;;;
"an18";"care brun slat";"hl";1;;;;;;
"an18";"care curv curv";"hl";"2a";;;;;;
"an18";"care nigr";"hl";"2m";;;;;;
"an18";"cetr isla isla";"ml";"2a";;;;;;
"an18";"flav niva";"ml";"+";;;;;;
"an18";"clad arbu slat";"ml";"2a";;;;;;
"an18";"clad subu";"ml";1;;;;;;
"an18";"empe herm";"hl";3;;;;;;
"an18";"homo alpi";"hl";"+";;;;;;
"an18";"hupe sela";"hl";"+";;;;;;
"an18";"junc trif";"hl";1;;;;;;
"an18";"lois proc";"hl";"2b";;;;;;
"an18";"luzu alpi losa";"hl";"r";;;;;;
"an18";"phyt hemi";"hl";"+";;;;;;
"an18";"poly spec ies";"ml";"+";;;;;;
"an18";"prim mini";"hl";"+";;;;;;
"an18";"puls alpi alba";"hl";"r";;;;;;
"an18";"spha capi";"ml";"2b";"voucher";;;"cf ";;
"an18";"vacc gaul";"hl";1;;;;;;
"an18";"vacc myrt";"hl";"2b";;;;;;
"an19";"agro rupe rupe";"hl";3;;;;;;
"an19";"aren cili";"hl";"+";;;;;;
"an19";"camp alpi";"hl";1;;;;;;
"an19";"care nigr";"hl";"2a";;;;;;
"an19";"cetr isla isla";"ml";"+";;;;;;
"an19";"dact glom glom";"hl";1;;;;;;
"an19";"desc cesp";"hl";"+";;;;;;
"an19";"euph mini";"hl";"+";;;;;;
"an19";"fest nigr cens";"hl";1;;;;;;
"an19";"homo alpi";"hl";"+";;;;;;
"an19";"oreo dist";"hl";"r";;;;;;
"an19";"phle prat";"hl";1;;;;;;
"an19";"phyt hemi";"hl";"+";;;;;;
"an19";"poa alpi";"hl";"+";;;;;;
"an19";"poly juni";"ml";1;"voucher";;;;;
"an19";"poly pili";"ml";"2m";"voucher";;;;;
"an19";"pote aure";"hl";1;;;;;;
"an19";"prim mini";"hl";"+";;;;;;
"an19";"rume acet ella";"hl";"+";;;;;;
"an19";"sapo pumi";"hl";"+";;;;;;
"an19";"scor helv";"hl";1;;;;;;
"an19";"vacc viti";"hl";"+";;;;;;
"an20";"agro capi";"hl";"+";;;;;;
"an20";"arni mont";"hl";"+";;;;;;
"an20";"aven vers";"hl";1;;;;;;
"an20";"camp alpi";"hl";"+";;;;;;
"an20";"care curv curv";"hl";1;;;;;;
"an20";"cetr isla isla";"ml";"2a";;;;;;
"an20";"geum mont";"hl";"+";;;;;;
"an20";"gnap supi";"hl";"+";;;;;;
"an20";"hier alpi";"hl";"+";;;;;;
"an20";"homo alpi";"hl";1;;;;;;
"an20";"leuc alpi";"hl";"+";;;;;;
"an20";"luzu alpi losa";"hl";"+";;;;;;
"an20";"nard stri";"hl";5;;;;;;
"an20";"phle rhae";"hl";1;;;;;;
"an20";"poa alpi";"hl";1;;;;;;
"an20";"pote aure";"hl";"2b";;;;;;
"an20";"scor helv";"hl";1;;;;;;
"an20";"tham verm verm";"ml";"r";;;;;;
"an20";"vacc myrt";"hl";"+";;;;;;
"an20";"vero bell bell";"hl";1;;;;;;
"an21";"agro rupe rupe";"hl";"2a";;;;;;
"an21";"alec ochr";"ml";"2a";;;;;;
"an21";"aven vers";"hl";1;;;;;;
"an21";"camp alpi";"hl";"+";;;;;;
"an21";"care curv curv";"hl";"2a";;;;;;
"an21";"cetr isla isla";"ml";"2a";;;;;;
"an21";"flav niva";"ml";1;"voucher";;;;;
"an21";"flav cucu";"ml";1;"voucher";;;;;
"an21";"euph mini";"hl";"+";;;;;;
"an21";"homo alpi";"hl";"+";;;;;;
"an21";"lari deci deci";"hl";"r";;;;;;
"an21";"lois proc";"hl";3;;;;;;
"an21";"luzu alpi na";"hl";"+";;;;;;
"an21";"luzu spic slat";"hl";1;;;;;;
"an21";"oreo dist";"hl";"2a";;;;;;
"an21";"phyt hemi";"hl";1;;;;;;
"an21";"poly juni";"ml";"+";"voucher";;;"sporogone";;
"an21";"poly pili";"ml";1;"voucher";;;;;
"an21";"prim mini";"hl";"2b";;;;;;
"an21";"puls alpi alba";"hl";"+";;;;;;
"an21";"rhod ferr";"hl";"r";;;;;;
"an21";"sapo pumi";"hl";"2a";;;;;;
"an21";"sene inca carn";"hl";"+";;;;;;
"an21";"tham verm verm";"ml";"2a";;;;;;
"an21";"vacc gaul";"hl";"2a";;;;;;
"an21";"vacc viti";"hl";"+";;;;;;
"an21";"vero bell bell";"hl";"+";;;;;;
"an22";"agro rupe rupe";"hl";"2a";;;;;;
"an22";"camp alpi";"hl";"+";;;;;;
"an22";"care curv curv";"hl";"2b";;;;;;
"an22";"cetr isla isla";"ml";"2a";;;;;;
"an22";"flav cucu";"ml";"+";;;;;;
"an22";"clad rang";"ml";"+";;;;;;
"an22";"euph mini";"hl";"+";;;;;;
"an22";"fest hall aggr";"hl";"+";"voucher";133;;;;
"an22";"hier spha";"hl";"2m";"voucher";132;;;;
"an22";"homo alpi";"hl";"2a";;;;;;
"an22";"lois proc";"hl";"2b";;;;;;
"an22";"luzu alpi na";"hl";"+";"voucher";131;;;;
"an22";"oreo dist";"hl";"2a";;;;;;
"an22";"phle rhae";"hl";"+";;;;;;
"an22";"phyt hemi";"hl";"+";;;;;;
"an22";"poly juni";"ml";"2b";"voucher";;;;;
"an22";"poly pili";"ml";"+";"voucher";;;;;
"an22";"pote aure";"hl";"2a";;;;;;
"an22";"prim mini";"hl";"2b";"voucher";140;;;;
"an22";"puls alpi alba";"hl";"+";;;;;;
"an22";"sapo pumi";"hl";1;;;;;;
"an22";"scor helv";"hl";"+";;;;;;
"an22";"sene inca carn";"hl";"+";;;;;;
"an22";"tham verm verm";"ml";"2a";;;;;;
"an22";"vacc viti";"hl";"2a";;;;;;
"an23";"anth alpi";"hl";"2a";;;;;;
"an23";"arni mont";"hl";"+";;;;;;
"an23";"aven vers";"hl";1;;;;;;
"an23";"care curv curv";"hl";"2a";;;;;;
"an23";"care semp semp";"hl";"+";;;;;;
"an23";"cetr isla isla";"ml";"2a";;;;;;
"an23";"clad rang";"ml";"+";;;;;;
"an23";"euph mini";"hl";"+";;;;;;
"an23";"geum mont";"hl";"+";;;;;;
"an23";"homo alpi";"hl";"2a";;;;;;
"an23";"lois proc";"hl";"+";;;;;;
"an23";"luzu alpi na";"hl";"2m";"voucher";;;;;
"an23";"nard stri";"hl";4;;;;;;
"an23";"phyt hemi";"hl";"+";;;;;;
"an23";"poa alpi";"hl";"2a";;;;;;
"an23";"poly juni";"ml";"2a";;;;;;
"an23";"pote aure";"hl";1;;;;;;
"an23";"prim mini";"hl";"+";;;;;;
"an23";"puls alpi alba";"hl";1;;;;;;
"an23";"scor helv";"hl";"2a";;;;;;
"an23";"sold pusi alpi";"hl";"+";;;;;;
"an24";"agro rupe rupe";"hl";"2a";;;;;;
"an24";"aven vers";"hl";1;;;;;;
"an24";"camp alpi";"hl";"+";;;;;;
"an24";"care curv curv";"hl";"2a";;;;;;
"an24";"cetr isla isla";"ml";"2a";;;;;;
"an24";"flav niva";"ml";"+";;;;;;
"an24";"flav cucu";"ml";"+";;;;;;
"an24";"clad rang";"ml";1;;;;;;
"an24";"dicr spec ies";"ml";"+";"voucher";;;;;
"an24";"euph mini";"hl";"+";;;;;;
"an24";"homo alpi";"hl";1;;;;;;
"an24";"luzu alpi na";"hl";"+";;;;;;
"an24";"luzu spic slat";"hl";"+";;;;;;
"an24";"oreo dist";"hl";"2b";;;;;;
"an24";"phyt hemi";"hl";1;;;;;;
"an24";"poa alpi";"hl";"+";;;;;;
"an24";"poly juni";"ml";"2b";;;;;;
"an24";"poly pili";"ml";1;;;;;;
"an24";"pote aure";"hl";1;;;;;;
"an24";"prim mini";"hl";"2b";;;;;;
"an24";"puls alpi alba";"hl";1;;;;;;
"an24";"sapo pumi";"hl";1;;;;;;
"an24";"scor helv";"hl";"+";;;;;;
"an24";"sene inca carn";"hl";"+";;;;;;
"an24";"tham verm verm";"ml";"2a";;;;;;
"an24";"vero bell bell";"hl";"+";;;;;;
"an25";"agro rupe rupe";"hl";1;;;;;;
"an25";"alec ochr";"ml";"+";;;;;;
"an25";"aven vers";"hl";1;;;;;;
"an25";"camp alpi";"hl";"+";;;;;;
"an25";"care curv curv";"hl";"2b";;;;;;
"an25";"flav niva";"ml";1;;;;;;
"an25";"flav cucu";"ml";"+";;;;;;
"an25";"euph mini";"hl";"2m";;;;;;
"an25";"junc trif";"hl";"+";;;;;;
"an25";"lois proc";"hl";"2a";;;;;;
"an25";"luzu spic slat";"hl";1;;;;;;
"an25";"oreo dist";"hl";1;;;;;;
"an25";"phyt hemi";"hl";1;;;;;;
"an25";"poly juni";"ml";"2b";"voucher";;;;;
"an25";"poly pili";"ml";1;"voucher";;;;;
"an25";"prim mini";"hl";3;;;;;;
"an25";"puls alpi alba";"hl";"+";;;;;;
"an25";"sapo pumi";"hl";"2a";;;;;;
"an25";"sene inca carn";"hl";"+";;;;;;
"an25";"tham verm verm";"ml";"2a";;;;;;
"an25";"vacc gaul";"hl";"+";;;;;;
"an26";"agro rupe rupe";"hl";1;;;;;;
"an26";"aven flex flex";"hl";"+";;;;;;
"an26";"aven vers";"hl";"+";;;;;;
"an26";"care curv curv";"hl";"2a";;;;;;
"an26";"cetr isla isla";"ml";"2a";;;;;;
"an26";"flav cucu";"ml";"+";;;;;;
"an26";"clad rang";"ml";1;;;;;;
"an26";"clad subu";"ml";"+";"voucher";;;;;
"an26";"homo alpi";"hl";1;;;;;;
"an26";"junc trif";"hl";"+";;;;;;
"an26";"lois proc";"hl";5;;;;;;
"an26";"luzu alpi na";"hl";"+";;;;;;
"an26";"oreo dist";"hl";1;;;;;;
"an26";"phyt hemi";"hl";1;;;;;;
"an26";"poly juni";"ml";1;"voucher";;;;;
"an26";"prim mini";"hl";"+";;;;;;
"an26";"puls alpi alba";"hl";"+";;;;;;
"an26";"sapo pumi";"hl";"+";;;;;;
"an26";"scor helv";"hl";"+";;;;;;
"an26";"vacc gaul";"hl";"+";;;;;;
"an26";"vacc myrt";"hl";"+";;;;;;
"an26";"vacc viti";"hl";1;;;;;;
