plot,date,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,latitude,longitude,accuracy,elevation,soil,location,plot,comment,alliance,association,observer
se57,2015-07-21,80,15,55,7,25,25,14,10,4,0.8,0.2,10,25,S,60,90,0,0,47.918136,14.273863,10,,,Dorngraben,se57,"sey02, ntlang Rücken",Tilenion platyphylli,,R. Kaiser
se58,2015-07-21,95,55,80,15,75,55,26,17,5,0.9,0.1,16,16,S,30,0,0,100,47.917861,14.275292,10,,,Dorngraben,se58,sey03,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se59,2015-07-21,99,90,10,1,20,2,29,18,2,0.8,0.3,16,16,SW,30,5,0,0,47.918267,14.276324,10,,,Dorngraben,se59,sey04,Fagion sylvaticae,,R. Kaiser & T. Eberl
se60,2015-07-21,90,80,10,10,30,25,15,9,3.5,0.6,0.15,16,16,S,50,70,0,10,47.918335,14.277707,10,,,Dorngraben,se60,sey05,Tilenion platyphylli,,R. Kaiser & T. Eberl
se61,2015-07-22,85,55,20,3,50,10,30,20,3.5,0.8,0.1,25,10,NE,30,0,0,100,47.839185,14.546006,10,,,Restental,se61,"sey06, hangparallel unterhalb Felshang",Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se62,2015-07-23,98,80,7,2,90,30,31,19,4,0.9,0.1,10,25,N,10,0,0,10,47.839717,14.548098,10,,,Restental,se62,"sey07, in Fallinie auf übererdetem Bachgeschiebe",Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se63,2015-07-23,90,90,2,1,5,1,35,15,3,0.6,0.15,16,16,SW,35,0,0,100,47.842064,14.547841,10,,,Restental,se63,sey08,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se64,2015-07-23,96,35,80,15,15,5,24,18,4,0.8,0.1,16,16,N,40,0,0,25,47.927011,14.408328,10,,,Klausgraben,se64,sey09,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se65,2015-07-23,99,60,35,35,80,65,32,18,5,1.2,0.15,16,16,N,35,0,0,90,47.927547,14.410084,10,,,Klausgraben,se65,sey10,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se66,2015-07-23,90,0,75,10,40,30,0,9,4,0.4,0.15,16,16,N,70,60,0,0,47.927193,14.413419,10,,,Klausgraben,se66,sey11,Tilenion platyphylli,,R. Kaiser
se67,2015-07-24,90,50,45,30,45,45,13,9,5,0.6,0.15,16,16,S,70,95,0,0,47.922578,14.417181,10,,,Klausgraben,se67,sey12,Tilenion platyphylli,,R. Kaiser
se68,2015-07-24,97,80,25,2,85,90,30,15,5,0.8,0.3,16,16,S,35,0,0,100,47.922486,14.417689,10,,,Klausgraben,se68,sey13,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se69,2015-07-24,95,30,80,30,75,15,13,10,4,0.6,0.2,25,10,S,55,30,0,0,47.922358,14.420339,10,,,Klausgraben,se69,"sey14, hangparallel an Hangleiste zwischen Felsstufen",Tilenion platyphylli,,R. Kaiser & T. Eberl
se70,2015-07-24,95,35,35,50,80,15,13,9,4,0.9,0.1,16,16,SE,60,35,0,0,47.922597,14.418939,10,,,Klausgraben,se70,sey15,Tilenion platyphylli,,R. Kaiser & T. Eberl
se71,2015-07-24,95,60,75,5,50,70,18,15,4,0.5,0.2,16,16,N,55,80,0,0,47.922835,14.420211,10,,,Klausgraben,se71,sey16,Tilenion platyphylli,,R. Kaiser & T. Eberl
se72,2015-07-24,97,95,10,5,30,5,24,16,4,0.7,0.25,16,16,NE,35,0,0,5,47.924820,14.421380,10,,"Moder-Rendzina, Mull-Rendzina",Klausgraben,se72,"sey17, mächtige Moderrendzina über tiefgründig verwittertem Felshang",Fagion sylvaticae,,R. Kaiser & T. Eberl
se73,2015-07-24,99,20,90,3,70,70,20,14,5.5,0.5,0.15,16,16,E,55,90,0,0,47.923792,14.422307,10,,,Klausgraben,se73,sey18,Tilenion platyphylli,,R. Kaiser & T. Eberl
se74,2016-05-07,70,25,45,40,15,60,11,8,4,0.4,0.2,16,16,S,70,100,0,0,47.922909,14.413260,10,,,Klausgraben,se74,sez01,Tilenion platyphylli,,R. Kaiser & T. Eberl
se75,2016-05-07,90,25,65,25,40,45,17,13,2.5,0.6,0.15,16,16,W,70,100,0,0,47.924830,14.414132,10,,,Klausgraben,se75,sez02,Tilenion platyphylli,,R. Kaiser & T. Eberl
se76,2016-05-07,90,25,60,35,80,15,11,8,3,0.6,0.25,10,25,NE,35,20,0,0,47.926402,14.413053,20,,,Klausgraben,se76,sez03,Tilenion platyphylli,,R. Kaiser & T. Eberl
se77,2016-05-28,97,65,45,10,15,30,26,15,4,0.4,0.2,16,16,SW,30,0,0,100,47.914026,14.318941,20,,,Schreibachfall,se77,sez04,Tilenion platyphylli,,R. Kaiser & T. Eberl
se78,2016-05-28,97,35,20,20,95,10,11,7,2.5,0.7,0.25,25,10,S,20,5,0,0,47.913595,14.320143,20,,,Schreibachfall,se78,sez05,Tilenion platyphylli,,R. Kaiser & T. Eberl
se79,2016-05-28,97,80,10,5,70,30,19,10,4.5,0.6,0.2,16,16,S,35,20,0,0,47.914650,14.322879,20,,,Schreibachfall,se79,sez06,Tilenion platyphylli,,R. Kaiser & T. Eberl
