"abbr";"layer";"taxon";"10";"11";"13";"9";"201";"202";"203";"12";"15";"200";"18";"243";"241";"242";"227";"228";"233";"234";"229";"230";"231";"235";"236";"232";"238";"244";"253";"254";"239";"240";"245";"252";"237";"249";"250";"251";"255";"256";"246";"247";"248"
"sorb aucu slat";"sl";"Sorbus aucuparia";"+";"r";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";"r";".";"+";".";".";".";".";".";".";"+";".";"r"
"sorb aucu slat";"hl";"Sorbus aucuparia";".";".";".";".";"r";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"sorb aria";"sl";"Sorbus aria ";".";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";".";"r";"+";"r";".";".";".";".";".";"r"
"sorb aria";"hl";"Sorbus aria";".";".";".";".";".";".";"+";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"lari deci deci";"sl";"Larix decidua";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";"r";".";".";".";"."
"amel oval";"sl";"Amelanchier ovalis";".";".";".";".";".";".";".";".";".";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"fran alnu";"sl";"Frangula alnus";".";".";".";".";".";".";".";"1";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"corn sang slat";"sl";"Cornus sanguinea";".";".";".";".";".";".";"2";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"eric carn";"hl";"Erica carnea";"1";"1";"2";"2";"3";"3";"2";"1";"1";"2";"2";"4";"4";"2";"4";"3";"1";"3";"3";"3";"2";"2";"2";"4";"5";"4";".";"+";"1";"3";"1";".";"2";"1";"+";".";"+";"3";"2";".";"3"
"rhod hirs";"hl";"Rhododendron hirsutum";"1";"2";".";"1";"2";"3";"1";"2";"2";".";"1";"+";".";".";".";".";"1";"+";".";".";".";"+";"+";".";"+";"+";"2";"2";"1";"+";"2";"3";"1";"r";"2";"3";"2";"3";"2";"3";"2"
"cala vari";"hl";"Calamagrostis varia";"2";"2";".";"+";".";"3";"1";"1";"1";"2";"1";".";".";"+";".";".";".";".";"1";"+";"+";"1";"r";"+";".";".";"+";".";"+";"1";"+";"+";".";".";".";".";"+";"+";"1";"+";"."
"vale saxa";"hl";"Valeriana saxatilis";"1";"1";"1";".";"2";"2";".";".";"1";"1";"1";"r";"+";"2";"r";"r";"+";".";"1";"1";"1";"+";"+";"2";"r";"+";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"."
"tofi caly";"hl";"Tofieldia calyculata";"+";"+";"+";"2";"+";".";".";".";".";"+";"+";".";"r";"+";"1";"1";"+";"1";".";"+";".";"1";"+";"+";"r";"+";".";".";".";".";"r";".";"+";".";".";".";".";".";".";".";"+"
"bell mich";"hl";"Aster bellidiastrum";".";"+";"+";".";"1";"1";".";".";"1";"1";"+";".";".";"+";"+";".";".";"r";"+";".";".";"r";".";".";".";"+";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";"."
"poly cham";"hl";"Polygala chamaebuxus";"+";"+";"+";".";"1";"1";"1";"+";"+";"1";"1";"+";".";".";".";"1";".";"+";".";".";".";".";".";"1";"+";".";".";".";"+";".";".";".";"+";".";".";".";"+";"+";".";".";"."
"sesl caer";"hl";"Sesleria albicans";"5";"3";"3";".";"2";"1";"+";"1";"1";"1";"1";"+";".";"+";".";".";".";".";".";".";".";".";".";"+";"r";"+";".";"+";".";".";".";".";".";".";".";".";".";"r";".";".";"."
"rhod cham";"hl";"Rhodothamnus chamaecistus";"1";"1";"1";".";"2";"2";".";"1";"2";"+";"1";"2";".";".";".";"1";"1";".";"+";"2";"2";"2";"3";"+";".";"+";"+";".";"1";"+";".";".";"r";".";".";".";".";"+";".";".";"."
"vale trip";"hl";"Valeriana tripteris";"+";"1";".";"1";".";"1";"1";"1";"1";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euph sali";"hl";"Euphrasia salisburgensis";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"phyt orbi";"hl";"Phyteuma orbiculare";".";".";".";".";"1";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";".";".";".";"1";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"."
"care firm";"hl";"Carex firma";"1";".";"1";"+";"1";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";"1";".";"+";"3";"3";".";".";".";".";".";".";".";".";".";".";".";".";"."
"aden alpi";"hl";"Adenostyles glabra";"+";"+";".";"1";".";".";"1";"+";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"moli caer aggr";"hl";"Molinia caerulea agg.";".";"2";"1";"+";".";".";".";"1";"1";"4";"5";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cycl purp";"hl";"Cyclamen purpurascens";"+";"1";"1";".";".";"1";".";"1";"2";"1";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"glob nudi";"hl";"Globularia nudicaulis";"1";"1";".";".";".";".";".";"1";"1";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"aspl viri";"hl";"Asplenium viride";"+";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"thes alpi";"hl";"Thesium alpinum";".";"+";"+";".";"r";".";".";".";".";"+";".";".";".";".";".";".";".";"r";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"rume scut";"hl";"Rumex scutatus";".";"+";".";"1";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"sile nuta nuta";"hl";"Silene nutans s.l.";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"epip spec ies";"hl";"Epipactis sp.";".";".";".";"+";".";".";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"drya octo";"hl";"Dryas octopetala";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"leon inca";"hl";"Leontodon incanus";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"buph sali";"hl";"Buphthalmum salicifolium";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"junc mona";"hl";"Juncus monanthos";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gent cili";"hl";"Gentianopsis ciliata";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";"1";".";"+";"r";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"leon hisp slat";"hl";"Leontodon hispidus";".";".";".";".";".";".";".";".";".";"+";".";".";"r";"1";"+";"+";".";"1";".";"+";"+";".";".";".";".";"+";"+";"1";".";".";".";".";".";".";".";".";".";".";".";".";"."
"bisc laev laev";"hl";"Biscutella laevigata";".";"+";".";".";".";".";".";".";".";".";".";"r";"+";".";"1";"1";"+";"+";".";".";"r";"+";"+";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"scab luci luci";"hl";"Scabiosa lucida";".";".";"+";".";".";".";".";".";".";".";".";"1";".";".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"linu cath";"hl";"Linum catharticum";".";".";".";"1";".";".";".";".";".";".";".";".";".";"+";".";".";"+";"+";".";".";".";"+";"r";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"parn palu";"hl";"Parnassia palustris";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";".";".";".";".";".";"+";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"glob cord";"hl";"Globularia cordifolia";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"r";"1";".";"+";".";"1";"1";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gent aspe";"hl";"Gentianella aspera";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";"+";".";"+";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"ping alpi";"hl";"Pinguicula alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"r";".";".";".";".";".";"r";"r";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"."
"hier bifi";"hl";"Hieracium bifidum";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";".";"+";".";"+";".";"+";"+";"r";".";".";".";".";".";".";".";"+";"+";"+";"."
"camp sche";"hl";"Campanula scheuchzeri";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";"r";".";".";".";".";".";".";"r";"+";"1";"1";".";"+";".";".";".";".";".";"+";".";"r";".";"+";"."
"saxi caes";"hl";"Saxifraga caesia";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";"+";".";"r";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gali anis";"hl";"Galium anisophyllon";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";"r";".";".";".";".";".";"+";".";".";"1";".";".";".";".";".";".";".";".";".";"+";".";".";".";"."
"epip atro";"hl";"Epipactis atrorubens";".";".";".";".";".";".";".";".";".";"+";".";"r";".";".";"+";".";"r";".";"r";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"card defl viri";"hl";"Carduus defloratus agg.";".";".";".";".";".";"1";"+";".";".";"1";".";".";".";".";".";".";".";".";".";".";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";"."
"aqui eins";"hl";"Aquilegia einseleana";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"1";".";".";"1";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"+";".";".";".";"."
"sene abro abro";"hl";"Senecio abrotanifolius";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"vale mont";"hl";"Valeriana montana";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";"1";".";"r";".";".";".";".";".";".";".";"+";".";".";".";".";"r";"r";"+";"+";"+";".";".";"+";".";".";".";"."
"ranu nemo";"hl";"Ranunculus tuberosus";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";".";".";".";".";"+";".";".";".";".";"+";"+";"1";"1";"1";"."
"sela sela";"hl";"Selaginella selaginoides";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";".";".";".";".";"+";".";".";"+";"+";".";"+";".";"+";".";".";"+"
"soli virg virg";"hl";"Solidago virgaurea";".";".";".";".";".";".";"r";".";".";"+";".";".";".";".";".";".";".";"r";"r";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";".";".";".";"+";".";".";"+";".";"."
"daph meze";"hl";"Daphne mezereum";".";".";".";".";"+";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";"+";".";".";".";".";"+";".";".";".";"."
"apos foet";"hl";"Aposeris foetida";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";"+";"+";".";".";".";"1";"1";"+"
"homo alpi";"hl";"Homogyne alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"r";"1";"1";"1";"+";"1";"1";"2";"2";"2";".";"1";"2";"1";"2";"1"
"pote erec";"hl";"Potentilla erecta";".";".";".";".";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"1";".";"1";"+";".";"+";"2";"1";"+";"+";"1";"+";"1";"1";".";"1";"1"
"vacc myrt";"hl";"Vaccinium myrtillus";".";".";".";".";".";"2";"2";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"1";"1";"1";"3";"2";"3";"2";"2";"1";"3";"3";"3"
"vacc viti";"hl";"Vaccinium vitis-idaea";".";".";".";".";".";"1";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";".";".";".";"+";"+";"+";"+";"2";"1";"+";"+";"+";"+";"2";"+"
"lyco anno";"hl";"Lycopodium annotinum";".";".";".";".";"+";".";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"4";"3";".";".";".";"+";".";".";".";".";"."
"knau maxi";"hl";"Knautia maxima";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";"+";"+"
"gent clus clus";"hl";"Gentiana clusii";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hupe sela";"hl";"Huperzia selago";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";"1";".";".";".";".";".";".";".";"."
"care ferr";"hl";"Carex ferruginea";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";"r";".";".";".";".";".";".";"."
"sold alpi";"hl";"Soldanella alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"+";".";".";".";"+";".";".";"+";".";".";".";".";"."
"lotu corn";"hl";"Lotus corniculatus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";".";".";"r";".";".";".";"+";".";".";"+"
"oxal acet";"hl";"Oxalis acetosella";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";"1";"1";"+"
"rubu saxa";"hl";"Rubus saxatilis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";"r";".";".";".";".";"+";"+"
"rosa pend";"hl";"Rosa pendulina";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"+";"+"
"carl acau acau";"hl";"Carlina acaulis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"+";"r";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"thym prae poly";"hl";"Thymus praecox ssp. polytrichus";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";"."
"camp coch";"hl";"Campanula cochleariifolia";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"chlo stat";"hl";"Chlorocrepis staticifolia";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"peta para";"hl";"Petasites paradoxus";".";".";".";".";".";".";".";".";".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";"."
"care mucr";"hl";"Carex mucronata";".";".";".";"+";".";".";".";".";".";"+";"1";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hera aust aust";"hl";"Heracleum austriacum";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+"
"maia bifo";"hl";"Maianthemum bifolium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";"+";"."
"aqui atra";"hl";"Aquilegia atrata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";"."
"pers vivi";"hl";"Persicaria vivipara";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"poa alpi";"hl";"Poa alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"phyt spic";"hl";"Phyteuma spicatum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"r";".";".";".";".";".";".";".";".";"+";"."
"tort tort";"ml";"Tortella tortuosa";"1";".";".";".";"+";".";".";".";".";"1";".";"+";"2";"2";"3";"3";"2";"3";"2";"+";"+";"2";"3";"+";"2";"1";"+";"+";"1";"3";".";"1";".";".";".";".";".";"+";".";".";"."
"dicr scop";"ml";"Dicranum scoparium";".";".";"1";".";"+";"1";"1";"1";"1";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"+";"1";".";".";"+";".";"+";"+";"+";"+";"+"
"hylo sple";"ml";"Hylocomium splendens";"1";"1";"1";".";".";"2";".";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";"1";"2";"2";"2";".";".";".";"1";"2"
"rhyt triq";"ml";"Rhytidiadelphus triquetrus";".";".";"1";".";".";"2";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";"+";"1";".";"+";"1";"2";"2";"1"
"metz conj";"ml";"Metzgeria conjugata";"+";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cten moll slat";"ml";"Ctenidium molluscum";".";".";".";".";"+";".";".";".";".";".";"1";"+";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";"+";"+";".";".";"+";".";".";".";".";".";"."
"pleu schr";"ml";"Pleurozium schreberi";".";".";".";".";".";"2";"2";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+"
"spha capi";"ml";"Sphagnum capillifolium";".";".";".";".";".";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cirr pili";"ml";"Cirriphyllum piliferum";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";"."
"jung leia";"ml";"Jungermannia leiantha";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";"."
"lepi rept";"ml";"Lepidozia reptans";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";"."
"plag aspl";"ml";"Plagiochila asplenioides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";"+";".";"."
"scap aspe";"ml";"Scapania aspera";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"spha quin";"ml";"Sphagnum quinquefarium";".";".";"1";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"tort incl";"ml";"Tortella inclinata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"barb croc";"ml";"Barbula crocea";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"fiss dubi";"ml";"Fissidens dubius";".";".";".";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"scap aequ";"ml";"Scapania aequiloba";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"."
