"abbr";"layer";"taxon";"204";"205";"206";"207";"208";"209";"210";"211";"212";"215";"213";"214";"216";"125";"126";"129";"130";"132";"133";"134";"127";"128";"131";"135";"136";"137";"1";"2";"3";"4";"5";"6";"7";"8";"14";"16";"19";"17";"52";"59";"61";"115";"116";"118";"119";"121";"123";"124";"53";"54";"55";"56";"57";"58";"138";"141";"143";"144";"145";"146";"147";"148";"149";"150";"151";"152";"153";"154";"155";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"187";"186";"194";"195";"196";"188";"189";"190";"191";"192";"193"
"ranu alpe";"hl";"Ranunculus alpestris";"+";"+";".";"+";"r";"1";".";".";".";".";"+";".";".";"1";"1";".";"1";"+";"+";"+";".";".";"1";".";".";".";"+";"+";"+";"+";"+";"+";"+";".";"+";"+";".";".";"1";".";".";"1";"+";"+";".";"+";".";"1";"1";".";"+";"r";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";"+";"+";".";"1";"."
"phyt orbi";"hl";"Phyteuma orbiculare";"r";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";".";"+";"+";"+";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";"+";"+";"+";".";"+";"+";".";"+";".";".";".";".";".";".";"+";".";".";".";"1";".";".";".";".";".";".";".";"+"
"atha cret";"hl";"Athamanta cretensis";".";"+";".";"r";"+";".";"r";".";"r";".";"r";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"3";"+";"1";".";".";".";".";".";"+"
"andr cham";"hl";"Androsace chamaejasme";"+";"1";"+";"+";".";".";"+";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";"+";".";".";".";".";".";"1"
"saxi caes";"hl";"Saxifraga caesia";"+";".";"1";".";"+";"2";".";"1";".";"r";"r";"r";"+";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"+";"+";"1";"2"
"bisc laev laev";"hl";"Biscutella laevigata";"1";"1";".";"+";"+";"r";"+";"1";"+";".";"+";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gent vern vern";"hl";"Gentiana verna";".";"+";".";".";"r";"+";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";"+";".";".";".";".";"+";"."
"gent aspe";"hl";"Gentianella aspera";"1";".";".";"+";".";"1";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";"+";"r";".";".";".";".";".";".";".";".";".";".";".";"."
"pers vivi";"hl";"Persicaria vivipara";"+";"+";"+";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"1";"+";".";"+"
"leon hisp slat";"hl";"Leontodon hispidus";".";".";".";".";".";"1";"+";".";".";".";"+";"+";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"sold alpi";"hl";"Soldanella alpina";"+";"1";".";"+";"+";".";"1";"+";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"pote erec";"hl";"Potentilla erecta";".";".";".";".";".";".";".";"+";".";"+";"+";"1";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"aqui eins";"hl";"Aquilegia einseleana";"r";".";"1";"+";"1";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"camp sche";"hl";"Campanula scheuchzeri";".";"r";".";"+";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"homo alpi";"hl";"Homogyne alpina";".";"r";".";".";".";"r";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"lotu corn";"hl";"Lotus corniculatus";".";".";".";".";".";".";"r";"+";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gent cili";"hl";"Gentianopsis ciliata";".";".";".";".";".";".";"1";".";".";"+";".";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"prim fari";"hl";"Primula farinosa";"+";".";".";".";".";".";".";".";"r";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"thym prae poly";"hl";"Thymus praecox ssp. polytrichus";".";".";".";".";".";".";".";"2";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"card defl viri";"hl";"Carduus defloratus agg.";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"1";".";".";".";".";".";".";".";".";"."
"sela sela";"hl";"Selaginella selaginoides";"1";"1";"1";"1";"1";"2";"2";"2";"+";"+";"1";"2";".";".";".";".";"+";"+";"+";"+";".";".";"+";"+";"+";"+";"+";"+";"+";".";".";"+";"+";"+";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"prim auri auri";"hl";"Primula auricula";".";".";"+";"+";"r";"r";".";".";".";"+";".";".";".";".";".";"+";".";"+";"+";".";"2";"1";"+";"+";".";".";"+";".";"+";".";"+";".";"+";".";"1";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"linu cath";"hl";"Linum catharticum";".";"+";".";".";"+";"1";"+";"+";"+";".";"+";"+";"1";".";".";"+";"+";".";".";"+";".";".";".";"+";"1";"+";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"."
"parn palu";"hl";"Parnassia palustris";".";".";"+";"+";"+";".";".";".";"r";"r";".";".";".";".";"1";"+";"+";"+";".";"+";"+";"+";"+";".";"+";"+";"+";".";"+";"1";"+";".";"1";"+";".";".";"1";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"moli caer aggr";"hl";"Molinia caerulea agg.";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"1";"1";"+";".";"+";"+";"1";"1";"+";".";".";"+";"1";".";"3";"2";"3";".";"2";"2";".";"1";"1";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"3";".";"2";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"poly cham";"hl";"Polygala chamaebuxus";".";".";".";".";"r";"r";".";".";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";"+";"+";"+";".";"1";"+";"1";".";"1";"r";".";"+";".";".";".";".";".";"+";"+";"r";".";".";".";".";".";".";"+";".";"+";".";".";"+";".";".";"+";"+";"+";"1";".";".";".";"1";"+";"+";".";"+";"1";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"rhod cham";"hl";"Rhodothamnus chamaecistus";".";".";".";".";".";".";"r";"r";"1";"1";"+";".";".";".";".";".";".";"+";"1";"+";".";".";"+";"1";"1";"+";"+";"+";"+";".";".";"+";"1";".";"1";"1";".";"1";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"1";".";".";"1";"+";"+";"+";".";"+";"+";"+";"+";"+";"+";"+";"+";"+";"1";"+";"+";"+";"+";".";"1";"+";"1";".";".";".";".";".";".";".";".";".";"1";"2"
"glob cord";"hl";"Globularia cordifolia";".";"+";".";".";".";".";".";"1";".";"+";"1";"2";"+";".";".";".";".";".";"+";".";".";".";"+";"+";"+";"+";"1";".";"+";".";".";"1";"1";"+";"1";"1";".";"1";".";".";"+";".";"+";".";".";"+";"+";".";"1";"1";"1";"1";".";"2";".";"1";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";"1";"+";"+";".";"1";".";".";".";".";".";".";"1";"1";"2";".";".";".";".";".";"."
