BEGIN HEAD

Releve number                                                        1
                                 1   2   3   4   5   6   7   8   9   0

END HEAD

BEGIN TABLE
kobr myos                        3   3   4   1   b   4   a   a   b   b
phys caes slat                   .   .   .   .   .   .   .   +   .   .
plag demi                        .   .   .   .   .   .   .   +   .   .
pseu cate                        .   .   .   .   .   .   .   +   .   .
myur tene                        .   .   .   .   .   .   .   +   .   .
coll spec ies                    .   .   .   .   .   .   .   .   +   .
derm spec ies                    .   .   .   .   .   .   .   .   +   .
clad poci                        .   .   .   .   .   .   .   .   .   1
toni sedi                        .   .   .   .   .   .   .   .   .   +
xant eleg eleg                   .   .   .   .   .   .   .   .   .   +
END TABLE
