plot;abbr;layer;cov;voucher;determined;history
sp012;moeh trin;hl;+;;;
sp012;poly mult;hl;+;;;
sp012;rubu idae;hl;+;;;
sp012;scro nodo;hl;+;;;
sp012;sene jaco;hl;+;;;
sp012;sile dioi;hl;+;;;
sp012;soli cana;hl;+;;;
sp012;tara sect rude;hl;1;;;
sp012;tili cord;hl;+;;;
sp012;urti dioi dioi;hl;+;;;
sp012;verb thap;hl;+;;;
sp012;viol hirt;hl;+;;;
sp013;acer camp;hl;1;;;
sp013;acer pseu;hl;1;;;
sp013;ajug rept;hl;+;;;
sp013;alli ursi ursi;hl;1;;;
sp013;anem nemo;hl;1;;;
sp013;athy fili;hl;+;;;
sp013;brac sylv;hl;+;;;
sp013;cala epig;hl;2a;;;
sp013;card bulb;hl;1;;;
sp013;care alba;hl;1;;;
sp013;care digi;hl;1;;;
sp013;care flac;hl;+;;;
sp013;care pilo;hl;+;;;
sp013;care sylv;hl;+;;;
sp013;cirs arve;hl;+;;;
sp013;cirs vulg;hl;+;;;
sp013;cory avel;hl;+;;;
sp013;desc cesp;hl;+;;;
sp013;dryo fili;hl;+;;;
sp013;euph amyg amyg;hl;+;;;
sp013;euph dulc dulc;hl;+;;;
sp013;fagu sylv;hl;2b;;;
sp013;fest giga;hl;1;;;
sp013;frag vesc;hl;+;;;
sp013;frax exce;hl;2a;;;
sp013;gale mont;hl;2a;;;
sp013;gali odor;hl;2m;;;
sp013;hepa nobi;hl;+;;;
sp013;humu lupu;hl;+;;;
sp013;hype hirs;hl;+;;;
sp013;junc effu;hl;r;;;
sp013;loni xylo;hl;+;;;
sp013;luzu luzu ides;hl;+;;;
sp013;meli nuta;hl;1;;;
sp013;poly mult;hl;+;;;
sp013;pulm offi;hl;+;;;
sp013;rubu idae;hl;1;;;
sp013;rubu sect rubu;hl;1;;;
sp013;sali capr;hl;+;;;
sp013;scro nodo;hl;+;;;
sp013;sile dioi;hl;+;;;
sp013;soli giga;hl;+;;;
sp013;tili cord;hl;2a;;;
sp013;ulmu glab;hl;+;;;
sp013;vero offi;hl;+;;;
sp013;acer camp;sl;+;;;
sp013;acer pseu;sl;1;;;
sp013;betu pend;sl;+;;;
sp013;carp betu;sl;+;;;
sp013;fagu sylv;sl;3;;;
sp013;frax exce;sl;1;;;
sp013;prun padu padu;sl;+;;;
sp013;rubu sect rubu;sl;2b;;;
sp013;samb nigr;sl;+;;;
sp013;tili cord;sl;2b;;;
sp014;acer pseu;hl;+;;;
sp014;alli ursi ursi;hl;+;;;
sp014;anem nemo;hl;1;;;
sp014;arum macu;hl;+;;;
sp014;card bulb;hl;+;;;
sp014;care pilo;hl;+;;;
sp014;care sylv;hl;+;;;
sp014;conv maja maja;hl;+;;;
sp014;desc cesp;hl;+;;;
sp014;frax exce;hl;+;;;
sp014;gale mont;hl;+;;;
sp014;hepa nobi;hl;1;;;
sp014;prun padu padu;hl;+;;;
sp014;quer robu;hl;1;;;
sp014;symp tube slat;hl;+;;;
sp014;tili cord;hl;1;;;
sp014;pice abie;sl;1;;;
sp014;fagu sylv;tl1;3;;;
sp014;frax exce;tl1;2a;;;
sp014;quer robu;tl1;2a;;;
sp014;tili cord;tl1;2a;;;
sp014;carp betu;tl2;2a;;;
sp014;fagu sylv;tl2;2b;;;
sp014;tili cord;tl2;3;;;
sp015;acer pseu;hl;+;;;
sp015;berb vulg;hl;+;;;
sp015;care alba;hl;+;;;
sp015;care flac;hl;+;;;
sp015;care pilo;hl;2a;;;
sp015;carp betu;hl;+;;;
sp015;clem vita;hl;+;;;
sp015;conv maja maja;hl;+;;;
sp015;cycl purp;hl;+;;;
sp015;dryo cart;hl;r;;;
sp015;euph amyg amyg;hl;+;;;
sp015;fagu sylv;hl;2a;;;
sp015;frax exce;hl;3;;;
sp015;hede heli;hl;r;;;
sp015;hepa nobi;hl;+;;;
sp015;loni xylo;hl;+;;;
sp015;merc pere;hl;1;;;
sp015;oxal acet;hl;+;;;
sp015;pulm offi;hl;+;;;
sp015;quer robu;hl;+;;;
sp015;rubu sect rubu;hl;1;;;
sp015;tili cord;hl;+;;;
sp015;viol rivi;hl;r;;;
sp015;carp betu;sl;+;;;
sp015;fagu sylv;sl;1;;;
sp015;fran alnu;sl;+;;;
sp015;pice abie;sl;2a;;;
sp015;frax exce;tl1;2b;;;
sp015;lari deci deci;tl1;3;;;
sp015;pice abie;tl1;3;;;
sp015;fagu sylv;tl2;2a;;;
sp015;quer robu;tl2;2a;;;
sp016;anem nemo;hl;+;;;
sp016;care alba;hl;+;;;
sp016;care digi;hl;+;;;
sp016;cycl purp;hl;+;;;
sp016;daph meze;hl;+;;;
sp016;dryo cart;hl;+;;;
sp016;dryo fili;hl;+;;;
sp016;frax exce;hl;+;;;
sp016;gale mont;hl;1;;;
sp016;hell nige;hl;r;;;
sp016;hepa nobi;hl;2a;;;
sp016;loni xylo;hl;+;;;
sp016;merc pere;hl;1;;;
sp016;pice abie;hl;+;;;
sp016;quer robu;hl;+;;;
sp016;rubu idae;hl;+;;;
sp016;rubu sect rubu;hl;1;;;
sp016;berb vulg;sl;+;;;
sp016;cory avel;sl;+;;;
sp016;fagu sylv;sl;2b;;;
sp016;pice abie;sl;1;;;
sp016;rham cath;sl;+;;;
sp016;fagu sylv;tl1;2a;;;
sp016;frax exce;tl1;2a;;;
sp016;fagu sylv;tl2;5;;;
sp016;pice abie;tl2;1;;;
