;plot;layer;EBEN;HO02;STU01;GAS01;UNT01;MANFR.09;MANFR.10;MANFR.04;GWABL01;MANFR.07;NIKOLS02;NIKOLS01;ZAJACH01;MANFR.08;MANFR.05;EICHIG02;LAN02;LAN01;MANFR.06;HABICH01;UPEISCH01;MANFR.11;EBENP01;MANFR.12;MANFR.13;EICHIG01;NÖRSACH02;NÖRSACH01;ZIRL02;MANFR.15;ZIRL01;MANFR.20;MANFR.14;MANFR.17;MANFR.18;MANFR.22;MANFR.19;MÜN01;MOE01;MÜN02;MOE02;AMP01;BRI01;KRA01;JEN02;JEN01;MANFR.16;MANFR.21;3033;SON01;AMP03;9005;6009;MANFR.23;6001;6004;SON02;6005;3003;3004;AMP02;ABS01;VOM01;BAU02;VOL01;KIR02;TER02;FRI01;MANFR.24;KIR03;VOL02;TER03;HO01;3034;STAMS01;STAMS02;STAMS03
;forest type;;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;WE6Qte;WE6Qte;WE6Qte;WE6Qte;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi
;Pyrus pyraster;S;.;.;.;.;.;.;+;.;.;1;.;.;.;.;r;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Pyrus pyraster;H;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;E2 - shrub layer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prunus spinosa;S;.;.;.;.;.;.;1;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;.;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Prunus spinosa;H;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;+;.;.;+;.;.;+;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Sambucus nigra;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;.;.;+;1;+;+;.;2b;1;+;+;1;1;.
;Sambucus nigra;H;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;.;.;.;.;;;.;;.;.;.;.;1;.;+;.;+;.;.;.;1;1;+;+;+;+;.
;Viburnum opulus;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;1;.;.;.;.;.;.;.;.;+;+;.;.;.;.;+;.;.;.;.;+;.;.;.
;Viburnum opulus;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;+;.;.;.;+;.;+;+;.;.;1;+;.;.;.;.;.;+;1;+;+;+;.;+;.;.;.;+;+;.;+;.;.;.
;Evonymus latifolia;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Evonymus latifolia;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Viburnum lantana;S;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;+;+;+;1;+;1;1;+;+;.;.;+;2a;+;2a;+;+;+;+;1;2a;+;+;1;+;+;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.
;Viburnum lantana;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;+;+;+;+;.;+;.;+;.;.;+;+;1;+;1;+;+;+;+;+;1;+;1;+;1;.;;;.;+;+;+;1;;;+;+;+;+;.;.;+;.;.;.;.;.;.;.;.;.;.
;Cornus sanguinea;S;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;+;.;.;.;+;+;+;.;1;.;.;2a;1;.;2a;1;+;+;2a;2a;1;1;2a;.;.;.;.;.;.;.;1;.;.;.;.;.;.;2a;1;+;.;1;1;+;.;+;.;.;.;.;1;+;+
;Cornus sanguinea;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;+;+;+;+;.;.;.;+;+;+;1;+;+;1;1;1;.;+;1;+;.;+;+;.;.;+;.;.;+;.;.;+;.;1;+;+;+;1;1;.;.;.;.;+;.;+;+;.;+
;Juniperus communis;S;.;.;.;.;.;.;.;+;.;2a;+;.;.;+;+;+;.;1;+;1;.;+;.;1;.;.;.;+;.;.;.;+;+;.;.;.;+;.;.;.;.;.;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Juniperus communis;H;.;.;.;.;.;.;.;.;+;+;1;+;.;.;.;.;+;+;.;1;+;.;+;+;.;+;r;+;.;.;+;.;.;.;.;.;.;+;+;.;.;.;+;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Amelanchier ovalis;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;1;2a;+;.;.;.;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Amelanchier ovalis;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;r;.;+;+;.;.;+;1;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Frangula alnus;S;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;+;1;.;+;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Frangula alnus;H;+;.;+;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;+;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Berberis vulgaris;S;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;+;+;+;.;.;.;.;.;.;+;.;.;.;.;+;+;+;.;.;1;+;+;.;1;.;.;.;1;+;+;1;.;.;+;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.
;Berberis vulgaris;H;.;.;+;.;+;.;.;.;.;.;+;.;.;.;+;.;+;+;.;.;.;.;+;.;.;.;r;.;.;+;+;+;+;.;+;+;.;1;+;+;+;.;+;+;.;+;+;.;+;+;.;;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Clematis vitalba;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;1;.;.;+;.;.;.;1;.;.;+;.;.;.;.;.;1;+;.;.;+;.;.;+;.;.;.;+;+;1;.;.;.;.;.;.;.;.
;Clematis vitalba;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;r;r;.;.;r;+;+;.;.;+;+;.;.;.;.;.;;.;.;.;+;.;.;2a;.;1;+;.;1;+;+;.;.;;.;.;+;.;.;.;+;1;1;.;.;.;.;.;.;.;.
;Corylus avellana;S;2a;2a;2a;3;2a;2b;2a;2a;2a;1;2a;1;3;2a;2a;+;+;+;2a;2a;+;.;+;2a;2b;1;2b;.;2a;2a;1;2b;2a;1;2a;2a;+;1;+;2b;1;2b;2b;3;1;2b;2b;.;2a;1;2a;4;2a;2a;2a;1;2b;.;2b;2a;+;2b;2a;2b;2a;2a;3;3;3;2b;3;2b;3;2a;1;1;2b
;Corylus avellana;H;+;1;+;1;+;.;.;.;+;.;+;+;+;.;+;.;.;.;+;+;+;+;+;.;.;+;+;.;+;+;+;1;.;.;.;.;+;+;+;+;+;+;+;1;+;+;.;+;+;+;+;1;+;.;.;+;+;.;;;+;+;+;+;.;.;.;.;.;.;+;1;+;+;+;.;.
;Ligustrum vulgare;S;.;.;.;.;+;.;.;.;.;.;.;.;.;2a;.;1;.;1;.;.;+;+;1;2b;2a;.;.;+;.;+;+;+;2a;.;2a;2b;2b;2a;2a;2a;.;1;1;+;1;2b;1;2b;2a;+;1;+;2a;.;2b;+;.;2a;.;.;.;1;+;1;.;+;+;2a;.;+;.;.;.;+;.;+;.
;Ligustrum vulgare;H;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;+;2a;.;.;+;.;1;.;1;+;.;+;+;+;+;.;1;.;.;1;2a;2a;1;2a;+;1;+;+;1;2a;2m;1;+;2a;.;;1;+;1;+;.;1;.;+;+;1;+;+;.;1;+;+;.;.;.;1;.;+;.;+;+
;Cotoneaster integerrimus;S;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Cotoneaster integerrimus;H;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Cotoneaster tomentosus;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Cotoneaster tomentosus;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;1;.;.;.;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Crataegus monogyna;S;.;.;1;.;.;.;1;.;.;1;+;.;.;.;+;.;+;1;.;.;.;.;+;1;+;.;.;+;1;+;+;+;1;.;+;+;1;1;1;1;.;+;1;1;1;1;1;1;+;.;.;+;.;+;.;+;.;.;.;.;.;+;1;1;.;2a;1;+;.;2a;.;1;.;.;.;.;.
;Crataegus monogyna;H;.;.;+;.;.;.;+;.;.;+;+;.;.;.;.;+;+;+;.;.;.;.;+;.;1;+;+;.;+;+;+;+;+;.;.;+;.;1;+;1;+;+;+;+;+;+;1;+;+;+;+;;.;.;+;+;+;.;.;r;.;.;.;.;+;.;.;+;.;.;.;.;.;.;.;.;+
;Evonymus europaea;S;.;.;+;.;.;+;.;.;.;.;.;.;+;+;.;.;.;.;.;.;+;+;.;.;1;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;+;.;+;+;.;.;.;.;.;+;.;.;+;+;.;.;+;+
;Evonymus europaea;H;.;.;+;.;+;+;.;.;+;+;+;.;+;+;.;+;.;+;.;.;+;.;+;.;.;+;+;+;+;.;r;.;.;.;.;.;.;.;+;.;+;+;+;+;+;+;.;.;+;+;+;.;.;.;;.;+;.;.;1;+;1;+;.;+;.;+;+;.;.;.;+;.;;.;+;+
;Lonicera xylosteum;S;.;.;+;+;2a;+;+;.;+;.;.;.;1;.;.;+;+;+;.;.;.;+;.;1;1;+;.;+;.;+;.;+;.;+;.;2a;.;.;1;.;1;2a;+;+;.;1;1;2a;+;.;+;+;+;.;2a;2a;2a;2a;+;+;+;+;1;1;+;+;+;1;+;.;+;+;.;2a;1;+;1
;Lonicera xylosteum;H;.;.;+;+;+;+;.;.;+;.;.;.;+;.;.;+;.;.;.;.;.;.;+;.;1;.;+;+;.;+;+;+;+;.;.;.;.;+;+;+;+;1;1;+;1;+;+;+;+;.;+;+;+;1;2a;1;1;+;;1;1;+;+;.;+;.;+;.;.;.;+;+;.;1;+;.;.
;Rhamnus cathartica;S;.;.;.;.;+;.;.;.;.;+;+;.;+;+;.;1;.;+;.;.;.;+;+;.;.;.;.;.;.;+;.;.;.;.;+;.;+;1;+;.;.;+;+;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;+;.;+;.;.;.;.;.;.;.
;Rhamnus cathartica;H;.;.;.;.;+;.;.;.;+;.;+;.;.;.;.;+;+;+;.;+;+;.;+;+;+;+;+;+;+;+;+;.;.;.;1;+;.;1;.;+;+;.;+;+;+;+;+;.;+;.;.;.;.;.;.;+;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Hedera helix;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.
;Hedera helix;H;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;2a;2m;1;2a;+;.;.;.;1;.;.;+;.;2a;+;+;.;.;.;+;1;.;+;.;1;1;2b;2a;2a;1;.;1;1;1;+;.;.;1;+;.;.;2a;.;1;.;+;.;.;.
;Carex sylvatica;K;.;r;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Dryopteris carthusiana agg.;K;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.
;Avenella flexuosa;K;2a;1;1;2a;+;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Luzula luzuloides;K;2a;2a;2a;2m;1;2a;2a;2a;1;2m;2a;+;+;.;+;.;.;.;.;+;+;.;+;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;2a;.;.;.;1;.;1;+;.;+;1;1;+;+;.;+;.
;Vaccinium myrtillus;K;2a;1;1;.;r;.;.;1;.;.;1;+;r;.;.;.;.;.;.;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;r;+;.;.;.;.;.;.;+;.;.;.;.;.
;Polypodium vulgare;K;.;+;1;.;+;1;1;+;1;+;+;+;2b;+;+;+;+;+;1;1;1;+;r;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Silene nutans;K;.;.;+;1;+;1;1;2m;+;+;+;1;.;+;1;+;+;+;2m;+;1;1;1;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;1;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.
;Trifolium medium;K;.;.;.;.;r;1;+;+;r;+;+;.;.;+;.;+;.;1;.;.;.;1;.;1;.;1;.;+;.;.;.;.;.;.;.;.;.;.;+;+;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Galium sylvaticum;K;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;+;.;1;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.
;Hieracium racemosum;K;.;.;.;1;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Digitalis grandiflora;K;.;.;.;+;.;1;.;1;+;1;+;r;.;1;+;+;.;.;.;+;.;1;.;1;2m;+;+;+;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;1;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.
;Campanula persicifolia;K;.;.;.;+;+;+;+;.;r;.;+;.;.;.;+;1;.;+;.;.;.;+;1;1;2m;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;1;.;.;1;.;.;+;.;.;.;.;.;.;1;.;+;+;.;.;.;.;.;.;.;.;.;+;.;.;.
;Veronica officinalis;K;.;.;.;+;+;.;.;+;+;.;+;.;.;+;.;.;.;.;.;.;.;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;1;.;+;.;.;.;.;.
;Hieracium umbellatum;K;.;.;.;.;+;1;.;.;1;.;+;r;r;.;.;.;.;+;.;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Veronica chamaedrys;K;.;.;.;.;.;2a;+;.;+;+;.;.;r;.;.;.;.;.;.;.;.;.;r;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;.;.;1;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.
;Sedum maximum;K;.;.;.;.;.;1;1;+;1;+;1;1;+;1;1;.;.;.;1;.;1;.;.;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;+;.;.;.;.;.;.;.;.;.;.
;Torilis japonica;K;.;.;+;.;.;+;.;.;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Astragalus glycyphyllos;K;.;.;.;.;.;+;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Agrostis capillaris;K;.;.;.;+;.;.;.;1;.;2m;1;.;.;1;.;.;+;.;.;+;+;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;1;.;.;.;.;.;.;.;.;.
;Lathyrus niger;K;.;.;.;.;.;+;.;1;1;2m;+;.;.;2m;+;.;.;.;.;.;.;.;.;.;.;.;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.
;Cystopteris fragilis;K;.;.;.;.;.;1;.;.;r;+;.;.;.;.;1;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Festuca ovina agg.;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;+;+;+;.;.;2b;.;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2m;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Silene rupestris;K;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;1;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Phyteuma persicifolium;K;.;.;.;.;.;.;.;1;+;+;+;.;.;+;1;.;.;.;2m;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.
;Asplenium septentrionale;K;.;.;.;.;.;.;.;.;r;.;.;.;.;+;.;.;r;.;1;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Vaccinium vitis-idaea;K;.;.;.;.;.;.;.;.;.;.;r;+;.;.;.;.;.;.;.;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Lychnis viscaria;K;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Saponaria ocymoides;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;1;+;2m;+;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Sempervivum arachnoideum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Hieracium pilosella;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Hypericum perforatum;K;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;r;.;+;1;.;+;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.
;Phleum phleoides;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;+;.;.;+;2a;+;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Danthonia decumbens;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Artemisia campestris;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;r;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
