taxon,matched.taxon
Campanula rapunculoides,Campanula rapunculoides ssp. rapunculoides
Rosa sp.,Rosa sp.
Rosa sp.,Rosa sp.
Geranium robertianum,Geranium robertianum s.str.
Rubus idaeus,Rubus idaeus
Lonicera alpigena,Lonicera alpigena
Malus domestica,Malus domestica
Castanea sativa,Castanea sativa
Viscum album,Viscum album s.str.
Viscum laxum,Viscum laxum ssp. laxum
Aesculus hippocastanum,Aesculus hippocastanum
Aesculus hippocastanum,Aesculus hippocastanum
Aesculus hippocastanum,Aesculus hippocastanum
Alnus incana,Alnus incana
Alnus incana,Alnus incana
Alnus incana,Alnus incana
Malus sylvestris,Malus sylvestris
Robinia pseudacacia,Robinia pseudacacia
Robinia pseudacacia,Robinia pseudacacia
Tilia x vulgaris,Tilia × vulgaris (=T. cordata × platyphyllos)
Cotinus coggygria,Cotinus coggygria
Cotinus coggygria,Cotinus coggygria
Salix caprea,Salix caprea
Salix caprea,Salix caprea
Salix caprea,Salix caprea
Crataegus laevigata agg.,Crataegus laevigata agg.
Abies alba,Abies alba
Rosa pendulina,Rosa pendulina
Rosa pendulina,Rosa pendulina
Rosa agrestis,Rosa agrestis
Rosa rubiginosa ,Rosa rubiginosa
Rosa canina agg.,Rosa canina agg.
Rosa canina agg.,Rosa canina agg.
Rosa coriifolia,Rosa caesia s.str.
Rosa arvensis,Rosa arvensis
Ribes alpinum,Ribes alpinum
Ribes sp.,Ribes sp.
Ribes uva-crispa,Ribes uva-crispa s.lat.
Rubus caesius,Rubus caesius
Rubus fruticosus agg.,Rubus fruticosus agg.
Cotoneaster horizontalis,Cotoneaster horizontalis
Senecio rupestris,Senecio rupestris
Verbascum thapsus,Verbascum thapsus s.str.
Aquilegia vulgaris,Aquilegia vulgaris
Ranunculus nemorosus,Ranunculus nemorosus
Anchusa officinalis,Anchusa officinalis
Aethusa cynapium,Aethusa cynapium s.lat.
Arabidopsis thaliana,Arabidopsis thaliana
Aquilegia atrata,Aquilegia atrata
Acinos arvensis,Clinopodium acinos
Asplenium viride,Asplenium viride
Anthoxanthum odoratum,Anthoxanthum odoratum s.str.
Festuca sp.,Festuca sp.
Astrantia major,Astrantia major
Deschampsia cespitosa,Deschampsia cespitosa
Phegopteris connectilis,Phegopteris connectilis
Goodyera repens,Goodyera repens
Silene vulgaris,Silene vulgaris ssp. vulgaris
Carex flacca,Carex flacca ssp. flacca
Gymnadenia conopsea,Gymnadenia conopsea ssp. conopsea
Sempervivum montanum,Sempervivum montanum
Galium sp.,Galium sp.
Galium spurium,Galium spurium
Geranium pusillum,Geranium pusillum
Galium pumilum,Galium pumilum
Chelidonium majus,Chelidonium majus
Cirsium arvense,Cirsium arvense
Colchicum autumnale,Colchicum autumnale
Hieracium sp.,Hieracium sp.
Clematis alpina,Clematis alpina ssp. alpina
Artemisia sp.,Artemisia sp.
Asperula cynanchica,Asperula cynanchica
Aster alpinus,Aster alpinus
Symphytum tuberosum,Symphytum tuberosum s.lat.
Lactuca perennis,Lactuca perennis
Carex umbrosa,Carex umbrosa ssp. umbrosa
Orobanche teucrii,Orobanche teucrii
Persicaria vivipara,Persicaria vivipara
Petrorhagia saxifraga,Petrorhagia saxifraga
Peucedanum verticillare,Peucedanum verticillare
Phyteuma sp.,Phyteuma sp.
Mentha arvensis,Mentha arvensis
Minuartia laricifolia,Minuartia laricifolia
Myosotis sylvatica agg.,Myosotis sylvatica agg.
Leucanthemum vulgare agg.,Leucanthemum vulgare agg.
Lotus corniculatus,Lotus corniculatus s.str.
Lamiastrum flavidum,Galeobdolon flavidum
Luzula luzulina,Luzula luzulina
Epipactis sp.,Epipactis sp.
Petasites albus,Petasites albus
Equisetum sylvaticum,Equisetum sylvaticum
Erigeron annuus,Erigeron annuus s.lat.
Euphorbia dulcis,Euphorbia dulcis
Festuca altissima,Festuca altissima
Botrychium lunaria,Botrychium lunaria
Kernera saxatilis,Kernera saxatilis
Aster bellidiastrum,Bellidiastrum michelii
Carlina acaulis,Carlina acaulis s.lat.
Lonicera periclymenum,Lonicera periclymenum
Galium anisophyllon,Galium anisophyllon
Polygonatum verticillatum,Polygonatum verticillatum
Polystichum lonchitis,Polystichum lonchitis
Potentilla erecta,Potentilla erecta
Prunella vulgaris,Prunella vulgaris
Ranunculus lanuginosus,Ranunculus lanuginosus
Briza media,Briza media
Salvia pratensis,Salvia pratensis ssp. pratensis
Sanguisorba minor,Sanguisorba minor s.lat.
Stipa pennata agg.,Stipa pennata agg.
Reseda lutea,Reseda lutea ssp. lutea
Rhamnus pumila,Rhamnus pumila
Woodsia ilvensis,Woodsia ilvensis
Selaginella helvetica,Selaginella helvetica
Veronica teucrium,Veronica teucrium
Luzula pilosa,Luzula pilosa
Ranunculus repens,Ranunculus repens
Tussilago farfara,Tussilago farfara
Gymnocarpium dryopteris,Gymnocarpium dryopteris
Knautia maxima,Knautia maxima ssp. maxima
Cirsium oleraceum,Cirsium oleraceum
Allium sp.,Allium sp.
Arrhenatherum elatius,Arrhenatherum elatius
Avenula pubescens,Homalotrichon pubescens s.lat.
Bromus sterilis,Bromus sterilis
Campanula cochleariifolia,Campanula cochleariifolia
Carlina vulgaris,Carlina vulgaris ssp. vulgaris
Centaurea jacea,Centaurea jacea s.lat.
Centaurea scabiosa,Centaurea scabiosa s.lat.
Cephalanthera damasonium,Cephalanthera damasonium
Dactylorhiza maculata,Dactylorhiza maculata s.lat.
Dryopteris affinis,Dryopteris affinis
Fragaria moschata,Fragaria moschata
Fragaria viridis,Fragaria viridis ssp. viridis
Melica ciliata,Melica ciliata s.str.
Pimpinella major,Pimpinella major s.lat.
Platanthera bifolia,Platanthera bifolia
Lathyrus vernus,Lathyrus vernus
Medicago falcata,Medicago falcata
Convolvulus arvensis,Convolvulus arvensis
Crepis alpestris,Crepis alpestris
Cruciata glabra,Cruciata glabra
Cruciata laevipes,Cruciata laevipes
Lamium sp.,Lamium sp.
Epilobium collinum,Epilobium collinum
Galeopsis pubescens,Galeopsis pubescens ssp. pubescens
Stachys alpina,Stachys alpina
Stellaria media,Stellaria media s.str.
Thalictrum aquilegiifolium,Thalictrum aquilegiifolium
Thalictrum minus,Thalictrum minus s.lat.
Holcus lanatus,Holcus lanatus
Hypericum maculatum,Hypericum maculatum s.str.
Ranunculus sp.,Ranunculus sp.
Carex sp.,Carex sp.
Hieracium lachenalii,Hieracium lachenalii
Hieracium sabaudum,Hieracium sabaudum
Potentilla pusilla,Potentilla pusilla
Inula salicina,Inula salicina ssp. salicina
Poa pratensis,Poa pratensis
Poa sp.,Poa sp.
Saxifraga sp.,Saxifraga sp.
Sedum telephium,Hylotelephium telephium s.str.
Potentilla recta,Potentilla recta s.str.
Vicia villosa,Vicia villosa s.str.
Trifolium pratense,Trifolium pratense ssp. pratense
Trifolium rubens,Trifolium rubens
Verbascum austriacum,Verbascum chaixii ssp. austriacum
Verbascum sp.,Verbascum sp.
Sedum acre,Sedum acre
Sedum sp.,Sedum sp.
Senecio sp.,Senecio sp.
Silene sp.,Silene sp.
Solidago canadensis,Solidago canadensis
Trifolium montanum,Trifolium montanum ssp. montanum
Vicia sp.,Vicia sp.
Viola canina,Viola canina s.lat.
Vinca minor,Vinca minor
Campanula scheuchzeri,Campanula scheuchzeri
Carex caryophyllea,Carex caryophyllea
Calamagrostis sp.,Calamagrostis sp.
Potentilla sp.,Potentilla sp.
Poa trivialis,Poa trivialis
Viola sp.,Viola sp.
Galium verum,Galium verum s.str.
Luzula sylvatica,Luzula sylvatica ssp. sylvatica
Monotropa hypopitys,Hypopitys monotropa s.str.
Silene dioica,Silene dioica
Orthilia secunda,Orthilia secunda
Blechnum spicant ,Blechnum spicant
Anemone trifolia,Anemone trifolia
Saxifraga paniculata,Saxifraga paniculata
Dianthus sylvestris,Dianthus sylvestris
Campanula glomerata,Campanula glomerata
Artemisia absinthium,Artemisia absinthium
Allium senescens,Allium lusitanicum
Trifolium aureum,Trifolium aureum
Verbascum lychnitis,Verbascum lychnitis
Sedum dasyphyllum,Sedum dasyphyllum
Calluna vulgaris,Calluna vulgaris
Festuca heterophylla,Festuca heterophylla
Avenula pratensis,Avenula pratensis
Calamintha nepetoides,Clinopodium nepeta s.str.
Bromus ramosus,Bromus ramosus s.str.
Heracleum sphondylium,Heracleum sphondylium ssp. sphondylium
Potentilla caulescens,Potentilla caulescens ssp. caulescens
Globularia cordifolia,Globularia cordifolia s.str.
Achnatherum calamagrostis,Achnatherum calamagrostis
Limodorum abortivum,Limodorum abortivum
Aruncus dioicus,Aruncus dioicus
Valeriana officinalis agg.,Valeriana officinalis agg.
Ranunculus ficaria,Ficaria verna ssp. verna
Aconitum lycoctonum ssp. vulparia,Aconitum lycoctonum ssp. vulparia
Eupatorium cannabinum,Eupatorium cannabinum
Galium rotundifolium,Galium rotundifolium
Leontodon incanus,Leontodon incanus
