taxon,layer,EBEN,HO02,STU01,GAS01,UNT01,MANFR.09,MANFR.10,MANFR.04,GWABL01,MANFR.07,NIKOLS02,NIKOLS01,ZAJACH01,MANFR.08,MANFR.05,EICHIG02,LAN02,LAN01,MANFR.06,HABICH01,UPEISCH01,MANFR.11,EBENP01,MANFR.12,MANFR.13,EICHIG01,NÖRSACH02,NÖRSACH01,ZIRL02,MANFR.15,ZIRL01,MANFR.20,MANFR.14,MANFR.17,MANFR.18,MANFR.22,MANFR.19,MÜN01,MOE01,MÜN02,MOE02,AMP01,BRI01,KRA01,JEN02,JEN01,MANFR.16,MANFR.21,3033,SON01,AMP03,9005,6009,MANFR.23,6001,6004,SON02,6005,3003,3004,AMP02,ABS01,VOM01,BAU02,VOL01,KIR02,TER02,FRI01,MANFR.24,KIR03,VOL02,TER03,HO01,3034,STAMS01,STAMS02,STAMS03
Cornus sanguinea,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,+,+,+,+,.,.,.,+,+,+,1,+,+,1,1,1,.,+,1,+,.,+,+,.,.,+,.,.,+,.,.,+,.,1,+,+,+,1,1,.,.,.,.,+,.,+,+,.,+
Juniperus communis,sl,.,.,.,.,.,.,.,+,.,2a,+,.,.,+,+,+,.,1,+,1,.,+,.,1,.,.,.,+,.,.,.,+,+,.,.,.,+,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Juniperus communis,hl,.,.,.,.,.,.,.,.,+,+,1,+,.,.,.,.,+,+,.,1,+,.,+,+,.,+,r,+,.,.,+,.,.,.,.,.,.,+,+,.,.,.,+,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Amelanchier ovalis,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,1,2a,+,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Amelanchier ovalis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,r,.,+,+,.,.,+,1,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Frangula alnus,sl,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,+,1,.,+,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Frangula alnus,hl,+,.,+,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Berberis vulgaris,sl,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,+,+,+,.,.,.,.,.,.,+,.,.,.,.,+,+,+,.,.,1,+,+,.,1,.,.,.,1,+,+,1,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.
Berberis vulgaris,hl,.,.,+,.,+,.,.,.,.,.,+,.,.,.,+,.,+,+,.,.,.,.,+,.,.,.,r,.,.,+,+,+,+,.,+,+,.,1,+,+,+,.,+,+,.,+,+,.,+,+,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clematis vitalba,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,1,.,.,+,.,.,.,1,.,.,+,.,.,.,.,.,1,+,.,.,+,.,.,+,.,.,.,+,+,1,.,.,.,.,.,.,.,.
Clematis vitalba,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,+,.,r,r,.,.,r,+,+,.,.,+,+,.,.,.,.,.,.,.,.,.,+,.,.,2a,.,1,+,.,1,+,+,.,.,.,.,.,+,.,.,.,+,1,1,.,.,.,.,.,.,.,.
Corylus avellana,sl,2a,2a,2a,3,2a,2b,2a,2a,2a,1,2a,1,3,2a,2a,+,+,+,2a,2a,+,.,+,2a,2b,1,2b,.,2a,2a,1,2b,2a,1,2a,2a,+,1,+,2b,1,2b,2b,3,1,2b,2b,.,2a,1,2a,4,2a,2a,2a,1,2b,.,2b,2a,+,2b,2a,2b,2a,2a,3,3,3,2b,3,2b,3,2a,1,1,2b
Corylus avellana,hl,+,1,+,1,+,.,.,.,+,.,+,+,+,.,+,.,.,.,+,+,+,+,+,.,.,+,+,.,+,+,+,1,.,.,.,.,+,+,+,+,+,+,+,1,+,+,.,+,+,+,+,1,+,.,.,+,+,.,.,.,+,+,+,+,.,.,.,.,.,.,+,1,+,+,+,.,.
Ligustrum vulgare,sl,.,.,.,.,+,.,.,.,.,.,.,.,.,2a,.,1,.,1,.,.,+,+,1,2b,2a,.,.,+,.,+,+,+,2a,.,2a,2b,2b,2a,2a,2a,.,1,1,+,1,2b,1,2b,2a,+,1,+,2a,.,2b,+,.,2a,.,.,.,1,+,1,.,+,+,2a,.,+,.,.,.,+,.,+,.
Ligustrum vulgare,hl,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,+,2a,.,.,+,.,1,.,1,+,.,+,+,+,+,.,1,.,.,1,2a,2a,1,2a,+,1,+,+,1,2a,2m,1,+,2a,.,.,1,+,1,+,.,1,.,+,+,1,+,+,.,1,+,+,.,.,.,1,.,+,.,+,+
Cotoneaster integerrimus,sl,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cotoneaster integerrimus,hl,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cotoneaster tomentosus,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cotoneaster tomentosus,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,r,.,.,.,.,1,.,.,.,.,.,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Crataegus monogyna,sl,.,.,1,.,.,.,1,.,.,1,+,.,.,.,+,.,+,1,.,.,.,.,+,1,+,.,.,+,1,+,+,+,1,.,+,+,1,1,1,1,.,+,1,1,1,1,1,1,+,.,.,+,.,+,.,+,.,.,.,.,.,+,1,1,.,2a,1,+,.,2a,.,1,.,.,.,.,.
Crataegus monogyna,hl,.,.,+,.,.,.,+,.,.,+,+,.,.,.,.,+,+,+,.,.,.,.,+,.,1,+,+,.,+,+,+,+,+,.,.,+,.,1,+,1,+,+,+,+,+,+,1,+,+,+,+,.,.,.,+,+,+,.,.,r,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,+
Evonymus europaea,sl,.,.,+,.,.,+,.,.,.,.,.,.,+,+,.,.,.,.,.,.,+,+,.,.,1,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,+,.,+,+,.,.,.,.,.,+,.,.,+,+,.,.,+,+
Evonymus europaea,hl,.,.,+,.,+,+,.,.,+,+,+,.,+,+,.,+,.,+,.,.,+,.,+,.,.,+,+,+,+,.,r,.,.,.,.,.,.,.,+,.,+,+,+,+,+,+,.,.,+,+,+,.,.,.,.,.,+,.,.,1,+,1,+,.,+,.,+,+,.,.,.,+,.,.,.,+,+
Lonicera xylosteum,sl,.,.,+,+,2a,+,+,.,+,.,.,.,1,.,.,+,+,+,.,.,.,+,.,1,1,+,.,+,.,+,.,+,.,+,.,2a,.,.,1,.,1,2a,+,+,.,1,1,2a,+,.,+,+,+,.,2a,2a,2a,2a,+,+,+,+,1,1,+,+,+,1,+,.,+,+,.,2a,1,+,1
Lonicera xylosteum,hl,.,.,+,+,+,+,.,.,+,.,.,.,+,.,.,+,.,.,.,.,.,.,+,.,1,.,+,+,.,+,+,+,+,.,.,.,.,+,+,+,+,1,1,+,1,+,+,+,+,.,+,+,+,1,2a,1,1,+,.,1,1,+,+,.,+,.,+,.,.,.,+,+,.,1,+,.,.
Rhamnus cathartica,sl,.,.,.,.,+,.,.,.,.,+,+,.,+,+,.,1,.,+,.,.,.,+,+,.,.,.,.,.,.,+,.,.,.,.,+,.,+,1,+,.,.,+,+,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,+,.,+,.,.,.,.,.,.,.
Rhamnus cathartica,hl,.,.,.,.,+,.,.,.,+,.,+,.,.,.,.,+,+,+,.,+,+,.,+,+,+,+,+,+,+,+,+,.,.,.,1,+,.,1,.,+,+,.,+,+,+,+,+,.,+,.,.,.,.,.,.,+,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hedera helix,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
Hedera helix,hl,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,2a,2m,1,2a,+,.,.,.,1,.,.,+,.,2a,+,+,.,.,.,+,1,.,+,.,1,1,2b,2a,2a,1,.,1,1,1,+,.,.,1,+,.,.,2a,.,1,.,+,.,.,.
Carex sylvatica,hl,.,r,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Dryopteris carthusiana agg.,hl,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,.
Avenella flexuosa,hl,2a,1,1,2a,+,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Luzula luzuloides,hl,2a,2a,2a,2m,1,2a,2a,2a,1,2m,2a,+,+,.,+,.,.,.,.,+,+,.,+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,.,.,.,.,.,.,2a,.,.,.,1,.,1,+,.,+,1,1,+,+,.,+,.
Vaccinium myrtillus,hl,2a,1,1,.,r,.,.,1,.,.,1,+,r,.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,r,+,.,.,.,.,.,.,+,.,.,.,.,.
Polypodium vulgare,hl,.,+,1,.,+,1,1,+,1,+,+,+,2b,+,+,+,+,+,1,1,1,+,r,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Silene nutans,hl,.,.,+,1,+,1,1,2m,+,+,+,1,.,+,1,+,+,+,2m,+,1,1,1,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,1,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,r,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.
Trifolium medium,hl,.,.,.,.,r,1,+,+,r,+,+,.,.,+,.,+,.,1,.,.,.,1,.,1,.,1,.,+,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Galium sylvaticum,hl,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,+,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
Hieracium racemosum,hl,.,.,.,1,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Digitalis grandiflora,hl,.,.,.,+,.,1,.,1,+,1,+,r,.,1,+,+,.,.,.,+,.,1,.,1,2m,+,+,+,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,1,.,.,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
Campanula persicifolia,hl,.,.,.,+,+,+,+,.,r,.,+,.,.,.,+,1,.,+,.,.,.,+,1,1,2m,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,.,1,.,.,+,.,.,.,.,.,.,1,.,+,+,.,.,.,.,.,.,.,.,.,+,.,.,.
Veronica officinalis,hl,.,.,.,+,+,.,.,+,+,.,+,.,.,+,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,1,.,+,.,.,.,.,.
Hieracium umbellatum,hl,.,.,.,.,+,1,.,.,1,.,+,r,r,.,.,.,.,+,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Veronica chamaedrys,hl,.,.,.,.,.,2a,+,.,+,+,.,.,r,.,.,.,.,.,.,.,.,.,r,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,1,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.
Sedum maximum,hl,.,.,.,.,.,1,1,+,1,+,1,1,+,1,1,.,.,.,1,.,1,.,.,.,.,.,r,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,+,.,.,.,.,.,.,.,.,.,.
Torilis japonica,hl,.,.,+,.,.,+,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Astragalus glycyphyllos,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Agrostis capillaris,hl,.,.,.,+,.,.,.,1,.,2m,1,.,.,1,.,.,+,.,.,+,+,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,1,.,.,.,.,.,.,.,.,.
Lathyrus niger,hl,.,.,.,.,.,+,.,1,1,2m,+,.,.,2m,+,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
Cystopteris fragilis,hl,.,.,.,.,.,1,.,.,r,+,.,.,.,.,1,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Festuca ovina agg.,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,+,+,+,.,.,2b,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Silene rupestris,hl,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Phyteuma persicifolium,hl,.,.,.,.,.,.,.,1,+,+,+,.,.,+,1,.,.,.,2m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.
Asplenium septentrionale,hl,.,.,.,.,.,.,.,.,r,.,.,.,.,+,.,.,r,.,1,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Vaccinium vitis-idaea,hl,.,.,.,.,.,.,.,.,.,.,r,+,.,.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Lychnis viscaria,hl,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Saponaria ocymoides,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,1,+,2m,+,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sempervivum arachnoideum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hieracium pilosella,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hypericum perforatum,hl,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,r,.,+,1,.,+,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.
Phleum phleoides,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,+,.,.,+,2a,+,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Danthonia decumbens,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Artemisia campestris,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,r,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Allium carinatum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,+,.,.,.,.,+,1,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Phyteuma betonicifolium,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,2m,+,2m,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Aster amellus,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Stachys recta,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Melittis melissophyllum,hl,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2m,.,.,.,1,.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Potentilla rupestris,hl,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,r,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sedum album,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,1,1,.,.,+,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Festuca rupicola,hl,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,1,.,2b,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Thymus pulegioides,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Poa angustifolia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,1,1,2m,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Galeopsis speciosa,hl,.,r,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Arabis hirsuta,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,r,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.
Anthericum ramosum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,1,.,.,.,+,+,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Brachypodium pinnatum agg.,hl,.,.,1,+,2a,1,2a,.,+,2a,2m,.,.,2b,5,1,.,2a,.,1,.,1,+,2b,3,2b,1,2b,1,.,2m,.,.,2b,2a,.,2m,.,2m,2a,1,2a,.,2m,2b,2a,.,.,2a,+,+,.,.,.,.,.,.,.,.,.,1,.,+,.,.,.,+,.,.,.,.,+,.,.,.,.,.
Euphorbia cyparissias,hl,.,.,.,+,+,.,.,.,r,+,+,.,.,.,2m,+,+,1,.,+,1,+,1,1,+,.,r,1,+,.,.,.,.,1,1,.,.,1,1,+,.,.,+,+,+,+,.,.,.,.,+,.,.,.,r,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Polygala chamaebuxus,hl,.,.,.,+,.,.,.,.,.,.,+,.,.,.,+,.,+,+,.,.,.,.,.,.,.,.,.,+,.,.,+,+,.,1,1,.,+,2a,+,1,+,.,+,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Origanum vulgare,hl,.,.,.,.,.,.,.,.,+,+,+,.,.,.,2m,+,+,.,.,.,.,.,.,1,1,.,.,.,.,.,.,+,+,.,.,.,.,2a,+,1,.,+,.,.,+,.,.,+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
