plot;cov;t1cov;t2cov;s1cov;hcov;mcov;htl1;htl2;hsl1;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;comment;type;alliance.code;alliance;association;soil;location;observer
zess34;96;0;0;0;94;8;0;0;0;0,4;0,05;4;4;SE;20;0;4;0;2022-05-19;47.353732;12.796625;10;;pasture;NAR-01B;Violion caninae Schwickerath 1944;Polygolo-Nardetum (Preising 1953) Oberd. 1957;;Maishofen, Unterreit;T. Eberl
zess35;99;0;0;0;99;1;0;0;0;0,7;0,2;4;4;E;15;0;1;0;2022-05-19;47.352283;12.796733;10;;pasture;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;Maishofen, Unterreit;T. Eberl
zess36;97;0;0;0;97;1;0;0;0;0,5;0,1;4;4;SE;35;0;3;0;2022-05-19;47.351368;12.796600;10;;pasture;NAR-01B;Violion caninae Schwickerath 1944;Polygolo-Nardetum (Preising 1953) Oberd. 1957;;Maishofen, Unterreit;T. Eberl
zess37;100;0;0;0;100;1;0;0;0;0,5;0,25;4;4;F;0;0;0;0;2022-05-19;47.350827;12.796404;10;;pasture;MOL-01A;Arrhenatherion elatioris Luquet 1926;;;Maishofen, Unterreit;T. Eberl
zess38;97;0;0;0;97;0;0;0;0;0,7;0,3;4;4;F;0;0;3;0;2022-06-23;47.288199;12.806820;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess39;100;0;0;0;100;0;0;0;0;0,8;0,3;4;4;F;0;0;0;0;2022-06-23;47.288830;12.806612;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess40;100;0;0;0;100;0;0;0;0;0,7;0,25;4;4;E;5;0;0;0;2022-06-23;47.302150;12.790971;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess41;100;0;0;0;100;0;0;0;0;0,7;0,25;4;4;E;5;0;0;0;2022-06-23;47.302008;12.790518;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess42;100;0;0;0;100;0;0;0;0;0,7;0,25;4;4;E;5;0;0;0;2022-06-23;47.302008;12.790518;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess43;100;0;0;0;100;1;0;0;0;0,7;0,25;4;4;E;3;0;0;0;2022-06-23;47.301590;12.790462;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess44;100;0;0;0;100;1;0;0;0;0,7;0,25;4;4;ESE;5;0;0;0;2022-06-23;47.302172;12.789979;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess45;100;0;0;0;100;1;0;0;0;0,8;0,25;4;4;SE;10;0;0;0;2022-06-23;47.301555;12.789759;10;;species poor meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess46;98;0;0;0;98;1;0;0;0;0,8;0,3;4;4;F;0;0;2;0;2022-06-23;47.301720;12.791089;10;;meadow;MOL-05B;Calthion palustris Tx. 1937;;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess47;100;0;0;0;100;1;0;0;0;0,8;0,25;4;4;E;5;0;0;0;2022-06-23;47.302334;12.790581;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Lolietum multiflorae Dietel et Lehmann 1975;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess48;99;95;30;20;7;0;26;15;5;0,3;0,1;16;16;E;45;0;1;0;2022-06-23;47.336656;12.796832;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, Einödsiedlung;T. Eberl
zess49;99;85;40;15;8;0;25;18;5;0,4;0,1;16;16;E;40;0;1;0;2022-06-23;47.336998;12.796740;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, Einödsiedlung;T. Eberl
zess50;100;0;15;99;15;0;0;7;5;0,5;0,1;8;8;ESE;45;0;0;0;2022-06-23;47.336753;12.797013;10;Vorwaldgebüsch bzw. Waldsaum;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, Einödsiedlung;T. Eberl
zess51;90;0;0;7;90;1;0;0;5;1,5;0,3;4;8;ESE;45;0;10;0;2022-06-23;47.336595;12.796961;10;Vorwaldgebüsch bzw. Waldsaum;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, Einödsiedlung;T. Eberl
