plot,abbr,layer,cover,voucher,comment,history
wl04,euph dulc,hl,+,,,
wl04,fagu sylv,hl,+,,,
wl04,frax exce,hl,+,,,
wl04,gali sylv,hl,+,,,
wl04,hede heli,hl,+,,,
wl04,hepa nobi,hl,2a,,,
wl04,hier muro,hl,+,,,
wl04,lact mura,hl,+,,,
wl04,ligu vulg,hl,+,,,
wl04,lili mart,hl,+,,,
wl04,meli nuta,hl,+,,,
wl04,merc pere,hl,+,,,
wl04,phyt spic spic,hl,+,,,
wl04,pren purp,hl,1,,,
wl04,rosa pend,hl,+,,,
wl04,soli virg virg,hl,+,,,
wl04,sorb aucu aucu,hl,r,,,
wl04,vibu lant,hl,r,,,
wl04,viol rivi,hl,+,,,
wl04,abie alba,sl,+,,,
wl04,acer pseu,sl,+,,,
wl04,berb vulg,sl,r,,,
wl04,corn sang slat,sl,+,,,
wl04,loni xylo,sl,r,,,
wl04,pice abie,sl,+,,,
wl04,rosa pend,sl,+,,,
wl04,fagu sylv,tl1,5,,,
wl04,pice abie,tl1,2a,,,
wl04,abie alba,tl2,+,,,
wl04,fagu sylv,tl2,2a,,,
wl04,frax exce,tl2,+,,,
wl04,pice abie,tl2,1,,,
wl05,acer pseu,hl,+,,,
wl05,acon lyco slat,hl,r,,,
wl05,anem nemo,hl,1,,,
wl05,apos foet,hl,2a,,,
wl05,berb vulg,hl,+,,,
wl05,brac sylv,hl,+,,,
wl05,care alba,hl,3,,,
wl05,care digi,hl,+,,,
wl05,care flac,hl,+,,,
wl05,carp betu,hl,+,,,
wl05,conv maja maja,hl,1,,,
wl05,corn sang slat,hl,+,,,
wl05,cory avel,hl,1,,,
wl05,crat mono,hl,1,,,
wl05,daph meze,hl,+,,,
wl05,euph amyg amyg,hl,+,,,
wl05,euph dulc,hl,r,,,
wl05,fagu sylv,hl,+,,,
wl05,frag vesc,hl,+,,,
wl05,gali sylv,hl,+,,,
wl05,hepa nobi,hl,2a,,,
wl05,knau maxi,hl,+,,,
wl05,ligu vulg,hl,+,,,
wl05,lili mart,hl,+,,,
wl05,malu dome,hl,r,,,
wl05,meli nuta,hl,+,,,
wl05,phyt spic spic,hl,+,,,
wl05,poly mult,hl,2a,,,
wl05,pren purp,hl,+,,,
wl05,quer robu,hl,+,,,
wl05,rham cath,hl,+,,,
wl05,rosa pend,hl,+,,,
wl05,rubu caes,hl,+,,,
wl05,soli virg virg,hl,+,,,
wl05,symp tube slat,hl,+,,,
wl05,tili cord,hl,+,,,
wl05,vibu lant,hl,+,,,
wl05,viol rivi,hl,+,,,
wl05,berb vulg,sl,+,,,
wl05,corn sang slat,sl,2b,,,
wl05,cory avel,sl,2b,,,
wl05,crat mono,sl,1,,,
wl05,fagu sylv,sl,1,,,
wl05,ligu vulg,sl,+,,,
wl05,prun aviu slat,sl,r,,,
wl05,sorb aucu aucu,sl,+,,,
wl05,tili cord,sl,1,,,
wl05,vibu lant,sl,+,,,
wl05,quer robu,tl1,3,,,
wl05,tili cord,tl1,2a,,,
wl05,carp betu,tl2,2b,,,
wl05,crat mono,tl2,+,,,
wl05,fagu sylv,tl2,1,,,
wl05,frax exce,tl2,2a,,,
wl05,pice abie,tl2,1,,,
wl05,quer robu,tl2,2a,,,
wl05,rham cath,tl2,+,,,
wl05,tili plat,tl2,2b,,,
wl06,acer pseu,hl,+,,,
wl06,acon lyco slat,hl,1,,,
wl06,alli ursi ursi,hl,r,,,
wl06,anem nemo,hl,2b,,,
wl06,apos foet,hl,2a,,,
wl06,berb vulg,hl,+,,,
wl06,card bulb,hl,+,,,
wl06,card enne,hl,+,,,
wl06,card trif,hl,r,,,
wl06,care alba,hl,1,,,
wl06,care digi,hl,+,,,
wl06,care flac,hl,+,,,
wl06,conv maja maja,hl,2a,,,
wl06,euph amyg amyg,hl,+,,,
wl06,fagu sylv,hl,+,,,
wl06,frag vesc,hl,+,,,
wl06,frax exce,hl,+,,,
wl06,gale mont,hl,+,,,
wl06,gali apar,hl,r,,,
wl06,hepa nobi,hl,2a,,,
wl06,knau maxi,hl,r,,,
