plot,cov,tcov1,tcov2,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,location,comment,latitude,longitude,accuracy,alliance,alliance.author,soil,rope,observer
lp28,80,45,50,1,35,1,24,11,3,0.5,0.1,16,16,W,40,5,0,10,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.555433,13.171353,10,Fagion sylvaticae,Luquet 1926,,,R. Kaiser
lp29,97,70,30,1,45,1,16,8,3.5,0.5,0.25,16,16,W,35,1,0,0,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.555010,13.171641,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lp30,97,70,25,1,40,1,20,11,0,0.5,0.2,16,16,W,45,5,0,0,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.554782,13.172075,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lp31,80,60,15,10,65,1,22,15,4,0.8,0.25,16,16,W,45,20,0,10,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.554408,13.171543,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lp32,85,50,20,1,45,1,15,9,3,0.8,0.3,16,16,W,50,85,0,5,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.553013,13.172425,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lp33,80,0,35,7,65,1,0,8,3,0.6,0.25,16,16,SW,50,35,0,0,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.552000,13.172650,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lp34,95,25,60,3,35,1,18,12,3.5,0.7,0.25,16,16,SW,40,0,0,100,"2015-04-24, 2015-08-31","Hiefler, Westseite",,47.552193,13.172923,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lpx01,,,,,,,,,,,,,,,,,,,2017-03-24,Hollererberg,planned,47.575097,13.164389,20,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lpx02,,,,,,,,,,,,,,,,,,,2017-03-24,Hollererberg,planned,47.575547,13.164575,20,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lpx03,,,,,,,,,,,,,,,,,,,2017-03-24,Hollererberg,planned,47.575086,13.166104,20,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
