plot;variable;value
aa03d;hcov;90
aa03e;hcov;85
aa04a;hcov;100
aa04b;hcov;100
aa04c;hcov;100
aa01a;hhl1;0.8
aa01b;hhl1;0.8
aa01c;hhl1;0.7
aa01d;hhl1;0.8
aa01e;hhl1;0.7
aa02a;hhl1;0.9
aa02b;hhl1;0.8
aa02c;hhl1;0.5
aa02d;hhl1;1
aa02e;hhl1;0.8
aa02f;hhl1;8
aa03a;hhl1;0.7
aa03b;hhl1;0.6
aa03c;hhl1;0.5
aa03d;hhl1;0.6
aa03e;hhl1;0.5
aa04a;hhl1;1
aa04b;hhl1;0.7
aa04c;hhl1;0.7
aa01a;hhl2;0.3
aa01b;hhl2;0.25
aa01c;hhl2;0.25
aa01d;hhl2;0.3
aa01e;hhl2;0.3
aa02a;hhl2;0.25
aa02b;hhl2;0.4
aa02c;hhl2;0.2
aa02d;hhl2;0.1
aa02e;hhl2;0.3
aa02f;hhl2;0.3
aa03a;hhl2;0.2
aa03b;hhl2;0.1
aa03c;hhl2;0.1
aa03d;hhl2;0.2
aa03e;hhl2;0.2
aa04a;hhl2;0.4
aa04b;hhl2;0.3
aa04c;hhl2;0.3
aa01a;hsl;0
aa01b;hsl;0
aa01c;hsl;0
aa01d;hsl;0
aa01e;hsl;0
aa02a;hsl;0
aa02b;hsl;0
aa02c;hsl;3
aa02d;hsl;5
aa02e;hsl;0
aa02f;hsl;0
aa03a;hsl;0
aa03b;hsl;0
aa03c;hsl;0
aa03d;hsl;0
aa03e;hsl;0
aa04a;hsl;0
aa04b;hsl;0
aa04c;hsl;0
aa01a;htl1;0
aa01b;htl1;0
aa01c;htl1;0
aa01d;htl1;0
aa01e;htl1;0
aa02a;htl1;0
aa02b;htl1;0
aa02c;htl1;16
aa02d;htl1;22
aa02e;htl1;0
aa02f;htl1;0
aa03a;htl1;0
aa03b;htl1;0
aa03c;htl1;0
aa03d;htl1;0
aa03e;htl1;0
aa04a;htl1;0
aa04b;htl1;0
aa04c;htl1;0
aa01a;htl2;0
aa01b;htl2;0
aa01c;htl2;0
aa01d;htl2;0
aa01e;htl2;0
aa02a;htl2;0
aa02b;htl2;0
aa02c;htl2;0
aa02d;htl2;0
aa02e;htl2;0
aa02f;htl2;0
aa03a;htl2;0
aa03b;htl2;0
aa03c;htl2;0
aa03d;htl2;0
aa03e;htl2;0
aa04a;htl2;0
aa04b;htl2;0
aa04c;htl2;0
aa01a;latitude;47.799920N
aa01b;latitude;47.801533N
aa01c;latitude;47.803912N
aa01d;latitude;47.798191N
aa01e;latitude;47.798531N
aa02a;latitude;47.794705N
aa02b;latitude;47.794449N
aa02c;latitude;47.795191N
aa02d;latitude;47.795812N
aa02e;latitude;47.796105N
aa02f;latitude;47.797720N
aa03a;latitude;47.792139N
aa03b;latitude;47.792483N
aa03c;latitude;47.792566N
aa03d;latitude;47.793412N
aa03e;latitude;47.792868N
aa04a;latitude;47.787686N
aa04b;latitude;47.787511N
aa04c;latitude;47.788099N
aa01a;longitude;13.002039E
aa01b;longitude;13.001295E
aa01c;longitude;13.000013E
aa01d;longitude;13.002983E
aa01e;longitude;13.002821E
aa02a;longitude;12.995930E
aa02b;longitude;12.996898E
aa02c;longitude;12.995854E
aa02d;longitude;12.995339E
aa02e;longitude;12.995731E
aa02f;longitude;12.995287E
aa03a;longitude;13.007069E
aa03b;longitude;13.006996E
aa03c;longitude;13.008105E
aa03d;longitude;13.006364E
aa03e;longitude;13.006916E
aa04a;longitude;13.000156E
aa04b;longitude;13.000925E
aa04c;longitude;13.001459E
aa01a;mcov;3
aa01b;mcov;3
aa01c;mcov;3
aa01d;mcov;1
aa01e;mcov;5
aa02a;mcov;5
aa02b;mcov;5
aa02c;mcov;5
aa02d;mcov;5
aa02e;mcov;5
aa02f;mcov;5
aa03a;mcov;3
aa03b;mcov;15
aa03c;mcov;2
aa03d;mcov;10
aa03e;mcov;80
aa04a;mcov;3
aa04b;mcov;3
aa04c;mcov;3
aa01a;plsx;5
aa01b;plsx;5
aa01c;plsx;5
aa01d;plsx;5
aa01e;plsx;5
aa02a;plsx;5
aa02b;plsx;5
aa02c;plsx;4
aa02d;plsx;25
aa02e;plsx;5
aa02f;plsx;5
aa03a;plsx;5
aa03b;plsx;5
aa03c;plsx;5
aa03d;plsx;5
aa03e;plsx;5
aa04a;plsx;5
aa04b;plsx;5
aa04c;plsx;5
aa01a;plsy;5
aa01b;plsy;5
aa01c;plsy;5
aa01d;plsy;5
aa01e;plsy;5
aa02a;plsy;5
aa02b;plsy;5
aa02c;plsy;10
aa02d;plsy;10
aa02e;plsy;5
aa02f;plsy;5
aa03a;plsy;5
aa03b;plsy;5
aa03c;plsy;5
aa03d;plsy;5
aa03e;plsy;5
aa04a;plsy;5
aa04b;plsy;5
aa04c;plsy;5
aa01a;accuracy;5
aa01b;accuracy;5
aa01c;accuracy;5
aa01d;accuracy;5
aa01e;accuracy;5
aa02a;accuracy;5
aa02b;accuracy;5
aa02c;accuracy;5
aa02d;accuracy;5
aa02e;accuracy;5
aa02f;accuracy;5
aa03a;accuracy;5
aa03b;accuracy;5
aa03c;accuracy;5
aa03d;accuracy;5
aa03e;accuracy;5
aa04a;accuracy;5
