"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H1-03";"pimp saxi slat";"hl";3;;;" | Changed pimp saxi To pimp saxi slat 2012-11-27 18:46:58"
"H1-03";"plan lanc";"hl";3;;;
"H1-03";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-03";"poly cham";"hl";2;;;
"H1-03";"pote erec";"hl";3;;;
"H1-03";"prim fari";"hl";2;;;
"H1-03";"prun vulg";"hl";2;;;
"H1-03";"ranu nemo";"hl";3;;;
"H1-03";"sela sela";"hl";1;;;
"H1-03";"sesl caer";"hl";2;;;" | Changed sesl albi To sesl caer 2012-11-27 18:46:58"
"H1-03";"tara sect alpi";"hl";3;;;
"H1-03";"thym prae prae";"hl";3;;;
"H1-03";"tofi caly";"hl";2;;;
"H1-03";"trif medi medi";"hl";5;;;" | Changed trif medi To trif medi medi 2012-11-27 18:46:58"
"H1-03";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-03";"vero cham cham";"hl";2;;;
"H1-04";"acer pseu";"hl";1;;;
"H1-04";"agro capi";"hl";2;;;
"H1-04";"anth odor";"hl";2;;;
"H1-04";"arrh elat";"hl";2;"2009-0115";;
"H1-04";"briz medi";"hl";3;;;
"H1-04";"care cary";"hl";4;;;
"H1-04";"care flac";"hl";5;;;
"H1-04";"care host";"hl";4;;;
"H1-04";"care orni orni";"hl";2;;;
"H1-04";"care pani";"hl";6;;;
"H1-04";"care sylv";"hl";2;;;
"H1-04";"cent jace jace";"hl";4;;;
"H1-04";"dact glom glom";"hl";3;;;" | Changed dact glom To dact glom glom 2012-11-27 18:46:56"
"H1-04";"dant decu decu";"hl";3;;;" | Changed dant decu To dant decu decu 2012-11-27 18:46:55"
"H1-04";"euph cypa";"hl";3;;;
"H1-04";"fest prat appe";"hl";3;;;" | Changed fest prat apen To fest prat appe 2012-11-27 18:46:58"
"H1-04";"fest rubr rubr";"hl";3;;;
"H1-04";"gent clus clus";"hl";2;;;" | Changed gent clus To gent clus clus 2012-11-27 18:46:59"
"H1-04";"gymn cono cono";"hl";2;;;" | Changed gymn cono To gymn cono cono 2012-11-27 18:46:57"
"H1-04";"leon hisp hyos";"hl";4;;;
"H1-04";"lotu corn corn";"hl";4;;;
"H1-04";"parn palu";"hl";3;;;
"H1-04";"pers vivi";"hl";3;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-04";"pimp majo slat";"hl";2;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H1-04";"pimp saxi slat";"hl";3;;;" | Changed pimp saxi To pimp saxi slat 2012-11-27 18:46:58"
"H1-04";"plan medi";"hl";3;;;
"H1-04";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-04";"pote erec";"hl";3;;;
"H1-04";"prim fari";"hl";3;;;
"H1-04";"prun vulg";"hl";3;;;
"H1-04";"ranu nemo";"hl";4;;;
"H1-04";"tofi caly";"hl";2;;;
"H1-04";"trif mont mont";"hl";3;;;" | Changed trif mont To trif mont mont 2012-11-27 18:46:56"
"H1-04";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-04";"trif repe repe";"hl";4;;;
"H1-05";"achi mill";"hl";3;;;
"H1-05";"brac sylv";"hl";3;;;
"H1-05";"briz medi";"hl";4;;;
"H1-05";"care flac";"hl";4;;;
"H1-05";"care pani";"hl";4;;;
"H1-05";"cent jace jace";"hl";5;;;
"H1-05";"dant decu decu";"hl";3;;;" | Changed dant decu To dant decu decu 2012-11-27 18:46:55"
"H1-05";"desc cesp";"hl";3;;;
"H1-05";"epip atro";"hl";1;;;
"H1-05";"euph cypa";"hl";3;;;
"H1-05";"fest prat prat";"hl";3;;;
"H1-05";"gymn cono cono";"hl";1;;;" | Changed gymn cono To gymn cono cono 2012-11-27 18:46:57"
