plot;variable;value
WMb1-10;cov;95
WMb2-01;cov;97
WMb2-02;cov;98
WMb2-03;cov;99
WMb2-04;cov;93
WMb2-05;cov;98
WMb2-06;cov;95
WMb2-07;cov;98
WMb2-08;cov;98
WMb2-09;cov;99
WMb2-10;cov;98
WMb3-01;cov;99
WMb3-02;cov;98
WMb3-03;cov;93
WMb3-04;cov;93
WMb3-05;cov;88
WMb3-06;cov;93
WMb3-07;cov;94
WMb3-08;cov;90
WMb3-09;cov;99
WMb3-10;cov;93
WMb4-01;cov;59
WMb4-02;cov;95
WMb4-03;cov;98
WMb4-04;cov;80
WMb4-05;cov;97
WMb4-06;cov;90
WMb4-07;cov;99
WMb4-08;cov;90
WMb4-09;cov;94
WMb4-10;cov;30
WMb5-01;cov;98
WMb5-02;cov;97
WMb5-03;cov;80
WMb5-04;cov;89
WMb5-05;cov;100
WMb5-06;cov;95
WMb5-07;cov;97
WMb5-08;cov;96
WMb5-09;cov;97
WMb5-10;cov;75
H1-01;bare;1
H1-02;bare;2
H1-03;bare;1
H1-04;bare;7
H1-05;bare;1
H1-06;bare;2
H1-07;bare;1
H1-08;bare;5
H1-09;bare;2
H1-10;bare;5
H2-01;bare;10
H2-02;bare;2
H2-03;bare;2
H2-04;bare;4
H2-05;bare;4
H2-06;bare;4
H2-07;bare;5
H2-08;bare;5
H2-09;bare;4
H2-10;bare;1
H3-01;bare;3
H3-02;bare;7
H3-03;bare;3
H3-04;bare;8
H3-05;bare;2
H3-06;bare;5
H3-07;bare;1
H3-08;bare;5
H3-09;bare;0
H3-10;bare;2
H4-01;bare;0
H4-02;bare;0
H4-03;bare;1
H4-04;bare;0
H4-05;bare;1
H4-06;bare;0
H4-07;bare;1
H4-08;bare;0
H4-09;bare;0
H4-10;bare;2
H5-01;bare;1
H5-02;bare;0
H5-03;bare;0
H5-04;bare;0
H5-05;bare;1
H5-06;bare;0
H5-07;bare;0
H5-08;bare;0
H5-09;bare;1
H5-10;bare;1
H6-01;bare;1
H6-02;bare;5
H6-03;bare;1
H6-04;bare;7
H6-05;bare;0
H6-06;bare;20
H6-07;bare;5
H6-08;bare;8
H6-09;bare;0
H6-10;bare;1
H7-01;bare;3
H7-02;bare;3
H7-03;bare;1
H7-04;bare;1
H7-05;bare;1
H7-06;bare;4
H7-07;bare;1
H7-08;bare;5
H7-09;bare;5
H7-10;bare;5
HO1-01;bare;2
HO1-02;bare;3
HO1-03;bare;4
HO1-04;bare;2
HO1-05;bare;0
HO1-06;bare;3
HO1-07;bare;3
HO1-08;bare;3
HO1-09;bare;1
HO1-10;bare;3
HO2-01;bare;1
HO2-02;bare;0
HO2-03;bare;1
HO2-04;bare;1
HO2-05;bare;0
HO2-06;bare;0
HO2-07;bare;0
HO2-08;bare;2
HO2-09;bare;2
HO2-10;bare;2
HO3-01;bare;0
HO3-02;bare;0
HO3-03;bare;0
HO3-04;bare;0
HO3-05;bare;0
HO3-06;bare;2
HO3-07;bare;0
HO3-08;bare;0
HO3-09;bare;0
HO3-10;bare;1
HO4-01;bare;0
HO4-02;bare;2
HO4-03;bare;0
HO4-04;bare;7
HO4-05;bare;1
HO4-06;bare;4
HO4-07;bare;1
HO4-08;bare;5
HO4-09;bare;0
HO4-10;bare;5
HO5-01;bare;45
HO5-02;bare;25
HO5-03;bare;2
HO5-04;bare;3
HO5-05;bare;0
HO5-06;bare;3
HO5-07;bare;0
HO5-08;bare;5
HO5-09;bare;3
HO5-10;bare;3
T1-01;bare;0
T1-02;bare;2
T1-03;bare;5
T1-04;bare;3
T1-05;bare;0
T1-06;bare;7
T1-07;bare;1
T1-08;bare;3
T1-09;bare;15
T1-10;bare;10
T2-01;bare;20
T2-02;bare;10
T2-03;bare;3
T2-04;bare;5
T2-05;bare;0
T2-06;bare;10
T2-07;bare;4
T2-08;bare;3
T2-09;bare;0
T2-10;bare;2
T3-01;bare;0
T3-02;bare;5
T3-03;bare;0
T3-04;bare;0
T3-05;bare;0
T3-06;bare;2
T3-07;bare;0
T3-08;bare;0
T3-09;bare;0
T3-10;bare;1
T4-01;bare;3
T4-02;bare;4
T4-03;bare;1
T4-04;bare;3
T4-05;bare;3
T4-06;bare;10
T4-07;bare;3
T4-08;bare;8
T4-09;bare;3
T4-10;bare;5
T5-01;bare;0
T5-02;bare;2
T5-03;bare;0
T5-04;bare;1
T5-05;bare;0
T5-06;bare;1
T5-07;bare;0
T5-08;bare;0
T5-09;bare;0
T5-10;bare;2
W1-01;bare;2
W1-02;bare;3
W1-03;bare;1
W1-04;bare;2
W1-05;bare;0
W1-06;bare;3
W1-07;bare;3
W1-08;bare;5
W1-09;bare;0
W1-10;bare;3
W2-01;bare;3
W2-02;bare;2
W2-03;bare;0
W2-04;bare;0
W2-05;bare;2
W2-06;bare;0
W2-07;bare;0
W2-08;bare;2
W2-09;bare;0
W2-10;bare;5
W3-01;bare;1
W3-02;bare;2
W3-03;bare;0
W3-04;bare;2
W3-05;bare;0
W3-06;bare;2
W3-07;bare;5
W3-08;bare;2
W3-09;bare;5
W3-10;bare;0
W4-01;bare;3
W4-02;bare;2
W4-03;bare;2
W4-04;bare;3
W4-05;bare;1
W4-06;bare;5
W4-07;bare;1
W4-08;bare;6
W4-09;bare;2
W4-10;bare;3
W5-01;bare;0
W5-02;bare;0
W5-03;bare;2
W5-04;bare;2
W5-05;bare;10
W5-06;bare;2
W5-07;bare;1
W5-08;bare;2
W5-09;bare;0
W5-10;bare;3
W6-01;bare;4
W6-02;bare;3
W6-03;bare;3
W6-04;bare;15
W6-05;bare;8
W6-06;bare;7
W6-07;bare;4
W6-08;bare;2
W6-09;bare;5
W6-10;bare;5
W7-01;bare;0
W7-02;bare;0
W7-03;bare;2
W7-04;bare;0
W7-05;bare;0
W7-06;bare;1
W7-07;bare;0
W7-08;bare;0
W7-09;bare;4
W7-10;bare;0
WMa1-01;bare;0
WMa1-02;bare;2
WMa1-03;bare;1
WMa1-04;bare;0
WMa1-05;bare;0
WMa1-06;bare;1
WMa1-07;bare;2
WMa1-08;bare;1
WMa1-09;bare;3
WMa1-10;bare;0
WMa2-01;bare;3
WMa2-02;bare;4
WMa2-03;bare;3
WMa2-04;bare;6
WMa2-05;bare;3
WMa2-06;bare;5
WMa2-07;bare;5
WMa2-08;bare;3
WMa2-09;bare;3
WMa2-10;bare;5
WMa3-01;bare;40
WMa3-02;bare;3
WMa3-03;bare;4
WMa3-04;bare;1
WMa3-05;bare;0
WMa3-06;bare;0
WMa3-07;bare;0
WMa3-08;bare;5
WMa3-09;bare;0
WMa3-10;bare;5
WMa4-01;bare;1
WMa4-02;bare;2
WMa4-03;bare;1
WMa4-04;bare;2
WMa4-05;bare;0
WMa4-06;bare;8
WMa4-07;bare;2
WMa4-08;bare;5
WMa4-09;bare;1
WMa4-10;bare;6
WMa5-01;bare;0
WMa5-02;bare;0
WMa5-03;bare;2
WMa5-04;bare;0
WMa5-05;bare;1
WMa5-06;bare;0
WMa5-07;bare;1
WMa5-08;bare;0
WMa5-09;bare;2
WMa5-10;bare;0
WMb1-01;bare;0
WMb1-02;bare;2
WMb1-03;bare;2
WMb1-04;bare;7
WMb1-05;bare;5
WMb1-06;bare;2
WMb1-07;bare;1
WMb1-08;bare;1
WMb1-09;bare;2
WMb1-10;bare;3
WMb2-01;bare;3
WMb2-02;bare;2
WMb2-03;bare;1
WMb2-04;bare;4
WMb2-05;bare;2
WMb2-06;bare;3
WMb2-07;bare;1
WMb2-08;bare;2
WMb2-09;bare;1
WMb2-10;bare;2
WMb3-01;bare;1
WMb3-02;bare;2
WMb3-03;bare;4
WMb3-04;bare;3
WMb3-05;bare;2
WMb3-06;bare;3
WMb3-07;bare;2
WMb3-08;bare;0
WMb3-09;bare;1
WMb3-10;bare;4
WMb4-01;bare;1
WMb4-02;bare;0
WMb4-03;bare;1
WMb4-04;bare;17
WMb4-05;bare;2
WMb4-06;bare;10
WMb4-07;bare;1
WMb4-08;bare;10
WMb4-09;bare;2
WMb4-10;bare;10
WMb5-01;bare;0
WMb5-02;bare;3
WMb5-03;bare;15
WMb5-04;bare;3
WMb5-05;bare;0
WMb5-06;bare;5
WMb5-07;bare;1
WMb5-08;bare;4
WMb5-09;bare;2
WMb5-10;bare;7
H1-01;dung;0
H1-02;dung;5
H1-03;dung;0
H1-04;dung;0
H1-05;dung;1
H1-06;dung;3
H1-07;dung;0
H1-08;dung;2
H1-09;dung;1
H1-10;dung;0
H2-01;dung;0
H2-02;dung;0
H2-03;dung;0
H2-04;dung;0
H2-05;dung;0
H2-06;dung;0
H2-07;dung;0
H2-08;dung;0
H2-09;dung;1
H2-10;dung;1
H3-01;dung;0
H3-02;dung;0
H3-03;dung;0
H3-04;dung;0
H3-05;dung;0
H3-06;dung;0
H3-07;dung;0
H3-08;dung;0
H3-09;dung;0
H3-10;dung;0
H4-01;dung;0
H4-02;dung;0
H4-03;dung;0
H4-04;dung;0
H4-05;dung;0
H4-06;dung;0
H4-07;dung;0
H4-08;dung;0
H4-09;dung;0
H4-10;dung;0
H5-01;dung;0
H5-02;dung;0
H5-03;dung;0
H5-04;dung;0
H5-05;dung;0
H5-06;dung;0
H5-07;dung;0
H5-08;dung;0
H5-09;dung;0
H5-10;dung;0
H6-01;dung;0
H6-02;dung;0
H6-03;dung;0
H6-04;dung;0
H6-05;dung;0
H6-06;dung;0
H6-07;dung;0
H6-08;dung;0
