plot;abbr;layer;cov;voucher.flag;voucher;sheets;history
tc12a;dact glom glom;hl;3;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc12a;fest prat prat;hl;2a;;;; | Changed fest prat To fest prat prat 2012-11-27 16:08:04
tc12a;gali albu;hl;2m;;;;
tc12a;hera spho spho;hl;+;;;; | Changed hera spho s To hera spho spho 2012-11-27 16:12:27
tc12a;leon hisp slat;hl;+;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc12a;pimp majo majo;hl;2a;;;; | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04
tc12a;plan lanc;hl;1;;;;
tc12a;poa prat;hl;+;;;;
tc12a;poa triv;hl;1;;;;
tc12a;ranu acri acri;hl;+;;;; | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04
tc12a;rume acet osa;hl;+;;;; | Changed rume acet To rume acet osa 2012-11-27 16:08:04
tc12a;salv prat prat;hl;+;;;; | Changed salv prat To salv prat prat 2012-11-27 16:08:04
tc12a;tara sect rude;hl;+;;;; | Changed tara offi To tara sect rude 2012-11-27 16:08:04
tc12a;trag orie;hl;+;;;;
tc12a;trif prat prat;hl;1;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc12a;tris flav flav;hl;2b;;;; | Changed tris flav To tris flav flav 2012-11-27 16:08:04
tc12a;vero cham cham;hl;+;;;; | Changed vero cham c To vero cham cham 2012-11-27 16:08:04
tc12a;vici sepi;hl;1;;;;
tc13a;achi mill aggr;hl;2m;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc13a;arrh elat;hl;1;;;;
tc13a;homa pube pube;hl;2a;;;; | Changed aven pube To homa pube pube 2012-11-27 16:08:03
tc13a;camp rotu;hl;+;;;;
tc13a;care cary;hl;1;;;;
tc13a;cent jace jace;hl;1;;;; | Changed cent jace To cent jace jace 2012-11-27 16:08:04
tc13a;dact glom glom;hl;2b;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc13a;euph offi rost;hl;+;;;; | Changed euph rost To euph offi rost 2012-11-27 16:08:04
tc13a;fest amet amet;hl;+;voucher;9;2; | Changed fest amet To fest amet amet 2012-11-27 16:08:04
tc13a;fest brev;hl;1;voucher;8;;
tc13a;fest prat prat;hl;1;;;; | Changed fest prat To fest prat prat 2012-11-27 16:08:04
tc13a;fest rubr slat;hl;1;;;; | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05
tc13a;gali albu;hl;+;;;;
tc13a;knau arve arve;hl;2m;;;; | Changed knau arve To knau arve arve 2012-11-27 16:08:04
tc13a;leon hisp slat;hl;2a;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc13a;leuc ircu;hl;1;;;;
tc13a;lotu corn;hl;1;;;;
tc13a;medi lupu;hl;1;;;;
tc13a;pimp majo majo;hl;+;;;; | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04
tc13a;plan lanc;hl;1;;;;
