plot;abbr;layer;cov;voucher.flag;voucher;sheets;history
tc18a;cerv rivi;hl;+;;;; | Changed peuc cerv To cerv rivi 2012-11-27 16:08:06
tc18a;peuc oreo;hl;1;;;;
tc18a;phyt orbi;hl;+;;;;
tc18a;pice abie;hl;+;;;;
tc18a;pice abie;tl;+;;;;
tc18a;pimp saxi slat;hl;+;;;; | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06
tc18a;pinu sylv;tl;4;;;;
tc18a;plan lanc;hl;+;;;;
tc18a;plan medi;hl;1;;;;
tc18a;plat bifo;hl;+;;;;
tc18a;pleu schr;ml;1;;;;
tc18a;poa nemo;hl;+;;;;
tc18a;poly cham;hl;1;;;;
tc18a;pote erec;hl;1;;;;
tc18a;prun gran;hl;1;;;;
tc18a;prun vulg;hl;+;;;;
tc18a;pter aqui;hl;+;;;;
tc18a;ranu nemo;hl;+;;;;
tc18a;rhyt triq;ml;3;;;;
tc18a;rosa arve;hl;+;;;;
tc18a;sang mino mino;hl;+;;;; | Changed sang mino mi To sang mino mino 2012-11-27 16:08:06
tc18a;scab colu;hl;+;;;;
tc18a;sesl caer;hl;2m;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc18a;succ prat;hl;+;;;;
tc18a;thym pule pule;hl;+;;;; | Changed thym pule To thym pule pule 2012-11-27 16:08:04
tc18a;trif medi medi;hl;+;;;; | Changed trif medi To trif medi medi 2012-11-27 16:08:06
tc18a;trif mont mont;hl;+;;;; | Changed trif mont To trif mont mont 2012-11-27 16:08:06
tc18a;trif prat prat;hl;+;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc18a;vacc viti;hl;+;;;;
tc18a;vibu lant;hl;+;;;;
tc18a;viol hirt;hl;+;;;;
tc18a;visc laxu laxu;tl;+;;;; | Changed visc laxu To visc laxu laxu 2012-11-27 16:08:06
tc18b;acer pseu;hl;+;;;;
tc18b;achi mill aggr;hl;+;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc18b;agro capi;hl;+;;;; | Changed agro tenu To agro capi 2012-11-27 16:08:03
tc18b;anth ramo;hl;+;;;;
tc18b;anth vuln slat;hl;+;;;; | Changed anth vuln To anth vuln slat 2012-11-27 16:08:03
tc18b;aqui atra;hl;+;;;;
tc18b;aspe cyna;hl;+;;;;
tc18b;bell mich;hl;+;;;; | Changed aste bell To bell mich 2012-11-27 16:08:06
tc18b;astr majo;hl;+;;;;
tc18b;berb vulg;hl;+;;;;
tc18b;berb vulg;sl;1;;;;
tc18b;betu pend;hl;+;;;;
tc18b;brac rupe;hl;2a;;;;
tc18b;buph sali;hl;1;;;;
tc18b;camp glom;hl;+;;;;
tc18b;camp pers;hl;+;;;;
tc18b;camp rapu rapu;hl;+;;;;
tc18b;camp sche;hl;+;;;;
tc18b;care alba;hl;2m;;;;
tc18b;care humi;hl;1;;;;
tc18b;care mont;hl;+;;;;
tc18b;carl acau slat;hl;+;;;; | Changed carl acau To carl acau slat 2012-11-27 16:08:06
tc18b;cirs vulg;hl;r;;;;
tc18b;corn sang slat;hl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc18b;corn sang slat;sl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc18b;cory avel;hl;1;;;;
tc18b;cory avel;sl;+;;;;
tc18b;crat mono;sl;+;;;;
tc18b;dact glom glom;hl;+;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc18b;dant decu decu;hl;+;;;; | Changed dant decu To dant decu decu 2012-11-27 16:08:05
tc18b;epip atro;hl;+;;;;
tc18b;epip hell slat;hl;+;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc18b;eric carn;hl;2m;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc18b;frag vesc;hl;1;;;;
tc18b;fran alnu;hl;+;;;;
tc18b;fran alnu;sl;1;;;;
tc18b;frax exce;hl;+;;;;
tc18b;gali bore;hl;1;;;;
tc18b;gali moll;hl;+;;;;
tc18b;gali veru;hl;1;;;;
tc18b;gent cili;hl;+;;;;
tc18b;glob cord;hl;r;;;;
tc18b;hier bifi;hl;+;;;;
tc18b;hylo sple;ml;2b;;;;
tc18b;juni comm comm;hl;2a;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc18b;juni comm comm;sl;2b;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc18b;lari deci deci;hl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc18b;lari deci deci;sl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc18b;lari deci deci;tl;1;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc18b;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc18b;leon hisp slat;hl;+;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc18b;ligu vulg;hl;+;;;;
tc18b;ligu vulg;sl;+;;;;
tc18b;loni xylo;hl;+;;;;
tc18b;loni xylo;sl;1;;;;
tc18b;lotu corn;hl;+;;;;
tc18b;mela prat;hl;+;;;;
tc18b;mela sylv;hl;+;;;;
tc18b;meli nuta;hl;+;;;;
tc18b;moli caer aggr;hl;2m;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc18b;peuc oreo;hl;+;;;;
tc18b;pice abie;hl;+;;;;
tc18b;pice abie;sl;2a;;;;
tc18b;pimp saxi slat;hl;+;;;; | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06
tc18b;pinu sylv;hl;+;;;;
tc18b;pinu sylv;sl;+;;;;
tc18b;pinu sylv;tl;4;;;;
tc18b;pleu schr;ml;1;;;;
tc18b;pote erec;hl;+;;;;
tc18b;prun gran;hl;1;;;;
tc18b;ranu nemo;hl;+;;;;
tc18b;rham cath;hl;+;;;;
tc18b;rhyt triq;ml;3;;;;
tc18b;rosa micr;hl;+;;;;
tc18b;rubu sect rubu;hl;+;;;; | Changed rubu frut To rubu sect rubu 2012-11-27 16:08:06
tc18b;sesl caer;hl;2m;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc18b;thym pule pule;hl;+;;;; | Changed thym pule To thym pule pule 2012-11-27 16:08:04
tc18b;trif prat prat;hl;+;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc18b;vacc viti;hl;+;;;;
tc18b;vibu lant;hl;+;;;;
tc18b;vibu lant;sl;+;;;;
tc18b;viol hirt;hl;+;;;;
tc18c;agro capi;hl;+;;;; | Changed agro tenu To agro capi 2012-11-27 16:08:03
tc18c;ante carp;hl;1;;;;
tc18c;anth ramo;hl;1;;;;
tc18c;aspe cyna;hl;+;;;;
tc18c;astr majo;hl;+;;;;
tc18c;berb vulg;hl;1;;;;
tc18c;brac rupe;hl;+;;;;
tc18c;briz medi;hl;+;;;;
tc18c;brom erec;hl;2a;;;;
tc18c;buph sali;hl;1;;;;
tc18c;cala vari;hl;1;;;;
tc18c;camp glom;hl;+;;;;
tc18c;camp rotu;hl;+;;;;
tc18c;care alba;hl;1;;;;
tc18c;care flac;hl;+;;;;
tc18c;care mont;hl;1;;;;
tc18c;carl acau slat;hl;1;;;; | Changed carl acau To carl acau slat 2012-11-27 16:08:06
tc18c;carl vulg vulg;hl;+;;;; | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03
tc18c;dant decu decu;hl;1;;;; | Changed dant decu To dant decu decu 2012-11-27 16:08:05
tc18c;dicr scop;ml;2a;;;;
tc18c;dory germ;hl;+;;;;
tc18c;epip hell slat;hl;+;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc18c;epip hell atro;hl;+;;;; | Changed epip x sc To epip hell atro 2012-11-27 16:08:06
tc18c;eric carn;hl;2b;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc18c;frag vesc;hl;1;;;;
tc18c;fran alnu;hl;+;;;;
tc18c;gali bore;hl;1;;;;
tc18c;gali veru;hl;2m;;;;
tc18c;hier bifi;hl;+;;;;
tc18c;hylo sple;ml;+;;;;
tc18c;juni comm comm;hl;2a;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc18c;knau maxi;hl;1;;;; | Changed knau dips To knau maxi 2012-11-27 16:08:06
tc18c;koel pyra pyra;hl;1;;;; | Changed koel pyra To koel pyra pyra 2012-11-27 16:08:04
tc18c;lari deci deci;hl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc18c;lari deci deci;sl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc18c;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc18c;leon hisp slat;hl;1;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc18c;linu cath;hl;+;;;;
tc18c;lotu corn;hl;1;;;;
tc18c;mela sylv;hl;2a;;;;
tc18c;meli nuta;hl;+;;;;
tc18c;moli caer aggr;hl;2a;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc18c;orob grac;hl;+;;;;
tc18c;peuc oreo;hl;1;;;;
tc18c;pice abie;hl;+;;;;
tc18c;pice abie;sl;+;;;;
tc18c;pimp saxi slat;hl;1;;;; | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06
tc18c;pinu sylv;sl;+;;;;
tc18c;pinu sylv;tl;4;;;;
tc18c;plan lanc;hl;+;;;;
tc18c;plan medi;hl;1;;;;
tc18c;pleu schr;ml;3;;;;
tc18c;poly cham;hl;1;;;;
tc18c;pote erec;hl;+;;;;
tc18c;prun gran;hl;2a;;;;
tc18c;pter aqui;hl;2a;;;;
tc18c;ranu nemo;hl;1;;;;
tc18c;rhyt triq;ml;2b;;;;
tc18c;rosa cani;hl;+;;;;
tc18c;scab colu;hl;1;;;;
tc18c;sesl caer;hl;2b;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc18c;sile vulg glar;hl;r;;;; | Changed sile glar To sile vulg glar 2012-11-27 16:08:06
tc18c;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc18c;thym prae poly;hl;+;;;; | Changed thym poly To thym prae poly 2012-11-27 16:08:06
tc18c;thym pule pule;hl;+;;;; | Changed thym pule To thym pule pule 2012-11-27 16:08:04
tc18c;trif medi medi;hl;2a;;;; | Changed trif medi To trif medi medi 2012-11-27 16:08:06
tc18c;trif mont mont;hl;2m;;;; | Changed trif mont To trif mont mont 2012-11-27 16:08:06
tc18c;trif prat prat;hl;+;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc18c;vacc viti;hl;+;;;;
tc18c;viol coll;hl;+;;;;
tc18c;viol hirt;hl;+;;;;
tc1a;acer camp;hl;r;;;;
tc1a;achi mill aggr;hl;2m;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc1a;anth sylv;hl;1;;;;
tc1a;arrh elat;hl;+;;;;
tc1a;bell pere;hl;+;;;;
tc1a;caru carv;hl;1;;;;
tc1a;crep bien;hl;1;;;;
tc1a;dact glom glom;hl;2a;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc1a;fest rubr slat;hl;3;;;; | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05
tc1a;gali albu;hl;2a;;;;
tc1a;hera spho spho;hl;1;;;; | Changed hera spho s To hera spho spho 2012-11-27 16:12:27
tc1a;holc lana;hl;+;;;;
tc1a;knau arve arve;hl;+;;;; | Changed knau arve To knau arve arve 2012-11-27 16:08:04
tc1a;leon hisp slat;hl;1;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc1a;leuc ircu;hl;+;;;;
tc1a;loli mult;hl;2a;;;;
tc1a;lotu corn;hl;+;;;;
tc1a;medi sati;hl;+;;;;
tc1a;pimp majo majo;hl;2a;;;; | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04
tc1a;plan lanc;hl;2a;;;;
tc1a;poa triv;hl;1;;;;
tc1a;ranu acri acri;hl;+;;;; | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04
tc1a;symp offi;hl;+;;;;
tc1a;tara sect rude;hl;1;;;; | Changed tara offi To tara sect rude 2012-11-27 16:08:04
tc1a;trif prat prat;hl;2a;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc1a;trif repe repe;hl;2m;;;;
tc1a;vici crac;hl;+;;;;
tc1a;vici sepi;hl;+;;;;
tc1b;achi mill aggr;hl;1;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc1b;arrh elat;hl;1;;;;
tc1b;arte vulg;hl;+;;;;
tc1b;brac rupe;hl;2b;;;;
tc1b;brom erec;hl;2a;;;;
tc1b;camp rapu rapu;hl;1;;;;
tc1b;colc autu;hl;2a;;;;
tc1b;erig annu slat;hl;+;;;; | Changed erig annu To erig annu slat 2012-11-27 16:08:03
tc1b;fest brev;hl;3;voucher;7;4;
tc1b;fest gues;hl;2a;;;;
tc1b;fest rubr slat;hl;+;;;; | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05
tc1b;gali albu;hl;2a;;;;
tc1b;knau arve arve;hl;+;;;; | Changed knau arve To knau arve arve 2012-11-27 16:08:04
tc1b;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc1b;pimp saxi slat;hl;+;;;; | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06
tc1b;poa prat;hl;+;;;;
tc1b;pote pusi;hl;+;;;;
tc1b;ranu bulb;hl;+;;;;
tc1b;salv prat prat;hl;1;;;; | Changed salv prat To salv prat prat 2012-11-27 16:08:04
tc1b;sile vulg vulg;hl;+;;;; | Changed sile vulg v To sile vulg vulg 2012-11-27 16:08:04
tc1b;thym pule pule;hl;+;;;; | Changed thym pule To thym pule pule 2012-11-27 16:08:04
tc1b;vero cham cham;hl;+;;;; | Changed vero cham c To vero cham cham 2012-11-27 16:08:04
tc1b;vici crac;hl;+;;;;
tc27a;ajug rept;hl;1;;;;
tc27a;call cusp;hl;2a;;;;
tc27a;call cusp;ml;2a;;;;
tc27a;care elat;hl;r;;;;
tc27a;cirs oler;hl;+;;;;
tc27a;cirs palu;hl;+;;;;
tc27a;clim dend;ml;+;;;;
tc27a;colc autu;hl;+;;;;
tc27a;phra aust;hl;5;;;;
tc27a;plag nium undu;ml;+;;;;
tc27a;pers bist;hl;+;;;; | Changed poly bist To pers bist 2012-11-27 16:08:05
tc28a;agro stol;hl;+;;;;
tc28a;ange sylv sylv;hl;2a;;;; | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05
tc28a;anth odor;hl;+;;;;
tc28a;bryu pseu pseu;ml;1;;;; | Changed bryu pseu To bryu pseu pseu 2012-11-27 16:08:05
tc28a;call cusp;ml;2b;;;;
tc28a;calt palu;hl;2a;;;;
tc28a;camp stel;ml;2a;;;;
tc28a;care dava;hl;+;;;;
tc28a;care elat;hl;3;;;;
tc28a;care pani;hl;1;;;;
tc28a;care pani pani;hl;1;;;; | Changed care pann To care pani pani 2012-11-27 16:08:06
tc28a;cirs palu;hl;r;;;;
tc28a;dact inca inca;hl;2m;;;; | Changed dact inca To dact inca inca 2012-11-27 16:08:06
tc28a;desc cesp;hl;+;;;;
tc28a;scor coss;ml;3;;;; | Changed drep coso To scor coss 2012-11-27 16:08:05
tc28a;scor revo;ml;+;;;; | Changed drep revo To scor revo 2012-11-27 16:08:05
tc28a;equi palu;hl;+;;;;
tc28a;erio lati;hl;+;;;;
tc28a;fest prat prat;hl;+;;;; | Changed fest prat To fest prat prat 2012-11-27 16:08:04
tc28a;fest rubr slat;hl;2a;;;; | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05
tc28a;fest tric;hl;+;voucher;4;;
tc28a;fiss adia;ml;+;;;;
tc28a;gali ulig;hl;1;;;;
tc28a;gent vern vern;hl;+;;;; | Changed gent vern To gent vern vern 2012-11-27 16:08:06
tc28a;holc lana;hl;1;;;;
tc28a;linu cath;hl;+;;;;
tc28a;lotu corn;hl;+;;;;
tc28a;lych flos cucu;hl;+;;;; | Changed lych flos To lych flos cucu 2012-11-27 16:08:06
tc28a;medi lupu;hl;+;;;;
tc28a;ment arve;hl;1;;;;
tc28a;meny trif;hl;2a;;;;
tc28a;parn palu;hl;+;;;;
tc28a;phra aust;hl;1;;;;
tc28a;pote erec;hl;1;;;;
tc28a;prun vulg;hl;+;;;;
tc28a;ranu acri acri;hl;+;;;; | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04
tc28a;rhin mino;hl;+;;;;
tc28a;sang offi;hl;1;;;;
tc28a;tome nite;ml;1;;;;
tc28a;trif prat prat;hl;1;;;; | Changed trif prat p To trif prat prat 2012-11-27 16:12:27
tc28a;trif repe repe;hl;+;;;;
tc28a;vale dioi dioi;hl;1;;;; | Changed vale dioi To vale dioi dioi 2012-11-27 16:08:05
tc28a;vero cham cham;hl;+;;;; | Changed vero cham c To vero cham cham 2012-11-27 16:08:04
tc28a;vici crac;hl;+;;;;
tc29a;acer pseu;hl;+;;;;
tc29a;aego poda;hl;+;;;;
tc29a;ange sylv sylv;hl;+;;;; | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05
tc29a;aqui atra;hl;1;;;;
tc29a;berb vulg;hl;+;;;;
tc29a;berb vulg;sl;1;;;;
tc29a;brac rupe;hl;2a;;;;
tc29a;briz medi;hl;+;;;;
tc29a;cala vari;hl;+;;;;
tc29a;camp trac;hl;+;;;;
tc29a;care alba;hl;2a;;;;
tc29a;care digi;hl;+;;;;
tc29a;conv maja maja;hl;+;;;; | Changed conv maja To conv maja maja 2012-11-27 16:08:06
tc29a;cory avel;hl;+;;;;
tc29a;cory avel;sl;+;;;;
tc29a;crat mono;hl;+;;;;
tc29a;crat mono;sl;+;;;;
tc29a;daph meze;hl;r;;;;
tc29a;dauc caro caro;hl;+;;;; | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27
tc29a;dryo cart;hl;+;;;;
tc29a;dryo fili;hl;+;;;;
tc29a;eric carn;hl;+;;;; | Changed eric herb To eric carn 2012-11-27 16:08:03
tc29a;frag vesc;hl;+;;;;
tc29a;fran alnu;hl;+;;;;
tc29a;fran alnu;sl;2a;;;;
tc29a;frax exce;hl;1;;;;
tc29a;frax exce;sl;+;;;;
tc29a;gali bore;hl;+;;;;
tc29a;gera robe;hl;+;;;;
tc29a;hypn cupr;ml;2b;;;;
tc29a;juni comm comm;hl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc29a;juni comm comm;sl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc29a;lath prat prat;hl;+;;;; | Changed lath prat To lath prat prat 2012-11-27 16:08:04
tc29a;ligu vulg;hl;1;;;;
tc29a;ligu vulg;sl;1;;;;
tc29a;loni xylo;hl;+;;;;
tc29a;loni xylo;sl;1;;;;
tc29a;maia bifo;hl;+;;;;
tc29a;mela prat;hl;1;;;;
tc29a;mela sylv;hl;2a;;;;
tc29a;moli caer aggr;hl;1;;;; | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05
tc29a;pari quad;hl;+;;;;
tc29a;pice abie;hl;+;;;;
tc29a;pice abie;tl;2b;;;;
tc29a;pinu sylv;tl;2b;;;;
tc29a;pleu schr;ml;2a;;;;
tc29a;poly odor;hl;+;;;;
tc29a;pote erec;hl;+;;;;
tc29a;prun padu padu;hl;+;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc29a;prun padu padu;sl;1;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc29a;pter aqui;hl;2a;;;;
tc29a;ranu nemo;hl;+;;;;
tc29a;rham cath;hl;+;;;;
tc29a;rham cath;sl;+;;;;
tc29a;rhyt triq;ml;1;;;;
tc29a;ribe spec ies;hl;+;;;; | Changed ribe sp To  2012-11-27 16:08:07 | Changed ribe spec ies To  2012-11-27 16:11:29
tc29a;rubu saxa;hl;1;;;;
tc29a;sesl caer;hl;2b;;;; | Changed sesl vari To sesl caer 2012-11-27 16:08:05
tc29a;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc29a;sorb aucu aucu;hl;+;;;; | Changed sorb aucu To sorb aucu aucu 2012-11-27 16:08:07
tc29a;thal minu slat;hl;+;;;; | Changed thal minu To thal minu slat 2012-11-27 16:08:05
tc29a;vale mont;hl;+;;;;
tc29a;vibu lant;hl;+;;;;
tc29a;vibu lant;sl;1;;;;
tc29a;vibu opul;hl;1;;;;
tc29a;viol hirt;hl;+;;;;
tc2a;achi mill aggr;hl;r;;;; | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03
tc2a;alnu inca;hl;+;;;;
tc2a;alnu inca;sl;+;;;;
tc2a;alnu inca;tl;+;;;;
tc2a;amel lama;hl;+;;;;
tc2a;amel lama;sl;+;;;;
tc2a;berb vulg;hl;+;;;;
tc2a;berb vulg;sl;1;;;;
tc2a;betu pend;hl;+;;;;
tc2a;clem vita;hl;1;;;;
tc2a;clem vita;sl;1;;;;
tc2a;clem vita;tl;+;;;;
tc2a;corn sang slat;hl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc2a;corn sang slat;sl;+;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc2a;cory avel;hl;+;;;;
tc2a;crat mono;hl;r;;;;
tc2a;dact glom glom;hl;+;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc2a;epip hell slat;hl;+;;;; | Changed epip hell To epip hell slat 2012-11-27 16:08:03
tc2a;euon euro;hl;r;;;;
tc2a;frax exce;hl;+;;;;
tc2a;hier muro;hl;+;;;; | Changed hier sylv To hier muro 2012-11-27 16:08:03
tc2a;juni comm comm;hl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc2a;juni comm comm;sl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc2a;lari deci deci;hl;r;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc2a;lari deci deci;tl;r;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc2a;loni xylo;hl;1;;;;
tc2a;loni xylo;sl;1;;;;
tc2a;pinu sylv;tl;5;;;;
tc2a;prun cera ifera;hl;1;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc2a;prun cera ifera;sl;1;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc2a;prun padu padu;hl;+;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc2a;rham cath;hl;r;;;;
tc2a;robi pseu;hl;+;;;;
tc2a;robi pseu;sl;1;;;;
tc2a;robi pseu;tl;2a;;;;
tc2a;rosa arve;hl;+;;;;
tc2a;sorb aria;hl;+;;;;
tc2a;sorb aucu aucu;hl;+;;;; | Changed sorb aucu To sorb aucu aucu 2012-11-27 16:08:07
tc2a;tara sect rude;hl;+;;;; | Changed tara offi To tara sect rude 2012-11-27 16:08:04
tc2a;vibu lant;hl;+;;;;
tc2a;vibu lant;sl;+;;;;
tc2b;aego poda;hl;+;;;;
tc2b;alnu inca;hl;+;;;;
tc2b;alnu inca;sl;1;;;;
tc2b;alnu inca;tl;1;;;;
tc2b;amel lama;hl;+;;;;
tc2b;amel lama;sl;2a;;;;
tc2b;amel lama;tl;1;;;;
tc2b;berb vulg;hl;2a;;;;
tc2b;berb vulg;sl;2m;;;;
tc2b;brac rupe;hl;+;;;;
tc2b;clem vita;hl;1;;;;
tc2b;clem vita;sl;1;;;;
tc2b;clem vita;tl;+;;;;
tc2b;corn sang slat;hl;1;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc2b;corn sang slat;sl;1;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc2b;cory avel;hl;+;;;;
tc2b;crat mono;hl;+;;;;
tc2b;dact glom glom;hl;+;;;; | Changed dact glom To dact glom glom 2012-11-27 16:12:26
tc2b;euon euro;hl;+;;;;
tc2b;fest rubr slat;hl;+;;;; | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05
tc2b;fran alnu;hl;+;;;;
tc2b;frax exce;hl;+;;;;
tc2b;frax exce;sl;+;;;;
tc2b;gali albu;hl;+;;;;
tc2b;glec hede;hl;+;;;;
tc2b;juni comm comm;hl;+;;;; | Changed juni comm c To juni comm comm 2012-11-27 16:08:03
tc2b;lari deci deci;hl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc2b;lari deci deci;sl;+;;;; | Changed lari deci To lari deci deci 2012-11-27 16:08:03
tc2b;leon hisp slat;hl;+;;;; | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04
tc2b;loni xylo;hl;1;;;;
tc2b;loni xylo;sl;+;;;;
tc2b;pice abie;hl;r;;;;
tc2b;pinu sylv;sl;1;;;;
tc2b;pinu sylv;tl;4;;;;
tc2b;pren purp;hl;+;;;;
tc2b;prun cera ifera;hl;1;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc2b;prun cera ifera;sl;1;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc2b;prun cera ifera;tl;1;;;; | Changed prun cers To prun cera ifera 2012-11-27 16:08:07
tc2b;prun padu padu;hl;+;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc2b;prun padu padu;sl;1;;;; | Changed prun padu To prun padu padu 2012-11-27 16:08:06
tc2b;rham cath;hl;+;;;;
tc2b;robi pseu;hl;+;;;;
tc2b;robi pseu;sl;2m;;;;
tc2b;robi pseu;tl;2b;;;;
tc2b;rubu caes;hl;+;;;;
tc2b;samb nigr;hl;+;;;;
tc2b;samb nigr;sl;2m;;;;
tc2b;sola dulc;hl;r;;;;
tc2b;soli cana;hl;+;;;;
tc2b;soli virg virg;hl;+;;;; | Changed soli virg To soli virg virg 2012-11-27 16:08:03
tc2b;tara sect rude;hl;+;;;; | Changed tara offi To tara sect rude 2012-11-27 16:08:04
tc2b;ulmu glab;hl;+;;;;
tc2b;ulmu glab;sl;+;;;;
tc2b;vibu lant;hl;+;;;;
tc2b;vibu lant;sl;+;;;;
tc33a;acer pseu;hl;+;;;;
tc33a;acer pseu;sl;+;;;;
tc33a;aego poda;hl;2a;;;;
tc33a;ajug rept;hl;+;;;;
tc33a;alnu inca;hl;1;;;;
tc33a;alnu inca;sl;2a;;;;
tc33a;alnu inca;tl;1;;;;
tc33a;ange sylv sylv;hl;+;;;; | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05
tc33a;anth sylv;hl;+;;;;
tc33a;berb vulg;hl;1;;;;
tc33a;camp trac;hl;1;;;;
tc33a;care alba;hl;1;;;;
tc33a;care digi;hl;1;;;;
tc33a;chae hirs;hl;+;;;;
tc33a;chel maju;hl;+;;;;
tc33a;cirs oler;hl;+;;;;
tc33a;corn sang slat;hl;1;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc33a;corn sang slat;sl;1;;;; | Changed corn sang To corn sang slat 2012-11-27 16:08:03
tc33a;daph meze;hl;1;;;;
tc33a;desc cesp;hl;1;;;;
tc33a;elym cani;hl;+;;;;
tc33a;frax exce;hl;+;;;;
tc33a;frax exce;sl;2a;;;;
tc33a;frax exce;tl;4;;;;
tc33a;gale mont;hl;2b;;;;
tc33a;hypn cupr;ml;2b;;;;
tc33a;loni xylo;hl;2b;;;;
tc33a;loni xylo;sl;2b;;;;
tc33a;meli nuta;hl;+;;;;
tc33a;merc pere;hl;2b;;;;
tc33a;moeh trin;hl;+;;;;
tc33a;lact mura;hl;1;;;; | Changed myce mura To lact mura 2012-11-27 16:08:07
tc33a;pari quad;hl;+;;;;
tc33a;peta albu;hl;+;;;;
tc33a;phyt spic;hl;+;;;;
