plot;variable;value
tc1a;hhl;0,5
tc1a;cov;90
tc1a;tcov;0
tc1a;scov;0
tc1a;hcov;0
tc1a;mcov;0
tc1a;longitude;10,868828
tc1a;latitude;47,25536
tc1a;location;Tschirgant
tc1a;location.verbose;
tc1a;soil;
tc1a;comment;zweiter Aufwuchs
tc1b;plsx;4
tc1b;plsy;2
tc1b;exp;S
tc1b;slope;45
tc1b;htl;0
tc1b;hss;0
tc1b;hhl;0,8
tc1b;cov;80
tc1b;tcov;0
tc1b;scov;0
tc1b;hcov;80
tc1b;mcov;5
tc1b;longitude;10,868097
tc1b;latitude;47,254878
tc1b;location;Tschirgant
tc1b;location.verbose;Boeschung im Suedwesten
tc1b;soil;
tc1b;comment;
tc27a;plsx;3
tc27a;plsy;3
tc27a;exp;W
tc27a;slope;1
tc27a;htl;0
tc27a;hss;0
tc27a;hhl;2
tc27a;cov;100
tc27a;tcov;0
tc27a;scov;0
tc27a;hcov;100
tc27a;mcov;10
tc27a;longitude;10,840223
tc27a;latitude;47,292629
tc27a;location;Tschirgant
tc27a;location.verbose;
tc27a;soil;
tc27a;comment;
tc28a;plsx;4
tc28a;plsy;4
tc28a;exp;F
tc28a;slope;0
tc28a;htl;0
tc28a;hss;0
tc28a;hhl;0,75
tc28a;cov;100
tc28a;tcov;0
tc28a;scov;0
tc28a;hcov;80
tc28a;mcov;90
tc28a;longitude;10,84049
tc28a;latitude;47,294364
tc28a;location;Tschirgant
tc28a;location.verbose;zentral
tc28a;soil;Torf
tc28a;comment;
tc29a;plsx;20
tc29a;plsy;20
tc29a;exp;F
tc29a;slope;0
tc29a;htl;15
tc29a;hss;5
tc29a;hhl;0,5
tc29a;cov;100
tc29a;tcov;65
tc29a;scov;25
tc29a;hcov;85
tc29a;mcov;30
tc29a;longitude;10,841954
tc29a;latitude;47,295365
tc29a;location;Tschirgant
tc29a;location.verbose;im zentralen lichten und grasreichen Teil
tc29a;soil;
tc29a;comment;
tc2a;plsx;10
tc2a;plsy;20
tc2a;exp;SO
tc2a;slope;25
tc2a;htl;8
tc2a;hss;4
tc2a;hhl;0,5
tc2a;cov;80
tc2a;tcov;80
tc2a;scov;5
tc2a;hcov;5
tc2a;mcov;0
tc2a;longitude;10,868543
tc2a;latitude;47,255928
tc2a;location;Tschirgant
tc2a;location.verbose;
tc2a;soil;
tc2a;comment;
tc2b;plsx;10
tc2b;plsy;20
tc2b;exp;SO
tc2b;slope;25
tc2b;htl;8
tc2b;hss;4
tc2b;hhl;0,5
tc2b;cov;90
tc2b;tcov;80
tc2b;scov;50
tc2b;hcov;35
tc2b;mcov;0
tc2b;longitude;10,86878
tc2b;latitude;47,255828
tc2b;location;Tschirgant
tc2b;location.verbose;
tc2b;soil;
tc2b;comment;
tc33a;plsx;10
tc33a;plsy;20
tc33a;exp;F
tc33a;slope;0
tc33a;htl;12
tc33a;hss;3
tc33a;hhl;0,75
tc33a;cov;95
tc33a;tcov;75
tc33a;scov;55
tc33a;hcov;90
tc33a;mcov;20
tc33a;longitude;10,842302
tc33a;latitude;47,297135
tc33a;location;Tschirgant
tc33a;location.verbose;im oestlichen Drittel
