plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;survery region;location;type;observer
ga033;95;0;15;70;75;3;0;13;6;0,6;0,3;16;16;S;15;1;0;0;2020-05-19;47.714284;13.230897;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl & R. Kaiser
ga034;90;0;0;0;55;85;0;0;0;0,3;0,1;2;8;S;20;5;0;0;2020-05-19;47.712942;13.228594;10;Caricion remotae Kästner 1941;;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl & R. Kaiser
ga035;95;25;70;20;25;3;27;20;4;0,4;0,1;16;16;SE;25;3;0;0;2020-05-19;47.713181;13.230393;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl & R. Kaiser
ga036;95;10;10;45;85;3;27;13;4;0,5;0,2;16;16;S;15;1;0;0;2020-05-19;47.714111;13.232739;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl & R. Kaiser
ga037;99;0;0;0;99;3;0;0;0;0,7;0,05;4;4;SW;15;0;0;0;2020-06-02;47.706580;13.224149;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;lol per cyn;;;Wiesenlandschaft Gaissau;Hermannsreit;meadow;T. Eberl
ga038;97;0;0;0;94;40;0;0;0;0,4;0,05;4;4;W;15;0;0;0;2020-06-02;47.707245;13.227483;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga039;97;0;0;0;80;60;0;0;0;0,2;0,05;4;4;SW;7;0;0;0;2020-06-02;47.715544;13.235055;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 8 Latschenalmlift-Süd;skirun;T. Eberl & R. Kaiser
ga040;99;0;0;0;93;15;0;0;0;0,2;0,05;4;4;W;12;0;0;0;2020-06-02;47.707588;13.227764;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl & R. Kaiser
ga041;95;0;0;0;93;5;0;0;0;0,3;0,02;4;4;SW;;0;0;0;2020-06-16;47.706810;13.225214;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl & R. Kaiser
ga042;93;0;0;0;85;35;0;0;0;0,6;0,05;4;4;W;;0;0;0;2020-06-16;47.707125;13.226360;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl & R. Kaiser
ga043;95;0;0;0;85;60;0;0;0;0,3;0,02;4;4;W;;0;0;0;2020-06-16;47.707210;13.226790;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl & R. Kaiser
ga044;99;0;0;0;95;50;0;0;0;0,65;0,03;4;4;W;;0;0;0;2020-06-16;47.707227;13.227218;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl & R. Kaiser
ga045;100;0;0;0;97;5;0;0;0;0,5;0,05;4;4;W;;0;0;0;2020-06-16;47.707389;13.228101;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl & R. Kaiser
ga046;95;0;0;0;95;2;0;0;0;0,6;0,05;4;4;SW;20;0;0;2;2020-06-17;47.706705;13.225210;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga047;99;0;0;0;96;20;0;0;0;0,8;0,05;4;4;W;8;0;0;0;2020-06-17;47.707491;13.227848;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga048;99;0;0;0;98;5;0;0;0;1;0,1;4;4;W;5;0;0;0;2020-06-17;47.707561;13.228684;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga049;96;0;0;0;94;7;0;0;0;0,3;0,05;4;4;W;15;0;0;1;2020-06-17;47.707496;13.229205;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga050;96;0;0;0;95;15;0;0;0;0,6;0,05;4;4;W;15;0;0;0;2020-06-17;47.707352;13.230061;10;Cynosurion R. Tx. 1947;lol per cyn;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga051;100;0;0;0;99;5;0;0;0;0,9;0,1;4;4;W;7;0;0;0;2020-06-17;47.707269;13.231448;10;Calthion R. Tx. 1937 em. Bal.-Tul. 1978;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga052;93;0;0;0;93;1;0;0;0;0,3;0,05;4;4;SW;6;0;0;2;2020-06-17;47.707413;13.231974;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga053;99;0;0;0;93;60;0;0;0;0,6;0,05;4;4;SW;7;0;0;0;2020-06-17;47.708009;13.232754;10;Caricion davallianae Br.-Bl. 1949;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga054;100;0;0;0;99;5;0;0;0;0,8;0,1;4;4;SW;5;0;0;0;2020-06-17;47.708259;13.232877;10;Calthion R. Tx. 1937 em. Bal.-Tul. 1978;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga055;97;0;0;0;90;60;0;0;0;0,3;0,05;4;4;SW;15;0;0;0;2020-06-17;47.708678;13.233565;10;Caricion davallianae Br.-Bl. 1949;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga056;95;0;0;0;92;20;0;0;0;0,3;0,05;4;4;SW;17;0;0;1;2020-06-17;47.709207;13.234266;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga057;99;0;0;0;97;20;0;0;0;0,7;0,1;4;4;SW;15;0;0;0;2020-06-17;47.709256;13.234663;10;Caricion davallianae Br.-Bl. 1949;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga058;97;0;0;0;95;10;0;0;0;0,6;0,05;4;4;SW;15;0;0;0;2020-06-17;47.709293;13.234995;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga059;99;0;0;0;92;90;0;0;0;0,4;0,05;4;4;W;10;0;0;0;2020-06-17;47.709213;13.235331;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga060;77;0;0;0;75;3;0;0;0;0,4;0,05;4;4;W;25;0;0;6;2020-06-17;47.708703;13.235770;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga061;98;0;0;0;97;15;0;0;0;0,6;0,1;4;4;SW;10;0;0;0;2020-06-17;47.708769;13.237338;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga062;99;0;0;0;97;5;0;0;0;0,5;0,05;4;4;SW;13;0;0;0;2020-06-17;47.709290;13.238393;10;Cynosurion R. Tx. 1947;fes com cyn car;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga063;93;0;0;0;91;5;0;0;0;0,5;0,05;4;4;SW;5;1;0;0;2020-06-17;47.709711;13.239186;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga064;97;0;0;0;94;35;0;0;0;0,7;0,05;4;4;S;5;5;0;0;2020-06-17;47.710303;13.240019;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 10 Kurvenlift;skirun;T. Eberl
ga065;99;0;0;0;99;3;0;0;0;0,75;0,15;4;4;;;0;1;0;2020-06-22;47.710654;13.218780;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga066;97;0;0;0;91;1;0;0;0;0,6;0,1;4;4;;;0;3;0;2020-06-22;47.711525;13.217941;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga067;97;0;0;0;97;7;0;0;0;0,45;0,03;4;4;;;0;3;0;2020-06-22;47.712174;13.217271;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga068;99;0;0;0;99;1;0;0;0;0,4;0,05;4;4;;;0;1;0;2020-06-22;47.712824;13.217680;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga069;100;0;0;0;100;1;0;0;0;0,5;0,03;4;4;;;0;0;0;2020-06-22;47.713426;13.217865;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga070;99;0;0;0;97;3;0;0;0;0,4;0,02;4;4;;;0;1;0;2020-06-22;47.714337;13.218015;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga071;100;0;0;0;100;1;0;0;0;0,35;0,07;4;4;;;0;0;0;2020-06-22;47.715506;13.218309;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga072;97;0;0;0;95;30;0;0;0;0,55;0,03;4;4;;;0;3;0;2020-06-22;47.717205;13.218985;10;Cynosurion R. Tx. 1947;lol per cyn;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga073;99;0;0;0;90;10;0;0;0;0,25;0,03;4;4;;;0;1;0;2020-06-22;47.718823;13.219011;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga074;100;0;0;0;90;40;0;0;0;0,4;0,03;4;4;;;0;0;0;2020-06-22;47.719748;13.218971;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga075;97;0;0;0;95;5;0;0;0;0,4;0,03;4;4;;;0;1;0;2020-06-22;47.720599;13.219152;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga076;100;0;0;0;100;20;0;0;0;0,3;0,05;4;4;;;0;0;0;2020-06-22;47.721179;13.219161;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 1 Tal-Gaissau;meadow;R. Kaiser
ga077;98;0;0;0;97;10;0;0;0;0,6;0,05;4;4;;;1;1;0;2020-06-22;47.721495;13.219186;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 1 Tal-Gaissau;meadow;R. Kaiser
ga078;99;0;0;0;99;35;0;0;0;0,35;0,05;4;4;;;0;1;0;2020-06-22;47.722196;13.219401;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 1 Tal-Gaissau;meadow;R. Kaiser
ga079;97;0;0;0;95;10;0;0;0;0,8;0,03;4;4;;;2;1;0;2020-06-22;47.722671;13.219456;10;Cynosurion R. Tx. 1947;;;;Almgebiet;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga080;93;0;0;0;90;10;0;0;0;0,3;0,03;4;4;;;5;2;0;2020-06-22;47.723386;13.219683;10;Cynosurion R. Tx. 1947;;;;Almgebiet;Schigebiet Gaissau, Piste 1 Tal-Gaissau;skirun;R. Kaiser
ga081;98;0;0;0;97;5;0;0;0;0,35;0,03;4;4;;;0;2;0;2020-06-23;47.719451;13.214148;10;Cynosurion R. Tx. 1947;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga082;95;0;0;0;95;10;0;0;0;0,7;0,1;4;4;;;3;2;0;2020-06-23;47.719716;13.214416;10;Cynosurion R. Tx. 1947;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga083;99;0;0;0;97;7;0;0;0;0,8;0,05;4;4;;;0;1;0;2020-06-23;47.720036;13.214678;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;meadow;R. Kaiser
ga084;99;0;0;0;99;3;0;0;0;0,9;0,15;4;4;;;0;1;0;2020-06-23;47.720462;13.214869;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;meadow;R. Kaiser
ga085;99;0;0;0;99;3;0;0;0;0,75;0,15;4;4;;;0;1;0;2020-06-23;47.721178;13.215657;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;meadow;R. Kaiser
ga086;100;0;0;0;100;3;0;0;0;0,8;0,15;4;4;;;0;0;0;2020-06-23;47.721530;13.216093;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;meadow;R. Kaiser
ga087;97;0;0;0;97;1;0;0;0;0,8;0,15;4;4;;;0;0;0;2020-06-23;47.721841;13.216476;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;meadow;R. Kaiser
ga088;97;0;0;0;97;3;0;0;0;0,9;0,15;4;4;;;3;0;0;2020-06-23;47.722021;13.216734;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;meadow;R. Kaiser
ga089;99;0;0;0;99;3;0;0;0;0,3;0,03;4;4;;;0;1;0;2020-06-23;47.722401;13.217161;10;Cynosurion R. Tx. 1947;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga090;100;0;0;0;100;1;0;0;0;0,35;0,1;4;4;;;0;0;0;2020-06-23;47.722990;13.217561;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga091;98;0;0;0;97;3;0;0;0;0,35;0,03;4;4;;;1;1;0;2020-06-23;47.723819;13.218430;10;Cynosurion R. Tx. 1947;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga092;100;0;0;0;100;0;0;0;0;0,3;0,1;4;4;;;0;0;0;2020-06-23;47.724629;13.218862;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga093;90;0;0;0;90;1;0;0;0;0,7;0,25;4;4;;;0;10;0;2020-06-23;47.725356;13.219542;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga094;100;0;0;0;100;1;0;0;0;0,6;0,15;4;4;;;0;0;0;2020-06-23;47.725711;13.219722;10;Nardo-Agrostion tenuis Sillinger 1933;;;;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga095;99;0;0;0;99;0;0;0;0;0,75;0,1;4;4;;;0;1;0;2020-06-23;47.722766;13.217367;10;Nardo-Agrostion tenuis Sillinger 1933;;;Festuca nigrescens Fazies;Almgebiet;Schigebiet Gaissau, Piste 2 Spielberg;pasture;R. Kaiser
ga096;99;0;0;0;75;75;0;0;0;0,25;0,01;4;4;;;1;0;0;2020-06-24;47.715853;13.233902;10;Cynosurion R. Tx. 1947;lol per cyn;;;Schipisten;Schigebiet Gaissau, Piste 5 Latschenalmlift-West;skirun;R. Kaiser
ga097;98;0;0;1;95;30;0;0;0,7;0,2;0,02;4;4;;;1;1;0;2020-06-24;47.716753;13.234113;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 5 Latschenalmlift-West;skirun;R. Kaiser
ga098;98;0;0;0;90;30;0;0;0;0,2;0,01;4;4;;;1;1;0;2020-06-24;47.717262;13.234112;10;Cynosurion R. Tx. 1947;lol per cyn;;;Schipisten;Schigebiet Gaissau, Piste 5 Latschenalmlift-West;skirun;R. Kaiser
ga099;95;0;0;0;85;15;0;0;0;0,3;0,03;4;4;;;2;3;0;2020-06-24;47.717859;13.234005;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 7 Latschenalmlift-Mitte;skirun;R. Kaiser
ga100;98;0;0;0;96;15;0;0;0;0,4;0,05;4;4;SW;5;0;0;0;2020-06-23;47.715881;13.237215;10;Cynosurion R. Tx. 1947;lol per cyn;;;Schipisten;Schigebiet Gaissau, Piste 8 Latschenalmlift-Süd;skirun;T. Eberl
ga101;94;0;0;0;93;3;0;0;0;0,5;0,05;4;4;SW;10;0;0;0;2020-06-23;47.715937;13.238074;10;Cynosurion R. Tx. 1947;lol per cyn >;;;Schipisten;Schigebiet Gaissau, Piste 8 Latschenalmlift-Süd;skirun;T. Eberl
ga102;96;0;0;0;96;2;0;0;0;0,4;0,05;4;4;W;10;0;0;0;2020-06-23;47.715966;13.238647;10;Cynosurion R. Tx. 1947;;;;Schipisten;Schigebiet Gaissau, Piste 8 Latschenalmlift-Süd;skirun;T. Eberl
ga103;96;0;0;0;96;3;0;0;0;0,3;0,05;4;4;SW;15;0;0;0;2020-06-23;47.716210;13.239155;10;unclassified;;;;Schipisten;Schigebiet Gaissau, Piste 8 Latschenalmlift-Süd;skirun;T. Eberl
ga104;96;0;0;0;94;20;0;0;0;0,6;0,1;4;4;NW;10;0;0;0;2020-06-23;47.716862;13.240077;10;Caricion davallianae Br.-Bl. 1949;;;;Schipisten;Schigebiet Gaissau, Piste 8 Latschenalmlift-Süd;skirun;T. Eberl
