plot;abbr;layer;cover;comment;history
wg09;luzu sude;hl;+;;
wg09;luzu sylv sieb;hl;r;;
wg09;lych flos cucu;hl;+;;
wg09;lysi nemo;hl;+;;
wg09;ping vulg;hl;+;;
wg09;pote erec;hl;2a;;
wg09;ranu mont;hl;+;;
wg09;ranu repe;hl;+;;
wg09;rubu idae;hl;r;;
wg09;rume alpe;hl;r;;
wg09;sene caca;hl;+;;
wg09;trif prat prat;hl;+;;
wg09;vale dioi dioi;hl;+;;
wg09;vero becc;hl;+;;
wg09;vero cham cham;hl;+;;
wg09;will stip stip;hl;1;;
wg09;call cusp;ml;3;;
wg09;hylo sple;ml;+;;
wg09;palu comm falc;ml;+;;
wg09;phil calc;ml;1;;
wg10;agro stol;hl;2a;;
wg10;bell mich;hl;+;;
wg10;camp sche;hl;r;;
wg10;card amar aust;hl;r;;
wg10;care dava;hl;+;;
wg10;epil alsi;hl;+;;
wg10;equi palu;hl;+;;
wg10;rhod hirs;hl;r;;
wg10;saxi aizo;hl;+;;
wg10;saxi stel robu;hl;1;;
wg10;sold alpi;hl;1;;
wg10;stel alsi;hl;r;;
wg10;vale dioi dioi;hl;r;;
wg10;viol bifl;hl;1;;
wg10;will stip stip;hl;1;;
wg10;palu comm falc;ml;3;;
wg10;phil calc;ml;r;;
