taxon;abbr;layer;comment;23-W-L;24-W-L;25-W-L;26-Wi-L;27-W-L;28-W-M;29-W-M;30-W-L;31-W-L;45-La-W;46-La-W;47-W-L;55-W-M;56-W-M
Fraxinus excelsior;frax exce;hl;;;;;;2a;;+;;;;;;+;
Galeobdolon luteum;gale lute;hl;;;;;;;;;;;;;;;
Galeopsis tetrahit;gale tetr;hl;;;;;;;;;;;;;;;
Galinsoga ciliata;gali cili;hl;;;;;;;;;;;;;;;
Galium album;gali albu;hl;;;;1;+;;;;;;;;;;
Galium aparine;gali apar;hl;;;;;;r;+;;+;+;;;;;
Galium odoratum;gali odor;hl;;;;;;;;;;;;;;;
Galium verum        ;gali veru;hl;;;;;;;;;;;;;;;
Gentiana cruciata;gent cruc;hl;;;;;;;;;;;;;;;
Geranium molle;gera moll;hl;;;;;;;;;;;;;;;
Geranium phaeum;gera phae;hl;;;;;;;;;;;;;;;
Geranium pratense;gera prat;hl;;;;;;;;;;;;;;;
Geranium pyrenaicum;gera pyre;hl;;;;;;;;;;;;;;;
Geranium robertianum;gera robe;hl;;;;;;;;;;;;;;;
Geum urbanum;geum urba;hl;;+;+;;;;;+;+;;;+;r;+;
Glechoma hederacea;glec hede;hl;;+;;+;;;;;;;;;+;;
Glyceria fluitans;gylc flui;hl;;;;;;;;;;;;;;;
Gymnapedia conopsea;gymn cono;hl;;;;;;;;;;;;;;;
Hedera helix;hede heli;hl;;;;;;;;;;;;;;;3
Helianthemum nummularium obscurum;heli numm obsc;hl;;;;;;;;;;;;;;;
Hepatica nobilis;hepa nobi;hl;;;;;;;;;;;;;;;
Heracleum sphondylium;hera spho spho;hl;;;;+;2a;;;;;;;;;;
Hieracium spec;hier spec ies;hl;;;;;;;;;;;;;;;
Holcus lanatus;holc lana;hl;;;;+;;;;;;;;;;;
Humulus lupulus;humu lupu;hl;;;;;;;+;;;;;;;;
Hypericum perforatum;hype perf;hl;;;r;;;;;;;+;;;;;
Hypericum tetrapterum;hype tetr;hl;;;;;;;;;;;;;;;
Impatiens glandulifera;impa glan;hl;;;;;;;3;;;;;;;;
Impatiens noli-tangere;impa noli;hl;;;;;;;;;2a;+;;;;+;
Impatiens parviflora;impa parv;hl;;;;;;;;;;;;;+;;
Inula hirta;inul hirt;hl;;;;;;;;;;;;;;;
Juglans regia;jugl regi;hl;;;;;;;;;;;;;;;
Juncus conglomeratus;junc cong;hl;;;;;;;;;;;;;;;
Juncus effusus;junc effu;hl;;;;;;;;;;;;;;;
Juncus spec.;junc spec ies;hl;;;;+;+;;;;;;;;;;
Knautia arvensis    ;knau arve slat;hl;;;;;;;;;;;;;;;
Lamium galeobdolon;gale mont;hl;;;;;;;;;;;;;2a;;
Lamium maculatum;lami macu;hl;;2a;;;;;;4;;;;2b;;3;
Lathyrus pratensis;lath prat prat;hl;;;;;;;;;;;;;;;
Lathyrus sylvestris;lath sylv;hl;;;;;;;;;;;;;;;
Leontodon hispidus;leon hisp slat;hl;;;;;;;;;;;;;;;
 Leucanthemum vulgare agg;leuc vulg aggr;hl;;;;+;;;;;;;;;;;
Ligustrum vulgare;ligu vulg;hl;;;2a;;;2a;;;2b;;;;;;+
Lilium bulbiferum;lili bulb bulb;hl;;;;;;;;;;;;;;;
Lilium martagon;lili mart;hl;;r;;;;;;;;;;;;;
Linaria arvensis;lina arve;hl;;;;;;;;;;;;;;;
Listera ovata;list ovat;hl;;;;;;;;;;;;;;;
Lolium perenne;loli pere;hl;;;;2m;2m;;;;;;;;;;
Lonicera xylosteum;loni xylo;hl;;;;;;r;;;;;;;;;
Lotus corniculatus;lotu corn slat;hl;;;;;;;;;;;;;;;
Lycopus europaeus;lyco euro euro;hl;;;;;;;;;;;;;;;
Lysimachia nummularia;lysi numm;hl;;;;;;;;;;;;;;;
Lythrum salicaria;lyth sali;hl;;;;;;;;;;;;;;;
Matricaria chamomilla;matr cham;hl;;;;;;;;;;;;;;;
Medicago × varia;medi vari;hl;;;;;+;;;;;;;;;;
Medicago falcata;medi falc;hl;;;;;;;;;;;;;;;
Medicago lupulina;medi lupu;hl;;;;+;+;;;;;;;;;;
Melampyrum nemorosum;mela nemo;hl;;;;;;;;;;;;;;;
Melica nutans;meli nuta;hl;;;;;;+;;;;+;;;;;
Mentha longifolia;ment long;hl;;;;;;;;;;;;;;;
Mercurialis perennis;merc pere;hl;;;;;;;;;;;;;;;
Myosoton aquaticum;myos aqua;hl;;;;;;;;;;;;;;;
Orchis militaris;orch mili;hl;;;;;;;;;;;;;;;
Orchis tridentata;orch trid;hl;;;;;;;;;;;;;;;
Origanum vulgare;orig vulg;hl;;;;;2a;;;;;;;;;;
Orobanche cf gracilis;orob grac;hl;cf.;;;;;;;;;;;;;;
Prunus padus;prun padu padu;hl;;;;;;;;;;;;;;;
Paris quadrifolia;pari quad;hl;;+;+;;;;;;;+;;;+;;+
Pastinaca sativa;past sati sati;hl;;;;;;;;;;;;;;;
Persicaria dubia;pers dubi;hl;;;;;;;;;;;;;;;
Persicaria hydropiper;pers hydr;hl;;;;;;;;;;;;;;;
Petasites hybridus;peta hybr;hl;;;;;;;;;;;;;;;
Peucedanum cervaria;peuc cerv;hl;;;;;;;;;;;;;;;
Phalaris arundinacea;phal arun;hl;;;;;;;;;;;+;;;;
Phleum pratense;phle prat;hl;;;;;;;;;;;;;;;
Phragmites australis;phra aust;hl;;;;;;;;;;;;;;;
Phyteuma spicatum;phyt spic spic;hl;;+;;;;;;;;;;;;;
Picris hieracioides;picr hier slat;hl;;;;;;;;;;;;;;;
Plantago lanceolata;plan lanc;hl;;;;2a;;;;;;;;;;;
Plantago major;plan majo slat;hl;;;;+;;;;;;;;;;;
Plantago media;plan medi;hl;;;;;;;;;;;;;;;
Poa annua;poa annu;hl;;;;;1;;;;;;;;;;
Poa compressa;poa comp;hl;;;;;;;;;;;;;;;
Poa nemoralis;poa nemo;hl;;;;;;;;;;;;;;;
Poa pratensis;poa prat;hl;;;;1;2a;;;;;;;;;;
Poa trivialis;poa triv;hl;;;;2m;;;;;;;;;;;
Polygonatum multiflorum;poly mult;hl;;+;;;;+;;;;+;;;+;;+
Polygonum aviculare;poly avic slat;hl;;;;;;;;;;;;;;;
Populus canadensis;popu cana;hl;;;;;;;;;;;;;;;
Potentilla spec;pote spec ies;hl;;;;;;;;;;;;;;;
Primula elatior;prim elat;hl;;;;;;;;;;;;;r;+;
Prunella grandiflora;prun gran;hl;;;;;;;;;;;;;;;
Prunella vulgaris;prun vulg;hl;;;;;;;;;;;;;;;
Prunus spinosa;prun spin;hl;;;;;;;;;;;;;;;
Pulmonaria officinalis;pulm offi;hl;;2a;2a;;;;;;;+;;;2a;;
Quercus robur;quer robu;hl;;;;+;;2a;;;;+;;;;;
Ranunculus acris;ranu acri acri;hl;;;;+;+;r;;;;;;;;;
Ranunculus repens;ranu repe;hl;;;;;;;;;;;;;;;
Ranunculus spec;ranu spec ies;hl;;;;;;;;+;;;;;;;
Resedea lutea;rese lute;hl;;;;;;;;;;;;;;;
Rhinanthus alectorolophus;rhin alec alec;hl;;;;;;;;;;;;;;;
Roegneria canina (Elymus caninus);roeg cani;hl;;;;;;;;;;;;;;;
Rorippa palustris;rori palu;hl;;;;;;;;;;;;;;;
Rubus caesisus;rubu caes;hl;;;;;;;;2a;4;;;;;3;
Rumex acetosa;rume acet osa;hl;;;;;;;;;;;;;;;
Rumex crispus;rume cris;hl;;;;;;;;;;;;;;;
Rumex obtusifolius;rume obtu slat;hl;;;;;;;;;;;;;;;
Rumex spec.;rume spec ies;hl;;;;;;;;;;;;;;;
Salix alba;sali alba;hl;;;;;;;;;;;;;;;
Salix eleagnos;sali elea elea;hl;;;;;;;;;;;;;;;
Salix purpurea;sali purp;hl;;;;;;;;;;;;;;;
Salvia glutinosa;salv glut;hl;;;+;;;2a;;;2a;2a;;;2a;;
Salvia nemorosa;salv nemo;hl;;;;;;;;;;;;;;;
Salvia pratensis;salv prat prat;hl;;;;;;;;;;;;;;;
Sambucus nigra;samb nigr;hl;;+;;;;;;;;;;;;;
Sanguisorba minor;sang mino slat;hl;;;;;;;;;;;;;;;
Scrophularia nodosa;scro nodo;hl;;;;;;;;;;;;;;;
Scrophularia umbrosa;scro umbr slat;hl;;;;;;;;;;;;;;;
Securigera varia;secu vari;hl;;;;;;;;;;;;;;;
Sedum sexanulare;sedu sexa;hl;;;;;;;;;;;;;;;
Silene vulgaris;sile vulg vulg;hl;;;;;;;;;;;;;;;
Solidago canadensis;soli cana;hl;;;;;;;;;;;;;;;
Solidago gigantea;soli giga;hl;;;;;;;;;2a;;5;;;;
Sonchus arvensis;sonc arve slat;hl;;;;;;;;;;+;;+;;;
Sorbus aria;sorb aria;hl;;;;;;;;;;;;;;;
Stachys sylvatica;stac sylv;hl;;;+;;;2a;;2a;;;;;2a;;+
Stellaria intermedia;stel medi;hl;Stellaria media;+;;;;;;;;;;;;;
Stellaria nemorum;stel nemo;hl;;;;;;;;;;;;;;;
Symphytum officinale;symp offi;hl;;;;;;;;;;;;;;;
Taraxacum officinale agg;tara sect rude;hl;;;;2a;2a;;;;;+;;;;;
Teucrium chamaedrys;teuc cham;hl;;;;;;;;;;;;;;;
Tilia coradata;tili cord;hl;;;;;;;;;;+;;;;;
Tilia platyphyllos;tili plat;hl;;;;;;;;;;;;;;;
Tragopogon pratensis;trag prat slat;hl;;;;;;;;;;;;;;;
Trifolium medium;trif medi medi;hl;;;;;;;;;;;;;;;
Trifolium montanum;trif mont mont;hl;;;;;;;;;;;;;;;
