taxon;abbr;layer;comment;3-W-Fe;4-Wi-Fe;5-Wi-Fe;6-Wi-Fe;7-Wi-Fe;20-Wi-F;21-G-F;21b-W-F;22-W-F;22b-G-F;38-F-G;39-F-W;40-F-W;41-F-Wi;42-F-W;43-F-W;61-V-F;62-G-F;63-G-F;64-W-F;65-W-F;66-W-F;67-G-F;68-W-M;69-W-M;70-W-F;71-W-F;72-W-F;73-TR-F;74-G-F;75-W-F;76-Wi-F;77-G-F;77a-G-F;87-G-F;87a-G-F;88-W-F;89-W-F;90-G-F
Dianthus carthusianorum;dian cart slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;+;;;+;;;
Echium vulgare;echi vulg;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;+;;;
Elytrigia repens;elyt repe;hl;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;3;;;;;;;
Equisetum arvense;equi arve;hl;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;2a;;;;;;;;
Erigeron annuus;erig annu slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;
Erysimum diffusum;erys diff;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euonymus europaea;euon euro;sl;;;;;;;;;2a;;;;2a;;;;;;;;;;2a;;;;;;2a;;;;;;;;;;;
Euonymus europaea;euon euro;hl;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euonymus verrucosus;euon verr;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euphorbia cyparissias;euph cypa;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;2b;;;2b;;;+
Euphorbia dulcis;euph dulc;hl;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;
Fagus sylvatica;fagu sylv;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;
Fagus sylvatica;fagu sylv;tl2;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;
Fallopia japonica;fall japo;sl;;;;;;;;;;;;2a;;;;;;;2b;;;;;;;;;;;;2b;;;;;;;;;
Fallopia japonica;fall japo;hl;;;;;;;;;;;;;;;;;;2b;2b;2b;;;;;;;;;;;;;;;;;;;;
Festuca pratensis;fest prat prat;hl;;2m;;;;;2a;1;;;;1;;;;;;;;;+;;;;;;;;;;;;;;;;;;;
Festuca spec.;fest spec ies;hl;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2m;;;;;;;2m;;;
Frangula alnus;fran alnu;sl;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;
Fraxinus excelsior;frax exce;tl1;;;;;;;;2a;4;3;3;;2a;;;2b;;;;2b;3;3;3;2a;;2b;3;2a;;;2b;2b;;;;2a;;;3;
Fraxinus excelsior;frax exce;tl2;;;;;;;;2b;2b;2a;2a;2a;2a;;;;;;;2a;2b;3;2b;;;;2a;;;2a;2a;2a;;2a;;;;;2b;
Fraxinus excelsior;frax exce;hl;;;;;;;;;;;;+;;2a;;;;;;;;;;;;2a;;;;;;;;;;;;;;
Galeobdolon luteum;gale lute;hl;;;;;;;;;;;;;;;;;;;;;;;;;2a;;+;;;;;;;;;;;;;
Galium album;gali albu;hl;;+;2a;+;+;+;1;;;;+;;;;;;;;;;;;;;;;;;;+;;;3;;;;;;;+
Galium aparine;gali apar;hl;;;;;;;;;+;+;+;;;;+;;1;2a;;;;;;+;;;;;;;;;;;;r;;;;
Galium verum        ;gali veru;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;2a;;;
Geranium molle;gera moll;hl;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geranium pyrenaicum;gera pyre;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
Geranium robertianum;gera robe;hl;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geum urbanum;geum urba;hl;;;;;;;;r;+;+;;+;;;;;;;;2a;;+;;+;;;+;+;;;;+;;;;;;;;
Glechoma hederacea;glec hede;hl;;;+;;+;;;+;+;+;+;;;;;2a;;;;3;;;;;;;+;;;;;;;;;;;;;+
Hedera helix;hede heli;hl;;;;;;;;;+;+;;;2a;;;;;;;+;;2a;;;;;2b;;;;;;;;;;;;;
Helianthemum ovatum;heli numm obsc;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;2a;;;
Hepatica nobilis;hepa nobi;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Heracleum sphondylium;hera spho spho;hl;;+;;;;2a;2a;;;;+;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;
Holcus lanatus;holc lana;hl;;;;;;;+;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;
Humulus lupulus;humu lupu;hl;;;;;;;;+;;;+;;;;;;;;;;;+;;2a;;;;;;;;;;;;+;;;;
Hypericum perforatum;hype perf;hl;;;;;;;;;;;r;2a;;;;;;;;;;;;;;;;;;;;;;2a;;;+;r;;+
Impatiens glandulifera;impa glan;hl;;;;;;;;2b;;;;;;;2a;2a;+;2a;2b;2a;2b;;;3;;;;+;;;;2b;;;;;;2b;;
Impatiens noli-tangere;impa noli;hl;;;;;;;;;2a;+;;;;;;;;;;2a;;;;;;2b;;;;;;;;;;;;;+;
Impatiens parviflora;impa parv;hl;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;
Inula hirta;inul hirt;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Juglans regia;jugl regi;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;
Juncus conglomeratus;junc cong;hl;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;+;
Juncus effusus;junc effu;hl;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;
Juncus spec.;junc spec ies;hl;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
Knautia arvensis    ;knau arve slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;r
Lamium maculatum;lami macu;hl;;;;;;;;;2a;2a;;;;;;4;;;;2b;;;;2a;2a;;;;;;;;;;;;;;;
Lathyrus pratensis;lath prat prat;hl;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lathyrus sylvestris;lath sylv;hl;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;
Leontodon hispidus;leon hisp slat;hl;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;
Ligustrum vulgare;ligu vulg;sl;;;;;;;;2a;;;;;;;;;;;;;2b;;;;;;;3;2a;3;;;;;;;2a;;;3
Ligustrum vulgare;ligu vulg;hl;;;;;;;;;;;;;;;;;;;;;;2a;2b;;;+;;;;2b;;;;;;;;;;+
Lilium bulbiferum;lili bulb bulb;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;
Lilium martagon;lili mart;hl;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;+;;;;;;;;;;;
Linaria arvensis;lina arve;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Listera ovata;list ovat;hl;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;+;;;;;;;;;;;
