taxon;abbr;layer;comment;1-W-Ma;2-W-Ma;8-Wi-D;9-Wa-D;10-Wi-D;11-Wi-D;12-Wi-D;13-Wi-D;14-Wi-D;15-Wi-D;16-Wi-D;17-Wi-D;18-Wi-D;32-W-D;33-W-D;34-W-D;35-W-D;36-H-D;37-Wi-D;48-D-W;49-D-G;50-M-W;51-M-W;53-M-G;54-W-M;54a-W-M;54b-W-M;79-G-D;81-W-D;84-W-D;85-Wi-D
Hieracium spec;hier spec ies;hl;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;
Holcus lanatus;holc lana;hl;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Humulus lupulus;humu lupu;hl;;;;;;;;;;;;;;;1;;;;;;2a;;;2a;;;;;;;+;
Hypericum perforatum;hype perf;hl;;+;;;;;;;;;;;;;;;;;;;;;;;;;+;;;r;;+
Impatiens glandulifera;impa glan;hl;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;
Impatiens noli-tangere;impa noli;hl;;;;;2a;;;;;;;;;;;;;2b;;;+;;;;;;;;;+;;
Impatiens parviflora;impa parv;hl;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inula hirta;inul hirt;hl;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;
Juncus spec.;junc spec ies;hl;;+;;;;2a;;+;;;+;;;;;;;;2a;;;;;;;;;;;;;r
Knautia arvensis    ;knau arve slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamium maculatum;lami macu;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lathyrus pratensis;lath prat prat;hl;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leontodon hispidus;leon hisp slat;hl;;;;;;;;;;;+;;+;;;;;;+;;;;;;;;;;;;;
Ligustrum vulgare;ligu vulg;sl;;;;;;;;;;;;;;;;2a;3;;;;;;;;;;;2a;;;;2a
Ligustrum vulgare;ligu vulg;hl;;;;;;;;;;;;;;;;;;2b;2a;;;;;;;;;;;;;
Lilium bulbiferum;lili bulb bulb;hl;;;;;+;;;;;;;;;;;;2a;;2a;;;;;;;;;;;;;
Listera ovata;list ovat;hl;;;;;+;;;;;;;;;;;;+;;;;;;;;;;;;;+;;
Lolium perenne;loli pere;hl;;+;3;;;;2m;2a;5;4;;+;;2a;;;;;;3;;;;;;;;;;;;
Lonicera xylosteum;loni xylo;sl;;;;;2a;;;;;;;;;;2a;2a;2a;2a;;;;;;;;;;;;2a;2b;
Lonicera xylosteum;loni xylo;hl;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;+;
Lotus corniculatus;lotu corn;hl;;+;;;;;+;;;;;;r;;;;;;+;;;;;;;;;;;;;
Lysimachia nummularia;lysi numm;hl;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lythrum salicaria;lyth sali;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matricaria recta;matr cham;hl;;;;;;;;;;+;;;r;;;;;;;;;;;;;;;;;;;
Medicago × varia;medi vari;hl;;;;+;;2a;2a;;;;;+;;;;;;;+;;;;;;;;;;;;;+
Medicago falcata;medi falc;hl;;;;;;;;;;;;;+;;;;;;2a;;;;;;;;;;;;;
Medicago lupulina;medi lupu;hl;;;;;;+;;;;;+;+;+;r;;;r;;+;;;;;;;;;;;;;
Melampyrum nemorosum;mela nemo;hl;;;;;2a;;;;;;;;;;;2a;2a;;;;;;;;;;;;;2a;;
Melica nutans;meli nuta;hl;;;;;2a;;;;;;;;;;;;+;2m;;;;;;;;;;;;;;
Orchis militaris;orch mili;hl;;;;;;;;;;;;;;;;;+;;+;;;;;;;;;;;;;
Orchis tridentata;orch trid;hl;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;
Origanum vulgare;orig vulg;hl;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;
Orobanche cf grazilis;orob grac;hl;cf.;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;
Padus avium;prun padu slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paris quadrifolia;pari quad;hl;;;;;2a;;;;;;;;;;;+;+;;;;;;;;;;;;;;;
Pastinaca sativa;past sati sati;hl;;+;;+;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
Phalaris arundinacea;phal arun;hl;;;;;;;;;;;;;;;;;;;;;;;2b;4;;;;;3;;;
Phleum pratense;phle prat;hl;;;;;;;2m;;;;;;;1;;;;;;;;;;;;;;;;;;
Phyteuma spicatum;phyt spic spic;hl;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;pice abie;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;
Picea abies;pice abie;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;
Pimpinella saxifraga;pimp saxi slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinus sylvestris;pinu sylv;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;
Pinus sylvestris;pinu sylv;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
Plantago lanceolata;plan lanc;hl;;2a;;2a;;2a;;2a;2a;;2a;2a;2a;2a;;+;;;;;;;;;;;;;;+;;+
Plantago major;plan majo slat;hl;;;;;;;2a;;2a;;;;;;;;;;;;;;;;;;;;;;;
Plantago media;plan medi;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;
Poa annua;poa annu;hl;;;;+;;;+;;;2a;;+;;;;1;;;;;;;;;;;;;;;+;
Poa compressa;poa comp;hl;;;;;;;+;;;;;;1;;;;;;;;;;;;;;;;;;;
Poa nemoralis;poa nemo;hl;;;;;;;;;;;;;;;;1;;1;;;;;;;;;+;;;1;2a;
Poa pratensis;poa prat;hl;;2m;;2b;;;;;2a;2a;3;2m;;;;;2m;;;;;;;;;;;;;;;
Poa trivialis;poa triv;hl;;;;;1;3;1;3;;;;2a;2m;;;;;;;;;;;;;;;;;;;+
Polygonatum multiflorum;poly mult;hl;;;;;r;;;;;;;;;;;+;;;;;;;;;;;;;;;;
Polygonum arviculare;poly avic slat;hl;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;
Populus alba;popu alba;tl1;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;
Populus balsamifera;popu bals;tl1;;;;;;;;;;;;;;;;;;;;;;;;2b;;2a;;;;;;
Populus canadensis;popu cana;tl1;;;;;;;;;;;;;;;;;;;;;;;;2b;2b;;;;;;;
Populus canadensis;popu cana;tl2;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;;;;
Populus nigra;popu nigr;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;
Populus nigra;popu nigr;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;2a
Populus spec.;popu spec ies;tl2;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;
Potentilla spec;pote spec ies;hl;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;
Prunella grandiflora;prun gran;hl;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;
Prunus padus;prun padu slat;tl2;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;2a;2a;
Pulmonaria officinalis;pulm offi;hl;;;;;r;;;;;;;;;;;;;2a;;;;;;;;;;;;;;
Quercus robur;quer robu;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;
Quercus robur;quer robu;hl;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;r;;
Ranunculus acris;ranu acri acri;hl;;+;;;;+;+;+;+;;+;+;;+;;;;;+;2a;;;;;;;;;;;;
Ranunculus repens;ranu repe;hl;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;
Ranunculus spec;ranu spec ies;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resedea lutea;rese lute;hl;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;
Rhinanthus alectorolophus;rhin alec alec;hl;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robinia pseudoacacia;robi pseu;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;
Rubus caesisus;rubu caes;hl;;;;;2a;;;;;;;;;;;4;2a;;;;2b;;2b;;;3;2a;;;3;3;2a
Rumex obtusifolium;rume obtu slat;hl;;;;2a;;;+;;2a;2a;;+;;r;;;;;;2a;;;;;;;;;;;;
Salix alba;sali alba;tl1;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;
Salix alba;sali alba;tl2;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;
Salix alba;sali alba;sl;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;
Salix eleagnos;sali elea elea;tl2;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;
Salix eleagnos;sali elea elea;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;
Salix fragilis;sali frag;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;
Salix fragilis;sali frag;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;
Salix purpurea;sali purp;tl1;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;
Salix purpurea;sali purp;tl2;;;;;;;;;;;;;;;;;;;;;2b;;2b;;;;;;;;;2a
Salix purpurea;sali purp;sl;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;4;;;
Salix viminalis;sali vimi;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;
Salvia glutinosa;salv glut;hl;;;;;;;;;;;;;;;+;2a;2a;;;;;;;;;;+;;;+;2a;
Salvia pratensis;salv prat prat;hl;;+;;+;;;+;;;;2a;+;+;;;;;;2a;;;;;;;;;;;;;+
Sambucus nigra;samb nigr;sl;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;2a;
Sambucus nigra;samb nigr;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sanguisorba minor;sang mino slat;hl;;+;;;;;;;;;;;+;;;;;;+;;;;;;;;;;;;;
Scrophularia nodosa;scro nodo;hl;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;
Securigera varia;secu vari;hl;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Sedum sexanulare;sedu sexa;hl;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;
Silene vulgaris;sile vulg vulg;hl;;;;+;;+;+;;;;;+;r;;;;;;+;;;;;;;;;;;;;
Solidago gigantea;soli giga;hl;;;;;;;;;;;;;;;5;+;3;;;;;2b;;;;;;;;;3;2b
Stachys sylvatica;stac sylv;hl;;;;;2a;;;;;;;;;;;;2a;;;;;;;;;;+;;;+;2a;
Stellaria media;stel medi;hl;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;
Symphytum officinale;symp offi;hl;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;
Taraxacum officinale agg;tara sect rude;hl;;2a;2b;2b;r;+;2a;2a;2a;2a;3;2a;2a;2a;;;;;;2a;;;;;;;;;;;;
Tilia cordata;tili cord;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;
Tilia cordata;tili cord;tl2;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;2b;;2a
Tilia platyphyllos;tili plat;tl1;;;;;;;;;;;;;;;;3;;4;;;;;;;;;;;;;;
Tilia platyphyllos;tili plat;tl2;;;;;;;;;;;;;;;;2a;2a;3;;;;;;;;;;;;;2a;
Tragopogon pratensis;trag prat slat;hl;;+;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;
Trifolium medium;trif medi medi;hl;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Trifolium montanum;trif mont mont;hl;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;
Trifolium pratense;trif prat prat;hl;;2a;;+;;;2a;3;;2a;;2a;2a;2a;;+;;;;2a;;;;;;;;;;;;
Trifolium repens;trif repe repe;hl;;2a;;2b;;+;2a;;2a;3;2a;2a;2a;2a;;+;;;;2a;;;;;;;;;;;;
Trisetum flavescens;tris flav flav;hl;;;;;;2m;3;2a;;;3;2b;3;2m;;;;;;2m;;;;;;;;;;;;
Tussilago farfara;tuss farf;hl;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;
Ulmus glabra;ulmu glab;tl2;;;;;;;;;;;;;;;;;;2a;;;2a;;2a;;;;;;;2a;2a;
Ulmus laevis;ulmu laev;hl;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urtica dioica;urti dioi dioi;hl;;+;;+;;;;;;;;;;;2a;;;;;;2a;2a;2b;2a;;3;;;;;;
Valeriana officinalis;vale offi slat;hl;;;;+;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Veronica chamaedrys;vero cham cham;hl;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;
Viburnum lantana;vibu lant;sl;;;;;;;;;;;;;;;;2a;2b;;;;;;2a;;;;;;;2a;2a;
Viburnum lantana;vibu lant;hl;;;;;+;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Vicia cracca;vici crac;hl;;+;;;;;;+;;;;+;;;;;;;+;;;;;;;;;;;;;r
Vicia spec;vici spec ies;hl;;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;
Viola reichenbachiana;viol reic;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;
Viola spec;viol spec ies;hl;;;;;+;;;;;;;;;;;+;;+;;;;;;;;;;;;;;
