"plot";"abbr";"layer";"cov"
"m10";"rhod ferr";"hl";1
"m10";"tric cesp cesp";"hl";1
"m10";"vacc myrt";"hl";1
"m10";"vacc micr";"hl";1
"m10";"vacc ulig";"hl";1
"m10";"vacc viti";"hl";1
"m10";"spha spec ies";"ml";1
"m10";"pice abie";"sl";1
"m10";"pinu cemb";"sl";1
"m11";"andr poli";"hl";1
"m11";"dros rotu";"hl";1
"m11";"erio angu";"hl";1
"m11";"erio vagi";"hl";1
"m11";"sela sela";"hl";1
"m11";"moli caer aggr";"hl";1
"m11";"parn palu";"hl";1
"m11";"pice abie";"hl";1
"m11";"pote erec";"hl";1
"m11";"tofi caly";"hl";1
"m11";"tric cesp cesp";"hl";1
"m12";"andr poli";"hl";1
"m12";"bart alpi";"hl";1
"m12";"call vulg";"hl";1
"m12";"care dioi";"hl";1
"m12";"care nigr";"hl";1
"m12";"care rost";"hl";1
"m12";"dros rotu";"hl";1
"m12";"erio angu";"hl";1
"m12";"erio lati";"hl";1
"m12";"moli caer aggr";"hl";1
"m12";"parn palu";"hl";1
"m12";"ping alpi";"hl";1
"m12";"pote erec";"hl";1
"m12";"tofi caly";"hl";1
"m12";"tric cesp cesp";"hl";1
"m13";"andr poli";"hl";1
"m13";"call vulg";"hl";1
"m13";"care rost";"hl";1
"m13";"cirs palu";"hl";1
"m13";"dros rotu";"hl";1
"m13";"equi sylv";"hl";1
"m13";"erio angu";"hl";1
"m13";"erio lati";"hl";1
"m13";"moli caer aggr";"hl";1
"m13";"parn palu";"hl";1
"m13";"pice abie";"hl";1
"m13";"ping alpi";"hl";1
"m13";"pote erec";"hl";1
"m13";"tofi caly";"hl";1
"m13";"tric cesp cesp";"hl";1
"m13";"utri mino";"hl";1
"m14";"andr poli";"hl";1
"m14";"call vulg";"hl";1
"m14";"care rost";"hl";1
"m14";"dros rotu";"hl";1
"m14";"erio angu";"hl";1
"m14";"erio lati";"hl";1
"m14";"sela sela";"hl";1
"m14";"meny trif";"hl";1
"m14";"moli caer aggr";"hl";1
"m14";"parn palu";"hl";1
"m14";"pice abie";"hl";1
"m14";"ping alpi";"hl";1
"m14";"pinu cemb";"hl";1
"m14";"pote erec";"hl";1
"m14";"tofi caly";"hl";1
"m14";"tric cesp cesp";"hl";1
"m14";"spha spec ies";"ml";1
"m14";"unde bryo";"ml";1
"m15";"andr poli";"hl";1
"m15";"bart alpi";"hl";1
"m15";"care dioi";"hl";1
"m15";"care nigr";"hl";1
"m15";"care rost";"hl";1
"m15";"dros rotu";"hl";1
"m15";"erio angu";"hl";1
"m15";"erio lati";"hl";1
"m15";"erio vagi";"hl";1
"m15";"moli caer aggr";"hl";1
"m15";"parn palu";"hl";1
"m15";"pice abie";"hl";1
"m15";"ping alpi";"hl";1
"m15";"pote erec";"hl";1
"m15";"tofi caly";"hl";1
"m15";"tric cesp cesp";"hl";1
"m15";"viol palu";"hl";1
"m15";"will stip stip";"hl";1
"m15";"spha spec ies";"ml";1
"m15";"unde bryo";"ml";1
"m15";"unde lich";"ml";1
"m16";"andr poli";"hl";1
"m16";"call vulg";"hl";1
"m16";"care flav aggr";"hl";1
"m16";"cirs palu";"hl";1
"m16";"dros rotu";"hl";1
"m16";"erio angu";"hl";1
"m16";"lari deci deci";"hl";1
"m16";"moli caer aggr";"hl";1
"m16";"pice abie";"hl";1
"m16";"pote erec";"hl";1
"m16";"tric alpi";"hl";1
"m16";"tric cesp cesp";"hl";1
"m16";"will stip stip";"hl";1
"m16";"spha spec ies";"ml";1
"m16";"unde bryo";"ml";1
"m17";"andr poli";"hl";1
"m17";"care dioi";"hl";1
"m17";"care nigr";"hl";1
"m17";"care rost";"hl";1
"m17";"cirs palu";"hl";1
"m17";"erio angu";"hl";1
"m17";"meny trif";"hl";1
"m17";"moli caer aggr";"hl";1
"m17";"pote erec";"hl";1
"m17";"spha spec ies";"ml";1
"m17";"tric cesp cesp";"hl";1
"m17";"vacc micr";"hl";1
"m18";"carl vulg slat";"hl";1
"m18";"cirs palu";"hl";1
"m18";"erio angu";"hl";1
"m18";"erio lati";"hl";1
"m18";"moli caer aggr";"hl";1
"m18";"parn palu";"hl";1
"m18";"pice abie";"hl";1
"m18";"pote erec";"hl";1
"m18";"tofi caly";"hl";1
"m18";"tric alpi";"hl";1
"m18";"tric cesp cesp";"hl";1
"m19";"andr poli";"hl";1
"m19";"call vulg";"hl";1
"m19";"care dioi";"hl";1
"m19";"care nigr";"hl";1
"m19";"care rost";"hl";1
"m19";"dros rotu";"hl";1
"m19";"erio angu";"hl";1
"m19";"meny trif";"hl";1
"m19";"moli caer aggr";"hl";1
"m19";"parn palu";"hl";1
"m19";"ping alpi";"hl";1
"m19";"pote erec";"hl";1
"m19";"tric cesp cesp";"hl";1
"m19";"vacc ulig";"hl";1
"m19";"vale dioi dioi";"hl";1
"m19";"spha spec ies";"ml";1
"m19";"unde bryo";"ml";1
"m20";"andr poli";"hl";1
"m20";"call vulg";"hl";1
"m20";"erio angu";"hl";1
"m20";"moli caer aggr";"hl";1
"m20";"parn palu";"hl";1
"m20";"pice abie";"hl";1
"m20";"pote erec";"hl";1
"m20";"tofi caly";"hl";1
"m20";"tric alpi";"hl";1
"m20";"tric cesp cesp";"hl";1
"m20";"spha spec ies";"ml";1
"m20";"unde bryo";"ml";1
"m21";"andr poli";"hl";1
"m21";"care rost";"hl";1
"m21";"dros rotu";"hl";1
"m21";"erio angu";"hl";1
"m21";"erio lati";"hl";1
"m21";"meny trif";"hl";1
"m21";"moli caer aggr";"hl";1
"m21";"parn palu";"hl";1
"m21";"ping alpi";"hl";1
"m21";"pote erec";"hl";1
"m21";"tofi caly";"hl";1
"m21";"tric cesp cesp";"hl";1
"m21";"spha spec ies";"ml";1
"m21";"unde bryo";"ml";1
"m22";"andr poli";"hl";1
"m22";"care dioi";"hl";1
"m22";"care limo";"hl";1
"m22";"care nigr";"hl";1
