plot;block;alliance;association;plot.size;utm.location;latitude;longitude;accuracy;altitide;aspect;slope;cov;tcov;scov;hcov;mcov;htl;hsl;hhl
82;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;10;33TUN5921797401;47.814552N;13.119412E;20;975;360;50;80;0;0;75;10;0;2;0.9
14;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;12;33TUN5914097301;47.813635N;13.118416E;20;980;315;45;70;15;10;65;20;5;1.5;0.7
7;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;12;33TUN5974197589;47.816357N;13.126347E;20;915;23;45;90;0;0;85;15;0;0;0.8
12;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;9;33TUN5911997265;47.813307N;13.118148E;20;980;338;10;90;0;0;80;5;0;0;0.5
52;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;16;33TUN5947297555;47.815992N;13.122766E;20;940;360;15;95;0;0;75;10;0;0;0.6
24;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;9;33TUN5910997219;47.812891N;13.118029E;20;985;338;55;80;0;0;70;50;0;0;0.6
26;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;9;33TUN5901497218;47.812862N;13.116761E;20;1000;338;65;75;0;0;70;15;0;0;0.5
30;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;12;33TUN5902297226;47.812935N;13.116865E;20;1000;360;70;80;0;0;50;0;0;0;0.4
80;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;16;33TUN5921597396;47.814506N;13.119387E;20;980;360;70;85;0;0;80;30;0;0;0.9
25;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;12;33TUN5912297335;47.813937N;13.118165E;20;950;338;45;60;15;0;55;10;15;0;0.4
58;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;120;33TUN5927697428;47.814807N;13.120191E;20;980;23;40;90;20;0;85;5;5;0;0.8
84;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;160;33TUN5918497376;47.814320N;13.118979E;20;950;338;40;95;20;0;90;5;15;0;0.8
85;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;120;33TUN5917097362;47.814191N;13.118797E;20;950;338;35;90;35;0;85;0;5;0;0.8
81;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;90;33TUN5921797401;47.814552N;13.119412E;20;975;360;40;90;30;0;75;10;15;0;1
83;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;160;33TUN5920997383;47.814388N;13.119311E;20;965;270;30;95;40;0;90;5;15;0;0.9
57;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;70;33TUN5926897396;47.814518N;13.120094E;20;990;293;20;95;35;0;80;5;15;0;0.6
73;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;100;33TUN5929597560;47.815999N;13.120401E;20;985;45;10;90;30;0;75;5;15;0;0.3
15;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;150;33TUN5918397283;47.813483N;13.118996E;20;995;338;30;95;50;0;75;5;18;0;0.5
87;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;250;33TUN5917897344;47.814030N;13.118910E;20;960;293;40;95;45;5;90;10;12;3;1
93;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;420;33TUN5917097352;47.814101N;13.118800E;20;960;338;35;95;35;10;90;5;20;4;1.5
94;10;Abieti-Piceion;Calamagrostio variae-Piceetum Schweingruber 1972;230;33TUN5914297367;47.814229N;13.118421E;20;940;315;35;95;30;0;85;5;12;0;1
5;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;30;33TUN5975197555;47.816053N;13.126491E;20;920;180;40;95;30;0;85;0;10;0;0.5
19;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;25;33TUN5928297517;47.815609N;13.120242E;20;1000;135;55;95;60;0;50;0;15;0;0.5
49;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;20;33TUN5947297555;47.815992N;13.122766E;20;940;45;5;80;40;0;75;0;15;0;0.6
108;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;50;33TUN5927897481;47.815284N;13.120200E;20;1000;135;35;90;30;0;80;0;10;0;0.8
53;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;20;33TUN5947297555;47.815992N;13.122766E;20;940;158;45;90;20;0;75;5;15;0;0.7
61;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;90;33TUN5934197474;47.815235N;13.121043E;20;955;90;40;85;0;0;85;0;0;0;0.6
23;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;12;33TUN5925897437;47.814884N;13.119947E;20;985;248;45;90;55;0;70;0;20;0;0.7
33;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;20;33TUN5965597585;47.816302N;13.125200E;20;915;158;45;90;30;0;80;0;7;0;0.65
64;11;Lonicero alpigenae Fagenion;Adenostylo glabrae-Fagetum-calamagrostietosum variae (Zukrigl 1973) Willner comb. Nov. offene Ausbildung;60;33TUN5929797496;47.815423N;13.120449E;20;995;135;50;90;30;0;85;0;10;0;0.8
