"plot";"abbr";"layer";"cov";"scale";"history"
"gm18b";"dryo fili";"hl";"+";"";""
"gm18b";"epil mont";"hl";"+";"";""
"gm18b";"equi arve";"hl";"+";"";""
"gm18b";"eupa cann";"hl";"+";"";""
"gm18b";"frag vesc";"hl";"1";"";""
"gm18b";"frax exce";"hl";"+";"";""
"gm18b";"gali apar";"hl";"+";"";""
"gm18b";"gali odor";"hl";"1";"";""
"gm18b";"gera robe";"hl";"1";"";""
"gm18b";"geum urba";"hl";"+";"";""
"gm18b";"hier saba";"hl";"+";"";""
"gm18b";"hier muro";"hl";"+";"";" | Changed hier sylv To hier muro 2012-11-27 01:00:27"
"gm18b";"hype macu";"hl";"+";"";""
"gm18b";"lath prat prat";"hl";"+";"";" | Changed lath prat To lath prat prat 2012-11-27 01:00:27"
"gm18b";"medi lupu";"hl";"+";"";""
"gm18b";"peta albu";"hl";"+";"";""
"gm18b";"pice abie";"hl";"+";"";""
"gm18b";"poa nemo";"hl";"2a";"";""
"gm18b";"prun padu padu";"hl";"+";"";" | Changed prun padu To prun padu padu 2012-11-27 01:00:27"
"gm18b";"prun vulg";"hl";"+";"";""
"gm18b";"pulm offi";"hl";"+";"";""
"gm18b";"rosa arve";"hl";"+";"";""
"gm18b";"rubu sect rubu";"hl";"1";"";" | Changed rubu frut To rubu sect rubu 2012-11-27 01:00:27"
"gm18b";"rubu idae";"hl";"+";"";""
"gm18b";"sali frag";"hl";"+";"";""
"gm18b";"sali purp";"hl";"+";"";""
"gm18b";"salv glut";"hl";"+";"";""
"gm18b";"samb ebul";"hl";"+";"";""
"gm18b";"samb nigr";"hl";"+";"";""
"gm18b";"sani euro";"hl";"+";"";""
"gm18b";"scro nodo";"hl";"+";"";""
"gm18b";"soli virg virg";"hl";"+";"";" | Changed soli virg To soli virg virg 2012-11-27 01:00:27"
"gm18b";"stac sylv";"hl";"+";"";""
"gm18b";"trif medi medi";"hl";"+";"";" | Changed trif medi To trif medi medi 2012-11-27 01:00:27"
"gm18b";"urti dioi dioi";"hl";"1";"";" | Changed urti dioi To urti dioi dioi 2012-11-27 01:00:27"
"gm18b";"vici sepi";"hl";"+";"";""
"gm18b";"vici sylv";"hl";"1";"";""
"gm18b";"acer pseu";"sl";"+";"";""
"gm18b";"alnu inca";"sl";"1";"";""
"gm18b";"clem vita";"sl";"1";"";""
"gm18b";"corn sang slat";"sl";"1";"";" | Changed corn sang To corn sang slat 2012-11-27 01:00:27"
