plot,variable,value
gm23b,date,2008-06-27
gm23c,date,2008-06-27
gm23d,date,2008-06-28
gm24a,date,2008-06-27
gm25a,date,2008-06-27
gm27a,date,2008-06-27
gm27b,date,2008-06-27
gm27c,date,2008-06-27
gm28a,date,2008-06-27
gm29a,date,2008-06-27
gm2a,date,2008-05-30
gm31a,date,2008-06-28
gm5a,date,2008-05-30
gm6a,date,2008-05-30
gm6b,date,2008-06-28
gm7a,date,2008-05-31
gm8a,date,2008-05-31
gm9a,date,2008-05-31
gm10a,expo,N
gm10b,expo,N
gm10c,expo,N
gm10d,expo,SO
gm11a,expo,N
gm12a,expo,N
gm15a,expo,S
gm16a,expo,SO
gm17a,expo,S
gm17b,expo,SO
gm17c,expo,SO
gm17d,expo,SO
gm18a,expo,SO
gm18b,expo,S
gm1a,expo,S
gm1b,expo,SO
gm1c,expo,N
gm1d,expo,N
gm1e,expo,W
gm1f,expo,NW
gm1g,expo,NO
gm20a,expo,W
gm21a,expo,W
gm22a,expo,SW
gm22b,expo,SW
gm22c,expo,NW
gm22d,expo,SW
gm22e,expo,NW
gm23a,expo,W
gm23b,expo,S
gm23c,expo,S
gm23d,expo,SW
gm24a,expo,W
gm25a,expo,NO
gm27a,expo,N
gm27b,expo,NO
gm27c,expo,N
gm28a,expo,NW
gm29a,expo,SW
gm2a,expo,SW
gm31a,expo,SW
gm5a,expo,SO
gm6a,expo,N
gm6b,expo,N
gm7a,expo,NW
gm8a,expo,NW
gm9a,expo,N
gm10a,hcov,1
gm10b,hcov,20
gm10c,hcov,75
gm10d,hcov,1
gm11a,hcov,90
gm12a,hcov,25
gm15a,hcov,2
gm16a,hcov,98
gm17a,hcov,80
gm17b,hcov,10
gm17c,hcov,8
gm17d,hcov,15
gm18a,hcov,60
gm18b,hcov,80
gm1a,hcov,95
gm1b,hcov,98
gm1c,hcov,95
gm1d,hcov,90
gm1e,hcov,98
gm1f,hcov,95
gm1g,hcov,100
gm20a,hcov,35
gm21a,hcov,35
gm22a,hcov,2
gm22b,hcov,2
gm22c,hcov,45
gm22d,hcov,10
gm22e,hcov,5
gm23a,hcov,1
gm23b,hcov,39
gm23c,hcov,55
gm23d,hcov,50
gm24a,hcov,1
gm25a,hcov,1
gm27a,hcov,15
gm27b,hcov,2
gm27c,hcov,2
gm28a,hcov,95
gm29a,hcov,100
gm2a,hcov,100
gm31a,hcov,98
gm5a,hcov,100
gm6a,hcov,97
gm6b,hcov,95
gm7a,hcov,100
gm8a,hcov,95
gm9a,hcov,30
gm10a,hhl1,"0,4"
gm10b,hhl1,"0,5"
gm10c,hhl1,"0,2"
gm10d,hhl1,"0,2"
gm11a,hhl1,"0,7"
gm12a,hhl1,"0,3"
gm15a,hhl1,"0,2"
gm16a,hhl1,1
gm17a,hhl1,"0,7"
gm17b,hhl1,"0,2"
gm17c,hhl1,"0,2"
gm17d,hhl1,"0,5"
gm18a,hhl1,"0,3"
gm18b,hhl1,1
gm1a,hhl1,"0,3"
gm1b,hhl1,"0,4"
gm1c,hhl1,"0,3"
gm1d,hhl1,"0,3"
gm1e,hhl1,"1,2"
gm1f,hhl1,"0,75"
gm1g,hhl1,"0,8"
gm20a,hhl1,"0,3"
gm21a,hhl1,"0,5"
gm22a,hhl1,"0,2"
gm22b,hhl1,"0,2"
gm22c,hhl1,"0,5"
gm22d,hhl1,"0,4"
gm22e,hhl1,"0,3"
gm23a,hhl1,"0,1"
gm23b,hhl1,"0,4"
gm23c,hhl1,"0,5"
gm23d,hhl1,"0,75"
gm24a,hhl1,"0,1"
gm25a,hhl1,"0,1"
gm27a,hhl1,"0,5"
gm27b,hhl1,"0,5"
gm27c,hhl1,"0,5"
gm28a,hhl1,1
gm29a,hhl1,1
gm2a,hhl1,"0,7"
gm31a,hhl1,"0,5"
gm5a,hhl1,1
gm6a,hhl1,"0,8"
gm6b,hhl1,"0,7"
gm7a,hhl1,1
gm8a,hhl1,"0,6"
gm9a,hhl1,"0,5"
gm10a,hhl2,"0,7"
gm10b,hhl2,1
gm10c,hhl2,"0,7"
gm10d,hhl2,"0,2"
gm11a,hhl2,"1,5"
gm12a,hhl2,"0,3"
gm15a,hhl2,"0,2"
gm16a,hhl2,"1,5"
gm17a,hhl2,"1,5"
gm17b,hhl2,1
gm17c,hhl2,"0,2"
gm17d,hhl2,1
gm18a,hhl2,"0,8"
gm18b,hhl2,1
gm1a,hhl2,"0,6"
gm1b,hhl2,"0,8"
gm1c,hhl2,"0,75"
gm1d,hhl2,"0,6"
gm1e,hhl2,"1,5"
gm1f,hhl2,1
gm1g,hhl2,1
gm20a,hhl2,1
gm21a,hhl2,1
gm22a,hhl2,"0,6"
gm22b,hhl2,"0,7"
gm22c,hhl2,1
gm22d,hhl2,"0,5"
gm22e,hhl2,"0,5"
gm23a,hhl2,"0,5"
gm23b,hhl2,1
gm23c,hhl2,1
gm23d,hhl2,"0,75"
gm24a,hhl2,"0,3"
gm25a,hhl2,"0,1"
gm27a,hhl2,"0,8"
gm27b,hhl2,"0,7"
gm27c,hhl2,"0,7"
gm28a,hhl2,1
gm29a,hhl2,"1,5"
gm2a,hhl2,"1,3"
gm31a,hhl2,1
gm5a,hhl2,"1,5"
gm6a,hhl2,"1,5"
gm6b,hhl2,1
gm7a,hhl2,"1,5"
gm8a,hhl2,"1,3"
gm9a,hhl2,1
gm10a,hsl,0
gm10b,hsl,3
gm10c,hsl,0
gm10d,hsl,0
gm11a,hsl,0
gm12a,hsl,4
gm15a,hsl,0
gm16a,hsl,5
gm17a,hsl,"2,5"
gm17b,hsl,0
gm17c,hsl,5
gm17d,hsl,3
gm18a,hsl,6
gm18b,hsl,4
gm1a,hsl,0
gm1b,hsl,0
gm1c,hsl,0
gm1d,hsl,0
gm1e,hsl,0
gm1f,hsl,0
gm1g,hsl,0
gm20a,hsl,5
gm21a,hsl,0
gm22a,hsl,0
gm22b,hsl,3
gm22c,hsl,4
gm22d,hsl,0
gm22e,hsl,0
gm23a,hsl,2
gm23b,hsl,3
gm23c,hsl,3
gm23d,hsl,3
gm24a,hsl,0
gm25a,hsl,0
gm27a,hsl,0
gm27b,hsl,0
gm27c,hsl,4
gm28a,hsl,3
gm29a,hsl,3
gm2a,hsl,0
gm31a,hsl,0
gm5a,hsl,0
gm6a,hsl,0
gm6b,hsl,0
gm7a,hsl,0
gm8a,hsl,0
gm9a,hsl,6
gm10a,htl,25
gm10b,htl,20
gm10c,htl,30
gm10d,htl,25
gm11a,htl,25
gm12a,htl,30
gm15a,htl,10
gm16a,htl,0
gm17a,htl,30
gm17b,htl,30
gm17c,htl,30
gm17d,htl,30
gm18a,htl,20
gm18b,htl,12
gm1a,htl,0
gm1b,htl,0
gm1c,htl,0
gm1d,htl,0
gm1e,htl,0
gm1f,htl,0
gm1g,htl,0
gm20a,htl,25
gm21a,htl,28
gm22a,htl,30
gm22b,htl,30
gm22c,htl,30
gm22d,htl,30
gm22e,htl,30
gm23a,htl,30
gm23b,htl,25
