plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,type,alliance.code,alliance,association,soil,comment,location,observer
szeg11,12,0,0,1,12,1,0,0,0,"0,35","0,15",4,4,E,88,88,0,0,2022-07-03,47.516706,13.157120,10,rock,ASP-02A,Potentillion caulescentis Br.-Bl. In Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg12,98,35,7,23,97,3,17,5,"2,5","0,7","0,2",16,16,E,45,0,2,0,2022-07-03,47.518419,13.158398,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg13,97,30,20,15,96,2,12,8,"2,5","0,7","0,15",16,16,E,48,0,1,3,2022-07-03,47.518268,13.157611,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg14,8,0,0,0,8,0,0,0,0,"0,35","0,1",4,4,E,90,92,0,0,2022-07-03,47.518153,13.157548,10,rock,ASP-02A,Potentillion caulescentis Br.-Bl. In Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg15,98,45,25,8,97,3,12,8,"2,5","0,7","0,2",16,16,E,37,0,2,0,2022-07-03,47.517387,13.157449,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg16,99,0,0,0,99,15,0,0,0,2,"0,2",4,4,F,0,0,1,0,2022-07-28,47.517126,13.163670,10,forest clearing,ROB-01A,Sambuco-Salicion capreae Tx. et Neumann ex Oberd. 1957,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg17,100,0,0,0,100,25,0,0,0,"1,7","0,2",4,4,F,0,0,0,0,2022-07-28,47.516808,13.163615,10,forest clearing,ROB-01A,Sambuco-Salicion capreae Tx. et Neumann ex Oberd. 1957,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg18,98,50,70,35,95,1,25,15,5,"0,7","0,2",16,16,NE,10,0,2,0,2022-07-28,47.515341,13.161653,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg19,99,75,60,15,96,1,25,15,5,"0,7","0,2",16,16,E,8,0,1,0,2022-07-28,47.516072,13.161808,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl
szeg20,17,0,0,0,15,3,0,0,0,"0,6","0,05",4,4,NE,75,83,83,0,2022-08-09,47.518963,13.158284,10,rock,ASP-02A,Potentillion caulescentis Br.-Bl. In Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg21,30,0,0,0,28,5,0,0,0,"0,9","0,05",4,4,E,80,70,70,0,2022-08-09,47.518862,13.158285,10,rock,ASP-02A,Potentillion caulescentis Br.-Bl. In Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg22,85,0,0,60,65,10,0,0,"4,5","0,7","0,2",8,8,SE,7,3,0,12,2022-08-09,47.518812,13.159067,10,willow scrub,PUR-01A,Salicion eleagno-daphnoidis (Moor 1958) Grass 1993,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg23,80,0,0,0,80,7,0,0,0,"0,6","0,15",4,4,NNE,65,10,20,0,2022-08-09,47.518692,13.159198,10,grassland,SES-01A,Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg24,97,20,35,15,95,5,17,9,"4,5","0,75","0,15",16,16,NE,40,0,3,0,2022-08-09,47.518547,13.158996,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg25,70,0,0,0,70,3,0,0,0,"0,7","0,25",4,4,SE,45,15,120,0,2022-08-09,47.517701,13.157192,10,grassland,SES-01A,Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg26,70,0,0,0,65,15,0,0,0,"0,8","0,15",4,4,NE,50,0,0,30,2022-08-09,47.517625,13.157301,10,grassland,SES-01A,Seslerion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg27,95,70,7,1,25,20,20,8,"2,5","0,55","0,1",16,16,E,40,0,5,0,2022-08-09,47.516895,13.157897,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg28,97,45,5,0,95,1,9,6,0,"0,7","0,1",32,8,NE,55,3,2,0,2022-08-09,47.515903,13.158515,10,forest,ERI-01A,Erico carneae-Pinion Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg29,10,0,0,0,10,1,0,0,0,"0,25","0,05",4,4,NE,85,90,90,0,2022-08-09,47.515899,13.158467,10,rock,ASP-02A,Potentillion caulescentis Br.-Bl. In Br.-Bl. et Jenny 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
szeg30,95,65,25,5,70,1,18,12,"2,5","0,5","0,25",16,16,ESE,25,0,5,0,2022-08-09,47.516322,13.160068,10,forest,FAG-02B,Fagion sylvaticae Luquet 1926,,,,"Sulzau, Hagengebirge E-Abfall zwischen Eisgraben und Notgraben",T. Eberl & R. Kaiser
