plot;abbr;layer;cov;comment;voucher;history
mb01;acer plat;tl2;2a;;;
mb01;carp betu;tl2;2a;;;
mb01;robi pseu;tl2;2a;;;
mb01;tili cord;tl2;2b;;;
mb02;acer camp;hl;+;;;
mb02;acer plat;hl;1;;;
mb02;acer pseu;hl;+;;;
mb02;anem nemo;hl;+;;;
mb02;apos foet;hl;1;;;
mb02;brac pinn;hl;1;;;
mb02;brac sylv;hl;+;;;
mb02;cala vari;hl;+;;;
mb02;camp pers;hl;+;;;
mb02;camp rotu;hl;+;;;
mb02;care digi;hl;1;;;
mb02;care mont;hl;+;;;
mb02;carp betu;hl;2a;;;
mb02;clem vita;hl;+;;;
mb02;conv maja maja;hl;+;;;
mb02;corn sang slat;hl;1;;;
mb02;corn seri;hl;+;;;
mb02;coto diva;hl;+;;;
mb02;crat mono;hl;1;;;
mb02;euon euro;hl;+;;;
mb02;euph dulc dulc;hl;+;;;
mb02;fagu sylv;hl;+;;;
mb02;fest hete ylla;hl;2a;;;
mb02;frag vesc;hl;1;;;
mb02;frax exce;hl;1;;;
mb02;gale mont;hl;+;;;
mb02;gali sylv;hl;2a;;;
mb02;hede heli;hl;2a;;;
mb02;hepa nobi;hl;1;;;
mb02;hier muro;hl;2a;;;
mb02;hier saba;hl;2a;;;
mb02;hylo maxi;hl;r;;;
mb02;hype perf;hl;1;;;
mb02;lath vern;hl;+;;;
mb02;ligu vulg;hl;+;;;
mb02;loni peri;hl;1;;;
mb02;loni xylo;hl;+;;;
mb02;luzu luzu ides;hl;+;;;
mb02;mela prat;hl;2m;;;
mb02;phyt spic;hl;r;;;
mb02;poa nemo;hl;+;;;
mb02;pote ster;hl;+;;;
mb02;prun aviu slat;hl;1;;;
mb02;quer robu;hl;1;;;
mb02;rham cath;hl;+;;;
mb02;rosa arve;hl;2a;;;
mb02;rubu sect rubu;hl;+;;;
mb02;secu vari;hl;+;;;
mb02;soli virg virg;hl;1;;;
mb02;sorb aucu aucu;hl;+;;;
mb02;syri vulg;hl;1;;;
mb02;taxu bacc;hl;+;;;
mb02;tili cord;hl;1;;;
mb02;vibu lant;hl;1;;;
mb02;vinc hiru;hl;1;;;
mb02;acer plat;sl;+;;;
mb02;carp betu;sl;1;;;
mb02;corn sang slat;sl;1;;;
mb02;corn seri;sl;+;;;
mb02;crat mono;sl;+;;;
mb02;euon euro;sl;+;;;
mb02;fagu sylv;sl;+;;;
mb02;frax exce;sl;+;;;
mb02;prun aviu slat;sl;+;;;
mb02;rham cath;sl;+;;;
mb02;rosa arve;sl;1;;;
mb02;syri vulg;sl;+;;;
mb02;taxu bacc;sl;+;;;
mb02;tili cord;sl;+;;;
mb02;carp betu;tl1;1;;;
mb02;tili cord;tl1;2b;;;
mb02;carp betu;tl2;3;;;
mb02;fagu sylv;tl2;2a;;;
mb02;quer robu;tl2;2a;;;
mb02;taxu bacc;tl2;1;;;
mb02;tili cord;tl2;2a;;;
mb03;acer plat;hl;2a;;;
mb03;acer pseu;hl;1;;;
mb03;anem nemo;hl;+;;;
mb03;apos foet;hl;+;;;
mb03;aspl ruta;hl;+;;;
mb03;aspl tric quad;hl;+;;;
mb03;brac pinn;hl;+;;;
mb03;brac sylv;hl;+;;;
mb03;brom bene;hl;+;;;
mb03;cala vari;hl;+;;;
mb03;care digi;hl;1;;;
mb03;care mont;hl;1;;;
mb03;carp betu;hl;+;;;
mb03;conv maja maja;hl;1;;;
mb03;corn mas;hl;+;;;
mb03;corn sang slat;hl;1;;;
mb03;corn seri;hl;+;;;
mb03;cory avel;hl;+;;;
mb03;coto diva;hl;+;;;
mb03;crat laev laev;hl;1;;;
mb03;crat mono;hl;+;;;
mb03;euon euro;hl;+;;;
mb03;euon lati;hl;+;;;
mb03;fagu sylv;hl;+;;;
mb03;fest hete ylla;hl;+;;;
mb03;frag vesc;hl;+;;;
mb03;gale mont;hl;+;;;
mb03;gali sylv;hl;+;;;
mb03;hede heli;hl;2b;;;
mb03;hepa nobi;hl;1;;;
mb03;hier muro;hl;+;;;
mb03;jugl regi;hl;+;;;
mb03;lath vern;hl;+;;;
mb03;ligu vulg;hl;2a;;;
mb03;lili mart;hl;+;;;
mb03;loni xylo;hl;1;;;
mb03;mela prat;hl;+;;;
mb03;meli nuta;hl;+;;;
mb03;phyt spic;hl;+;;;
mb03;poa nemo;hl;+;;;
mb03;poly mult;hl;+;;;
mb03;pren purp;hl;+;;;
mb03;prun aviu slat;hl;+;;;
mb03;quer robu;hl;+;;;
mb03;rham cath;hl;+;;;
mb03;rosa arve;hl;1;;;
mb03;soli virg virg;hl;+;;;
mb03;sorb aucu aucu;hl;+;;;
mb03;taxu bacc;hl;+;;;
mb03;tili cord;hl;2a;;;
mb03;ulmu glab;hl;1;;;
mb03;vibu lant;hl;1;;;
mb03;vinc hiru;hl;+;;;
mb03;viol alba slat;hl;r;2014-0092;;
mb03;viol reic;hl;+;;;
