"abbr";"layer";"comment";"lb01b";"lb01a";"lb05d";"lb05c";"lb05a";"lb05b";"lb03a";"lb02a";"lb04a"
"loni xylo";"sl";"Lonicera xylosteum";1;"+";1;"+";".";"+";".";".";"."
"carp betu";"sl";"Carpinus betulus";1;"+";".";".";".";1;".";".";"."
"acer pseu";"sl";"Acer pseudoplatanus";1;1;1;1;1;".";".";1;"+"
"frax exce";"sl";"Fraxinus excelsior";"+";".";1;1;1;".";".";"+";"+"
"cory avel";"sl";"Corylus avellana";3;".";1;2;".";1;".";1;1
"berb vulg";"sl";"Berberis vulgaris";".";".";".";".";".";".";".";1;"."
"fran alnu";"sl";"Frangula alnus";".";".";".";".";".";".";".";1;"."
"vibu opul";"sl";"Viburnum opulus";".";".";".";".";".";".";".";1;"."
"fagu sylv";"sl";"Fagus sylvatica";".";".";".";".";".";".";".";".";"+"
"pinu sylv";"sl";"Pinus sylvestris";".";".";".";".";".";".";".";".";"+"
"quer robu";"sl";"Quercus robur";".";".";".";".";".";".";".";".";1
"sali elea elea";"sl";"Salix eleagnos";".";".";".";".";".";".";".";".";1
"corn mas";"hl";"Cornus mas";"+";".";".";".";".";".";".";".";"."
"euon euro";"hl";"Euonimus europaea";"+";".";".";".";".";".";".";".";"."
"meli meli";"hl";"Melittis melissophyllum";"+";".";".";".";".";".";".";".";"."
"vibu lant";"hl";"Viburnum lantana";"+";".";".";".";".";".";".";".";"."
"merc pere";"hl";"Mercurialis perennis";1;".";".";".";".";".";".";".";"."
"brom bene";"hl";"Bromus benekenii";"+";"+";".";".";".";".";".";".";"."
"geum urba";"hl";"Geum urbanum";"+";"+";".";".";".";".";".";".";"."
"poa nemo";"hl";"Poa nemoralis";"+";"+";".";".";".";".";".";".";"."
"hell nige";"hl";"Helleborus niger";"+";1;".";".";".";".";".";".";"."
"acer camp";"hl";"Acer campestre";".";"+";".";".";".";".";".";".";"."
"alli peti";"hl";"Alliariae petiolata";".";"+";".";".";".";".";".";".";"."
"chae aure";"hl";"Chaerophyllum aureum";".";"+";".";".";".";".";".";".";"."
"gage lute";"hl";"Gagea lutea";".";"+";".";".";".";".";".";".";"."
"lath vern";"hl";"Lathyrus vernus";".";"+";".";".";".";".";".";".";"."
"rosa arve";"hl";"Rosa arvensis";".";"+";".";".";".";".";".";".";"."
"stel medi";"hl";"Stellaria media";".";"+";".";".";".";".";".";".";"."
"symp tube slat";"hl";"Symphytum tuberosum";".";"+";".";".";".";".";".";".";"."
"vinc mino";"hl";"Vinca minor";".";"+";".";".";".";".";".";".";"."
"viol reic";"hl";"Viola reichenbachiana";".";"+";".";".";".";".";".";".";"."
"prun padu padu";"hl";"Prunus padus";"+";"+";"+";".";".";".";".";".";"."
"apos foet";"hl";"Aposeris foetida";1;2;".";".";"+";".";".";".";"."
"ligu vulg";"hl";"Ligustrum vulgare";1;".";".";"+";".";".";".";".";"."
"oxal acet";"hl";"Oxalis acetosella";".";".";"+";".";".";".";".";".";"."
"dryo cart";"hl";"Dryopteris carthusiana";".";".";1;".";".";".";".";".";"."
"cycl purp";"hl";"Cyclamen purpurascens";"+";"+";".";1;".";".";".";".";"."
"sorb aria";"hl";"Sorbus aria";"+";".";".";".";"+";".";".";".";"."
"gale mont";"hl";"Galeobdolon montanum";".";"+";".";".";1;".";".";".";"."
"euph amyg amyg";"hl";"Euphorbia amygdaloides";1;1;".";"+";".";".";"+";".";"."
"poly mult";"hl";"Polygonatum multiflorum";1;1;".";"+";1;".";"+";".";"."
"asar euro slat";"hl";"Asarum europaeum";1;".";".";".";".";"+";".";".";"."
"hepa nobi";"hl";"Hepatica nobilis";1;2;".";1;2;2;".";".";"."
"dryo fili";"hl";"Dryopteris filix mas";".";".";".";"+";".";".";".";".";"."
"fica vern vern";"hl";"Ranunculus ficaria";".";".";".";"+";".";".";".";".";"."
"conv maja maja";"hl";"Convallaria majalis";3;3;1;2;"+";".";2;"+";"."
"care digi";"hl";"Carex digitata";1;1;1;1;".";"+";1;".";"."
"meli nuta";"hl";"Melica nutans";1;1;1;".";1;1;".";"+";"."
"pulm offi";"hl";"Pulmonaria officinalis";1;"+";"+";"+";"+";".";".";1;"."
"ajug rept";"hl";"Ajuga reptans";"+";1;".";".";".";".";1;".";"."
"mela nemo";"hl";"Melampyrum nemorosum";".";"+";".";".";".";"+";".";".";"."
"crat mono";"hl";"Crataegus monogyna";"+";"+";"+";".";".";"+";".";"+";"."
"aego poda";"hl";"Aegopodium podagraria";".";".";".";".";"+";".";".";".";"."
"maia bifo";"hl";"Maianthemum bifolium";".";".";".";".";"+";".";".";".";"."
"pimp majo majo";"hl";"Pimpinella major";".";".";".";".";"+";".";".";".";"."
"vinc hiru";"hl";"Vincetoxicum hierundinaria";".";".";".";".";"+";".";".";".";"."
"care sylv";"hl";"Carex sylvatica";".";"+";1;1;"+";".";".";1;"."
"viol rivi";"hl";"Viola riviniana";"+";".";".";".";"+";".";"+";".";"."
"care alba";"hl";"Carex alba";2;3;1;1;3;4;3;1;"."
"camp trac";"hl";"Campanula trachelium";"+";".";".";".";".";".";"+";".";"."
"acer pseu";"hl";"Acer pseudoplatanus";1;".";"+";".";1;1;".";1;"."
"brac sylv";"hl";"Brachypodium sylvaticum";1;".";2;1;1;1;2;"+";"."
"anem nemo";"hl";"Anemone nemorosa";1;2;".";2;".";2;1;1;"."
