plot;abbr;layer;cov;history
sg029;Collfusc;kl;1;
sg029;Candrefl;kl;1;
sg029;Parmsulc;kl;1;
sg029;Leprinca;kl;1;
sg029;Pertamar;kl;85;
sg029;Cladconi;kl;5;
sg030;Cladfimb;kl;1;
fü031;Verrmura;kl;10;
fü031;Calochry;kl;10;
fü031;Lempelve;kl;1;
fü031;Lempintr;kl;1;
fü031;Petrclau;kl;10;
fü032;Calocirr;kl;5;
fü032;Verrmura;kl;5;
fü032;Calochry;kl;1;
fü032;Lempintr;kl;20;
fü033;Verrmura;kl;10;
fü033;Lempintr;kl;30;
fü033;Protrupe;kl;1;
fü034;Verrmura;kl;1;
fü034;Leprinca;kl;10;
fü034;Cladconi;kl;5;
fü034;Protrupe;kl;5;
fü035;Verrmura;kl;1;
fü035;Protrupe;kl;1;
fü035;Gyaljene;kl;5;
fü036;Calochry;kl;50;
fü037;Verrmura;kl;5;
fü037;Calochry;kl;50;
fü037;Protrupe;kl;5;
fü038;Baglparm;kl;20;
fü038;Collflac;kl;5;
fü038;Leprinca;kl;1;
fü038;Gyaljene;kl;20;
fü038;Solosacc;kl;20;
fü039;Verrmura;kl;5;
fü039;Protrupe;kl;5;
fü040;Verrmura;kl;1;
fü040;Protrupe;kl;5;
fü041;Verrmura;kl;60;
fü041;Protrupe;kl;1;
fü041;Collundu;kl;30;
fü041;Sarcregu;kl;1;
fü042;Phlyarge;kl;5;
fü042;Phystene;kl;5;
fü043;Buelgris;kl;10;
fü043;Lecachla;kl;5;
fü043;Phlyarge;kl;5;
fü043;Grapscri;kl;5;
fü043;Parmsulc;kl;5;
fü044;Amanpunc;kl;5;
fü044;Phlyarge;kl;5;
fü044;Phaeorbi;kl;1;
fü044;Grapscri;kl;5;
fü044;Pertalbe;kl;5;
fü045;Candconc;kl;10;
fü046;Phlyarge;kl;20;
fü046;Grapscri;kl;80;
fü047;Verrmura;kl;10;
fü047;Protrupe;kl;5;
fü047;Collcris;kl;5;
fü047;Placnigr;kl;10;
fü048;Verrmura;kl;10;
fü048;Leprinca;kl;10;
fü049;Baglparm;kl;80;
fü050;Baglparm;kl;60;
fü051;Baglparm;kl;40;
fü051;Verrmura;kl;10;
fü051;Collcris;kl;10;
fü052;Baglparm;kl;50;
fü052;Verrmura;kl;10;
fü052;Verrdolo;kl;10;
fü053;Baglparm;kl;75;
fü053;Verrdolo;kl;5;
fü054;Grapscri;kl;80;
fü055;Leprinca;kl;1;
fü055;Normpulc;kl;5;
fü056;Leprinca;kl;35;
fü056;Normpulc;kl;5;
fü057;Normpulc;kl;30;
sg058;Lecachla;kl;1;
sg058;Parmsulc;kl;15;
sg058;Candconc;kl;1;
sg058;Parmexas;kl;1;
sg059;Lecachla;kl;1;
sg059;Parmsulc;kl;20;
sg059;Hypophys;kl;5;
sg060;Lecachla;kl;1;
sg060;Parmsulc;kl;10;
sg060;Hypophys;kl;1;
sg060;Parmexas;kl;10;
sg061;Phlyarge;kl;15;
sg061;Parmglab;kl;5;
sg061;Parmsulc;kl;5;
sg061;Leprinca;kl;15;
sg061;Candconc;kl;5;
sg061;Anisnyss;kl;1;
sg062;Phlyarge;kl;10;
sg062;Leprinca;kl;15;
sg062;Anisnyss;kl;1;
sg063;Lecachla;kl;5;
sg063;Physadsc;kl;1;
sg063;Phaeorbi;kl;1;
sg063;Parmsulc;kl;5;
sg063;Hypophys;kl;5;
sg063;Candconc;kl;1;
sg063;Hypotubu;kl;5;
sg064;Lecachla;kl;10;
sg064;Parmsulc;kl;10;
sg064;Hypophys;kl;10;
sg064;Hypotubu;kl;10;
sg064;Pseufurf;kl;10;
sg065;Parmglab;kl;5;
sg065;Phaeorbi;kl;10;
sg065;Parmsulc;kl;15;
sg065;Leprinca;kl;5;
sg065;Candconc;kl;5;
sg065;Hypotubu;kl;20;
sg066;Parmglab;kl;10;
sg066;Candconc;kl;1;
sg066;Hypotubu;kl;40;
sg067;Buelgris;kl;5;
sg067;Phystene;kl;1;
sg067;Parmsulc;kl;5;
sg067;Usnefili;kl;50;
sg067;Xantcand;kl;1;
sg068;Lecachla;kl;1;
sg068;Parmsulc;kl;30;
sg068;Parmexas;kl;10;
sg068;Hypotubu;kl;20;
sg069;Buelgris;kl;1;
sg069;Lecachla;kl;10;
sg069;Phystene;kl;1;
sg069;Parmsulc;kl;10;
sg069;Hypophys;kl;10;
sg069;Parmexas;kl;20;
sg069;Anisnyss;kl;1;
sg070;Buelgris;kl;10;
sg070;Lecachla;kl;1;
sg070;Hypophys;kl;1;
sg070;Parmexas;kl;10;
sg070;Anisnyss;kl;1;
sg070;Xantcand;kl;1;
sg070;Everprun;kl;1;
sg071;Lecachla;kl;1;
sg071;Physadsc;kl;1;
sg071;Parmsulc;kl;1;
sg071;Leprinca;kl;1;
sg071;Parmexas;kl;5;
sg071;Hypotubu;kl;10;
sg072;Phlyarge;kl;15;
sg072;Physadsc;kl;1;
sg072;Parmglab;kl;60;
sg072;Phaeorbi;kl;5;
sg072;Parmsulc;kl;10;
sg072;Hypotubu;kl;1;
sg073;Buelgris;kl;40;
sg073;Lecachla;kl;10;
sg073;Physadsc;kl;1;
sg073;Phystene;kl;1;
sg073;Phaeorbi;kl;1;
sg073;Parmsulc;kl;20;
sg073;Candconc;kl;1;
sg074;Buelgris;kl;10;
sg074;Parmsulc;kl;10;
sg074;Leprinca;kl;1;
sg074;Hypophys;kl;10;
sg074;Candconc;kl;1;
sg074;Cladconi;kl;20;
sg075;Parmglab;kl;5;
sg075;Parmsulc;kl;5;
sg075;Candconc;kl;5;
sg076;Lecacarp;kl;1;
sg076;Lecachla;kl;5;
sg076;Parmsulc;kl;20;
sg076;Hypophys;kl;5;
sg076;Candconc;kl;1;
sg076;Parmexas;kl;10;
sg076;Hypotubu;kl;10;
sg076;Pseufurf;kl;10;
sg077;Candrefl;kl;1;
sg077;Parmsulc;kl;20;
sg077;Leprinca;kl;60;
sg077;Hypophys;kl;1;
sg077;Candconc;kl;1;
sg078;Lecachla;kl;10;
sg078;Phystene;kl;10;
sg078;Candrefl;kl;1;
sg078;Parmglab;kl;20;
sg078;Phaeorbi;kl;10;
sg078;Parmsulc;kl;20;
sg078;Xantcand;kl;1;
sg078;Physstel;kl;30;
sg078;Xantpoly;kl;1;
sg079;Lecachla;kl;5;
sg079;Physadsc;kl;1;
sg079;Candrefl;kl;1;
sg079;Parmglab;kl;1;
sg079;Parmsulc;kl;10;
sg079;Hypophys;kl;5;
sg079;Physstel;kl;20;
sg080;Physadsc;kl;1;
sg080;Phystene;kl;1;
sg080;Parmsulc;kl;10;
sg080;Xantpari;kl;1;
sg080;Hypophys;kl;10;
sg080;Physstel;kl;20;
sg081;Lecachla;kl;1;
sg081;Physadsc;kl;5;
sg081;Phystene;kl;5;
sg081;Phaeorbi;kl;1;
sg081;Parmsulc;kl;20;
sg081;Xantcand;kl;1;
sg081;Physstel;kl;10;
sg082;Physadsc;kl;5;
sg082;Phaeorbi;kl;1;
sg082;Xantcand;kl;1;
sg082;Physstel;kl;15;
sg083;Physdist;kl;10;
sg083;Xantcand;kl;1;
sg083;Physstel;kl;10;
sg084;Lecachla;kl;10;
sg084;Parmsulc;kl;10;
sg084;Parmcape;kl;1;
sg084;Everprun;kl;1;
sg084;Physstel;kl;10;
sg085;Lecachla;kl;5;
sg085;Parmsulc;kl;20;
sg085;Lecahage;kl;10;
sg086;Lecachla;kl;5;
sg086;Parmsulc;kl;10;
sg086;Hypophys;kl;20;
sg086;Hypotubu;kl;50;
sg086;Pseufurf;kl;5;
sg087;Parmsulc;kl;1;
sg087;Pertalbe;kl;1;
sg087;Hypophys;kl;25;
sg087;Hypotubu;kl;25;
sg087;Pseufurf;kl;10;
sg088;Parmglab;kl;1;
sg088;Parmsulc;kl;1;
sg088;Pertalbe;kl;1;
sg088;Hypophys;kl;20;
sg088;Hypotubu;kl;20;
sg088;Pseufurf;kl;10;
sg088;Usneflor;kl;1;
sg089;Lecachla;kl;10;
sg089;Bryofusc;kl;1;
sg089;Lecasymm;kl;1;
sg090;Lecachla;kl;1;
sg090;Parmglab;kl;1;
sg090;Parmsulc;kl;10;
sg090;Pertalbe;kl;1;
sg090;Hypophys;kl;20;
sg090;Hypotubu;kl;30;
sg090;Pseufurf;kl;5;
sg090;Bryofusc;kl;1;
sg090;Lecasymm;kl;1;
sg090;Chrycand;kl;1;
sg090;Everdiva;kl;1;
sg090;Usnesubf;kl;1;
sg091;Parmglab;kl;20;
sg091;Parmsulc;kl;10;
sg091;Leprinca;kl;10;
sg092;Parmglab;kl;40;
sg092;Parmsulc;kl;30;
sg092;Leprinca;kl;10;
sg093;Lecielae;kl;5;
sg093;Phlyarge;kl;10;
sg093;Pertalbe;kl;10;
sg093;Leprinca;kl;15;
sg093;Parmflav;kl;50;
sg094;Leprinca;kl;90;
sg095;Leprinca;kl;50;
sg096;Amanpunc;kl;1;
sg096;Lecachla;kl;5;
sg096;Phlyarge;kl;1;
sg096;Phystene;kl;1;
sg096;Parmglab;kl;1;
sg096;Parmsulc;kl;1;
sg096;Candxant;kl;1;
sg096;Lecaconi;kl;1;
sg097;Amanpunc;kl;1;
sg097;Lecachla;kl;1;
sg097;Phlyarge;kl;1;
sg097;Phystene;kl;1;
sg097;Parmglab;kl;1;
sg097;Phaeorbi;kl;1;
sg097;Parmsulc;kl;15;
sg097;Candxant;kl;1;
sg097;Hypophys;kl;1;
sg098;Lecachla;kl;1;
sg098;Physadsc;kl;5;
sg098;Phystene;kl;5;
sg098;Parmglab;kl;5;
sg098;Phaeorbi;kl;1;
sg098;Parmsulc;kl;5;
sg098;Candxant;kl;1;
sg098;Hypophys;kl;1;
sg098;Xantpoly;kl;5;
sg098;Usneflor;kl;1;
sg098;Parmtili;kl;1;
sg100;Phaeorbi;kl;5;
sg100;Hypophys;kl;10;
sg100;Pseufurf;kl;5;
sg101;Hypophys;kl;5;
sg102;Phlyarge;kl;1;
sg102;Parmsulc;kl;1;
sg102;Hypophys;kl;1;
sg102;Pseufurf;kl;5;
sg102;Usnefili;kl;5;
sg103;Phlyarge;kl;1;
sg103;Parmsulc;kl;5;
sg103;Leprinca;kl;10;
sg103;Hypophys;kl;5;
sg103;Hypotubu;kl;5;
sg103;Pseufurf;kl;5;
sg103;Platglau;kl;1;
kr104;Verrmura;kl;1;
kr104;Verrnigr;kl;1;
kr104;Protrupe;kl;5;
kr105;Parmglab;kl;20;
kr105;Parmsulc;kl;20;
kr105;Leprinca;kl;1;
kr105;Candxant;kl;1;
kr105;Hypophys;kl;10;
kr106;Parmglab;kl;10;
kr106;Parmsulc;kl;20;
kr106;Pertalbe;kl;1;
kr106;Leprinca;kl;1;
kr106;Cladconi;kl;20;
kr107;Amanpunc;kl;5;
kr107;Lecachla;kl;5;
kr107;Parmsulc;kl;20;
kr107;Pertalbe;kl;1;
kr107;Candxant;kl;1;
kr107;Cladconi;kl;1;
kr108;Parmglab;kl;10;
kr108;Parmsulc;kl;10;
kr108;Candxant;kl;1;
kr108;Parmcape;kl;1;
kr108;Cladconi;kl;20;
kr109;Hypophys;kl;80;
kr110;Lecachla;kl;10;
kr110;Lecielae;kl;10;
kr110;Physadsc;kl;10;
kr110;Parmglab;kl;10;
kr110;Candxant;kl;10;
kr111;Physadsc;kl;5;
kr111;Parmsulc;kl;5;
kr111;Xantfulv;kl;1;
kr112;Parmsulc;kl;10;
kr112;Cladconi;kl;10;
kr113;Physadsc;kl;5;
kr113;Phaeorbi;kl;5;
kr113;Parmsulc;kl;45;
kr113;Candxant;kl;5;
kr113;Hypophys;kl;20;
kr113;Xyloviti;kl;1;
kr114;Grapscri;kl;50;
kr114;Lecaexpa;kl;30;
kr115;Hyposcal;kl;50;
kr116;Pertalbe;kl;15;
kr116;Leprinca;kl;5;
kr116;Candxant;kl;1;
kr116;Lecaconi;kl;1;
kr117;Parmglab;kl;30;
kr117;Grapscri;kl;30;
kr117;Candxant;kl;1;
kr117;Normpulc;kl;10;
kr118;Baglparm;kl;5;
kr118;Verrmura;kl;1;
kr118;Protrupe;kl;5;
kr118;Collcris;kl;1;
kr118;Acarglau;kl;1;
kr118;Claumont;kl;1;
kr118;Verrmacr;kl;1;
kr119;Baglparm;kl;10;
kr119;Collcris;kl;30;
kr120;Baglparm;kl;1;
kr120;Verrmura;kl;10;
kr120;Verrnigr;kl;10;
kr120;Collcris;kl;1;
kr121;Baglparm;kl;5;
kr121;Verrnigr;kl;20;
kr121;Protrupe;kl;5;
kr121;Candaure;kl;5;
kr121;Colltena;kl;5;
kr121;Verrviri;kl;10;
kr122;Verrnigr;kl;1;
kr122;Protrupe;kl;10;
kr123;Grapscri;kl;40;
kr123;Parmsulc;kl;20;
kr123;Leprinca;kl;10;
kr123;Normpulc;kl;10;
kr124;Verrviri;kl;30;
kr125;Grapscri;kl;15;
kr125;Leprinca;kl;15;
kr126;Verrmura;kl;1;
kr126;Leprinca;kl;5;
kr126;Protrupe;kl;1;
kr126;Sarcprui;kl;1;
kr127;Verrmura;kl;10;
kr127;Verrnigr;kl;1;
kr127;Protrupe;kl;10;
kr127;Sarcprui;kl;1;
kr127;Lecamura;kl;10;
kr128;Leprinca;kl;20;
kr129;Verrmura;kl;10;
kr130;Amanpunc;kl;1;
kr130;Buelgris;kl;10;
kr130;Parmsulc;kl;5;
kr130;Candxant;kl;1;
kr130;Parmexas;kl;5;
kr131;Lecacarp;kl;10;
kr131;Lecachla;kl;1;
kr131;Lecielae;kl;1;
kr131;Grapscri;kl;10;
kr132;Lecachla;kl;5;
kr133;Lecacarp;kl;1;
kr133;Lecielae;kl;1;
kr133;Physadsc;kl;1;
kr133;Grapscri;kl;5;
kr133;Parmsulc;kl;20;
kr133;Leprinca;kl;5;
kr134;Lecachla;kl;20;
kr134;Lecielae;kl;5;
kr134;Parmglab;kl;10;
kr134;Phaeorbi;kl;10;
kr134;Grapscri;kl;1;
kr134;Leprinca;kl;5;
su135;Leprinca;kl;20;
su135;Normpulc;kl;1;
su136;Phlyarge;kl;30;
su136;Normpulc;kl;10;
su136;Anisnyss;kl;1;
su136;Lecaconi;kl;10;
su136;Thellepa;kl;10;
su137;Gyaljene;kl;1;
su137;Gyalleci;kl;5;
su138;Leprinca;kl;1;
su138;Pelthori;kl;10;
su139;Leprinca;kl;10;
su139;Pelthori;kl;10;
su140;Pelthori;kl;10;
su141;Pelthori;kl;20;
su142;Pelthori;kl;20;
su143;Verrmura;kl;5;
su143;Leprinca;kl;5;
su143;Gyaljene;kl;1;
su143;Gyalleci;kl;5;
su143;Leprniva;kl;5;
su144;Phlyarge;kl;5;
su144;Leprinca;kl;5;
su145;Gyaljene;kl;10;
su145;Gyalleci;kl;10;
su146;Phlyarge;kl;5;
su146;Leprinca;kl;5;
su146;Normpulc;kl;20;
su147;Verrmura;kl;50;
su148;Phlyarge;kl;20;
su148;Leprinca;kl;20;
su148;Arthradi;kl;5;
su148;Normpulc;kl;20;
su148;Thellepa;kl;5;
su148;Parmeleg;kl;5;
su148;Pyrelaev;kl;5;
su149;Verrmura;kl;5;
su149;Leprinca;kl;15;
su149;Gyaljene;kl;1;
su149;Leprniva;kl;10;
su150;Verrmura;kl;10;
su150;Gyaljene;kl;10;
su150;Opegdolo;kl;1;
su150;Verrcalc;kl;10;
su151;Verrmura;kl;10;
su151;Buelgris;kl;1;
su151;Opegdolo;kl;10;
su151;Petrhypo;kl;10;
su152;Buelgris;kl;20;
su153;Collfusc;kl;1;
su153;Leprinca;kl;20;
su153;Candxant;kl;1;
su154;Collcris;kl;1;
su154;Verrcalc;kl;20;
su155;Verrmura;kl;10;
su155;Opegdolo;kl;10;
su156;Protrupe;kl;10;
su156;Gyaljene;kl;10;
su156;Leprniva;kl;10;
su156;Opegdolo;kl;1;
su156;Verrcalc;kl;1;
su157;Verrmura;kl;10;
su157;Leprinca;kl;10;
su157;Gyaljene;kl;10;
su158;Protrupe;kl;10;
su158;Gyaljene;kl;10;
su158;Opegdolo;kl;1;
su158;Protsieb;kl;10;
su159;Verrmura;kl;10;
su159;Protrupe;kl;1;
su159;Leprniva;kl;10;
su159;Protsieb;kl;1;
su160;Verrmura;kl;10;
su160;Gyaljene;kl;10;
su160;Leprniva;kl;1;
su160;Opegdolo;kl;1;
su161;Verrmura;kl;10;
su161;Protrupe;kl;10;
su161;Gyalleci;kl;1;
su162;Verrmura;kl;20;
su162;Gyaljene;kl;10;
su162;Leprniva;kl;1;
su162;Petrhypo;kl;1;
su163;Verrmura;kl;20;
su163;Petrclau;kl;10;
su163;Gyaljene;kl;10;
su164;Verrmura;kl;40;
su164;Protrupe;kl;20;
su165;Verrmura;kl;40;
su165;Protrupe;kl;1;
su166;Verrmura;kl;10;
su166;Verrnigr;kl;10;
su166;Gyaljene;kl;20;
su166;Leprniva;kl;1;
su166;Opegdolo;kl;10;
su166;Verrcalc;kl;1;
su167;Verrmura;kl;10;
su167;Verrnigr;kl;10;
su167;Gyaljene;kl;20;
su167;Verrcalc;kl;1;
su168;Verrmura;kl;10;
su168;Gyaljene;kl;10;
su168;Opegdolo;kl;10;
su169;Leprniva;kl;10;
su169;Opegdolo;kl;20;
su170;Verrmura;kl;20;
su170;Verrnigr;kl;10;
su170;Verrcalc;kl;1;
su171;Phlyarge;kl;10;
su171;Grapscri;kl;1;
su172;Grapscri;kl;1;
su172;Leprinca;kl;20;
su172;Cladbore;kl;10;
su173;Phlyarge;kl;1;
su173;Grapscri;kl;1;
su173;Leprinca;kl;100;
su174;Amanpunc;kl;10;
su174;Lecacarp;kl;1;
su174;Lecachla;kl;1;
su174;Lecielae;kl;5;
su174;Phlyarge;kl;20;
su174;Parmglab;kl;5;
su174;Grapscri;kl;10;
su174;Lecaallo;kl;1;
su176;Amanpunc;kl;20;
su176;Lecacarp;kl;1;
su176;Lecachla;kl;10;
su176;Lecielae;kl;1;
su176;Phlyarge;kl;10;
su176;Grapscri;kl;10;
su176;Lecaallo;kl;1;
su177;Phlyarge;kl;10;
su177;Grapscri;kl;1;
su178;Peltprae;kl;5;
su179;Verrmura;kl;40;
su179;Leprinca;kl;1;
su179;Gyaljene;kl;20;
su180;Amanpunc;kl;5;
su180;Phlyarge;kl;5;
su180;Parmglab;kl;5;
su180;Grapscri;kl;60;
su180;Leprinca;kl;5;
su181;Verrmura;kl;100;
su182;Collflac;kl;1;
su182;Peltprae;kl;10;
su182;Leptlich;kl;1;
su183;Peltprae;kl;10;
su184;Phlyarge;kl;20;
su184;Parmglab;kl;1;
su184;Parmsulc;kl;1;
su184;Normpulc;kl;10;
su184;Candconc;kl;1;
su185;Phlyarge;kl;20;
su185;Parmglab;kl;1;
su185;Parmsulc;kl;20;
su185;Normpulc;kl;1;
su185;Candconc;kl;1;
su186;Phlyarge;kl;40;
su186;Physadsc;kl;1;
su186;Parmglab;kl;1;
su186;Pertamar;kl;20;
su186;Parmflav;kl;20;
su187;Phlyarge;kl;20;
su187;Parmsulc;kl;1;
su187;Pertamar;kl;1;
su187;Parmflav;kl;50;
su188;Calocitr;kl;50;
su189;Verrmura;kl;30;
su189;Verrnigr;kl;10;
su190;Calocitr;kl;50;
su191;Calocitr;kl;20;
su192;Verrmura;kl;10;
su192;Verrnigr;kl;10;
su192;Leprinca;kl;1;
su192;Gyaljene;kl;10;
su193;Verrnigr;kl;50;
su193;Gyaljene;kl;50;
su194;Caloxant;kl;40;
su195;Gyaljene;kl;50;
su195;Petrhypo;kl;20;
su196;Opegdolo;kl;40;
su197;Caloxant;kl;50;
su198;Verrmacr;kl;10;
su198;Polyalbi;kl;20;
su199;Verrhoch;kl;40;
su200;Gyaljene;kl;40;
su200;Verrhoch;kl;40;
su201;Gyaljene;kl;30;
su201;Verrhoch;kl;20;
su202;Calocirr;kl;1;
su202;Verrviri;kl;5;
su202;Bacifusc;kl;1;
su203;Calocirr;kl;5;
su203;Calocitr;kl;1;
su203;Bacifusc;kl;5;
su204;Verrviri;kl;10;
su204;Bacifusc;kl;10;
su205;Verrmura;kl;5;
su205;Verrnigr;kl;1;
su205;Verrviri;kl;1;
su206;Calocirr;kl;5;
su206;Verrviri;kl;1;
su206;Bacifusc;kl;1;
zw207;Pertalbe;kl;10;
zw207;Leprinca;kl;10;
zw207;Leprebur;kl;10;
zw208;Phlyarge;kl;20;
zw208;Parmsulc;kl;20;
zw208;Pertalbe;kl;20;
zw208;Leprebur;kl;1;
zw209;Phlyarge;kl;10;
zw209;Parmsulc;kl;10;
zw209;Pertalbe;kl;20;
zw210;Phlyarge;kl;50;
zw210;Parmsulc;kl;50;
zw210;Parmeleg;kl;1;
zw211;Phlyarge;kl;80;
zw211;Parmsulc;kl;10;
zw211;Parmeleg;kl;10;
zw212;Gyaljene;kl;1;
zw213;Verrmura;kl;5;
zw214;Buelgris;kl;1;
zw214;Leprinca;kl;10;
zw215;Buelgris;kl;20;
zw215;Parmsulc;kl;20;
zw215;Parmeleg;kl;20;
zw216;Lecachla;kl;10;
zw216;Grapscri;kl;1;
zw216;Pertalbe;kl;60;
zw217;Buelgris;kl;1;
zw217;Lecacarp;kl;1;
zw217;Lecachla;kl;20;
zw217;Phlyarge;kl;20;
zw217;Parmglab;kl;10;
zw217;Parmsulc;kl;20;
zw217;Leprinca;kl;10;
zw217;Arthradi;kl;1;
zw217;Hafedisc;kl;10;
zw217;Lecaintu;kl;1;
zw218;Phlyarge;kl;5;
zw218;Parmsulc;kl;5;
zw219;Cladceno;kl;5;
zw219;Hypovitt;kl;5;
zw220;Lecachla;kl;5;
zw221;Parmsulc;kl;10;
zw221;Hypophys;kl;80;
zw221;Pseufurf;kl;1;
zw221;Bryofusc;kl;1;
zw221;Everdiva;kl;1;
zw221;Cladceno;kl;1;
zw221;Ramafari;kl;1;
zw222;Parmsulc;kl;1;
zw222;Hypophys;kl;70;
zw222;Pseufurf;kl;10;
zw222;Everprun;kl;1;
zw222;Cladceno;kl;1;
zw223;Parmglab;kl;10;
zw223;Parmsulc;kl;10;
zw223;Hypophys;kl;30;
zw223;Parmexas;kl;1;
zw223;Pseufurf;kl;1;
zw223;Everprun;kl;1;
zw223;Bryofusc;kl;1;
zw224;Hypophys;kl;5;
zw225;Hypophys;kl;80;
zw225;Pseufurf;kl;20;
zw226;Verrmura;kl;20;
zw226;Opegdolo;kl;10;
zw226;Verrhoch;kl;40;
zw227;Buelgris;kl;1;
zw227;Leprinca;kl;5;
zw227;Cladpyxi;kl;1;
zw227;Micaadna;kl;1;
zw227;Parmambi;kl;1;
zw228;Hypophys;kl;5;
zw228;Pseufurf;kl;5;
zw228;Lecasymm;kl;1;
zw228;Parmambi;kl;1;
zw228;Lecasali;kl;1;
zw229;Parmambi;kl;10;
zw229;Parmhype;kl;10;
zw230;Cladconi;kl;1;
zw230;Cladmaci;kl;5;
zw231;Lecachla;kl;1;
zw231;Hypophys;kl;5;
zw231;Lecaconi;kl;1;
zw231;Hypovitt;kl;5;
zw231;Parmambi;kl;1;
zw232;Lecachla;kl;5;
zw232;Hypophys;kl;1;
zw232;Lecaconi;kl;1;
zw232;Hypovitt;kl;5;
zw233;Buelgris;kl;5;
zw233;Lecachla;kl;1;
zw233;Leprinca;kl;1;
zw233;Pseufurf;kl;10;
zw233;Hypovitt;kl;5;
zw233;Parmambi;kl;1;
zw233;Lecapuli;kl;1;
zw234;Buelgris;kl;5;
zw234;Lecachla;kl;5;
zw234;Hypophys;kl;1;
zw234;Pseufurf;kl;5;
zw234;Hypovitt;kl;5;
zw234;Parmambi;kl;1;
zw235;Parmsulc;kl;1;
zw235;Platglau;kl;5;
zw235;Parmsaxa;kl;5;
zw236;Platglau;kl;50;
zw237;Cladceno;kl;100;
zw238;Verrmura;kl;20;
zw238;Verrhoch;kl;1;
zw239;Verrhoch;kl;30;
zw240;Parmsulc;kl;1;
zw240;Hypophys;kl;10;
zw240;Bryofusc;kl;1;
zw240;Bryosubc;kl;10;
zw240;Caliviri;kl;1;
zw240;Imshaleu;kl;1;
zw240;Loxoelat;kl;1;
zw241;Phlyarge;kl;40;
zw241;Pertamar;kl;20;
zw242;Lecielae;kl;10;
zw242;Candrefl;kl;1;
zw242;Leprinca;kl;10;
zw243;Buelgris;kl;1;
zw243;Lecielae;kl;1;
zw243;Phlyarge;kl;5;
zw243;Leprinca;kl;5;
zw244;Buelgris;kl;5;
zw244;Candrefl;kl;1;
zw244;Pertalbe;kl;5;
zw244;Leprinca;kl;1;
zw244;Normpulc;kl;1;
zw245;Lecasubr;kl;1;
