plot;abbr;layer;cov;browsed;voucher;comment;history
hw04;chel maju;hl;+;no;;;
hw04;clin alpi alpi;hl;+;no;;;
hw04;dact glom glom;hl;+;no;;;
hw04;echi vulg;hl;+;no;;;
hw04;erys sylv;hl;2a;yes;;;
hw04;euph cypa;hl;+;no;;;
hw04;fest stri sulc;hl;1;yes;;;
hw04;frax exce;hl;+;no;;;
hw04;fuma schl;hl;+;no;;;
hw04;gali luci;hl;2a;no;;;
hw04;gera sang;hl;+;no;;;
hw04;glob cord;hl;+;no;;;
hw04;heli numm obsc;hl;1;no;;cf.;
hw04;hier spec ies;hl;+;no;2008-0077;;
hw04;hype perf;hl;+;no;;;
hw04;jovi glob hirt;hl;+;no;;;
hw04;lase sile sile;hl;+;no;;;
hw04;leon inca;hl;+;no;;;
hw04;lina geni;hl;+;no;;;
hw04;medi lupu;hl;+;no;2008-0129;;
hw04;micr perf;hl;+;no;;;
hw04;none pull pull;hl;+;no;;;
hw04;orig vulg;hl;+;no;;;
hw04;pelt alli;hl;+;no;;;
hw04;poly odor;hl;+;no;;;
hw04;pote pusi;hl;+;no;2008-0060;cf.;
hw04;prim elat;hl;+;no;;;
hw04;pseu turr;hl;+;no;;;
hw04;puls gran;hl;+;yes;;;
hw04;rese lute lute;hl;+;no;;;
hw04;rosa arve;hl;+;yes;;;
hw04;scab ochr;hl;+;no;;;
hw04;secu vari;hl;+;no;;;
hw04;sedu albu;hl;+;no;;;
hw04;sile nuta nuta;hl;+;yes;;;
hw04;sisy aust;hl;+;no;;;
hw04;stip penn;hl;1;yes;;;
hw04;tana cory cory;hl;+;no;;;
hw04;teuc cham;hl;+;no;;;
hw04;teuc mont;hl;+;no;;;
hw04;verb chai aust;hl;+;no;;;
hw04;vero aust;hl;+;no;2008-0086;;
hw04;vinc hiru;hl;2a;no;;;
hw04;viol tric saxa;hl;1;no;;;
hw04;prun maha;sl;+;yes;;;
hw05;ajug gene;hl;+;no;;;
hw05;alli flav;hl;+;no;;;
hw05;alli lusi;hl;+;no;;;
hw05;anth ramo;hl;+;no;;;
hw05;arab sagi;hl;+;no;;;
hw05;aren serp;hl;+;no;;;
hw05;aspe cyna;hl;+;no;;;
hw05;ball nigr slat;hl;+;no;;;
hw05;brac sylv;hl;2a;yes;;;
hw05;bupl falc falc;hl;+;no;;;
hw05;camp cesp;hl;+;no;;;
hw05;card cras glau;hl;+;no;;;
hw05;care hall;hl;1;no;;;
hw05;cent scab bade;hl;2a;no;;;
hw05;clin alpi alpi;hl;+;no;;;
hw05;dian cart cart;hl;+;no;;;
hw05;dory germ;hl;+;no;;;
hw05;echi vulg;hl;+;no;;;
hw05;erys sylv;hl;1;no;;;
hw05;euph cypa;hl;1;no;;;
hw05;gali luci;hl;1;yes;;;
hw05;gera sang;hl;+;no;;;
hw05;glob cord;hl;+;no;;;
hw05;heli numm obsc;hl;+;no;;;
hw05;hipp emer emer;hl;+;yes;;;
hw05;jovi glob hirt;hl;+;no;;;
hw05;lase sile sile;hl;+;yes;;;
hw05;leon inca;hl;+;yes;;;
hw05;lina geni;hl;+;no;;;
hw05;meli cili;hl;1;no;;;
hw05;orig vulg;hl;+;no;;;
hw05;pelt alli;hl;+;no;;;
hw05;poa bade;hl;+;no;;;
hw05;poly odor;hl;+;no;;;
hw05;puls gran;hl;+;yes;;;
hw05;rese lute lute;hl;1;no;;;
hw05;rosa arve;hl;+;yes;;;
hw05;salv vert;hl;1;no;;;
hw05;sang mino mino;hl;+;no;;;
hw05;scab ochr;hl;+;no;;;
hw05;secu vari;hl;+;no;;;
hw05;sedu albu;hl;+;no;;;
hw05;sese aust;hl;+;no;;;
hw05;sile nuta nuta;hl;1;yes;;;
hw05;sile vulg vulg;hl;+;no;;;
hw05;stip penn;hl;1;yes;;;
hw05;tara sect rude;hl;r;no;;;
hw05;teuc cham;hl;1;no;;;
hw05;teuc mont;hl;+;no;;;
hw05;vale offi tenu;hl;+;no;;;
hw05;verb chai aust;hl;+;no;;;
hw05;vero aust;hl;+;no;;;
hw05;vinc hiru;hl;+;no;;;
hw05;viol tric saxa;hl;+;no;;;
hw05;tort tort;ml;+;no;;;
hw05;berb vulg;sl;+;no;;;
hw05;corn mas;sl;+;no;;;
hw05;cory avel;sl;1;no;;;
hw05;crat mono;sl;+;no;;;
hw05;ligu vulg;sl;+;no;;;
hw05;prun maha;sl;+;no;;;
hw05;rosa arve;sl;+;no;;;
hw05;rosa cani;sl;+;no;;;
hw05;rosa cory;sl;+;no;;;
hw05;sorb pann;sl;+;no;;;
hw06;alli lusi;hl;+;no;;;
hw06;amel oval;hl;+;yes;;;
hw06;anth ramo;hl;2a;no;;;
hw06;arab sagi;hl;+;no;;;
hw06;aspe cyna;hl;+;no;;;
hw06;brac sylv;hl;1;no;;;
hw06;bupl falc falc;hl;+;no;;;
hw06;cala vari;hl;2a;yes;;;
hw06;card cras glau;hl;1;no;;;
hw06;care hall;hl;+;yes;;;
hw06;cent scab bade;hl;1;no;;;
hw06;clin alpi alpi;hl;1;no;;;
hw06;cory avel;hl;+;no;;;
hw06;coto inte;hl;1;yes;;;
hw06;cycl purp;hl;r;no;;;
hw06;dact glom glom;hl;+;yes;;;
hw06;dian cart cart;hl;+;no;;;
hw06;digi gran;hl;r;no;;;
hw06;erys sylv;hl;+;no;;;
hw06;euph cypa;hl;1;no;;;
hw06;fest stri sulc;hl;1;yes;2008-0170;;
hw06;frag mosc;hl;1;yes;;cf.;
hw06;gali luci;hl;1;no;;;
hw06;geni pilo;hl;+;yes;;;
hw06;gera sang;hl;1;no;;;
hw06;glob cord;hl;1;no;;;
hw06;heli numm glab;hl;+;no;2008-0111;;
hw06;heli numm obsc;hl;+;no;;;
hw06;homa pube pube;hl;1;yes;;;
hw06;hype perf;hl;+;no;;;
hw06;jovi glob hirt;hl;+;no;;;
hw06;lase sile sile;hl;1;no;;;
hw06;leon inca;hl;+;yes;;;
hw06;lotu corn;hl;+;no;;var. hirsutum;
hw06;mela nemo;hl;+;no;;;
hw06;meli cili;hl;1;no;;;
hw06;orig vulg;hl;1;no;;;
hw06;pelt alli;hl;+;no;;;
hw06;peuc aust;hl;+;no;;;
hw06;poa angu;hl;1;no;2008-0156;;
hw06;poly odor;hl;1;no;;;
hw06;pote inca;hl;1;no;2008-0118;;
hw06;pseu turr;hl;+;no;;;
hw06;puls gran;hl;+;yes;;;
hw06;rham cath;hl;+;no;;;
hw06;rosa spin;hl;1;yes;;;
hw06;sang mino mino;hl;+;no;;;
hw06;scab ochr;hl;1;no;;;
hw06;secu vari;hl;+;no;;;
hw06;sedu albu;hl;+;no;;;
hw06;sese aust;hl;+;no;;;
hw06;sesl caer;hl;1;yes;;;
hw06;sile nuta nuta;hl;1;yes;;;
hw06;stel holo;hl;+;no;;;
hw06;stip penn;hl;+;yes;;;
hw06;tana cory cory;hl;+;no;;;
hw06;tara sect rude;hl;+;no;;;
hw06;teuc mont;hl;+;no;;;
hw06;turr glab;hl;+;no;;;
hw06;vale offi tenu;hl;+;no;;;
hw06;verb chai aust;hl;r;no;;;
hw06;vero aust;hl;+;no;;;
hw06;vinc hiru;hl;1;no;;;
hw06;viol alba slat;hl;+;no;2008-0138;cf.;
hw06;viol tric saxa;hl;+;no;;;
hw06;tort tort;ml;+;no;;;
hw07;ajug gene;hl;+;no;;;
hw07;alli flav;hl;+;no;;;
hw07;amel oval;hl;+;yes;;;
hw07;anth ramo;hl;+;no;;;
hw07;arab auri;hl;+;no;2008-0062;;
hw07;arab sagi;hl;+;no;2008-0063;;
hw07;aren serp;hl;+;no;;;
hw07;bupl falc falc;hl;+;no;;;
hw07;cala vari;hl;1;yes;;;
hw07;card cras glau;hl;2a;no;;;
hw07;cent scab bade;hl;1;yes;;;
hw07;clin alpi alpi;hl;1;no;;;
hw07;coto inte;hl;+;yes;;;
hw07;cycl purp;hl;+;no;;;
hw07;dian cart cart;hl;+;yes;;;
hw07;erys sylv;hl;1;no;;;
hw07;euph cypa;hl;+;no;;;
hw07;fuma schl;hl;+;no;;;
hw07;gali meli;hl;1;yes;2008-0005;cf.;
hw07;gali spur;hl;+;no;2008-0004;;
hw07;geni pilo;hl;+;yes;;;
hw07;gera sang;hl;1;yes;;;
hw07;glob cord;hl;1;no;;;
hw07;heli numm glab;hl;+;no;;cf.;
hw07;hipp emer emer;hl;1;yes;2008-0128;cf.;
hw07;lase sile sile;hl;3;yes;;;
hw07;leon inca;hl;+;yes;;;
hw07;lina geni;hl;+;yes;;;
hw07;meli cili;hl;1;yes;;;
hw07;micr perf;hl;+;no;;;
hw07;papa dubi aust;hl;+;no;;;
hw07;pelt alli;hl;+;no;;;
hw07;poa angu;hl;+;yes;2008-0159;;
hw07;poly odor;hl;+;no;;;
hw07;pote pusi;hl;+;no;;cf.;
hw07;pseu turr;hl;+;no;;;
hw07;puls gran;hl;+;yes;2008-0092;;
hw07;rese lute lute;hl;+;no;;;
hw07;secu vari;hl;+;no;;;
hw07;sedu albu;hl;+;no;;;
hw07;sese aust;hl;+;no;;;
hw07;sesl caer;hl;1;yes;;;
hw07;stac rect rect;hl;+;no;;;
hw07;tana cory cory;hl;+;no;;;
hw07;teuc cham;hl;1;no;;;
hw07;teuc mont;hl;+;no;;;
hw07;vale offi tenu;hl;+;no;;;
hw07;vero aust;hl;+;no;;;
hw07;vinc hiru;hl;1;no;;;
hw07;viol tric saxa;hl;+;no;;;
hw07;tort tort;ml;+;no;;;
hw07;amel oval;sl;r;yes;;;
hw07;berb vulg;sl;+;no;;;
hw07;frax exce;sl;r;yes;;;
hw07;rosa glau;sl;+;no;;;
hw08;alli flav;hl;+;no;;;
hw08;alli lusi;hl;+;yes;;;
hw08;anth ramo;hl;+;yes;;;
hw08;arab sagi;hl;+;no;;;
hw08;aren serp;hl;+;no;;;
hw08;aspe cyna;hl;+;no;;;
hw08;aspl ruta;hl;+;no;;;
hw08;card cras glau;hl;+;no;;;
hw08;care hall;hl;+;yes;;;
hw08;care mich;hl;1;no;2008-0070;;
hw08;cent scab bade;hl;+;no;;;
hw08;clin alpi alpi;hl;1;no;;;
hw08;cyan triu;hl;+;no;;;
hw08;cycl purp;hl;r;no;;;
hw08;dian cart cart;hl;+;no;;;
hw08;fest stri sulc;hl;+;no;;;
hw08;fuma proc;hl;+;no;;;
hw08;gali luci;hl;+;no;;;
hw08;glob cord;hl;2a;no;;;
hw08;heli numm obsc;hl;+;no;;;
hw08;hipp emer emer;hl;+;no;;;
hw08;jovi glob hirt;hl;+;no;;;
hw08;lase sile sile;hl;+;yes;;;
hw08;leon inca;hl;1;no;;;
hw08;meli cili;hl;+;no;;;
hw08;micr perf;hl;+;no;;;
hw08;poly cham;hl;+;no;;;
hw08;poly odor;hl;+;yes;;;
hw08;pote pusi;hl;+;no;;;
hw08;puls gran;hl;+;yes;;;
hw08;rese lute lute;hl;+;no;;;
hw08;scab ochr;hl;+;no;;;
hw08;sedu albu;hl;+;no;;;
hw08;sese aust;hl;+;no;;;
hw08;sesl caer;hl;1;yes;;;
hw08;stip penn;hl;+;yes;;;
hw08;teuc cham;hl;+;no;;;
hw08;teuc mont;hl;2a;no;;;
hw08;verb chai aust;hl;+;no;;;
hw08;vinc hiru;hl;+;no;;;
hw08;amel oval;sl;+;yes;;;
hw09;achi seta;hl;+;no;;;
hw09;alli flav;hl;+;no;;;
hw09;alli lusi;hl;+;no;;;
hw09;anth ramo;hl;1;yes;;;
hw09;arab sagi;hl;+;no;;;
hw09;aspe cyna;hl;+;yes;;;
hw09;brac pinn;hl;1;yes;;;
hw09;brac sylv;hl;+;no;;;
hw09;care alba;hl;1;no;;;
hw09;care hall;hl;1;yes;;;
hw09;care mich;hl;2b;yes;;;
hw09;cera arve arve;hl;+;no;;;
hw09;clin alpi alpi;hl;+;no;;;
hw09;cory avel;hl;+;yes;;;
hw09;coto inte;hl;+;yes;;;
hw09;cusc epit epit;hl;+;no;;;
hw09;dian cart cart;hl;+;yes;;;
hw09;erys sylv;hl;+;no;;;
hw09;euph cypa;hl;+;no;;;
hw09;fest stri sulc;hl;2a;yes;;;
hw09;frag mosc;hl;+;no;;cf.;
hw09;gali luci;hl;+;no;;;
hw09;gera sang;hl;+;no;;;
hw09;glob cord;hl;+;no;;;
hw09;heli numm obsc;hl;+;no;;;
hw09;hier pilo aggr;hl;r;no;;;
hw09;hipp como;hl;+;no;;;
hw09;jovi glob hirt;hl;+;no;;;
hw09;lase sile sile;hl;2b;yes;;;
hw09;lotu corn;hl;+;no;;var. hirsutus;
hw09;meli cili;hl;+;yes;;;
hw09;meli nuta;hl;+;no;;;
hw09;poa angu;hl;+;no;;;
hw09;pote pusi;hl;+;no;;;
hw09;puls gran;hl;+;yes;;;
hw09;quer pube pube;hl;r;no;;;
hw09;rham cath;hl;r;yes;;;
hw09;rosa spin;hl;+;yes;;;
hw09;salv prat prat;hl;1;no;;;
hw09;sang mino mino;hl;+;no;;;
hw09;scab ochr;hl;+;no;;;
hw09;sese aust;hl;+;no;;;
hw09;sesl caer;hl;1;yes;;;
hw09;tana cory cory;hl;+;no;;;
hw09;teuc cham;hl;+;no;;;
hw09;teuc mont;hl;+;no;;;
hw09;thym pule pule;hl;+;no;;;
hw09;trif alpe;hl;+;no;;;
hw09;vinc hiru;hl;1;no;;;
hw09;viol coll;hl;1;no;;;
hw09;pleu schr;ml;+;no;;;
hw09;tort tort;ml;1;no;;;
hw09;cory avel;sl;+;yes;;;
hw10;ajug gene;hl;+;yes;;;
hw10;arab auri;hl;+;no;2008-0052;;
hw10;arab sagi;hl;+;no;2008-0055;;
hw10;aren serp;hl;+;no;;;
hw10;card cras glau;hl;+;yes;;;
hw10;card nuta nuta;hl;2a;no;;;
hw10;care hall;hl;1;yes;;;
hw10;cirs vulg;hl;+;no;;;
hw10;clin acin;hl;+;yes;2008-0020;;
hw10;cycl purp;hl;+;no;;;
hw10;dact glom glom;hl;+;yes;;;
hw10;dory germ;hl;+;no;;;
hw10;echi vulg;hl;+;no;;;
hw10;erys sylv;hl;1;no;;;
hw10;euph cypa;hl;+;no;;;
hw10;fest stri sulc;hl;+;yes;;;
hw10;gali luci;hl;+;yes;;;
hw10;gera sang;hl;+;no;;;
hw10;geum urba;hl;r;no;;;
hw10;glob cord;hl;+;no;;;
hw10;heli canu;hl;+;yes;;;
hw10;heli numm glab;hl;+;no;2008-0112;;
hw10;heli numm obsc;hl;+;no;;;
hw10;hype perf;hl;+;yes;;;
hw10;jovi glob hirt;hl;2a;no;;;
hw10;leon inca;hl;+;no;;;
hw10;lotu corn;hl;+;no;;var. hirsutus;
hw10;medi lupu;hl;+;no;;;
hw10;meli nuta;hl;+;yes;;;
hw10;micr perf;hl;+;no;;;
hw10;orig vulg;hl;1;no;;;
hw10;pelt alli;hl;+;no;;;
hw10;poa angu;hl;+;no;2008-0162;;
hw10;poa bade;hl;+;no;;;
hw10;poly odor;hl;+;no;;;
hw10;pote inca;hl;+;no;2008-0121;;
hw10;rese lute lute;hl;+;no;;;
hw10;sang mino mino;hl;+;yes;;;
hw10;sedu albu;hl;+;no;;;
hw10;sile nuta nuta;hl;+;yes;;;
hw10;tara sect rude;hl;+;no;;;
hw10;teuc cham;hl;1;no;;;
hw10;teuc mont;hl;+;no;;;
hw10;vinc hiru;hl;2a;no;;;
hw10;viol coll;hl;+;no;;cf.;
hw10;viol tric saxa;hl;+;no;;;
hw10;tort tort;ml;1;no;;;
