plot,abbr,layer,cov,comment,voucher,history
gb02,glob cord,hl,+,,,
gb02,hepa nobi,hl,+,,,
gb02,hier bifi,hl,+,,,
gb02,hier muro,hl,+,,,
gb02,hype perf,hl,+,,,
gb02,linu cath,hl,1,,,
gb02,meli nuta,hl,1,,,
gb02,merc pere,hl,+,,,
gb02,moli caer aggr,hl,r,,,
gb02,orch masc spec,hl,+,,,
gb02,orig vulg,hl,1,,,
gb02,pice abie,hl,1,,,
gb02,poly cham,hl,2a,,,
gb02,rham cath,hl,2a,,,
gb02,sesl caer,hl,2b,,,
gb02,soli virg virg,hl,+,,,
gb02,sorb aria,hl,+,,,
gb02,teuc cham,hl,2a,,,
gb02,teuc mont,hl,+,,,
gb02,vinc hiru,hl,2b,,,
gb02,viol coll,hl,+,,,
gb02,viol rivi,hl,+,,,
gb02,abie abie abie,ml,+,,,
gb02,bryu arge,ml,+,,,
gb02,rhyt rugo,ml,2a,cf.,,
gb02,tort tort,ml,+,,,
gb02,clem vita,sl,+,,,
gb02,cory avel,sl,+,,,
gb02,pice abie,sl,2b,,,
gb02,rham cath,sl,+,,,
gb02,sorb aria,sl,1,,,
gb02,frax exce,tl2,2a,,,
gb02,pice abie,tl2,2a,,,
gb02,quer robu,tl2,2a,,,
gb02,sorb aria,tl2,2b,,,
gb03,alli lusi,hl,2a,,,
gb03,amel oval,hl,1,,,
gb03,aspl ruta,hl,+,,,
gb03,aspl tric quad,hl,+,,,
gb03,buph sali,hl,1,,,
gb03,cala vari,hl,2a,,,
gb03,card defl viri,hl,1,,,
gb03,clin alpi alpi,hl,1,,,
gb03,eric carn,hl,+,,,
gb03,euph cypa,hl,r,,,
gb03,euph sali,hl,+,,,
gb03,frax exce,hl,+,,,
gb03,gali anis,hl,+,,,
gb03,glob cord,hl,2b,,,
gb03,hipp como,hl,1,,,
gb03,lase lati lati,hl,+,,,
gb03,leon inca,hl,2a,,,
gb03,poly cham,hl,1,,,
gb03,poly odor,hl,r,,,
gb03,rham cath,hl,+,,,
gb03,rosa cani,hl,+,,,
gb03,sedu albu,hl,+,,,
gb03,sesl caer,hl,1,,,
gb03,sile nuta nuta,hl,+,,,
gb03,sorb aria,hl,+,,,
gb03,teuc cham,hl,+,,,
gb03,teuc mont,hl,1,,,
gb03,vinc hiru,hl,1,,,
gb03,viol hirt,hl,+,,,
gb03,tort tort,ml,2a,,,
gb03,amel oval,sl,2a,,,
gb03,clem vita,sl,+,,,
gb03,frax exce,sl,+,,,
gb03,rham cath,sl,2a,,,
gb04,amel oval,hl,+,,,
gb04,anth ramo,hl,+,,,
gb04,aspl ruta,hl,r,,,
gb04,berb vulg,hl,+,,,
gb04,buph sali,hl,+,,,
gb04,cala vari,hl,2a,,,
gb04,camp coch,hl,+,,,
gb04,camp rapu rapu,hl,r,,,
gb04,card defl viri,hl,1,,,
gb04,care alba,hl,+,,,
gb04,care brac,hl,+,,,
gb04,care digi,hl,+,,,
gb04,care mont,hl,1,,,
gb04,care orni orni,hl,1,,,
gb04,clem vita,hl,1,,,
gb04,eric carn,hl,2a,,,
gb04,euph cypa,hl,+,,,
gb04,frax exce,hl,+,,,
gb04,gali anis,hl,1,,,
gb04,gali sylv,hl,+,,,
gb04,glob cord,hl,1,,,
gb04,hepa nobi,hl,+,,,
gb04,hier bifi,hl,+,,,
gb04,hier muro,hl,+,,,
gb04,hipp como,hl,1,,,
gb04,kern saxa,hl,+,,,
gb04,loni alpi,hl,+,,,
