plot,cov,hcov,mcov,hhl1,hhl2,scov,hsl,t1cov,t2cov,htl1,htl2,plsx,plsy,aspect,slope,rock,bare,stones,date,longitude,latitude,accuracy,elevation,ffh.code,alliance.code,alliance,geology1,geology2,comment,locality,habitat,observer
rk023,10,10,0,"0,1","0,7",1,1,0,0,0,0,4,4,WSW,40,0,0,0,2018-06-09,16.35637,48.31668,10,222,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg SW Elisabethhöhe",montane Kalk-Schutthalde,R. Kaiser
rk024,25,25,0,"0,15","0,8",0,0,0,0,0,0,4,4,SE,50,0,0,0,2018-06-09,16.36218,48.31331,10,274,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Weinviertel, Bisamberg S Elisabthhöhe",montane Kalk-Schutthalde,R. Kaiser
rk025,22,20,0,"0,1","0,6",3,1,0,0,0,0,4,4,SSE,40,0,0,0,2018-06-11,16.92913,48.12883,10,293,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hundsheimer Berge, NW Hexenberg",montane Kalk-Schutthalde,R. Kaiser
rk026,20,20,0,"0,1","0,6",3,"0,7",0,0,0,0,4,4,SSE,40,0,0,0,2018-06-11,16.92920,48.12887,10,288,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hundsheimer Berge, NW Hexenberg",montane Kalk-Schutthalde,R. Kaiser
rk027,8,7,1,"0,1","0,4",1,1,0,0,0,0,4,4,S,30,0,0,0,2018-06-11,16.92877,48.12891,10,296,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hundsheimer Berge, NW Hexenberg",montane Kalk-Schutthalde,R. Kaiser
rk028,30,25,3,"0,05","0,4",7,1,0,0,0,0,4,4,SW,25,0,0,0,2018-06-11,16.93514,48.12081,10,253,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hundsheimer Berge, S Hexenberg bei der Güntherhöhle",montane Kalk-Schutthalde,R. Kaiser
rk029,30,30,0,"0,15","0,5",1,1,0,0,0,0,4,4,SE,35,0,0,0,2018-06-12,16.05124,47.82965,10,647,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk030,70,70,1,"0,15","0,8",0,0,0,0,0,0,4,4,SE,45,0,0,0,2018-06-12,16.05077,47.83021,10,697,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk031,20,20,0,"0,2","0,7",0,0,0,0,0,0,4,4,SSE,35,0,0,0,2018-06-12,16.04892,47.82976,10,724,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk032,15,15,0,"0,15","0,4",1,1,0,0,0,0,4,4,S,30,0,0,0,2018-06-12,16.04877,47.82889,10,658,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk033,16,15,1,"0,05","0,6",0,0,0,0,0,0,4,4,SE,30,0,0,0,2018-06-12,16.04792,47.82847,10,648,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk034,63,60,5,"0,1","0,6",0,0,0,0,0,0,4,4,SE,30,0,0,0,2018-06-12,16.04771,47.82846,10,651,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk035,10,10,0,"0,1","0,6",0,0,0,0,0,0,4,4,ESE,35,0,0,0,2018-06-12,16.04640,47.82711,10,630,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Hohe Wand Gebiet, Hohe Wand auf Höhe Ortlerhütte ""Skywalk""",montane Kalk-Schutthalde,R. Kaiser
rk036,16,15,1,"0,02","0,4",0,0,0,0,0,0,4,4,S,40,0,0,0,2018-06-13,15.53436,47.24602,10,758,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk037,16,15,1,"0,02","0,3",0,0,0,0,0,0,4,4,S,40,0,0,0,2018-06-13,15.53454,47.24605,10,758,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk038,20,20,0,"0,15","0,4",0,0,0,0,0,0,4,4,SSW,40,0,0,0,2018-06-13,15.53468,47.24606,10,761,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk039,25,25,1,"0,1","0,5",0,0,0,0,0,0,4,4,SSW,40,0,0,0,2018-06-13,15.53469,47.24614,10,769,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk040,11,10,1,"0,1","0,3",0,0,0,0,0,0,4,4,SW,35,0,0,0,2018-06-13,15.53500,47.24617,10,773,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
rk041,5,5,0,"0,05","0,4",0,0,0,0,0,0,4,4,SSW,45,0,0,0,2018-06-13,15.53478,47.24642,10,791,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Grazer Bergland, S Gösser im Raabtal",montane Kalk-Schutthalde,R. Kaiser
