plot,abbr,layer,cover,voucher,comment,compare,history
rk012,tuss farf,hl,+,,,,
rk012,vinc hiru,hl,1,,,,
rk012,acer pseu,sl,2a,,,,
rk012,fagu sylv,sl,1,,,,
rk012,frax exce,sl,1,,,,
rk013,acer pseu,hl,+,,,,
rk013,buph sali,hl,+,,,,
rk013,card defl viri,hl,+,,,,
rk013,cory avel,hl,+,,,,
rk013,frax exce,hl,+,,,,
rk013,gale mont,hl,r,,,,
rk013,gera robe,hl,r,,,,
rk013,peta para,hl,+,,,,
rk013,rubu caes,hl,r,,,,
rk014,arab aren,hl,r,,,,
rk014,cala epig,hl,1,,,,
rk014,camp rapu rapu,hl,+,,,,
rk014,corn mas,hl,r,,,,
rk014,corn sang slat,hl,r,,,,
rk014,epil angu,hl,+,2018-0123,,,
rk014,epil dodo,hl,r,,,,
rk014,hier muro,hl,r,,,,
rk014,hipp emer emer,hl,r,,,,
rk014,humu lupu,hl,1,,,,
rk014,hype perf,hl,r,,,,
rk014,iber umbe,hl,r,x,,,
rk014,inul cony,hl,r,,,,
rk014,oeno bien aggr,hl,r,,,,
rk014,rubu idae,hl,+,,,,
rk014,sese liba liba,hl,2b,,,,
rk014,stac alpi,hl,+,,,,
rk014,stac rect rect,hl,r,,,,
rk014,tara sect rude,hl,r,,,,
rk014,viol coll,hl,+,,cf.,,
rk015,arab aren,hl,+,,,,
rk015,cala vari,hl,r,,,,
rk015,camp rotu,hl,+,,,,
rk015,clem vita,hl,+,,,,
rk015,hier muro,hl,+,,,,
rk015,lact mura,hl,r,,,,
rk015,sese liba liba,hl,r,,,,
rk015,sesl caer,hl,1,,,,
rk015,verb lych,hl,+,,,,
rk016,acer pseu,hl,+,,,,
rk016,chel maju,hl,+,,,,
rk016,clem vita,hl,+,,,,
rk016,corn sang slat,hl,+,,,,
rk016,fagu sylv,hl,r,,,,
rk016,frax exce,hl,+,,,,
rk016,gale mont,hl,+,,,,
rk016,gale spec iosa,hl,2a,,cf.,,
