plot,abbr,layer,cover,voucher,comment,compare,history
rs060,rubu idae,hl,+,,,,
rs061,aspl sept sept,hl,1,,,,
rs061,aspl tric quad,hl,1,2018-0298,,,
rs061,athy dist,hl,+,,,,
rs061,dryo fili,hl,1,,,,
rs061,epil coll,hl,1,2018-0283,,,
rs061,erig acri slat,hl,1,2018-0297,,,
rs061,poa nemo,hl,1,,,,
rs061,soli virg virg,hl,+,,,,
rs061,wood alpi,hl,r,2018-0299,,,
rs062,aspl sept sept,hl,+,,,,
rs062,aspl tric quad,hl,+,,aspl tric quad,ok,
rs062,athy fili,hl,r,,,,
rs062,cala arun,hl,r,,,,
rs062,epil coll,hl,+,,,,
rs062,sedu annu,hl,r,,,,
rs063,arab thal,hl,r,,,,
rs063,arrh elat,hl,1,,,,
rs063,arte absi,hl,+,,,,
rs063,aspl sept sept,hl,r,,,,
rs063,aspl tric tric,hl,r,,,,
rs063,care poly,hl,+,,,,
rs063,cera holo,hl,r,,,,
rs063,cusc epit epit,hl,+,2018-0305,,,
rs063,echi vulg,hl,+,,,,
rs063,epil coll,hl,1,,,,
rs063,euph cypa,hl,1,,,,
rs063,fest stri slat,hl,r,,fest stri slat,ok,
rs063,gale flav,hl,+,2018-0300,,,
rs063,gale lada,hl,r,,,,
rs063,gali albu,hl,2b,,cp. voucher 2018-0305,,
rs063,gali luci,hl,+,,,,
rs063,gali pumi,hl,+,2018-0301,,,
rs063,gera colu,hl,+,,,,
rs063,meli cili,hl,1,,,,
rs063,myos arve arve,hl,+,2018-0302,,,
rs063,poa nemo,hl,1,,,,
rs063,ranu bulb,hl,r,,,,
rs063,rubu idae,hl,r,,,,
rs063,sedu albu,hl,+,,,,
rs063,sedu annu,hl,r,,,,
rs063,sedu sexa,hl,+,,,,
rs063,sile nuta nuta,hl,2a,,,,
rs063,sile rupe,hl,1,,,,
rs063,thym prae poly,hl,2a,,thym prae poly,ok,
rs063,verb lych,hl,+,,,,
rs063,vero cham cham,hl,+,,,,
rs063,vinc hiru,hl,+,,,,
rs063,viol rivi,hl,+,,,,
rs063,viol tric saxa,hl,+,,,,
rs064,aspl sept sept,hl,+,,,,
rs064,aspl tric quad,hl,+,,aspl tric quad,ok,
rs064,cera holo,hl,+,,,,
rs064,cyst frag,hl,+,,,,
rs064,epil coll,hl,1,,,,
rs064,euph cypa,hl,+,,,,
rs064,fall conv,hl,+,,,,
rs064,fest stri slat,hl,+,2018-0303,,,
rs064,gale lada,hl,r,,,,
rs064,gale tetr,hl,+,,cf.,,
rs064,jovi glob aren,hl,+,,,,
rs064,poa nemo,hl,+,,,,
rs064,sedu albu,hl,+,,,,
rs064,sedu annu,hl,+,,,,
rs064,semp arac,hl,1,,,,
rs064,sile rupe,hl,r,,,,
rs064,thym prae poly,hl,1,,thym prae poly,ok,
rs064,viol tric saxa,hl,+,,,,
rs065,arte camp,hl,r,,,,
rs065,dryo fili,hl,+,,,,
rs065,gale flav,hl,+,2018-0285,,,
rs065,gali albu,hl,+,,,,
rs065,gera robe,hl,r,,,,
rs065,moeh musc,hl,r,,,,
rs065,poa nemo,hl,r,,,,
rs065,poly vulg,hl,+,,,,
rs065,sedu albu,hl,r,,,,
rs065,sedu annu,hl,r,,,,
rs065,urti dioi dioi,hl,+,,,,
rs066,aren serp,hl,+,,,,
rs066,arte absi,hl,2a,,,,
rs066,aspl tric tric,hl,r,,,,
rs066,card acan,hl,r,,cf.,,
rs066,clin alpi alpi,hl,r,,,,
rs066,cyst frag,hl,r,,,,
rs066,echi vulg,hl,1,,,,
rs066,epil coll,hl,+,,,,
rs066,euph cypa,hl,r,,,,
rs066,gale lada,hl,+,,,,
rs066,gali albu,hl,2a,2018-0304,,,
rs066,gali luci,hl,+,,,,
rs066,jovi glob aren,hl,2a,,,,
rs066,moeh musc,hl,1,,,,
rs066,petr saxi,hl,+,,,,
rs066,ranu nemo,hl,r,,cf.,,
rs066,ribe uvac slat,hl,r,,,,
rs066,sedu albu,hl,1,,,,
rs066,sedu annu,hl,+,,,,
rs066,sedu dasy,hl,r,,,,
rs066,sedu sexa,hl,1,,,,
rs066,semp arac,hl,r,,,,
rs066,sile nuta nuta,hl,+,,,,
rs066,sile rupe,hl,1,,,,
rs066,thym prae poly,hl,+,2018-0284,,,
rs066,verb lych,hl,r,,,,
rs066,vinc hiru,hl,r,,,,
rs066,viol tric saxa,hl,+,,,,
rs067,cala vari,hl,1,,,,
rs067,camp coch,hl,1,,,,
rs067,card defl summ,hl,+,2018-0306,,,
rs067,care orni slat,hl,r,,,,
rs067,carl acau slat,hl,r,,,,
rs067,crep alpe,hl,+,,,,
rs067,epip atro,hl,+,,,,
rs067,euph cypa,hl,+,,,,
rs067,gali anis,hl,1,,,,
rs067,gyps repe,hl,1,,,,
rs067,hier glau cum,hl,r,2018-0309,,,
rs067,kern saxa,hl,r,,,,
rs067,koel pyra pyra,hl,2a,,,,
rs067,leon hisp dubi,hl,1,2018-0308,,,
rs067,pice abie,hl,r,,,,
rs067,teuc cham,hl,r,,,,
rs067,thym prae poly,hl,+,,,,
rs067,tris dist,hl,r,,,,
rs067,viol pinn,hl,r,2018-0307,,,
rs068,aspl ruta,hl,r,,,,
rs068,aste alpi,hl,r,,,,
rs068,cala vari,hl,+,,,,
rs068,card defl summ,hl,+,,card defl summ,ok,
rs068,care orni slat,hl,r,,,,
rs068,chlo stat,hl,r,,,,
rs068,cusc epit epit,hl,r,2018-0337,,,
rs068,epip atro,hl,1,,,,
rs068,euph cypa,hl,+,,,,
rs068,gali anis,hl,1,,,,
rs068,gyps repe,hl,2a,,,,
rs068,koel pyra pyra,hl,1,,,,
rs068,leon inca,hl,r,,,,
rs068,poly cham,hl,+,,,,
rs068,sedu albu,hl,+,,,,
rs068,teuc mont,hl,+,,,,
rs068,thym prae poly,hl,+,,,,
rs069,aven flex flex,hl,+,,,,
rs069,hier inty,hl,+,,,,
rs069,rubu idae,hl,r,,,,
rs069,soli virg virg,hl,r,,,,
rs069,pice abie,sl,+,,,,
rs070,aspl sept sept,hl,r,,,,
rs070,aven flex flex,hl,r,,,,
rs071,aven flex flex,hl,r,,,,
rs071,fest nigr cens,hl,r,,,,
rs071,gale pube pube,hl,+,2018-0311,,,
rs071,sile rupe,hl,+,,,,
rs071,soli virg virg,hl,r,,,,
rs072,agro agro,hl,r,,,,
rs072,aven flex flex,hl,+,,,,
rs072,cala vill,hl,+,,,,
rs072,dryo cart,hl,+,,,,
rs072,gale pube pube,hl,r,,gale pube pube,ok,
rs072,gymn dryo,hl,+,,,,
rs072,poa nemo,hl,r,,,,
rs072,rubu idae,hl,+,,,,
rs072,scro nodo,hl,r,,,,
rs072,soli virg virg,hl,r,,,,
rs072,urti dioi dioi,hl,r,,,,
rs073,empe herm,hl,r,,,,
rs073,fest pseu dura,hl,+,,,,
rs073,hupe sela,hl,r,,,,
rs073,junc trif,hl,r,,,,
rs073,juni comm nana,hl,+,,,,
rs073,oreo dist,hl,+,,,,
rs073,phyt hemi,hl,r,,,,
rs073,pinu cemb,hl,r,,,,
rs073,poa laxa,hl,+,2018-0312,,,
rs073,rhod ferr,hl,+,,,,
rs073,saxi bryo,hl,1,,,,
rs073,saxi pani,hl,r,,,,
rs073,semp stir,hl,2a,,,,
rs073,vacc gaul,hl,r,,,,
rs074,fest pseu dura,hl,+,,,,
rs074,heli pusi pusi,hl,r,,,,
rs074,oreo dist,hl,+,,,,
rs074,poa laxa,hl,1,2018-0313,,,
rs074,rhod rose a,hl,+,,,,
rs074,saxi bryo,hl,1,,,,
rs074,saxi mosc,hl,+,,,,
rs074,saxi pani,hl,+,,,,
rs074,scor helv,hl,r,,,,
rs074,sedu atra atra,hl,r,,,,
rs074,semp stir,hl,r,,,,
rs075,agro agro,hl,1,,,,
rs075,anth alpi,hl,+,,,,
rs075,cala vari,hl,r,,,,
rs075,card rese,hl,r,2018-0959,,,
rs075,epil coll,hl,r,,,,
rs075,euph cypa,hl,+,,,,
rs075,fest rubr slat,hl,r,,,,
rs075,gale lada,hl,r,,,,
rs075,gali albu,hl,r,,,,
rs075,gali anis,hl,+,,,,
rs075,hier inty,hl,1,,,,
rs075,junc trif,hl,1,,,,
rs075,poa nemo,hl,+,,,,
rs075,rume scut,hl,2a,,,,
rs075,thym prae poly,hl,+,,,,
rs075,vale offi tenu,hl,+,,,,
rs075,viol bifl,hl,r,,viol bifl,ok,
rs076,agro agro,hl,2a,,,,
rs076,cirs erio erio,hl,+,,,,
rs076,epil coll,hl,+,2018-0315,,,
rs076,euph cypa,hl,+,,,,
rs076,gale lada,hl,+,2018-0314,,,
rs076,gali albu,hl,+,,,,
rs076,hier inty,hl,1,,,,
rs076,poa nemo,hl,+,,,,
rs076,rume scut,hl,2b,,,,
rs076,thym prae poly,hl,+,,,,
rs076,vale offi tenu,hl,+,,,,
rs077,agro agro,hl,2a,,,,
rs077,anth vuln alpi,hl,+,,,,
rs077,camp sche,hl,r,,,,
rs077,card defl summ,hl,+,2018-0318,,,
rs077,clin alpi alpi,hl,r,,,,
rs077,epil coll,hl,r,,,,
rs077,euph cypa,hl,+,,,,
rs077,euph offi pict,hl,r,,,,
rs077,fest pict,hl,r,,,,
rs077,fest rubr slat,hl,+,,,,
rs077,gale lada,hl,+,,,,
rs077,gali albu,hl,2a,,,,
rs077,gali anis,hl,+,,,,
rs077,hier inty,hl,+,,,,
rs077,junc trif,hl,+,,,,
rs077,mute adon,hl,r,,,,
rs077,phle hirs,hl,r,,,,
rs077,ranu mont,hl,r,,,,
rs077,rume scut,hl,2b,,,,
rs077,sese liba liba,hl,+,2018-0316,,,
rs077,sile nuta nuta,hl,r,,,,
rs077,thal minu saxa,hl,r,2018-0320,,,
rs077,thym prae poly,hl,+,,,,
rs077,trif mont mont,hl,r,2018-0317,cf. T. ochroleucon,,
rs077,vale offi tenu,hl,+,,,,
rs077,viol bifl,hl,+,2018-0319,,,
rs078,achi mill aggr,hl,r,,,,
rs078,aspl ×alt,hl,r,,cf.,,
rs078,cala vari,hl,1,,,,
rs078,cala vill,hl,+,,,,
rs078,card defl summ,hl,+,,card defl summ,ok,
rs078,cyst frag,hl,r,,,,
rs078,dact glom glom,hl,r,,,,
rs078,daph meze,hl,r,,,,
rs078,dryo fili,hl,r,,,,
rs078,equi arve,hl,r,,,,
rs078,euph cypa,hl,r,,,,
rs078,fest nori,hl,1,,,,
rs078,fest pict,hl,+,,,,
rs078,gali albu,hl,r,,,,
rs078,gali anis,hl,+,,,,
rs078,gymn robe,hl,1,,,,
rs078,koel pyra pyra,hl,r,,,,
rs078,myos alpe,hl,r,,,,
rs078,phle hirs,hl,r,,,,
rs078,poa nemo,hl,1,,,,
rs078,rume scut,hl,1,,,,
rs078,sedu annu,hl,r,,,,
rs078,sedu dasy,hl,+,,,,
rs078,sesl caer,hl,r,,,,
rs078,thes alpi,hl,r,,,,
rs078,thym prae poly,hl,r,,,,
rs078,urti dioi dioi,hl,r,,,,
rs078,vero cham mica,hl,r,,cf.,,
rs078,viol bifl,hl,r,,viol bifl,ok,
rs079,aste alpi,hl,r,,,,
rs079,dryo fili,hl,r,,,,
rs079,fest pseu dura,hl,r,,,,
rs079,poa nemo,hl,r,,,,
rs079,poly vulg,hl,r,,,,
rs079,sedu dasy,hl,r,,,,
rs079,urti dioi dioi,hl,r,,,,
rs080,fall conv,hl,+,,,,
rs080,gale lada,hl,2a,2018-0347,,,
rs080,hylo maxi,hl,+,,,,
rs080,poa nemo,hl,r,,,,
rs080,rubu idae,hl,r,,,,
rs080,sedu annu,hl,r,,,,
rs080,sene visc,hl,1,,,,
rs080,sile rupe,hl,r,,,,
rs080,vero cham cham,hl,r,,,,
rs081,epil coll,hl,1,2018-0348,,,
rs081,fall conv,hl,1,,,,
rs081,gale lada,hl,+,,,,
rs081,gale pube pube,hl,r,,,,
rs081,gali apar,hl,+,,,,
rs081,hylo maxi,hl,+,,,,
rs081,poa nemo,hl,r,,,,
rs081,rubu idae,hl,r,,,,
rs081,sene visc,hl,1,2018-0349,,,
rs081,verb thap,hl,r,,,,
rs082,erig cana,hl,r,,,,
rs082,fall conv,hl,1,,,,
rs082,gale pube pube,hl,+,,,,
rs082,gali apar,hl,+,,,,
rs082,gera robe,hl,+,,,,
rs082,hylo maxi,hl,+,,,,
rs082,lact serr,hl,r,,,,
rs082,sene visc,hl,+,,,,
rs082,verb chai aust,hl,+,,,,
rs083,digi gran,hl,r,,,,
rs083,epil coll,hl,r,,,,
rs083,erig cana,hl,+,,,,
rs083,fall conv,hl,+,,,,
rs083,frag vesc,hl,+,,,,
rs083,hylo maxi,hl,+,,,,
rs083,samb race,hl,r,,,,
rs083,sapo ocym ocym,hl,1,,,,
rs083,sedu albu,hl,2b,,,,
rs083,sedu annu,hl,+,,,,
rs083,sile rupe,hl,r,,,,
rs083,soli virg virg,hl,r,,,,
rs083,turr glab,hl,r,,,,
rs083,verb chai aust,hl,1,,,,
rs083,samb race,sl,r,,,,
rs084,epil coll,hl,r,2018-0350,,,
rs084,gale spec iosa,hl,1,,,,
rs084,gali anis,hl,r,,,,
rs084,gymn dryo,hl,r,,,,
rs084,knau drym,hl,r,,,,
rs084,lact mura,hl,r,,,,
rs084,mela prat,hl,r,,,,
rs084,moeh trin,hl,r,,,,
rs084,poa nemo,hl,2m,,,,
rs084,rubu idae,hl,1,,,,
rs084,sene nemo slat,hl,+,,,,
rs084,sene visc,hl,r,2018-0353,,,
rs084,stel medi,hl,r,,,,
rs084,urti dioi dioi,hl,+,,,,
rs084,viol rivi,hl,+,2018-0351,,,
rs085,aven flex flex,hl,r,,,,
rs085,fest nigr cens,hl,+,,,,
rs085,gali anis,hl,+,,,,
rs085,lotu corn slat,hl,r,,,,
rs085,poa nemo,hl,r,,,,
rs085,rubu idae,hl,r,,,,
rs085,sene sylv,hl,r,2018-0352,,,
rs085,sile rupe,hl,r,,,,
rs085,thym pule slat,hl,r,,,,
rs085,viol rivi,hl,+,,viol rivi,ok,
rs086,cala vari,hl,1,,,,
rs086,epil mont,hl,+,2018-0368,,,
rs086,erig annu slat,hl,r,,,,
rs086,erig cana,hl,r,,,,
rs086,frag vesc,hl,+,,,,
rs086,gale pube pube,hl,+,,,,
rs086,gymn dryo,hl,+,,,,
rs086,hier muro,hl,1,,,,
rs086,hype perf,hl,+,,,,
rs086,impa parv,hl,+,,,,
rs086,luzu luzu ides,hl,1,,,,
rs086,pice abie,hl,r,,,,
rs086,quer robu,hl,r,,,,
rs086,rubu sect rubu,hl,r,,,,
rs086,sali capr,hl,+,,,,
rs086,sile rupe,hl,+,,,,
rs086,sola dulc,hl,r,,,,
rs086,soli virg virg,hl,1,,,,
rs087,aspl sept sept,hl,r,,,,
rs087,card defl viri,hl,+,2018-0237,,,
rs087,cera arve suff,hl,+,2018-0236,,,
rs087,gale lada,hl,r,2018-0242,,,
rs087,gali albu,hl,1,2018-0243,,,
rs087,lotu corn slat,hl,+,,,,
rs087,poa nemo,hl,+,,,,
rs087,sedu albu,hl,+,,,,
rs087,sedu annu,hl,r,,,,
rs087,semp arac,hl,r,,,,
rs087,sile rupe,hl,r,2018-0235,,,
rs087,thym pule carn,hl,1,2018-0238,,,
rs087,vale offi tenu,hl,+,,,,
rs087,vero frut cans,hl,r,2018-0239,,,
rs087,viol rivi,hl,r,2018-0241,,,
rs087,wood alpi,hl,+,2018-0240,,,
rs088,acer pseu,hl,+,,,,
rs088,ange sylv sylv,hl,+,,,,
rs088,cala vari,hl,1,,,,
rs088,camp coch,hl,r,,,,
rs088,card defl viri,hl,+,2018-0499,,,
rs088,care semp semp,hl,r,,,,
rs088,cera holo,hl,r,,,,
rs088,desc cesp,hl,r,,,,
rs088,elym cani,hl,r,,,,
rs088,epil mont,hl,r,2018-0498,,,
rs088,eupa cann,hl,r,,,,
rs088,frag vesc,hl,+,,,,
rs088,gymn robe,hl,+,,,,
rs088,gyps repe,hl,+,,,,
rs088,heli pusi pusi,hl,r,,,,
rs088,hier muro,hl,r,,,,
rs088,kern saxa,hl,r,2018-0497,,,
rs088,poa nemo,hl,r,,,,
rs088,prun vulg,hl,r,,,,
rs088,ranu nemo,hl,r,,,,
rs088,sali appe,hl,+,,,,
rs088,saxi aizo,hl,+,,,,
rs088,scab luci luci,hl,r,,,,
rs088,sile vulg vulg,hl,+,,,,
rs088,tara sect rude,hl,r,,,,
rs088,tili plat,hl,r,,,,
rs088,tuss farf,hl,+,,,,
rs088,ulmu glab,hl,r,,,,
rs088,urti dioi dioi,hl,+,,,,
rs088,vero urti,hl,r,,,,
rs089,acer pseu,hl,r,,,,
rs089,ange sylv sylv,hl,r,,,,
rs089,brac sylv,hl,r,,,,
rs089,cala vari,hl,+,,,,
rs089,cala vill,hl,r,,,,
rs089,camp coch,hl,r,,,,
rs089,care ferr,hl,r,,,,
rs089,care semp semp,hl,+,,,,
rs089,cera holo,hl,r,,,,
rs089,elym cani,hl,+,,,,
rs089,frag vesc,hl,+,,,,
rs089,gali anis,hl,r,,,,
rs089,gyps repe,hl,1,,,,
rs089,lotu corn slat,hl,r,,,,
rs089,prun vulg,hl,+,,,,
rs089,ranu nemo,hl,+,,,,
rs089,sali appe,hl,r,,,,
rs089,saxi aizo,hl,1,,,,
rs089,sene caca,hl,r,,,,
rs089,sile vulg vulg,hl,+,,,,
rs089,tara sect rude,hl,r,,,,
rs089,tuss farf,hl,1,,,,
rs090,acer pseu,hl,+,,,,
rs090,alnu inca,hl,r,,,,
rs090,ange sylv sylv,hl,r,,,,
rs090,bell mich,hl,r,,,,
rs090,brac sylv,hl,r,,,,
rs090,cala vari,hl,+,,,,
rs090,camp coch,hl,+,,,,
rs090,camp rapu rapu,hl,r,,,,
rs090,camp trac,hl,r,,,,
rs090,care digi,hl,r,,,,
rs090,care ferr,hl,+,,,,
rs090,elym cani,hl,r,,,,
rs090,eupa cann,hl,r,,,,
rs090,frax exce,hl,r,,,,
rs090,gale spec iosa,hl,r,,,,
rs090,gali anis,hl,+,,,,
rs090,gymn robe,hl,r,,,,
rs090,gyps repe,hl,+,,,,
rs090,kern saxa,hl,r,,,,
rs090,lact mura,hl,r,,,,
rs090,lotu corn slat,hl,r,,,,
rs090,moeh musc,hl,r,,,,
rs090,orig vulg,hl,r,,,,
rs090,peta hybr,hl,r,,,,
rs090,ping vulg,hl,r,,,,
rs090,ranu nemo,hl,+,,,,
rs090,rhin glac,hl,r,,,,
rs090,saxi aizo,hl,1,,,,
rs090,scab luci luci,hl,r,,,,
rs090,sile vulg vulg,hl,+,,,,
rs090,thal minu saxa,hl,r,,cf.,,
rs090,tuss farf,hl,+,,,,
rs090,ulmu glab,hl,r,,,,
rs090,vale mont,hl,r,,,,
rs091,agro agro,hl,1,,,,
rs091,aven flex flex,hl,+,,,,
rs091,camp barb barb,hl,r,,,,
rs091,epil coll,hl,r,2018-0501,,,
rs091,hier muro,hl,1,,,,
rs091,luzu luzu ides,hl,r,,,,
rs091,pice abie,hl,+,,,,
rs091,sile rupe,hl,+,,,,
rs091,vero offi,hl,r,,,,
rs092,agro agro,hl,1,,,,
rs092,alnu inca,hl,r,,,,
rs092,aven flex flex,hl,+,,,,
rs092,call vulg,hl,+,,,,
rs092,camp barb barb,hl,+,,,,
rs092,fest nigr cens,hl,+,,,,
rs092,hier muro,hl,1,,,,
rs092,luzu luzu ides,hl,+,,,,
rs092,pice abie,hl,+,,,,
rs092,rubu idae,hl,+,,,,
rs092,sile rupe,hl,+,,,,
rs092,vero offi,hl,+,,,,
rs092,pice abie,sl,1,,,,
rs093,aspl tric quad,hl,+,2018-0479,,,
rs093,aven flex flex,hl,r,,,,
rs093,cyst frag,hl,r,,,,
rs093,dryo fili,hl,r,,,,
rs093,gali albu,hl,r,,,,
rs093,lact mura,hl,r,,,,
rs093,moeh musc,hl,r,,,,
rs093,poa nemo,hl,r,,,,
rs093,poly vulg,hl,+,,,,
rs093,samb race,hl,r,,,,
rs093,sedu dasy,hl,r,,,,
rs093,verb thap,hl,r,,,,
rs094,aspl tric quad,hl,r,,aspl tric quad,ok,
rs094,aven flex flex,hl,+,,,,
rs094,cala vari,hl,r,,,,
rs094,cyst frag,hl,r,,,,
rs094,dryo fili,hl,r,,,,
rs094,epil coll,hl,+,2018-0480,,,
rs094,fest nigr cens,hl,+,,,,
rs094,gali albu,hl,+,,,,
rs094,moeh musc,hl,+,,,,
rs094,poa nemo,hl,r,,,,
rs094,poly cham,hl,r,,,,
rs094,poly vulg,hl,+,,,,
rs094,samb race,hl,r,,,,
rs094,sedu alpe,hl,r,,,,
rs094,sedu annu,hl,r,,,,
rs094,sedu dasy,hl,+,,,,
rs094,urti dioi dioi,hl,+,,,,
rs094,verb thap,hl,r,,,,
rs094,lari deci deci,sl,+,,,,
rs095,agro agro,hl,r,,,,
rs095,ajug pyra,hl,r,,,,
rs095,anth alpi,hl,r,,,,
rs095,aspl sept sept,hl,r,,,,
rs095,aspl tric tric,hl,r,,,,
rs095,cala vari,hl,+,,,,
rs095,camp coch,hl,r,,,,
rs095,card defl summ,hl,r,,card defl summ,ok,
rs095,card impa,hl,r,,,,
rs095,chae vill,hl,r,,,,
rs095,dryo fili,hl,r,,,,
rs095,fest nigr cens,hl,+,,,,
rs095,gali albu,hl,1,,,,
rs095,moeh musc,hl,r,,,,
rs095,poa nemo,hl,+,,,,
rs095,poly vulg,hl,r,,,,
rs095,sedu dasy,hl,+,,,,
rs095,thym pule slat,hl,r,,,,
rs096,anth alpi,hl,+,,,,
rs096,aven flex flex,hl,+,,,,
rs096,camp coch,hl,+,,,,
rs096,card defl summ,hl,1,2018-0482,,,
rs096,carl acau slat,hl,r,,,,
rs096,epil coll,hl,1,,,,
rs096,fest nigr cens,hl,+,,,,
rs096,frag vesc,hl,+,,,,
rs096,gale flav,hl,r,2018-0481,,,
rs096,gali albu,hl,3,,,,
rs096,hier muro,hl,+,,,,
rs096,lami macu,hl,+,,,,
rs096,phyt beto,hl,+,,,,
rs096,poa nemo,hl,+,,,,
rs096,thym pule slat,hl,1,,,,
rs096,trif prat prat,hl,r,,,,
rs096,urti dioi dioi,hl,+,,,,
rs097,aven flex flex,hl,r,,,,
rs097,cala vari,hl,+,,,,
rs097,card defl summ,hl,+,,card defl summ,ok,
rs097,chae vill,hl,r,,,,
rs097,dact glom glom,hl,r,,,,
rs097,epil coll,hl,r,,,,
rs097,fest nigr cens,hl,+,,,,
rs097,gale flav,hl,+,,,,
rs097,gali albu,hl,+,,,,
rs097,gymn robe,hl,+,,,,
rs097,lact mura,hl,r,,,,
rs097,lami macu,hl,r,,,,
rs097,luzu luzu ides,hl,r,,,,
rs097,moeh musc,hl,r,,,,
rs097,myos alpe,hl,r,,,,
rs097,oxal acet,hl,+,,,,
rs097,pice abie,hl,r,,,,
rs097,pimp majo majo,hl,r,,,,
rs097,poa nemo,hl,+,,,,
rs097,urti dioi dioi,hl,+,,,,
rs098,ajug pyra,hl,r,,,,
rs098,aspl tric tric,hl,+,,,,
rs098,dryo dila,hl,r,,,,
rs098,loni alpi,hl,+,,,,
rs098,moeh musc,hl,+,,,,
rs098,myos sylv,hl,r,,,,
rs098,poa nemo,hl,r,,,,
rs098,poly vulg,hl,r,,,,
rs099,aspl sept sept,hl,+,,,,
rs099,aspl tric tric,hl,+,2018-0483,,,
rs099,poa nemo,hl,r,,,,
rs099,poly inte,hl,+,2018-0477,,,
rs099,poly vulg,hl,+,,,,
rs099,rubu sect rubu,hl,r,,,,
rs099,sedu albu,hl,+,,,,
rs099,sedu annu,hl,+,,,,
rs099,sedu dasy,hl,r,,,,
rs099,semp arac,hl,+,,,,
rs100,aspl sept sept,hl,r,,,,
rs100,aspl tric tric,hl,r,,aspl tric tric,ok,
rs100,poa nemo,hl,r,,,,
rs100,poly vulg,hl,1,,,,
rs100,rubu idae,hl,r,,,,
rs100,sedu albu,hl,r,,,,
rs100,semp arac,hl,r,,,,
rs101,ange sylv sylv,hl,r,,,,
rs101,aspl sept sept,hl,+,,,,
rs101,aspl tric tric,hl,+,,aspl tric tric,ok,
rs101,clem vita,hl,r,,,,
rs101,dryo fili,hl,r,,,,
rs101,gera robe,hl,r,,,,
rs101,moeh musc,hl,r,,,,
rs101,orig vulg,hl,r,,,,
rs101,poly inte,hl,r,,poly inte,ok,
rs101,poly vulg,hl,+,,,,
rs101,rubu sect rubu,hl,1,,,,
rs101,sedu albu,hl,+,,,,
rs101,sedu dasy,hl,r,,,,
rs101,soli virg virg,hl,r,,,,
rs101,verb lych,hl,r,,,,
rs102,aspl tric tric,hl,+,,aspl tric tric,ok,
rs102,gymn robe,hl,r,,,,
rs102,poly inte,hl,+,,poly inte,ok,
rs102,poly vulg,hl,2a,,,,
rs102,sedu albu,hl,+,,,,
rs102,semp arac,hl,+,,,,
rs103,cala arun,hl,r,,,,
rs103,dryo fili,hl,+,,,,
rs103,pice abie,hl,r,,,,
rs103,poly vulg,hl,r,,,,
rs103,rubu idae,hl,r,,,,
rs103,semp arac,hl,+,,,,
rs103,sile rupe,hl,+,,,,
rs103,sola dulc,hl,r,,,,
rs104,gera robe,hl,+,,,,
rs104,sedu albu,hl,+,,,,
rs104,sedu dasy,hl,+,,,,
rs104,semp arac,hl,+,,,,
rs105,aspl sept sept,hl,+,,,,
rs105,aspl tric quad,hl,r,2018-0485,,,
rs105,gale tetr,hl,r,2018-0484,,,
rs105,gera robe,hl,r,,,,
rs105,poly vulg,hl,r,,,,
rs105,sedu albu,hl,+,,,,
rs105,sedu dasy,hl,+,,,,
rs105,semp arac,hl,2m,,,,
rs106,alli lusi,hl,2a,,,,
rs106,aspl sept sept,hl,+,,,,
rs106,camp rotu,hl,+,,,,
rs106,digi gran,hl,r,,,,
rs106,echi vulg,hl,2m,,,,
rs106,epil coll,hl,+,2018-0488,,,
rs106,gale pube pube,hl,+,2018-0487,,,
rs106,gali albu,hl,1,2018-0486,,,
rs106,gera robe,hl,r,,,,
rs106,leuc vulg,hl,+,,,,
rs106,moeh musc,hl,+,,,,
rs106,sedu albu,hl,+,,,,
rs106,sedu annu,hl,+,,,,
rs106,sedu dasy,hl,r,,,,
rs106,semp arac,hl,1,,,,
rs106,sile nuta nuta,hl,r,,,,
rs106,sile rupe,hl,2a,,,,
rs106,thym pule pule,hl,+,2018-0489,,,
rs106,trif prat prat,hl,r,,,,
rs106,verb lych,hl,+,,,,
rs106,vinc hiru,hl,1,,,,
rs107,alli lusi,hl,1,,,,
rs107,aspl sept sept,hl,+,,,,
rs107,aspl tric quad,hl,r,,aspl tric quad,ok,
rs107,dryo fili,hl,r,,,,
rs107,echi vulg,hl,+,,,,
rs107,epil coll,hl,+,,,,
rs107,gera robe,hl,r,,,,
rs107,poa nemo,hl,+,2018-0490,,,
rs107,sedu albu,hl,+,,,,
rs107,sedu annu,hl,+,,,,
rs107,sedu dasy,hl,+,,,,
rs107,semp arac,hl,2m,,,,
rs107,sile rupe,hl,r,,,,
rs107,verb lych,hl,r,,,,
rs108,alli lusi,hl,1,,,,
rs108,anth alpi,hl,r,,,,
rs108,camp pers,hl,r,,,,
rs108,camp rotu,hl,+,,,,
rs108,card defl viri,hl,+,2018-0493,,,
rs108,clin alpi alpi,hl,+,,,,
rs108,clin vulg vulg,hl,+,,,,
rs108,cusc epit epit,hl,+,2018-0492,,,
rs108,echi vulg,hl,+,,,,
rs108,epil coll,hl,+,,,,
rs108,fest nigr cens,hl,r,,,,
rs108,gali albu,hl,1,2018-0495,,,
rs108,gera colu,hl,+,2018-0491,,,
rs108,gera robe,hl,+,,,,
rs108,linu cath,hl,r,,,,
rs108,orig vulg,hl,+,,,,
rs108,petr saxi,hl,+,,,,
rs108,pimp saxi saxi,hl,r,,cf. P. saxifraga ssp. saxifraga,,
rs108,plan lanc,hl,+,,,,
rs108,poa nemo,hl,+,,,,
