plot,species,value,comment
ta12,alnu inca,28.5,
ta12,alnu inca,25,
ta12,alnu inca,33,
ta12,alnu inca,20.5,
ta12,alnu inca,22.5,
ta12,frax exce,43,
ta12,frax exce,15,
ta12,frax exce,27,
ta12,frax exce,20.5,
ta12,pice abie,25,
ta12,pice abie,12.5,
ta12,pice abie,12,
ta12,pice abie,20,
ta13,fagu sylv,15,
ta13,fagu sylv,16.5,
ta13,fagu sylv,15,
ta13,fagu sylv,12,
ta13,fagu sylv,15,
ta13,fagu sylv,13,
ta14,alnu inca,20,
ta14,alnu inca,14,
ta14,alnu inca,22,
ta14,alnu inca,17,
ta14,alnu inca,19,
ta14,alnu inca,17.5,
ta14,alnu inca,14,
ta14,pice abie,12,
ta14,pice abie,15.5,
ta14,pice abie,15,
ta14,sali elea,27.5,
ta14,sali elea,19,
ta14,sali elea,12.5,
ta14,sali elea,20.5,
ta14,sali elea,16,
ta14,sali elea,14,
ta14,sali elea,12,
ta14,sali elea,23.5,
ta14,sali elea,16,
ta14,sali elea,22.5,
ta14,sali elea,23.5,
ta14,sali elea,22.5,
ta14,sali elea,19.5,
ta14,sali elea,16,
ta14,sali elea,19,
ta14,sali elea,18.5,
ta14,sali elea,15.5,
ta14,sali elea,12,
ta14,sali elea,17.5,
ta14,sali elea,13,
ta14,sali elea,15,
ta14,ulmu glab,30,
ta14,ulmu glab,15,
ta15,acer pseu,14.5,
ta15,alnu inca,23,
ta15,pice abie,18.5,
ta15,sali elea,18.5,
ta15,sali elea,24,
ta15,sali elea,29,
ta15,sali elea,15.5,
ta15,sali elea,29.5,
ta15,sali elea,20.5,
ta15,sali elea,21,
ta15,sali elea,22.5,
ta15,sali elea,19.5,
ta15,sali elea,16.5,
ta15,sali elea,27,
ta15,sali elea,27,
ta15,sali elea,13,
ta15,sali elea,15.5,
ta16,acer pseu,42,
ta16,acer pseu,28.5,
ta16,acer pseu,31,
ta16,acer pseu,42.5,
ta16,acer pseu,15.5,
ta16,acer pseu,45,
ta16,frax exce,36.5,
ta16,pice abie,59.5,
ta16,pice abie,56,
ta16,pice abie,15,
ta16,pice abie,17,
ta16,pice abie,57,
ta16,pice abie,46,
ta16,pice abie,55,
ta17,acer pseu,27,
ta17,acer pseu,32.5,
ta17,acer pseu,18.5,
ta17,acer pseu,23.5,
ta17,acer pseu,28,
ta17,acer pseu,24,
ta17,acer pseu,21.5,
ta17,acer pseu,19,
ta17,acer pseu,21,
ta17,acer pseu,21,
ta17,tacu bacc,27.5,
ta18,abie alba,68,
ta18,abie alba,63.5,
ta18,acer pseu,25,
ta18,acer pseu,26.5,
ta18,acer pseu,24.5,
ta18,acer pseu,28.5,
ta18,acer pseu,17,
ta18,acer pseu,24,
ta18,acer pseu,25.5,
ta18,acer pseu,15,
ta18,acer pseu,24,
ta18,acer pseu,29.5,
ta18,acer pseu,21,
ta18,acer pseu,23,
ta18,acer pseu,20.5,
ta18,acer pseu,29.5,
ta18,acer pseu,29,
ta18,acer pseu,22,
ta18,pice abie,56,
ta18,pice abie,12.5,
ta18,pice abie,18.5,
ta18,ulmu glab,33.5,
ta19,acer pseu,14,
ta19,acer pseu,22.5,
ta19,acer pseu,12.5,
ta19,acer pseu,14,
ta19,alnu inca,23,
ta19,alnu inca,22,
ta19,alnu inca,23,
ta19,frax exce,13,
ta19,pice abie,21.5,
ta19,pice abie,12.5,
ta19,sali elea,23,
ta19,sali elea,20.5,
ta19,sali elea,28,
ta19,sali elea,23,
ta19,sali elea,29,
ta19,sali elea,15.5,
ta19,sali elea,17.5,
ta19,sali elea,22.5,
ta19,sali elea,17,
ta19,sali elea,12.5,
ta19,sali elea,21,
ta19,sali elea,13.5,
ta19,sali elea,15.5,
ta19,ulmu glab,14,
ta19,ulmu glab,25.5,
ta20,acer pseu,21.5,
ta20,acer pseu,15,
ta20,acer pseu,21.5,
ta20,acer pseu,36.5,
ta20,acer pseu,32.5,
ta20,acer pseu,22,
ta20,acer pseu,21.5,
ta20,acer pseu,26.5,
ta20,acer pseu,31,
ta20,alnu inca,32.5,
ta20,alnu inca,16,
ta20,alnu inca,22,
ta20,frax exce,22.5,
ta20,frax exce,25,
ta20,frax exce,28.5,
ta20,frax exce,29,
ta20,pice abie,52.5,
ta20,pice abie,33,
ta20,pice abie,39,
ta20,tili plat,30,
ta21,abie alba,25,
ta21,abie alba,28,
ta21,abie alba,33,
ta21,abie alba,28,
ta21,abie alba,68.5,
ta21,abie alba,51,
ta21,abie alba,64,
ta21,abie alba,27.5,
ta21,abie alba,22,
ta21,abie alba,45,
ta21,acer pseu,27.5,
ta21,pice abie,60,
ta21,pice abie,59,
ta21,pice abie,58,
ta22,acer pseu,23,
ta22,acer pseu,15,
ta22,acer pseu,20.5,
ta22,acer pseu,17.5,
ta22,acer pseu,20,
ta22,acer pseu,17.5,
ta22,acer pseu,22,
ta22,acer pseu,15.5,
ta22,acer pseu,12.5,
ta22,acer pseu,17,
ta22,acer pseu,12,
ta22,alnu inca,19.5,
ta22,frax exce,31.5,
ta22,frax exce,29,
ta22,frax exce,25,
ta22,frax exce,19,
ta22,frax exce,24,
ta22,frax exce,28,
ta22,pice abie,22.5,
ta22,pice abie,19.5,
ta22,pice abie,28.5,
ta22,pice abie,14,
ta22,pice abie,16,
ta22,pice abie,42.5,
ta22,pice abie,39.5,
ta22,pice abie,36,
ta22,sali elea,22,
ta23,,,no trees with DBH >11cm
ta24,acer pseu,19,
ta24,acer pseu,13.5,
ta24,acer pseu,20.5,
ta24,acer pseu,25,
ta24,acer pseu,12.5,
ta24,frax exce,21,
ta24,pice abie,41,
ta24,pice abie,39,
ta24,pice abie,45.5,
ta24,pice abie,40,
ta24,pice abie,38,
ta24,pice abie,39.5,
ta24,pice abie,36.5,
ta24,pice abie,47.5,
ta24,pice abie,36,
ta24,pice abie,35,
ta24,pice abie,37,
ta24,pice abie,20.5,
ta24,pice abie,17,
ta24,pice abie,22,
ta24,pice abie,18,
ta24,pice abie,14.5,
ta24,pice abie,44,
ta24,pice abie,12,
ta24,ulmu glab,12,
ta24,ulmu glab,12,
ta25,alnu inca,30,
ta25,alnu inca,24.5,
ta25,alnu inca,15.5,
ta25,alnu inca,25.5,
ta25,alnu inca,18,
ta25,alnu inca,19,
ta25,alnu inca,23,
ta25,alnu inca,22,
ta25,alnu inca,18,
ta25,alnu inca,20.5,
ta25,alnu inca,24,
ta25,sali elea,19.5,
ta25,sali elea,27.5,
ta25,sali elea,22.5,
ta25,sali elea,15.5,
ta25,sali elea,21.5,
ta25,sali elea,24,
ta25,sali elea,17.5,
ta25,sali elea,20,
ta25,sali elea,25,
ta25,sali elea,22,
ta25,sali elea,17.5,
ta25,sali elea,26.5,
ta26,acer pseu,17,
ta26,fagu sylv,16.5,
ta26,fagu sylv,16.5,
ta26,fagu sylv,13.5,
ta26,fagu sylv,12,
ta26,fagu sylv,13,
ta26,fagu sylv,14.5,
ta26,fagu sylv,15.5,
ta26,fagu sylv,13.5,
ta26,pice abie,28,
ta26,pice abie,23.5,
ta26,pice abie,20,
ta26,pice abie,26,
ta26,pice abie,22.5,
ta26,pice abie,17,
ta26,pice abie,46.5,
ta26,pice abie,27,
ta26,pice abie,32,
ta26,pice abie,26,
ta26,pice abie,25,
ta26,pice abie,26,
ta26,pice abie,16,
ta26,pice abie,23,
ta26,pice abie,19,
ta26,pice abie,33.5,
ta26,pice abie,47.5,
ta26,pice abie,27.5,
ta26,pice abie,24,
ta26,pice abie,23,
ta27,abie alba,61,
ta27,abie alba,77.5,
ta27,acer pseu,32.5,
ta27,fagu sylv,15,
ta27,fagu sylv,13.5,
ta27,frax exce,15.5,
ta27,frax exce,17,
ta27,pice abie,93,
ta27,pice abie,84,
ta28,abie alba,44,
ta28,fagu sylv,17,
ta28,fagu sylv,15,
ta28,pice abie,16,
ta28,pice abie,29,
ta28,pice abie,22.5,
ta28,pice abie,27.5,
ta28,pice abie,20,
ta28,pice abie,29,
ta28,pice abie,26,
ta28,pice abie,24,
ta28,pice abie,28,
ta28,pice abie,22,
ta28,pice abie,29,
ta28,pice abie,27,
ta28,pice abie,26.5,
ta28,pice abie,24,
ta28,pice abie,12,
ta28,pice abie,22.5,
ta28,pice abie,19,
ta28,pice abie,15,
ta28,pice abie,25,
ta28,pice abie,17,
ta28,pice abie,30,
ta28,pice abie,30,
ta28,pice abie,26,
ta28,pice abie,26.5,
ta28,pice abie,18.5,
ta28,pice abie,22.5,
ta28,pice abie,27,
ta28,pice abie,13,
ta28,pice abie,22.5,
ta29,pice abie,19.5,
ta29,ulmu glab,39,
ta30,acer pseu,14,
ta30,acer pseu,13.5,
ta30,acer pseu,12,
ta30,acer pseu,14,
ta30,acer pseu,14.5,
ta30,acer pseu,12.5,
ta30,alnu inca,12.5,
ta30,alnu inca,25,
ta30,alnu inca,19,
ta30,alnu inca,14,
ta30,frax exce,22,
ta30,frax exce,23,
ta30,frax exce,25,
ta30,pice abie,25.5,
ta30,pice abie,17.5,
ta30,pice abie,14.5,
ta30,pice abie,22.5,
ta30,pice abie,17,
ta30,pice abie,15.5,
ta30,pice abie,12,
ta30,pice abie,23,
ta30,pice abie,17,
ta30,pice abie,14.5,
ta30,pice abie,13.5,
ta30,pice abie,12.5,
ta30,pice abie,43,
ta30,pice abie,23,
ta30,pice abie,18,
ta30,pice abie,16,
ta30,pice abie,12,
ta30,pice abie,15,
ta30,pice abie,15,
ta30,pice abie,14.5,
ta30,pice abie,16.5,
ta30,pice abie,18,
ta30,pice abie,18.5,
ta30,pice abie,17.5,
ta30,pice abie,14.5,
ta30,pice abie,12,
ta30,pice abie,12.5,
ta30,prun aviu,14.5,
ta31,acer plat,19,
ta31,acer pseu,61,
ta31,frax exce,38,
ta31,frax exce,82.5,
ta31,frax exce,50,
ta31,pice abie,13.5,
ta31,pice abie,73.5,
ta31,pice abie,15.5,
ta31,ulmu glab,68.5,
ta32,acer pseu,28,
ta32,frax exce,39.5,
ta32,frax exce,33,
ta32,frax exce,36.5,
ta32,frax exce,26,
ta32,frax exce,35,
ta32,frax exce,39.5,
ta32,frax exce,36.5,
ta32,pice abie,36.5,
ta32,pice abie,32,
ta32,pice abie,38,
ta32,pice abie,39,
ta32,pice abie,39.5,
ta32,pice abie,25.5,
ta32,pice abie,41,
ta32,pice abie,44,
ta32,pice abie,40.5,
ta32,pice abie,26.5,
ta32,pice abie,23,
ta32,pice abie,41.5,
ta32,pice abie,39.5,
ta32,pice abie,31,
ta32,pice abie,38,
ta32,pice abie,15.5,
ta33,acer pseu,19.5,
ta33,fagu sylv,48.5,
ta33,fagu sylv,19,
ta33,fagu sylv,47.5,
ta33,fagu sylv,56.5,
ta33,fagu sylv,38.5,
ta33,frax exce,13,
ta33,pice abie,23,
ta33,pice abie,33,
ta33,ulmu glab,24,
