plot;abbr;layer;cov
prm15;bart alpi;hl;1
prm15;care dioi;hl;1
prm15;care nigr;hl;1
prm15;care rost;hl;1
prm15;dros rotu;hl;1
prm15;erio angu;hl;1
prm15;erio lati;hl;1
prm15;erio vagi;hl;1
prm15;moli caer aggr;hl;1
prm15;parn palu;hl;1
prm15;pice abie;hl;1
prm15;ping alpi;hl;1
prm15;pote erec;hl;1
prm15;tofi caly;hl;1
prm15;tric cesp cesp;hl;1
prm15;viol palu;hl;1
prm15;will stip stip;hl;1
prm15;spha spec ies;ml;1
prm15;unde bryo;ml;1
prm15;unde lich;ml;1
prm16;andr poli;hl;1
prm16;call vulg;hl;1
prm16;care flav aggr;hl;1
prm16;cirs palu;hl;1
prm16;dros rotu;hl;1
prm16;erio angu;hl;1
prm16;lari deci deci;hl;1
prm16;moli caer aggr;hl;1
prm16;pice abie;hl;1
prm16;pote erec;hl;1
prm16;tric alpi;hl;1
prm16;tric cesp cesp;hl;1
prm16;will stip stip;hl;1
prm16;spha spec ies;ml;1
prm16;unde bryo;ml;1
prm17;andr poli;hl;1
prm17;care dioi;hl;1
prm17;care nigr;hl;1
prm17;care rost;hl;1
prm17;cirs palu;hl;1
prm17;erio angu;hl;1
prm17;meny trif;hl;1
prm17;moli caer aggr;hl;1
prm17;pote erec;hl;1
prm17;spha spec ies;ml;1
prm17;tric cesp cesp;hl;1
prm17;vacc micr;hl;1
prm18;carl vulg slat;hl;1
prm18;cirs palu;hl;1
prm18;erio angu;hl;1
prm18;erio lati;hl;1
prm18;moli caer aggr;hl;1
prm18;parn palu;hl;1
prm18;pice abie;hl;1
prm18;pote erec;hl;1
prm18;tofi caly;hl;1
prm18;tric alpi;hl;1
prm18;tric cesp cesp;hl;1
prm19;andr poli;hl;1
prm19;call vulg;hl;1
prm19;care dioi;hl;1
prm19;care nigr;hl;1
prm19;care rost;hl;1
prm19;dros rotu;hl;1
prm19;erio angu;hl;1
prm19;meny trif;hl;1
prm19;moli caer aggr;hl;1
prm19;parn palu;hl;1
prm19;ping alpi;hl;1
prm19;pote erec;hl;1
prm19;tric cesp cesp;hl;1
prm19;vacc ulig;hl;1
prm19;vale dioi dioi;hl;1
prm19;spha spec ies;ml;1
prm19;unde bryo;ml;1
prm20;andr poli;hl;1
prm20;call vulg;hl;1
prm20;erio angu;hl;1
prm20;moli caer aggr;hl;1
prm20;parn palu;hl;1
prm20;pice abie;hl;1
prm20;pote erec;hl;1
prm20;tofi caly;hl;1
prm20;tric alpi;hl;1
prm20;tric cesp cesp;hl;1
prm20;spha spec ies;ml;1
prm20;unde bryo;ml;1
prm21;andr poli;hl;1
prm21;care rost;hl;1
prm21;dros rotu;hl;1
prm21;erio angu;hl;1
prm21;erio lati;hl;1
prm21;meny trif;hl;1
prm21;moli caer aggr;hl;1
prm21;parn palu;hl;1
prm21;ping alpi;hl;1
prm21;pote erec;hl;1
prm21;tofi caly;hl;1
prm21;tric cesp cesp;hl;1
prm21;spha spec ies;ml;1
prm21;unde bryo;ml;1
prm22;andr poli;hl;1
prm22;care dioi;hl;1
prm22;care limo;hl;1
prm22;care nigr;hl;1
prm22;erio angu;hl;1
prm22;luzu sude;hl;1
prm22;moli caer aggr;hl;1
prm22;parn palu;hl;1
prm22;pote erec;hl;1
prm22;ping alpi;hl;1
prm22;ping vulg;hl;1
prm22;sela sela;hl;1
prm22;tofi caly;hl;1
prm22;tric alpi;hl;1
prm22;tric cesp cesp;hl;1
prm22;spha spec ies;ml;1
prm22;unde bryo;ml;1
prm23;care rost;hl;1
prm23;dros rotu;hl;1
prm23;equi sylv;hl;1
prm23;erio angu;hl;1
prm23;erio lati;hl;1
prm23;luzu sude;hl;1
prm23;sela sela;hl;1
prm23;meny trif;hl;1
prm23;moli caer aggr;hl;1
prm23;parn palu;hl;1
prm23;pote erec;hl;1
prm23;tofi caly;hl;1
prm23;tric alpi;hl;1
prm23;tric cesp cesp;hl;1
prm24;andr poli;hl;1
prm24;call vulg;hl;1
prm24;care rost;hl;1
prm24;cirs palu;hl;1
prm24;erio angu;hl;1
prm24;luzu sude;hl;1
prm24;meny trif;hl;1
prm24;moli caer aggr;hl;1
prm24;pice abie;hl;1
prm24;ping alpi;hl;1
prm24;ping vulg;hl;1
prm24;pote erec;hl;1
prm24;sela sela;hl;1
prm24;tofi caly;hl;1
prm24;tric alpi;hl;1
prm24;tric cesp cesp;hl;1
prm24;spha spec ies;ml;1
prm24;unde bryo;ml;1
