"abbr";"layer";"taxon";53;54;56;57;4;3;5;6;7;12;15;51;60;14;59;23;26;11;13;25;24;17;47;45;49;43;9;16;18;19;20;48;44;22;21;46;1;2;37;8;36;35;27;28;29;30;55;10;50;31;32;52;34;40;41;42;33;38;39;62;63;69;61;66;70;58;64;67;65;71;68
"pren purp";"hl";"Prenanthes purpurea";"+";"r";"r";"r";"r";"+";".";".";".";"+";"+";".";"+";"+";"+";".";"+";".";"+";"r";"+";"+";1;"2m";"+";"+";"r";"+";".";1;"+";1;1;"+";"r";"+";1;".";"+";"+";"+";1;1;"+";"r";"r";"+";1;"r";"2m";1;".";"+";"+";"+";"+";"+";"+";"+";"+";1;"+";"+";"+";".";"+";".";"+";"+";"+";"."
"sene ovat ovat";"hl";"Senecio ovatus";"+";"+";"+";".";".";"+";".";".";"+";"+";1;1;".";"+";"+";"+";".";".";".";"r";"+";"r";".";".";".";".";".";".";".";"+";".";"r";"+";".";"+";".";".";".";"+";"+";"+";".";"+";"+";".";".";"+";".";"r";"+";"+";".";".";"r";".";"+";".";".";".";".";"+";"r";"r";"+";1;1;1;1;"+";"+";"."
"oxal acet";"hl";"Oxalis acetosella";"2m";"2m";"2a";1;".";1;".";".";"2m";"+";".";"+";"2m";1;1;".";".";".";".";"2m";1;".";".";".";1;".";".";1;".";"+";1;".";".";".";".";".";".";".";1;"2m";"2m";"2m";1;".";1;".";".";"2m";".";".";1;".";".";".";"2m";"2m";"2m";"2m";"2m";"2m";1;"2m";".";".";".";"2m";"2a";"2m";"2a";"2a";"2m"
"card enne";"hl";"Dentaria enneaphyllos";".";"r";".";".";".";".";".";".";".";"+";"r";"+";"+";"+";"+";".";".";1;".";"+";1;".";".";".";"+";".";1;".";".";".";".";".";"+";".";".";1;".";".";"+";"+";"+";".";"+";"r";"+";"+";"r";"+";".";".";".";"+";".";".";"+";".";"r";"+";"r";".";".";"+";"+";"+";".";1;"+";".";1;"+";1
"vacc myrt";"hl";"Vaccinium myrtillus";".";".";".";".";"+";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";1;"+";1;".";".";"+";".";".";".";1;".";".";".";1;".";".";".";".";1;".";1;".";"+";"+";".";"+";".";".";"+";"+";".";"+";1;"+";1;"+";"2a";1;"2b";1;"2b";"2m";"2m";"+";1;"+";".";".";"+";"2b"
"soli virg virg";"hl";"Solidago virgaurea";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";"+";".";".";".";".";".";".";"r";".";".";".";"r";"+";"+";"+";"r";"r";"r";".";".";".";".";".";".";".";".";"r";"+";".";"+";"+";".";".";"+";"+";".";"+";1;"+";"+";1;"+";1;1;"+";".";"+";".";"+";1;"+";"+";".";"+";"."
"anem nemo";"hl";"Anemone nemorosa";".";".";"+";".";"+";"+";".";".";".";".";".";".";1;"+";1;".";".";1;".";"+";"+";".";1;1;".";".";1;1;"+";"+";"+";".";1;".";".";1;".";".";".";".";".";1;"+";".";".";".";".";1;".";"+";1;".";".";".";"+";1;".";".";".";"+";".";"+";".";".";".";".";"+";".";"+";"+";1
"pari quad";"hl";"Paris quadrifolia";".";".";".";".";".";".";".";".";".";".";"r";"+";".";"r";"r";".";".";".";".";"r";"r";".";".";".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";1;1;"+";".";1;"r";".";"+";"+";"+";".";"r";".";".";"r";"r";"r";".";"+";"+";"+";"r";".";"+";1;".";".";".";"."
"poly acul";"hl";"Polystichum aculeatum";1;"r";".";".";".";"+";".";".";"r";".";"+";".";"r";"r";"+";".";".";".";".";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";"r";".";"+";"+";".";"+";"r";".";".";".";".";"+";".";".";".";".";".";"+";".";"r";".";"+";"+";"r";"+";".";1;"+";"+";".";".";"+"
"lact mura";"hl";"Mycelis muralis";"+";".";".";".";".";"+";".";".";".";"r";1;1;".";".";".";".";".";".";".";".";"+";1;".";".";".";".";".";"r";".";".";".";".";"+";".";1;".";".";".";1;"+";1;"+";".";".";1;"r";".";".";".";"+";".";".";".";".";".";".";"+";".";"+";"+";"+";"+";"+";".";".";"+";"2m";"+";"r";".";"."
"viol reic";"hl";"Viola reichenbachiana";1;"+";".";".";".";".";".";"+";".";"+";1;".";".";"+";".";1;"+";"+";"+";"+";1;".";".";".";".";".";"+";1;"+";"+";"+";".";".";".";".";"+";".";".";1;"r";".";".";".";"+";".";".";".";1;".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"."
"viol rivi";"hl";"Viola riviniana";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"r";".";".";"r";".";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"viol spec ies";"hl";"Viola sp.";".";".";".";".";".";"+";".";".";".";".";".";".";1;".";"+";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";".";".";"+";"+";".";".";".";".";"+";".";".";"+";"+";"+";".";"+";"+";"+";".";"+";"+";1;".";"+";".";".";"+";".";".";".";".";".";"+";1;".";"+";".";".";1;".";".";1
"dryo fili";"hl";"Dryopteris filix-mas";1;1;1;"+";".";1;1;1;"+";"+";"+";".";1;1;1;".";"+";".";"r";"+";".";"r";".";".";"r";".";".";"r";".";"r";".";".";".";".";"r";".";".";".";".";"+";"+";"+";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";"+";"r";".";"+";".";".";".";"+";"+";1;"+";1;"+";1;1
"gale mont";"hl";"Galeobdolon montanum";1;"r";"+";".";"+";"+";".";".";"+";"r";1;"+";1;1;1;"r";"+";".";".";1;"+";".";"+";".";"+";"+";"+";1;".";"+";"+";"+";".";".";"+";".";"+";".";1;1;"+";".";"r";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";1;1;".";".";".";"."
