"abbr";"layer";"taxon";53;54;56;57;4;3;5;6;7;12;15;51;60;14;59;23;26;11;13;25;24;17;47;45;49;43;9;16;18;19;20;48;44;22;21;46;1;2;37;8;36;35;27;28;29;30;55;10;50;31;32;52;34;40;41;42;33;38;39;62;63;69;61;66;70;58;64;67;65;71;68
"ranu mont";"hl";"Ranunculus montanus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;1;1;".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"buph sali";"hl";"Buphthalmum salicifolium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";"+";".";".";1;1;".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";"."
"luzu sylv sylv";"hl";"Luzula sylvatica";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"2m";1;1;1;"r";1;"2m";".";".";"+";".";".";1;1
"ranu nemo";"hl";"Ranunculus nemorosus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";1;".";"+";"+";1;"+";1;1;".";"+";".";".";"+";"+";"+"
"hupe sela";"hl";"Huperzia selago";".";"r";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";".";"+";"r";"+";".";"r";".";"r";".";".";".";".";"r";"."
"care ferr";"hl";"Carex ferruginea";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2m";1;".";"2m";".";"2a";"2a";".";".";".";".";".";".";"."
"card defl viri";"hl";"Carduus defloratus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";"+";"+";".";".";".";".";"+";"r";"+";".";"+";"+";"+";".";".";".";".";".";"."
"poly lonc";"hl";"Polystichum lonchitis";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";"+";"r";"r";"r";".";".";".";"+"
"camp sche";"hl";"Campanula scheuchzeri";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";"+";"+";"r";".";".";".";".";".";"."
"hype perf";"hl";"Hypericum perforatum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";"r";"+";"+";"+";".";".";".";".";".";"r"
"orig vulg";"hl";"Origanum vulgare";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"r";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"+";".";".";".";".";".";".";"+";1;"r";".";".";".";".";".";"."
"euph cypa";"hl";"Euphorbia cyparissias";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";1;"+";".";".";".";".";".";".";".";".";"+";"+";"r";".";".";".";".";".";"."
"gera sylv";"hl";"Geranium sylvaticum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";"r";".";".";".";".";".";"+"
"rubu idae";"hl";"Rubus idaeus";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";1;"+";"+";1;"+";".";".";"r"
"saxi rotu";"hl";"Saxifraga rotundifolia";"+";".";"r";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";"+";".";".";".";"+";1;"+";"r";"+";"+"
"lysi nemo";"hl";"Lysimachia nemorum";".";".";"r";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"r";".";".";".";"+";".";".";"+";".";"r";"+";"+";"2a";"2a";1
"dryo dila";"hl";"Dryopteris dilatata";"+";1;1;1;".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"r";"+";".";"+";"+";".";"+";"+";"+"
"aden alli";"hl";"Adenostyles alliariae";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";1;".";".";"2b";"+"
"lact alpi";"hl";"Cicerbita alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";1;1;"."
"alli ursi ursi";"hl";"Allium ursinum";".";".";".";".";".";".";"2a";1;"2m";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";"."
"circ lute lute";"hl";"Circaea lutetiana";".";".";".";".";".";".";1;"+";"+";"+";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"circ alpi";"hl";"Circaea alpina";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"acta spic";"hl";"Actaea spicata";"r";"r";".";".";".";".";".";"+";"+";"+";".";".";"+";"r";".";".";".";".";".";"+";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"r";".";"r";".";1;".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;"r";".";".";"."
"asar euro";"hl";"Asarum europaeum";".";".";".";".";".";".";1;"+";"2m";"2m";1;".";1;1;1;1;"+";".";".";".";".";".";".";".";".";"2m";".";"2m";".";1;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"r";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";"."
"sani euro";"hl";"Sanicula europaea";".";".";".";".";".";"+";".";".";".";"+";".";".";"+";"r";".";"+";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";".";".";".";".";".";".";".";".";"+";"+";".";"r";".";".";"+";".";".";".";".";"r";1;".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"."
"pulm offi";"hl";"Pulmonaria officinalis";".";".";".";".";".";".";".";".";".";1;"+";".";"r";"+";".";"r";1;".";".";".";".";".";"+";".";".";"+";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";1;"+";1;".";".";"+"
"rubu caes";"hl";"Rubus caesius";".";".";".";".";".";"+";".";".";"+";"r";".";".";".";"+";".";".";"+";".";".";"r";".";".";1;"+";".";"r";".";"r";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"+"
"ajug rept";"hl";"Ajuga reptans";".";".";".";".";".";".";".";".";".";1;1;".";"+";".";"+";"+";1;".";".";".";"r";".";".";".";".";"+";".";1;".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";".";"+";".";".";".";".";".";".";".";".";"+";1;".";".";"+";1;1;".";"+";"+";".";".";".";".";".";"+"
"prim elat";"hl";"Primula elatior";".";".";".";".";".";".";".";".";"+";".";".";"+";"+";".";"r";".";".";".";".";"+";".";".";".";".";".";"r";".";"r";"+";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;".";".";".";"."
"vinc hiru";"hl";"Vincetoxicum hirundinaria";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";"2m";1;".";"+";".";".";".";".";".";".";".";"r";1;"+";".";".";1;"r";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"conv maja maja";"hl";"Convallaria majalis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"2m";"+";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cycl purp";"hl";"Cyclamen purpurascens";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"poly mult";"hl";"Polygonatum multiflorum";".";".";".";".";".";".";".";".";"+";"r";".";".";".";".";".";".";"+";".";".";"r";".";".";"+";".";".";".";"r";"r";"r";"r";"+";".";".";".";"r";"+";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"card bulb";"hl";"Cardamine bulbifera";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";"+";".";".";".";"."
"eupa cann";"hl";"Eupatorium cannabinum";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"2m";".";"r";".";".";".";".";".";".";".";".";"+";"+";".";"+";"+";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier spec ies";"hl";"Hieracium sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";".";".";"+";"+";".";"+";".";".";".";".";1;"+";"+";".";".";".";".";".";".";".";"."
"aqui atra";"hl";"Aquilegia atrata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"moli caer";"hl";"Molinia caerulea";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";4;1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"lase lati lati";"hl";"Laserpitium latifolium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";"."
"poly cham";"hl";"Polygala chamaebuxus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";".";".";"+";".";"r";"+";".";".";1;".";".";".";".";".";".";".";".";".";".";"."
"care orni slat";"hl";"Carex ornithopoda";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"loni xylo";"hl";"Lonicera xylosteum";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";".";"r";".";".";".";".";"+";"+";"r";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euon lati";"hl";"Euonymus latifolius";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";"r";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier muro";"hl";"Hieracium murorum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";"r";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2m";".";".";".";".";".";".";"+";".";".";".";"."
"gali sylv";"hl";"Galium sylvaticum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";"r";".";".";".";".";"+";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"neot nidu";"hl";"Neottia nidus-avis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";"+";".";".";".";"r";"+";"+";".";".";".";"r";".";".";".";"+";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier bifi";"hl";"Hieracium bifidum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"+";"r";".";"+";"+";".";"+";".";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"cirs oler";"hl";"Cirsium oleraceum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"euph dulc";"hl";"Euphorbia dulcis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"aspl ruta";"hl";"Asplenium ruta-muraria";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"."
"camp trac";"hl";"Campanula trachelium";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"r";".";".";".";"r";".";"+";"r";".";"r";".";".";"r";".";".";"+";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"epip hell slat";"hl";"Epipactis helleborine";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";"+";".";".";"+";".";".";"+";".";".";".";"r";".";"r";".";".";".";".";".";".";".";".";"."
"rubu saxa";"hl";"Rubus saxatilis";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";"r";"r";"."
"lyco anno";"hl";"Lycopodium annotinum";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";"2a";"+";"r";".";".";"r";".";".";".";".";".";".";"."
"camp coch";"hl";"Campanula cochleariifolia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";"r";"+";".";".";".";".";".";".";".";".";".";"."
"aspl viri";"hl";"Asplenium viride";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";"r";"+";".";".";"r";".";"r";"r";".";".";".";"."
"viol bifl";"hl";"Viola biflora";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";1;".";".";".";"+"
"cyst frag";"hl";"Cystopteris fragilis";".";".";"r";".";".";".";".";".";".";".";".";"+";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";"r";"r";".";"."
"anth sylv";"hl";"Anthriscus sylvestris";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";".";".";"r";".";".";".";".";".";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+"
"gera robe";"hl";"Geranium robertianum";".";".";".";".";".";".";".";".";".";".";"+";"+";".";"r";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";"."
"stac sylv";"hl";"Stachys sylvatica";".";".";".";".";".";".";".";".";"+";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"gymn robe";"hl";"Gymnocarpium robertianum";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";"."
"arun dioi";"hl";"Aruncus dioicus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";"."
"arab aren";"hl";"Arabidopsis arenosa";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"dryo affi aggr";"hl";"Dryopteris affinis";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;".";".";".";".";".";".";".";".";"."
"atro bell";"hl";"Atropa bella-donna";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";"+";"r";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"."
"ceph rubr";"hl";"Cephalanthera rubra";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"crat mono";"hl";"Crataegus monogyna";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"epip atro";"hl";"Epipactis atrorubens";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"."
"euph verr";"hl";"Euphorbia verrucosa";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"brom bene";"hl";"Bromus benekenii";".";".";".";".";".";"+";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";1;"+";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";".";"."
"moeh musc";"hl";"Moehringia muscosa";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";"+";".";".";".";"."
"arum macu";"hl";"Arum maculatum";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"equi telm";"hl";"Equisetum telmateia";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"impa noli";"hl";"Impatiens noli-tangere";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"2m";".";"."
"vero mont";"hl";"Veronica montana";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";"."
"aspl tric slat";"hl";"Asplenium trichomanes";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"."
"lysi numm";"hl";"Lysimachia nummularia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"arct minu";"hl";"Arctium minus";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"scro nodo";"hl";"Scrophularia nodosa";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";"."
