plot,abbr,layer,cov,voucher,comment,history
nb32,swer pere,hl,1,,,
nb32,tofi caly,hl,+,,,
nb32,tric cesp cesp,hl,2,,,
nb32,bryu pseu pseu,ml,+,,det. R. Krisai,
nb32,camp stel,ml,+,,det. R. Krisai – incl. C. stellatum var. protensum (Brid.) Bryhn,
nb32,dich palu,ml,+,,det. R. Krisai,
nb32,palu comm falc,ml,+,,det. R. Krisai,
nb32,pell endi,ml,+,,cf. R. Krisai,
nb32,phil font,ml,+,,det. R. Krisai,
nb32,phil tome,ml,+,,det. R. Krisai,
nb32,sani unci,ml,+,,det. R. Krisai,
nb32,scap irri irri,ml,+,,det. R. Krisai,
nb32,scap palu,ml,+,,det. R. Krisai,
nb32,scor coss,ml,1,,det. R. Krisai,
nb32,spha girg,ml,+,,det. R. Krisai,
nb32,warn sarm,ml,+,,det. R. Krisai,
