plot,cov,tcov1,tcov2,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,soil,location,comment,latitude,longitude,accuracy,alliance,observer
kb25,95,30,85,15,25,15,13,9,4,0.7,0.2,16,16,SW,55,45,0,0,2015-06-13,Braunerde & Rendzina,"Kapuzinerberg, Äußererstein",südlich kb07,47.800670N,13.052350E,10,Carpinion betuli,R. Kaiser
kb26,99,50,80,15,40,1,17,12,4,0.6,0.2,16,16,SW,25,5,0,0,2015-06-13,Rendzina,"Kapuzinerberg, Äußererstein",südwestlich der Ecke an der Basteimauer,47.800488N,13.052517E,10,Carpinion betuli,R. Kaiser
kbx01,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.805455,13.063876,20,Cephalanthero-Fagenion,R. Kaiser
kbx02,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.805396,13.062594,20,Cephalanthero-Fagenion,R. Kaiser
kbx03,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.804484,13.061839,20,Cephalanthero-Fagenion,R. Kaiser
kbx04,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.804215,13.061360,20,Eu-Fagenion,R. Kaiser
kbx05,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.803162,13.060122,20,Eu-Fagenion,R. Kaiser
kbx06,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.802470,13.059876,20,Eu-Fagenion,R. Kaiser
kbx07,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.801619,13.059999,20,Carpinion betuli,R. Kaiser
kbx08,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, almost overlaping with kb11",47.801200,13.059110,20,Carpinion betuli,R. Kaiser
kbx09,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.801083,13.059259,20,Carpinion betuli,R. Kaiser
kbx10,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.801206,13.059315,20,Carpinion betuli,R. Kaiser
kbx11,,,,,,,,,,,,,,,,,,,2015-12-28,,"Kapuzinerberg, Südseite oberhalb Pausingerstraße","planned, easy",47.801191,13.059873,20,Carpinion betuli,R. Kaiser
kbx12,,,,,,,,,,,,,,,,,,,2016-03-09,,"Kapuzinerberg, Bürgstein","planned, easy",47.798663,13.057265,10,Cephalanthero-Fagenion,R. Kaiser
kbx13,,,,,,,,,,,,,,,,,,,2016-03-09,,"Kapuzinerberg, Südseite oberhalb Arenbergstraße","planned, easy",47.800891,13.056830,10,Tilenion platyphylli,R. Kaiser
kbx14,,,,,,,,,,,,,,,,,,,2016-03-09,,"Kapuzinerberg, Südseite oberhalb Arenbergstraße","planned, easy",47.800801,13.057189,10,Carpinion betuli,R. Kaiser
kbx15,,,,,,,,,,,,,,,,,,,2016-03-09,,"Kapuzinerberg, Südseite oberhalb Arenbergstraße","planned, easy",47.800952,13.056402,10,Tilenion platyphylli,R. Kaiser
kbx16,,,,,,,,,,,,,,,,,,,2016-03-09,,"Kapuzinerberg, Südseite oberhalb Arenbergstraße","planned, easy",47.801164,13.055869,10,Tilenion platyphylli,R. Kaiser
