plot,abbr,layer,cover,voucher,comment,history
od02,care mont,hl,+,,,
od02,care orni orni,hl,+,,,
od02,corn sang slat,hl,+,,,
od02,corn sang slat,sl,+,,,
od02,fagu sylv,hl,+,,,
od02,frax exce,hl,+,,,
od02,frax exce,sl,+,,,
od02,geum urba,hl,+,,,
od02,hier muro,hl,+,,,
od02,lili mart,hl,+,,,
od02,loni xylo,hl,+,,,
od02,meli nuta,hl,+,,,
od02,poa nemo,hl,+,,,
od02,prun aviu slat,hl,+,,,
od02,prun aviu slat,sl,+,,,
od02,quer robu,hl,+,,,
od02,rham cath,hl,+,,,
od02,rosa arve,hl,+,,,
od02,sesl caer,hl,+,,,
od02,symp tube slat,hl,+,,,
od02,tili cord,hl,+,,,
od02,vibu lant,hl,+,,,
od02,vibu lant,sl,+,,,
od02,acer camp,tl2,2a,,,
od02,carp betu,sl,2a,,,
od02,hepa nobi,hl,2a,,,
od02,quer robu,tl2,2a,,,
od02,tili cord,sl,2a,,,
od02,anem nemo,hl,2b,,,
od02,carp betu,tl1,2b,,,
od02,cory avel,sl,2b,,,
od02,fagu sylv,tl2,2b,,,
od02,prun aviu slat,tl1,2b,,,
od02,tili cord,tl2,2b,,,
od02,poa angu,hl,r,,,
od03,brac sylv,hl,1,,,
od03,corn sang slat,hl,1,,,
od03,cory avel,sl,1,,,
od03,crat mono,sl,1,,,
od03,frax exce,sl,1,,,
od03,frax exce,tl2,1,,,
od03,pice abie,sl,1,,,
od03,pulm offi,hl,1,,,
od03,vibu lant,hl,1,,,
od03,vibu opul,hl,1,,,
od03,vibu opul,sl,1,,,
od03,ligu vulg,sl,3,,,
od03,quer robu,tl1,3,,,
od03,acer camp,hl,+,,,
od03,acer camp,sl,+,,,
od03,acer pseu,hl,+,,,
od03,acer pseu,sl,+,,,
od03,ajug rept,hl,+,,,
od03,anem nemo,hl,+,,,
od03,cala vari,hl,+,,,
od03,camp rapu rapu,hl,+,,,
od03,care digi,hl,+,,,
od03,carp betu,hl,+,,,
od03,carp betu,sl,+,,,
od03,clem vita,hl,+,,,
od03,clem vita,sl,+,,,
od03,cory avel,hl,+,,,
od03,crat mono,hl,+,,,
od03,euon euro,hl,+,,,
od03,euon euro,sl,+,,,
od03,fagu sylv,hl,+,,,
od03,fagu sylv,sl,+,,,
od03,frag vesc,hl,+,,,
od03,frax exce,hl,+,,,
od03,geum urba,hl,+,,,
od03,loni xylo,hl,+,,,
od03,loni xylo,sl,+,,,
od03,pice abie,hl,+,,,
od03,poa nemo,hl,+,,,
od03,prun aviu slat,hl,+,,,
od03,prun aviu slat,sl,+,,,
od03,quer robu,hl,+,,,
od03,quer robu,sl,+,,,
od03,rham cath,hl,+,,,
od03,salv glut,hl,+,,,
od03,tili cord,hl,+,,,
od03,tili cord,sl,+,,,
od03,ulmu glab,hl,+,,,
od03,acer pseu,tl1,2a,,,
od03,acer pseu,tl2,2a,,,
od03,corn sang slat,sl,2a,,,
od03,frax exce,tl1,2a,,,
od03,ligu vulg,hl,2a,,,
od03,meli nuta,hl,2a,,,
