abbr;layer;taxon;1;3;76;14;16;22;72;73;75;77;78;80;81;84;85;88;71;74;5;69;82;2;9;19;4;41;56;67;68;59;65;36;45;17;55;15;83;29;60;89;6;61;23;31;63;64;62;66;24;33;46;47;7;25;26;57;58;70;18;20;86;87;8;28;39;38;49;30;51;32;52;54;53;50;27;37;13;10;11;34;35;42;48;79;12;21;44;40;43
dant decu decu;hl;Danthonia decumbens;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;1;.;.;.;2a;.;+;.;.;.;+;1;1;.;+;1;1;.;.;.;.;1;+;.;.;+;1;1;1;+;1;1;.;.;.;.;2m;+;2m;2a;1;1;1;+;+;.;2a;2a;1;2a;2a;1;2a;.;.;.
scab colu;hl;Scabiosa columbaria;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;+;.;2a;1;.;1;.;1;.;.;.;2a;.;+;.;+;.;.;+;.;+;.;+;.;+;.;+;1;.;1;1;+;2a;.;.;2a;.;1;.;2a;+;+;1;.;r;+;.;.;1;.;+;.;+;2a;r;+;2a;1;.;2a;.;2a;+;2a
poly cham;hl;Polygala chamaebuxus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;2a;+;1;.;1;.;.;.;.;1;+;.;1;1;.;2a;.;.;+;.;1;+;.;1;1;.;2a;1;+;1;1;.;1;2b;2a
buph sali;hl;Buphthalmum salicifolium;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;2b;.;.;r;+;1;2b;+;2a;2a;2a;2a;3;.;2a;.;+;.;2a;r;2a;3;+;2b;1;+;.;+;.;.;.;1;3;2a;2a;2b;.;2a;2a;.;1;2a;2b
carl acau caul;hl;Carlina acaulis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;r;1;1;.;.;.;.;.;.;1;1;1;1;.;.;+;+;+;1;+;1;2a;r;.;+;1;1;1;1;1;+;2a;2a;1;2a;1;.;+;+;+;1;+;+
pimp saxi slat;hl;Pimpinella saxifraga s.str.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;+;.;.;.;.;.;.;.;+;.;1;1;1;+;+;+;+;1;.;1;2a;1;.;.;+;.;1;1;.;+;+;+;.;1;.;1;.;+;+;1;1;1;1;1;+;1;1;.;1
gali pumi;hl;Galium pumilum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;r;+;.;.;.;.;+;+;.;.;.;+;+;.;.;1;1;.;.;.;.;1;.;r;.;.;1;.;+;+;1;+;+;+;+;.;1;.;.;.;.;1;+;.;+;+;+;.;.;+;.;1;+;+;.;+
camp rotu;hl;Campanula rotundifolia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;1;.;.;+;1;.;+;.;+;.;+;+;.;.;.;.;+;.;.;.;.;+;1;1;+;r;1;+;+;+;.;.;.;+;.;.;1;+;+;.;1;+;+;+;+;+;.;+;r;.;.;+;r;1;.;+;.;.;+;+;+
phyt orbi;hl;Phyteuma orbiculare;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;r;.;.;.;1;1;.;.;.;.;.;.;.;.;1;1;2a;.;.;.;.;.;+;1;.;+;.;1;.;1;.;.;+;1;2a;.;1;2a;2a;.;.;2a;.;.;.;.;2a;1;2a
heli numm slat;hl;Helianthemum nummularium;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;2a;2a;.;2a;2a;2b;.;.;.;1;.;2a;1;+;.;1;.;.;2a;.;.;2a;2a;2a;1;.;.;2a;2a;2a;.;.;.;+;.;1;.;.;.;.;2a;2a;2a;2a;2a
care pani;hl;Carex panicea;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;+;2a;2a;1;.;+;1;1;.;1;.;+;.;.;.;1;.;.;.;.;.;r;2a;+;+;+;2a;1;.;1;.;.;1;.;+
viol hirt;hl;Viola hirta;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;1;.;.;.;1;r;.;1;+;1;+;1;+;1;2a;+;+;.;1;.;+;+;1;1;1;.;+;2a;1;1;+;1;+;.;.;.;+;.;.;+;1;.;1;.;1;+;1
anth vuln slat;hl;Anthyllis vulneraria;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;+;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;2a;.;1;1;.;.;1;.;2a;2a;.;1;.;.;.;.;.;.;.;.;.;+;.;2a;+;.;1;.;1;+;1
poly vulg vulg;hl;Polygala vulgaris;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;+;.;.;.;.;.;+;+;.;.;.;1;.;+;.;.;r;r;+;+;.;+;+;+;r;.;+;+;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;+;+;.;.;+;.;.
prun gran;hl;Prunella grandiflora;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;1;+;.;.;.;.;3;2a;r;2a;.;.;.;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;2a;.;2a;.;.;.
hier pilo ella;hl;Hieracium pilosella;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;.;.;.;.;.;.;.;.;.;.;.;+;2a;.;.;+;2b;+;.;.;.;.;.;+;1;1;r;.;+;.;.;.;.;.;.;.;.;.;.;.;1;.;2a;.;+;.;.;r;+;+;.;2a;1;.;.;.
koel pyra pyra;hl;Koeleria pyramidata;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;1;1;.;.;.;.;.;+;.;2a;2a;2a;+;+;.;.;2a;2a;2a;1;2a;2a;1;.;.;.;2b;+;.;.;.;.;.;2a;2a;1;.;.;.;.;1;1;+;.;2a;1;2b;2b;1;.;+
alli cari cari;hl;Allium carinatum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2b;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;+;.;.;.;.;+;1;.;.;.;.;2a;2m;.;1;1;.;r;.;1;.;.;1;.;1;r;.;.;.;.;+;r;+;.;.;.;.;.;1;.;.;r;+;.;r;r;.;r
sang mino mino;hl;Sanguisorba minor;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;1;+;.;1;+;1;1;.;.;+;1;r;r;r;.;.;2a;.;2a;+;1;.;.;.;.;1;.;.;+;.;.;.;.;r;.;.;1;.;2a;1;1;.;.
prim veri veri;hl;Primula veris;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;r;.;.;.;+;1;+;.;+;1;1;1;.;.;1;.;.;r;.;.;+;.;1;1;.;.;.;.;.;r;+;.;.;+;.;.;1;.;r;.;.;.;1;.;.;.;.
carp betu;hl;Carpinus betulus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;r;2a;2a;.;.;.;+;.;.;.;+;1;r;.;.;1;.;.;2a;.;r;1;.;.;1;+;.;.;+;.;.;.;+;.;.;1;1;.;.;.;.;.
trif medi medi;hl;Trifolium medium;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;2a;.;.;.;+;.;.;.;1;2a;+;.;+;1;2a;2a;.;.;+;2a;.;1;.;2a;.;1;+;1;.;.;.;+;2a;2a;1;.;.;1;.;1;.;1;.;.;+;1;.;.;.;1;.;.;.;.;.;.;1;+;.;.;.;.;.
cent scab scab;hl;Centaurea scabiosa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;2a;2a;.;.;+;+;2a;1;2a;1;.;.;1;.;+;1;.;2a;2a;1;.;.;2b;1;.;1;2a;.;2a;1;1;.;2a;.;+;2a;2a;.;.;.;.;.;.;.;.;.;.;.;1;1;.
orig vulg;hl;Origanum vulgare;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;1;.;.;.;1;.;.;.;+;+;.;2a;+;.;r;.;2b;2a;.;.;2b;.;2b;1;.;.;.;+;1;.;.;.;.;.;.;.;.;.;.;2a;1;2a;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.
clin vulg vulg;hl;Clinopodium vulgare;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;2b;.;.;.;.;.;1;1;.;.;1;r;2a;1;2a;.;.;.;1;r;.;+;2a;+;+;.;1;.;.;+;1;.;.;.;.;2a;1;+;1;.;1;.;+;+;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
homa pube pube;hl;Avenula pubescens;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;1;.;.;.;+;1;.;.;.;1;.;+;+;+;+;1;.;.;.;.;.;+;.;.;.;+;+;.;+;+;+;.;.;.;.;+;+;.;.;+;+;.;+;+;+;+;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.
hype perf;hl;Hypericum perforatum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;3;1;.;2a;.;.;.;.;+;.;.;.;+;.;.;.;2a;.;+;+;r;.;.;.;.;2a;.;.;.;+;.;+;.;+;.;.;.;1;.;2a;.;1;1;.;1;1;2a;2a;+;.;+;.;.;.;.;.;.;.;r;.;.;.;.
acer pseu;hl;Acer pseudoplatanus;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;+;.;r;1;+;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;2a;.;+;r;1;2a;.;+;1;+;1;1;.;.;.;.;.;.;.;.;r;.;.;r;.;.
cory avel;hl;Corylus avellana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;2a;.;r;r;.;1;+;r;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.
trag orie;hl;Tragopogon orientalis;.;.;.;.;+;+;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;r;1;1;.;.;.;.;.;.;+;1;1;.;.;.;r;+;.;r;.;.;r;.;.;.;.;.;r;.;1;.;+;+;.;.;.;r;.;r;.;.;+;+;.;r;r;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.
frag vesc;hl;Fragaria vesca;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;1;2a;.;.;.;1;.;.;.;.;.;.;.;+;.;.;.;.;.;1;.;.;.;.;.;.;1;1;2b;.;.;.;+;2a;.;2a;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.
care orni orni;hl;Carex ornithopoda;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;1;.;+;.;.;.;.;.;.;1;.;1;.;.;.;.;.;.;.;.;.;.;+;.;1;.;.;.;.;.;.;1;.;.
thui assi;ml;Thuidium philibertii;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;2a;.;.;+;.;.;.;.;.;1;.;.;.;+;.;.;.;+;+;.;.;+;.;1;+;.;2a;2a;.;.;.;1;.;1;+;.;2a;.;.;.;2b;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
onon spin slat;hl;Ononis spinosa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2b;1;.;.;.;.;.;.;.;.;3;.;+;1;.;.;.;.;.;.;.;.;.;.;.;2a;+;2a;.;1;2a;+;.;.;1;2a;.;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
plan medi;hl;Plantago media;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;1;.;1;.;.;.;.;+;r;2b;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.
linu cath;hl;Linum catharticum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;+;.;1;.;.;.;.;.;.;.;.;+;+;.;.;+;.;.;.;.;.;+;1;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;r;.;.;.;.
gera sylv;hl;Geranium sylvaticum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;2a;+;.;2a;.;2a;.;2a;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;r;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
colc autu;hl;Colchicum autumnale;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;+;.;.;.;.;.;.;.;.;.;+;2a;r;.;.;.;.;.;.;.;r;.;.;.;.;.;r;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.
rhin alec alec;hl;Rhinanthus alectorolophus;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;1;.;.;.;.;.;.;+;+;.;.;+;.;.;2b;.;2a;.;2m;1;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;1;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
trif mont mont;hl;Trifolium montanum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;+;.;.;.;+;1;2a;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;1;.;.;.
luzu spec ies;hl;Luzula sp.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;r;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
fiss taxi;ml;Fissidens taxifolius;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
camp glom;hl;Campanula glomerata;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;+;.;.;.;.;.;.;.;r;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
euph offi rost;hl;Euphrasia officinalis ssp. rostkoviana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;1;+;.;.;.;.;.;.;2a;.;.;+;r;.;.;.;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;+;.;.;2a;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
pote ster;hl;Potentilla sterilis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;r;2a;.;1;.;.;2a;2a;.;2b;.;.;.;.;.;.;.;.;.;r;2a;2b;.;.;.;1;2b;2a;2a;.;.;.;.;.;.;.;.;1;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
stel gram;hl;Stellaria graminea;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;1;+;.;.;.;.;.;.;+;+;+;.;.;+;.;.;.;+;.;.;1;.;.;r;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
vero offi;hl;Veronica officinalis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;2a;+;2a;.;.;.;.;.;.;.;.;.;.;1;+;.;.;1;1;2a;.;.;.;.;.;+;.;.;1;.;.;.;+;.;.;.;.;.;.;+;.;.;1;.;2a;.;.;.;.;.;.;1;.;.;.;.;.;.
luzu camp;hl;Luzula campestris;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;r;.;.;.;.;r;+;+;1;+;.;.;.;.;.;.;+;.;.;+;+;+;.;.;1;+;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;.;.;.;.;+;.;.;.;.;.;.;.
hype macu;hl;Hypericum maculatum;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;2a;r;.;.;.;.;1;.;1;1;1;1;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
sang offi;hl;Sanguisorba officinalis;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;1;.;2a;.;.;.;.;.;1;.;.;.;.;.;.;.;.;+;+;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.
care pall;hl;Carex pallescens;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2b;+;.;+;.;.;.;.;2a;1;.;2a;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.
rhyt triq;ml;Rhytidiadelphus triquetrus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;2a;.;2a;+;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;+;.;.;1;.;.;.;.;.;1;+;.;.;.;1;+;.;+;1;1;+;.;.;.;1;2b;.;.;1;.;.;.;.;.;.;.
rhin spec ies;hl;Rhinanthus sp.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;+;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;1;.;.;.;+;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;1;.;.;.;.;+;.;+;+;.;.;.;.;.
fagu sylv;hl;Fagus sylvatica;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;1;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;r;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;.;.;.;1;.;.;.;.;r;r;.;.;r;1;.;.;.;.;+;.;.;.
nard stri;hl;Nardus stricta;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;1;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2b;.;.;.;.;.;.;.;.;.;.;1;2a;.;1;1;1;+;2a;1;2a;.;2a;.;.;.;.;.
hylo sple;ml;Hylocomium splendens;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;+;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;1;.;.;.;2b;.;2b;+;2a;2a;.;1;.;.;.;.;.
succ prat;hl;Succisa pratensis;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;2b;2b;.;.;.;.;.
call vulg;hl;Calluna vulgaris;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;2b;.;+;+;2a;1;.;2a;2a;.;.;.;.;.
gymn cono cono;hl;Gymnadenia conopsea;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;r;.;.;r;.;r;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;1;1;.;.;+;.;.;+;.;+
pleu schr;ml;Pleurozium schreberi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;2a;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;+;+;+;+;.;.;.;+;2a;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;2b;1;.;1;2a;1;.;1;.;.;.;.;+;+
anem nemo;hl;Anemone nemorosa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;+;.;1;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;r;.;.;r;.;.;.;.;1;.;.;.;.;1;r;.;.;.;1;1;.;.;+;.;.;.;+;.;.;+;.;.;.;+;.;r;2a;+;1;+;+;.;.;.;.;.;.;.;.
poly form;ml;Polytrichum formosum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;.;+;+;.;.;.;.;.;.;.
care pilu pilu;hl;Carex pilulifera;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;1;2m;.;1;.;.;.;.;.;.;.;.;.
rhyt squa;ml;Rhytidiadelphus squarrosus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2b;+;+;.;.;.;.;.;.;.;.;.;.
vacc myrt;hl;Vaccinium myrtillus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;.;.;.;.;.;.;.;.;.;.;+;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;+;.;2a;2a;+;.;+;.;1;.;.;.;.;.;.;.
tofi caly;hl;Tofieldia calyculata;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;r;.;.;+;.;1;.;.;.;.;.
poly amar ella;hl;Polygala amarella;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;1;1;.;+;.;+;.;.;.;r;.;.
gent vern vern;hl;Gentiana verna;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;r;.;+;r;.;.;.;.;.;+;.;.
