"abbr";"layer";"taxon";100;97;98;108;109;110;90;91;93;94;95;96;99;119;"120";"101";"105";"106";"107";"111";"112";"113";"114";"115";"118";"116";"117";"92";"121";"102";"103";"104"
"prun dome slat";"sl";"Prunus domestica";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";1;".";".";"."
"rubu frut aggr";"sl";"Rubus fruticosus agg.";"2a";".";".";".";".";".";".";".";".";"2a";"2b";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"rubu frut aggr";"hl";"Rubus fruticosus agg.";"2a";1;1;".";1;"+";".";".";"2b";".";"2b";"2b";"2a";"2a";"+";3;"2b";1;"+";".";1;1;1;".";4;"2a";"+";"2a";"2b";1;1;"."
"rubu idae";"sl";"Rubus idaeus";".";".";".";".";".";".";"2a";1;".";"2b";"2a";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"rubu idae";"hl";"Rubus idaeus";1;".";1;"2a";"2a";1;".";"2a";"2a";".";1;"2b";"2a";"2a";"+";"2a";"2a";"2a";".";1;"2a";"+";1;"2a";1;"2a";".";1;"2a";"2b";"2b";"2a"
"clem vita";"sl";"Clematis vitalba";"2a";".";".";".";"+";".";1;".";".";1;"2a";1;".";".";".";1;".";".";"2a";1;".";1;1;".";".";"2a";".";1;1;".";".";"."
"clem vita";"hl";"Clematis vitalba";"2a";1;".";1;1;".";"2a";".";".";".";".";".";".";"2a";".";".";1;".";".";".";1;1;".";".";".";"2a";".";"+";1;1;"+";1
"hede heli";"sl";"Hedera helix";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"hede heli";"hl";"Hedera helix";1;1;"2a";1;".";".";1;"2b";"2a";1;".";1;"+";".";1;1;"2a";1;"+";1;1;1;"+";1;"+";".";"2a";1;1;1;1;"."
"humu lupu";"sl";"Humulus lupulus";".";".";".";".";".";".";".";".";".";"2a";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"humu lupu";"hl";"Humulus lupulus";".";".";".";".";".";".";1;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"frag mosc";"hl";"Fragaria moschata";".";1;"2a";"2a";"2b";"2b";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"pren purp";"hl";"Prenanthes purpurea";".";1;".";"+";"+";"+";".";".";".";"+";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"soli virg virg";"hl";"Solidago virgaurea";"+";"+";1;"+";"+";"+";".";".";".";".";".";"+";"+";".";".";".";".";".";".";"+";".";".";"+";"r";".";"+";".";".";".";"+";".";"."
"agro capi";"hl";"Agrostis capillaris";1;1;"+";"+";"+";"+";".";".";"+";".";".";"+";"+";".";"+";"+";".";".";".";".";"+";".";"+";".";"+";"+";"+";".";".";".";".";"."
"vacc myrt";"hl";"Vaccinium myrtillus";".";"+";"+";1;1;"2a";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"apos foet";"hl";"Aposeris foetida";1;1;1;1;"+";1;"+";"2a";"r";"+";".";"+";"+";".";".";"+";".";"+";"+";"+";1;".";"+";".";"+";"+";"+";".";".";"+";"+";"+"
"lysi nemo";"hl";"Lysimachia nemorum";"r";".";1;"+";".";1;"+";"+";1;".";".";"+";1;"+";"+";"+";".";"+";".";".";"+";".";".";".";1;"+";1;".";"+";".";".";"."
"frag vesc";"hl";"Fragaria vesca";".";1;"2b";1;1;".";"2a";1;".";"2a";1;1;1;".";"2a";"2a";1;1;1;".";".";"+";1;"2a";1;".";"2a";1;1;"+";".";"."
"geum urba";"hl";"Geum urbanum";".";".";"+";"r";".";".";"+";"+";".";1;"+";1;"+";1;"+";"+";1;"+";1;"+";"+";"r";".";"+";".";"+";1;1;"+";"+";"+";"+"
"aego poda";"hl";"Aegopodium podagraria";1;1;"2a";".";1;1;"2b";"2a";".";1;"2a";"2a";"+";"+";".";1;".";".";"+";"+";".";"+";1;".";"+";1;1;".";".";"2a";"2a";"2a"
"dact glom glom";"hl";"Dactylis glomerata";1;".";"2a";1;1;"2a";"2b";"+";"2a";"+";1;1;"+";"+";"+";1;".";"+";"+";1;1;"+";"+";"+";"+";"+";"+";".";".";"+";"2a";"2a"
"care sylv";"hl";"Carex sylvatica";".";"2a";"2a";1;".";"+";1;"2a";1;"+";1;1;1;1;"+";1;1;".";"+";1;1;"+";".";"+";"+";"2a";1;1;"+";1;1;"+"
"prim elat";"hl";"Primula elatior";"+";1;1;1;"+";"2a";".";"2a";1;1;"2a";1;1;1;"+";1;"+";"+";"+";1;1;"+";"+";".";".";"+";"+";1;"+";"+";".";"+"
"gale mont";"hl";"Galeobdolon montanum";1;"2a";"2a";1;".";1;1;"2a";"2a";"2a";"2a";"2a";1;"2a";"2a";1;1;1;1;1;1;"+";1;1;1;1;"2a";"2a";"+";1;"+";1
"brac sylv";"hl";"Brachypodium sylvaticum";3;"2a";1;1;3;".";".";".";1;"2a";"2a";1;1;1;".";"2b";"+";"2a";".";".";"2a";"+";1;1;1;1;1;".";"2a";"2a";"2a";"2b"
"brac pinn";"hl";"Brachypodium pinnatum";"2a";"+";"2b";1;3;"2a";1;".";"2a";1;1;1;".";".";"+";"2a";"+";".";1;"2a";"2b";1;".";".";".";".";".";".";"+";".";1;1
"care mont";"hl";"Carex montana";1;".";1;"+";1;"2b";"2b";".";"2a";".";".";1;".";"+";".";".";"+";1;"+";"2a";"2a";1;1;1;".";1;1;".";".";".";".";"."
"ajug rept";"hl";"Ajuga reptans";".";".";"+";"+";"+";1;1;".";"+";".";".";"+";"+";"+";"+";".";"+";"+";"+";"+";".";"+";"+";"+";"+";"+";"+";".";"+";".";"+";"+"
"alch spec ies";"hl";"Alchemilla vulgaris agg.";"+";".";".";"+";".";"+";"+";"+";"+";".";".";"+";"+";".";"+";"+";".";".";"+";".";"r";".";"+";".";".";"+";"+";".";".";".";".";"."
"plan majo majo";"hl";"Plantago major";"+";".";"+";".";".";".";".";".";1;".";".";".";".";".";"+";".";".";".";"+";".";"+";".";"+";".";"+";1;".";".";"+";".";"+";"."
"gali albu";"hl";"Galium album s.str.";"+";".";"r";"+";"+";"+";1;"+";1;"+";"+";"+";"r";".";"+";".";"+";".";".";"+";"+";"+";"+";"+";"+";"+";"+";".";"+";".";"+";"+"
"vero cham cham";"hl";"Veronica chamaedrys";"+";".";".";".";"+";1;1;"+";1;".";".";"+";".";".";".";".";"+";".";"+";".";"+";"+";".";"+";"+";"+";"+";".";"+";".";"+";"."
"viol reic";"hl";"Viola reichenbachiana";".";"+";1;".";"+";".";"+";1;"+";"r";"+";".";".";".";".";".";1;"+";".";"+";"+";".";"+";1;".";1;".";"r";".";1;"+";"."
"oxal acet";"hl";"Oxalis acetosella";".";1;1;1;".";".";".";".";".";"+";"+";".";1;1;1;"+";"+";".";".";".";".";".";".";".";1;1;1;"r";".";".";".";"."
"pulm offi";"hl";"Pulmonaria officinalis";".";"+";1;".";".";".";1;1;".";"+";1;1;".";".";".";"+";"+";".";".";"+";1;"+";".";1;1;".";"+";"+";".";"+";"+";1
"poly mult";"hl";"Polygonatum multiflorum";".";".";".";".";".";".";".";".";"+";1;"+";".";".";".";".";"+";"+";"+";"r";"+";"+";"+";"+";"+";".";1;"+";"+";"r";"+";".";"+"
"dryo fili";"hl";"Dryopteris filix-mas";".";".";".";".";".";".";1;1;"+";".";".";1;"+";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";"."
"gera robe";"hl";"Geranium robertianum";".";".";".";".";".";".";1;1;".";1;"+";".";"+";"+";".";"+";"+";"+";"+";".";".";".";"+";".";".";"+";".";".";".";"+";1;"+"
"care briz";"hl";"Carex brizoides";".";".";1;".";".";".";".";".";".";".";".";1;"+";1;1;".";"+";"2a";".";".";".";"2a";"+";"+";".";".";".";".";".";".";".";"."
"frag spec ies";"hl";"Fragaria sp.";".";".";".";".";".";".";".";".";".";".";".";".";1;1;".";".";1;1;"2a";"2b";1;".";".";".";".";1;".";".";1;1;"+";1
"rubu caes";"hl";"Rubus caesius";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2a";"2b";"2b";".";".";".";"+";"+";".";"+";"2a";".";"+";".";"2a";"."
"fili ulma";"hl";"Filipendula ulmaria";".";".";".";".";".";".";".";".";".";".";".";"+";1;"r";"2a";".";1;".";".";"+";".";".";"+";".";".";".";".";".";1;".";".";"."
"glec hede";"hl";"Glechoma hederacea";"+";".";"+";".";".";".";"+";".";".";".";".";"+";".";"+";".";".";".";"+";"+";".";".";"+";".";".";"+";".";1;"+";".";"+";1;"+"
"camp trac";"hl";"Campanula trachelium";".";".";"+";"r";".";"+";".";".";".";".";"+";"+";".";".";".";".";".";"+";".";"+";"+";"+";"+";"r";".";"r";"+";".";"+";".";"+";1
"hype perf";"hl";"Hypericum perforatum";"+";".";"+";"+";1;".";"+";".";"+";".";"+";"+";"+";".";".";".";".";"r";".";".";".";".";"+";".";"+";".";"r";".";"+";".";".";"."
"asar euro";"hl";"Asarum europaeum";"+";1;".";".";".";".";"+";"+";".";".";"2a";"2a";".";"+";".";"+";".";".";".";"+";".";".";".";".";".";1;"+";1;".";"+";".";1
"athy fili";"hl";"Athyrium filix-femina";".";".";".";"r";".";".";"+";".";"+";"+";".";1;"+";1;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"desc cesp";"hl";"Deschampsia cespitosa";".";"2a";1;".";".";".";".";".";".";"+";1;"2a";"+";".";1;".";".";"2a";".";"+";1;".";".";".";"r";".";"r";".";".";".";1;"."
"epil mont";"hl";"Epilobium montanum";".";".";".";".";".";".";1;"+";".";"+";1;"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"."
"gale pube pube";"hl";"Galeopsis pubescens";".";"+";".";".";".";".";"+";"+";".";".";"+";1;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"urti dioi dioi";"hl";"Urtica dioica";".";".";".";".";".";".";"2a";".";"+";".";1;"2b";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";1;"."
"pari quad";"hl";"Paris quadrifolia";".";".";".";".";".";"+";".";"+";".";".";"+";".";"r";".";".";"+";"r";".";".";".";".";".";".";".";".";"r";".";1;".";".";".";"."
"arum macu";"hl";"Arum maculatum";".";"r";".";".";".";".";".";".";".";".";"+";".";"r";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";"+";"r";".";"r";"r"
"hepa nobi";"hl";"Hepatica nobilis";1;".";".";".";".";".";".";".";".";1;".";".";".";".";".";".";"+";".";"+";".";".";"2a";".";1;".";".";"+";".";".";".";"+";"+"
"luzu pilo";"hl";"Luzula pilosa";".";".";".";".";".";".";".";".";".";".";1;".";"+";"r";".";".";".";".";".";".";"+";"r";".";".";".";"+";"+";".";"r";".";".";"."
