Aufnahmenummer;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2
Buphthalmum salicifolium;;;;;;+;;+;r;+;;1;1;1;+;;;;;;+
Betonica alopecuros;;;;;;;+;+;1;+;+;1;1;;+;+;;+;;+;
Laserpitium latifolium;;;;;;;;;+;;;;;;;;;+;;;
Molinia caerulea agg.;;;;;;;;+;;;;+;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Globularia cordifolia;2;;1;;r;1;2;2;2;2;1;1;+;1;2;+;2;+;1;;1
Hieracium porrifolium;;;1;1;+;r;1;1;+;+;+;;+;+;;+;1;;;+;
Primula auricula;+;;;+;;1;1;1;2;2;+;2;;+;+;;;+;;;
Asplenium ruta-muraria;;;+;;+;;;+;;;+;;+;;+;+;;;+;+;
Potentilla caulescens;;;+;;+;+;;;+;+;+;;;+;;;;+;;;+
Kernera saxatilis;+;+;+;;+;;;;r;;+;;;;;+;;;;+;
Trisetum alpestre;1;1;;;;+;+;;;+;;r;;+;;;;;;;
Campanula praesignis;;;+;+;+;;;;;;;;;;;;;;;;1
Hieracium bifidum;;;r;r;+;;;;;;;;;;;;;;;+;
Campanula cochleariifolia;1;+;;;;;;;;;;;;;;;;;;;
Carex brachystachys;;;;2;+;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Athamanta cretensis;1;+;1;2;1;;;+;+;1;1;+;;;;;1;+;;1;+
Thalictrum minus;;;r;+;+;+;1;+;1;+;+;1;;+;;1;;;;;
Campanula cespitosa;;;;+;;+;+;;+;+;;;+;r;;2;;;+;+;
Asperulaneilreichii;;;2;1;;;;;;+;+;2;+;1;;;1;;;;
Leontodon * hyoseroides;;;;;;;;;;;;r;+;+;;+;;;+;+;
Linaria alpina;;;;;;;1;1;1;;;;;;;;;;;;
Adenostyles glabra;;;;+;;;;;;;;;;;;;;+;;;
Aëthionema saxatile;;;;;;;;;;;;;r;r;;;;;;;
Galium cf. meliodorum;;;;;;;+;;+;;;;;;;;;;;;
Sedum atratum;;;;;;+;;;;;;;;;;+;;;;;
;;;;;;;;;;;;;;;;;;;;;
Teucrium montanum;;;1;+;;+;2;2;2;1;2;2;2;2;2;+;1;+;+;1;1
Thymus praecox;1;;+;;;+;+;;;+;+;2;+;+;1;;1;+;+;;2
Allium montanum;;;+;+;+;;+;+;+;+;;;+;+;+;+;+;;+;;+
Seseli austriacum;;;;;;r;+;;1;;;;;+;+;+;+;+;+;+;1
Anthericum ramosum;;;+;+;+;;+;;1;+;;;;+;+;;;;;+;1
Anthyllis vulneraria;;;;;;;+;+;+;;+;;;;+;;;;;;
Centaurea scabiosa;;;+;;;;;;r;;;;;+;;;;;;;+
Galiumpumilum;;;+;;;;;;;;;;;;;;+;;;;
Viola collina;;;+;;;;;;;;;;;;;+;;;;;
Carlina acaulis;;;;;;;;;+;;;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Leontodon incanus;;;+;+;;;+;+;+;;;+;+;;;;;+;+;+;+
Polygala chamaebuxus;+;;2;+;;r;;;;;;;1;;+;+;;;;;2
Amelanchier ovalis juv.;;;;;;;r;;;;;;;;;+;;;;;r
Erica herbacea;+;;;;;;;;+;;;;;;;;;;;;
Crepis alpestris;;;;;;;;;;;;;;;;;;;+;1;
;;;;;;;;;;;;;;;;;;;;;
Linum catharticum;1;;;+;;+;+;+;;;;+;+;;+;+;;;;;
Lotus corniculatus;;;+;+;;*';;;+;;;;+;;+;;+;;;+;
Sedum album;;;;;;;;;+;;2;;;;+;+;;;+;+;
Gentianella germanica;;;;;;+;+;;+;;;+;+;;;;;;;;
Polygonatum odoratum;;;;;;;;;r;r;;;;;;r;;r;+;;
Viola hirta;;;;;;;;;;;+;;;+;;;;+;;+;
Bupleurum falcatum;;;+;r;1;;;;;;;;;;;;;;;;
Kryptogamen:;;;;;;;;;;;;;;;;;;;;;
Tortella tortuosa;;+;+;+;;+;1;2;2;+;2;;+;1;2;+;+;;+;1;+
Homalothecium sericeum;;+;2;+;+;;;;;;;;;;;;+;+;;+;
Schistidium apocarpum;;;+;;;;+;+;;;;;;+;+;;1;;;;+
Cladonia pyxidata;;;;;;;;1;2;+;;;;+;2;;;;;;
Ditrichum flexicaule;;+;;;;;;+;;;;;;;1;;;;;;
Rhytidium rugosum;;;;;;;;;+;;;;;;1;;;;;;
Neckera crispa;;;;;1;;;;;;;;;;;;;+;;;
