plot,x,y,observer,date,remarks
9022,746500,217680,H.U. Frey,1995-01-01,date is year of publication
9023,747920,215870,H.U. Frey,1995-01-01,date is year of publication
9024,753670,215160,H.U. Frey,1995-01-01,date is year of publication
9025,753640,214870,H.U. Frey,1995-01-01,date is year of publication
9026,753940,214950,H.U. Frey,1995-01-01,date is year of publication
9027,754110,215070,H.U. Frey,1995-01-01,date is year of publication
9028,753690,216480,H.U. Frey,1995-01-01,date is year of publication
9029,753730,216380,H.U. Frey,1995-01-01,date is year of publication
9030,749730,212810,H.U. Frey,1995-01-01,date is year of publication
9031,749330,212190,H.U. Frey,1995-01-01,date is year of publication
9032,750180,212850,H.U. Frey,1995-01-01,date is year of publication
9033,744410,211350,H.U. Frey,1995-01-01,date is year of publication
9034,744470,211460,H.U. Frey,1995-01-01,date is year of publication
9035,751650,216970,H.U. Frey,1995-01-01,date is year of publication
9036,751610,217040,H.U. Frey,1995-01-01,date is year of publication
9037,751540,216870,H.U. Frey,1995-01-01,date is year of publication
9038,751450,216730,H.U. Frey,1995-01-01,date is year of publication
9039,752080,217390,H.U. Frey,1995-01-01,date is year of publication
9040,755560,237900,H.U. Frey,1995-01-01,date is year of publication
9041,754860,238690,H.U. Frey,1995-01-01,date is year of publication
9100,748360,214550,H.U. Frey,1995-01-01,date is year of publication
9101,710420,231800,H.U. Frey,1995-01-01,date is year of publication
9101,756250,201250,H.U. Frey,1995-01-01,date is year of publication
9102,753250,223900,H.U. Frey,1995-01-01,date is year of publication
9103,753040,223810,H.U. Frey,1995-01-01,date is year of publication
9104,751950,222780,H.U. Frey,1995-01-01,date is year of publication
9105,746850,228170,H.U. Frey,1995-01-01,date is year of publication
9106,753320,216120,H.U. Frey,1995-01-01,date is year of publication
9107,746030,226280,H.U. Frey,1995-01-01,date is year of publication
9200,748720,215580,H.U. Frey,1995-01-01,date is year of publication
9201,748900,215330,H.U. Frey,1995-01-01,date is year of publication
9202,749440,215190,H.U. Frey,1995-01-01,date is year of publication
9203,749810,215000,H.U. Frey,1995-01-01,date is year of publication
9204,728370,208130,H.U. Frey,1995-01-01,date is year of publication
9205,763450,205200,H.U. Frey,1995-01-01,date is year of publication
9205,763450,205200,H.U. Frey,1995-01-01,date is year of publication
9206,763460,205120,H.U. Frey,1995-01-01,date is year of publication
9206,763460,205120,H.U. Frey,1995-01-01,date is year of publication
9211,759720,204550,H.U. Frey,1995-01-01,date is year of publication
9211,759720,204550,H.U. Frey,1995-01-01,date is year of publication
9212,759600,204550,H.U. Frey,1995-01-01,date is year of publication
9212,759600,204550,H.U. Frey,1995-01-01,date is year of publication
9214,759450,204600,H.U. Frey,1995-01-01,date is year of publication
9214,759450,204600,H.U. Frey,1995-01-01,date is year of publication
9220,757700,212230,H.U. Frey,1995-01-01,date is year of publication
9221,758700,210250,H.U. Frey,1995-01-01,date is year of publication
9223,757500,212230,H.U. Frey,1995-01-01,date is year of publication
9224,758700,210250,H.U. Frey,1995-01-01,date is year of publication
9227,763500,204400,H.U. Frey,1995-01-01,date is year of publication
9227,763500,204400,H.U. Frey,1995-01-01,date is year of publication
9230,755250,212500,H.U. Frey,1995-01-01,date is year of publication
9235,755850,211820,H.U. Frey,1995-01-01,date is year of publication
