"";"x"
"251";"Sorbus aucuparia ssp. aucuparia"
"252";"Sorbus chamaemespilus"
"253";"Stellaria graminea"
"254";"Taraxacum sect. Ruderalia"
"255";"Taxus baccata"
"256";"Teucrium chamaedrys ssp. chamaedrys"
"257";"Teucrium montanum"
"258";"Thelypteris limbosperma"
"259";"Thesium alpinum"
"260";"Thymus praecox ssp. polytrichus"
"261";"Thymus pulegioides ssp. pulegioides"
"262";"Tofieldia calyculata"
"263";"Trifolium medium ssp. medium"
"264";"Trifolium montanum ssp. montanum"
"265";"Trifolium pratense ssp. pratense"
"266";"Trifolium repens ssp. repens"
"267";"Trisetum flavescens ssp. flavescens"
"268";"Vaccinium myrtillus"
"269";"Vaccinium vitis-idaea"
"270";"Valeriana montana"
"271";"Valeriana saxatilis"
"272";"Valeriana tripteris"
"273";"Veronica chamaedrys ssp. chamaedrys"
"274";"Veronica officinalis"
"275";"Veronica urticifolia"
"276";"Viola biflora"
"277";"Viola canina ssp. ruppii"
"278";"Viola collina"
"279";"Viola hirta"
"280";"Viola reichenbachiana"
"281";"Viola riviniana"
"282";"Viola rupestris"
